folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,0.663632007666507,0.6516530905606133,0.6612362242453282,0.6530905606133206,0.6746526114039291,0.6516530905606133,0.661715380929564,0.6569238140872066,0.6602779108768567,0.6535697172975563,0.659798754192621,0.6569238140872066,0.6372783900335409,0.6530905606133206,0.6593195975083852,0.6583612841399138,0.6621945376137998,0.6665069477719214,0.6574029707714423,0.6526114039290848,0.6420699568758984,0.6569238140872066,0.6626736942980355,0.6530905606133206,0.6641111643507427,0.6454240536655487,0.6439865836128414,0.6473406804024916,0.6626736942980355,0.6612362242453282
acute-inflammation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
acute-nephritis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,0.8680999180999182,0.8644963144963145,0.8663390663390663,0.8639639639639639,0.8649058149058149,0.8647010647010647,0.865028665028665,0.8679361179361179,0.8646601146601146,0.8637182637182638,0.8621212121212121,0.8651924651924652,0.864004914004914,0.8665438165438165,0.8649467649467649,0.8675675675675676,0.8654791154791155,0.8642506142506142,0.8670761670761671,0.8651924651924652,0.8653153153153154,0.8650696150696151,0.8650696150696151,0.8638820638820639,0.8645372645372645,0.8625307125307126,0.8654381654381654,0.8633497133497133,0.8683046683046683,0.8671171171171171
annealing,0.9375,0.9441964285714286,0.9464285714285714,0.9441964285714286,0.9263392857142857,0.9553571428571429,0.9285714285714286,0.9397321428571429,0.9397321428571429,0.9598214285714286,0.9397321428571429,0.9375,0.9352678571428571,0.953125,0.9441964285714286,0.9330357142857143,0.9508928571428571,0.9464285714285714,0.9419642857142857,0.953125,0.9419642857142857,0.953125,0.9419642857142857,0.9508928571428571,0.9508928571428571,0.9575892857142857,0.9352678571428571,0.9285714285714286,0.9553571428571429,0.9486607142857143
arrhythmia,0.7702702702702703,0.7432432432432432,0.7207207207207207,0.7207207207207207,0.7477477477477478,0.7207207207207207,0.7342342342342343,0.7297297297297297,0.6801801801801802,0.7747747747747747,0.7072072072072072,0.7522522522522522,0.7432432432432432,0.6801801801801802,0.7252252252252253,0.7522522522522522,0.7387387387387387,0.7612612612612613,0.7207207207207207,0.7252252252252253,0.7477477477477478,0.7162162162162162,0.7387387387387387,0.7117117117117117,0.7027027027027027,0.6846846846846847,0.7387387387387387,0.7342342342342343,0.7477477477477478,0.7477477477477478
audiology-std,0.6875,0.7604166666666666,0.7395833333333334,0.78125,0.71875,0.71875,0.6770833333333334,0.7083333333333334,0.71875,0.7291666666666666,0.75,0.71875,0.71875,0.7395833333333334,0.7604166666666666,0.6979166666666666,0.7395833333333334,0.7395833333333334,0.8020833333333334,0.7708333333333334,0.7916666666666666,0.7708333333333334,0.7604166666666666,0.6979166666666666,0.7395833333333334,0.7291666666666666,0.7291666666666666,0.7916666666666666,0.7604166666666666,0.7395833333333334
balance-scale,0.9455128205128205,0.9134615384615384,0.9102564102564102,0.9358974358974359,0.9358974358974359,0.9230769230769231,0.9326923076923077,0.9102564102564102,0.9198717948717948,0.9487179487179487,0.9262820512820513,0.9487179487179487,0.9166666666666666,0.9326923076923077,0.9166666666666666,0.9391025641025641,0.9294871794871795,0.9294871794871795,0.9583333333333334,0.9166666666666666,0.9455128205128205,0.9326923076923077,0.9262820512820513,0.9487179487179487,0.9294871794871795,0.9102564102564102,0.9358974358974359,0.9455128205128205,0.9358974358974359,0.9294871794871795
balloons,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.8571428571428571,1.0,1.0,1.0,0.5714285714285714,1.0,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.7142857142857143,1.0,0.8571428571428571,0.7142857142857143,0.5714285714285714,0.42857142857142855,0.8571428571428571,1.0,1.0,0.7142857142857143,1.0,0.7142857142857143,0.42857142857142855,0.7142857142857143,0.7142857142857143,1.0,0.5714285714285714
bank,0.8986725663716815,0.8942477876106195,0.8960176991150443,0.8946902654867257,0.893362831858407,0.8898230088495576,0.9004424778761062,0.9035398230088496,0.8969026548672566,0.9022123893805309,0.8995575221238938,0.8964601769911504,0.8946902654867257,0.9008849557522124,0.904424778761062,0.8973451327433628,0.8986725663716815,0.9004424778761062,0.8942477876106195,0.9022123893805309,0.8969026548672566,0.8946902654867257,0.9026548672566371,0.8946902654867257,0.8880530973451327,0.9017699115044248,0.9017699115044248,0.8951327433628319,0.9022123893805309,0.8920353982300885
blood,0.7914438502673797,0.7941176470588235,0.7647058823529411,0.7807486631016043,0.7754010695187166,0.786096256684492,0.7941176470588235,0.786096256684492,0.7994652406417112,0.7887700534759359,0.7540106951871658,0.7914438502673797,0.7620320855614974,0.8101604278074866,0.7967914438502673,0.7834224598930482,0.786096256684492,0.7967914438502673,0.767379679144385,0.820855614973262,0.8021390374331551,0.7834224598930482,0.767379679144385,0.7620320855614974,0.7834224598930482,0.7807486631016043,0.7914438502673797,0.8288770053475936,0.786096256684492,0.7780748663101604
breast-cancer,0.7535211267605634,0.704225352112676,0.7746478873239436,0.7746478873239436,0.7253521126760564,0.704225352112676,0.7253521126760564,0.7253521126760564,0.7253521126760564,0.7746478873239436,0.7323943661971831,0.7112676056338029,0.7394366197183099,0.7746478873239436,0.7676056338028169,0.7464788732394366,0.6971830985915493,0.7394366197183099,0.7253521126760564,0.795774647887324,0.7183098591549296,0.8028169014084507,0.7253521126760564,0.7394366197183099,0.7112676056338029,0.7183098591549296,0.7535211267605634,0.7253521126760564,0.7464788732394366,0.7323943661971831
breast-cancer-wisc,0.9713467048710601,0.9598853868194842,0.9627507163323782,0.9570200573065902,0.9799426934097422,0.9885386819484241,0.9742120343839542,0.9627507163323782,0.9684813753581661,0.9742120343839542,0.9627507163323782,0.9742120343839542,0.9656160458452722,0.9627507163323782,0.9799426934097422,0.9799426934097422,0.9713467048710601,0.9455587392550143,0.9656160458452722,0.9713467048710601,0.9684813753581661,0.9684813753581661,0.9770773638968482,0.9770773638968482,0.9742120343839542,0.9598853868194842,0.9713467048710601,0.9627507163323782,0.9627507163323782,0.9713467048710601
breast-cancer-wisc-diag,0.9788732394366197,0.9823943661971831,0.9894366197183099,0.9788732394366197,0.9753521126760564,0.9753521126760564,0.9753521126760564,0.9683098591549296,0.971830985915493,0.9859154929577465,0.9753521126760564,0.9788732394366197,0.9788732394366197,0.9788732394366197,0.9788732394366197,0.9823943661971831,0.9753521126760564,0.971830985915493,0.9823943661971831,0.9788732394366197,0.9647887323943662,0.9859154929577465,0.9753521126760564,0.971830985915493,0.9647887323943662,0.9612676056338029,0.9788732394366197,0.9788732394366197,0.9894366197183099,0.971830985915493
breast-cancer-wisc-prog,0.8673469387755102,0.8163265306122449,0.7959183673469388,0.7653061224489796,0.7857142857142857,0.8061224489795918,0.8061224489795918,0.7346938775510204,0.7959183673469388,0.8061224489795918,0.7755102040816326,0.8469387755102041,0.826530612244898,0.7959183673469388,0.8061224489795918,0.7959183673469388,0.826530612244898,0.7959183673469388,0.8061224489795918,0.7857142857142857,0.8061224489795918,0.826530612244898,0.7857142857142857,0.7551020408163265,0.7448979591836735,0.8163265306122449,0.8673469387755102,0.826530612244898,0.7551020408163265,0.7959183673469388
breast-tissue,0.6346153846153846,0.6153846153846154,0.6923076923076923,0.7307692307692307,0.6730769230769231,0.6730769230769231,0.6346153846153846,0.6923076923076923,0.7115384615384616,0.6730769230769231,0.5961538461538461,0.5961538461538461,0.6538461538461539,0.5961538461538461,0.7692307692307693,0.7307692307692307,0.6538461538461539,0.7884615384615384,0.7307692307692307,0.6730769230769231,0.7692307692307693,0.7115384615384616,0.5769230769230769,0.6538461538461539,0.6923076923076923,0.7115384615384616,0.6538461538461539,0.75,0.7307692307692307,0.6730769230769231
car,0.9745075318655851,0.9687137891077636,0.9745075318655851,0.9779837775202781,0.9733487833140209,0.9791425260718424,0.9721900347624566,0.9721900347624566,0.9826187717265353,0.984936268829664,0.9768250289687138,0.9756662804171495,0.9791425260718424,0.9745075318655851,0.9768250289687138,0.9791425260718424,0.9745075318655851,0.9768250289687138,0.9791425260718424,0.9803012746234068,0.9826187717265353,0.9733487833140209,0.9745075318655851,0.9791425260718424,0.9803012746234068,0.9803012746234068,0.9826187717265353,0.9791425260718424,0.981460023174971,0.9733487833140209
cardiotocography-3clases,0.9425612052730696,0.9378531073446328,0.9416195856873822,0.9387947269303202,0.9303201506591338,0.9425612052730696,0.9500941619585688,0.9274952919020716,0.948210922787194,0.9491525423728814,0.9378531073446328,0.9350282485875706,0.9340866290018832,0.9453860640301318,0.9369114877589454,0.9387947269303202,0.9397363465160076,0.931261770244821,0.9453860640301318,0.9566854990583804,0.9331450094161958,0.9500941619585688,0.940677966101695,0.9369114877589454,0.9491525423728814,0.9548022598870056,0.9387947269303202,0.9340866290018832,0.9444444444444444,0.943502824858757
cardiotocography-10clases,0.8669811320754717,0.8641509433962264,0.8584905660377359,0.8584905660377359,0.8745283018867924,0.8764150943396226,0.8622641509433963,0.8547169811320755,0.8518867924528302,0.8443396226415094,0.8669811320754717,0.8575471698113207,0.8452830188679246,0.8735849056603774,0.8745283018867924,0.8622641509433963,0.8669811320754717,0.869811320754717,0.8613207547169811,0.8830188679245283,0.8603773584905661,0.8632075471698113,0.8716981132075472,0.8594339622641509,0.8528301886792453,0.8830188679245283,0.870754716981132,0.8556603773584905,0.8613207547169811,0.870754716981132
