folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,0.8457875418236536,0.8379130227392926,0.8354785137788323,0.8376663674779111,0.8485808635996719,0.8297084710644176,0.8445769003225334,0.8382767197278562,0.8405679011538083,0.839958354155649,0.8423304888123946,0.838804587126502,0.8297187649738405,0.8438723338342395,0.8446078673787099,0.8383815806202298,0.8364369587368001,0.8481777759290834,0.8367832407539404,0.8340884722264875,0.835170154741893,0.8370258716103829,0.8389988296429342,0.8417383897161393,0.8399564276783723,0.8344690517367941,0.8324128311020806,0.8353837993591441,0.8369635111233452,0.8379512010410788
acute-inflammation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
acute-nephritis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,0.9214044986205078,0.9173635355253541,0.9183500995727333,0.9161694362188474,0.9161487812691722,0.9183201397617173,0.9194902398961098,0.9209324104914338,0.9171952741513205,0.9177523589644239,0.915706183101672,0.9172226451840754,0.9171597590616793,0.9219169108863685,0.9194811192894279,0.919768980376441,0.9184150217093177,0.9178998364105163,0.9196541067960344,0.9191511652207343,0.9180789595979545,0.9173829283304591,0.9172423420094024,0.9161702837903681,0.9167438870355638,0.9170725513215245,0.9180802309552579,0.9163655661132692,0.9227791859391666,0.9204823960730248
annealing,0.9764855379845007,0.9819377861518759,0.973113833151967,0.9840893207955793,0.9758562409645414,0.9780943334384067,0.9746880088935926,0.97216361413155,0.9786483517088438,0.9920047024089158,0.982920957169171,0.9887821000560253,0.9860939156634916,0.9819243671704503,0.9762464974859506,0.9758371339291008,0.9870893646484116,0.9822591198798428,0.9889300033635645,0.9820990096096059,0.9789630542854026,0.9814014809321041,0.9727733575460464,0.9840843475966997,0.9890071358939181,0.9821941808147081,0.9713450721633117,0.976341447858918,0.9875509664531605,0.9783527846957334
arrhythmia,0.9109242765578491,0.8792902773935535,0.8830713643586632,0.8887550070450438,0.8696348753007908,0.8750583826424939,0.9176488953448434,0.8726546468021205,0.8517527921962424,0.8891449242003522,0.8500655233778717,0.8929030598619613,0.8934322187935013,0.8682848692084613,0.8952409213570954,0.8908608964010674,0.8818723678657742,0.8989084321513929,0.8815825036531425,0.8851392633973378,0.8687783657268785,0.8902727834619405,0.9006163919696062,0.8709400717488863,0.8544766028362207,0.874515406946108,0.8945658902644823,0.9106202423390455,0.8524990560775377,0.907073270969147
audiology-std,0.913601766780671,0.9381609913571312,0.9318858324313456,0.9338295921672742,0.9321257129288559,0.9347600088763636,0.9211533093295373,0.9253269239644013,0.9388930939109612,0.9390368137774736,0.9387641511942191,0.9384752692560357,0.9398785315664367,0.9280570710279669,0.9426684170171996,0.9346850494936537,0.9251194725585467,0.936950881757662,0.9443066542245392,0.9355450325342325,0.9325874973980581,0.9414475545644752,0.9385480132869344,0.9161174063920864,0.9226304375983757,0.9370924317274069,0.9389453073548598,0.9321875885803835,0.92887922726347,0.9388533983829317
balance-scale,0.9919140466015461,0.9905594983719979,0.9907423305860803,0.9942924552299549,0.9950937372812371,0.9887184574684571,0.9915881283068779,0.9900157712657709,0.9925722425722423,0.995925226393976,0.9891206883394379,0.9945706781644277,0.9941779863654862,0.9924720823158321,0.9889251373626371,0.9926596840659339,0.9905499592999591,0.9908313619251116,0.9973703958078954,0.9918425035612533,0.994845721408221,0.9947582799145296,0.9932813135938133,0.9968680046805045,0.9926008597883595,0.986591244403744,0.9925245472120465,0.9953417531542529,0.992524547212047,0.9931557158119653
balloons,0.41666666666666663,0.6666666666666666,0.16666666666666666,1.0,1.0,1.0,1.0,0.5,1.0,0.9166666666666666,1.0,0.8333333333333333,0.8333333333333333,0.8333333333333334,1.0,0.6666666666666666,0.41666666666666663,0.6666666666666666,0.5833333333333333,1.0,1.0,1.0,0.75,1.0,0.75,0.41666666666666663,0.6666666666666666,0.9166666666666666,1.0,0.5
bank,0.8849211538461526,0.8713730769230753,0.8998557692307674,0.8761096153846141,0.8937057692307675,0.897349999999998,0.8934134615384591,0.9041788461538445,0.8998461538461523,0.9016576923076903,0.9030615384615364,0.8795346153846141,0.8924749999999979,0.9060557692307674,0.8923499999999979,0.8995461538461517,0.8851961538461525,0.8899076923076905,0.8783365384615369,0.8865769230769214,0.8946499999999981,0.9017749999999984,0.8943692307692289,0.8939769230769212,0.8851615384615367,0.9034365384615362,0.9013307692307672,0.8888980769230748,0.8862538461538442,0.8986961538461516
