folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,0.6588842814855207,0.6503260594195365,0.655459107546665,0.6489258216947507,0.6700333128244012,0.6475226223590708,0.6568383381734736,0.6528342749703239,0.6560290762603563,0.6488495877467897,0.6551001355021815,0.6531710096329079,0.6311421678031529,0.6497089509883232,0.6568462288573735,0.6559594987437148,0.6576648121555331,0.663974185341382,0.6529819536884283,0.6485954468063148,0.6395368335432808,0.6508185599326864,0.6552443158484221,0.6496385400535406,0.6582069169227078,0.6419170469814087,0.6393924527798204,0.6461288446170426,0.6579096317109658,0.658389216227258
acute-inflammation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
acute-nephritis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,0.7779177140892672,0.7744202193863359,0.7770978314320446,0.7714231327568515,0.7718172028479398,0.7728826923876128,0.7742297645360613,0.7777244815996873,0.7718095977360111,0.7693383785704215,0.766272251712235,0.7684813317441859,0.7706412756592722,0.77610548178771,0.774100016996573,0.7764726368763761,0.7731228775760958,0.7728999524447883,0.7750331149420955,0.7710132582205618,0.7723410204785166,0.7715170381546577,0.7721036129293388,0.7703500381052497,0.7691824438344981,0.7689857058996257,0.7729199901412691,0.7708310027035596,0.780701530532691,0.7770764717082328
annealing,0.8381602274083477,0.8325263374887436,0.7694720567652898,0.8553904241122285,0.7452068482895551,0.8123017500461109,0.6866423634844688,0.7941914309583483,0.7717699009428334,0.8678718441124456,0.8018935867808048,0.8424184921177403,0.7936174852716207,0.8278718441124455,0.754457355509987,0.7944917488526512,0.8779541928414109,0.7426206208161095,0.8570849200924389,0.8190295001573198,0.7051658366695961,0.8074107346287798,0.7135536894183511,0.7676353220714123,0.8226206208161095,0.7520771626034783,0.7561518514901973,0.7749822608469226,0.881593268886502,0.8280021482277121
arrhythmia,0.3876910521172816,0.42563289169846547,0.3917368969827987,0.325154626793971,0.39855341379931547,0.3405147857606874,0.37631565156155317,0.3462013942341811,0.32554975079565235,0.46478499642434074,0.3104303892828483,0.4127825180284196,0.4216391804916395,0.2949548265941709,0.3616792497120365,0.4449969702428718,0.37168154250121466,0.4025994770257065,0.3739624856018298,0.3703860620254063,0.4073646026105042,0.29109213191180405,0.3758705775099217,0.3244087060480503,0.3477708630167647,0.3002993727583892,0.35553528438774334,0.38484597369843265,0.4018412734806177,0.3788709105102548
audiology-std,0.2874810911042795,0.3891365344263895,0.3276631044746987,0.405945932757527,0.3334711852827795,0.30061240423559266,0.2838335041233592,0.3552188552188552,0.3366137217586493,0.3387742155858098,0.34443956472941983,0.3564180451861611,0.30328038842531596,0.3562008978675645,0.36871492704826037,0.3116137217586493,0.32597472307617237,0.37221734250719757,0.4227248328697604,0.3245205679988289,0.4035329136778412,0.36932977114136534,0.38245864441516614,0.32308715171034014,0.328280388425316,0.3536732054847997,0.32463280144439566,0.3979773581222857,0.3942175376957986,0.28924876787195625
balance-scale,0.7777777777777777,0.6944444444444445,0.6898148148148148,0.7662037037037037,0.7592592592592592,0.7337962962962963,0.7523148148148149,0.7152777777777778,0.7199074074074074,0.7939814814814815,0.7615740740740741,0.7777777777777777,0.6851851851851851,0.7662037037037037,0.6921296296296297,0.7453703703703703,0.7430555555555555,0.7291666666666666,0.8356481481481483,0.7337962962962963,0.7546296296296298,0.7546296296296298,0.7476851851851851,0.7824074074074074,0.7476851851851851,0.6712962962962963,0.7638888888888888,0.7870370370370371,0.7847222222222222,0.7708333333333334
balloons,0.5416666666666666,0.5,0.5,0.6666666666666666,1.0,1.0,1.0,0.5,1.0,0.875,0.8333333333333333,0.7083333333333333,0.8333333333333333,0.7083333333333333,1.0,0.8333333333333333,0.5416666666666666,0.5416666666666666,0.25,0.8333333333333333,1.0,1.0,0.7083333333333333,1.0,0.6666666666666666,0.375,0.5416666666666666,0.7083333333333333,1.0,0.5416666666666666
bank,0.6318076923076923,0.6106538461538461,0.6252884615384615,0.6087307692307692,0.6068076923076923,0.6012115384615385,0.6378269230769231,0.6625,0.6272115384615384,0.6469423076923078,0.6385,0.6068846153846154,0.6195192307692308,0.6356538461538461,0.6448461538461538,0.6475384615384615,0.6298846153846154,0.639,0.5898269230769231,0.6318846153846154,0.617173076923077,0.6125769230769231,0.6488653846153847,0.6209423076923077,0.5899230769230769,0.6430961538461539,0.6380769230769231,0.6228653846153847,0.6419230769230769,0.6077307692307692
blood,0.6081608515671201,0.6102700571653854,0.5593534397792234,0.5969248965109403,0.576562191996846,0.6085156712004731,0.6060516459688547,0.589197713384585,0.6232603981864774,0.5874433274196728,0.544608712793219,0.6144884683619161,0.5554898482160457,0.6337867139759511,0.6323871476443919,0.6007884880741179,0.5856889414547605,0.627123989749655,0.5842893751232012,0.6797949931007294,0.6344963532426572,0.6011433077074709,0.5273999605755963,0.5709442144687561,0.5758525527301399,0.5990341021092056,0.5930613049477627,0.6790853538340232,0.6239700374531836,0.5709442144687561
breast-cancer,0.6266666666666667,0.554047619047619,0.69,0.6623809523809524,0.6066666666666667,0.5828571428571429,0.584047619047619,0.6204761904761904,0.6047619047619048,0.6811904761904762,0.6254761904761905,0.6135714285714285,0.6542857142857142,0.6416666666666666,0.6554761904761905,0.6473809523809524,0.6035714285714285,0.6147619047619048,0.6323809523809524,0.7030952380952381,0.5652380952380952,0.7150000000000001,0.6104761904761904,0.6304761904761904,0.5947619047619048,0.5997619047619047,0.6435714285714286,0.6047619047619048,0.6473809523809524,0.6373809523809524
breast-cancer-wisc,0.9702328966521107,0.9575327510917031,0.9597161572052402,0.9513828238719069,0.980749636098981,0.9892831149927219,0.9724163027656477,0.9597161572052402,0.966066229985444,0.9743995633187773,0.9638828238719068,0.9743995633187773,0.9638828238719068,0.9597161572052402,0.9787663755458516,0.9787663755458516,0.9702328966521107,0.9406659388646288,0.9638828238719068,0.9682496360989811,0.9680494905385735,0.966066229985444,0.9745997088791849,0.978566229985444,0.9743995633187773,0.9575327510917031,0.9680494905385735,0.9577328966521106,0.9658660844250364,0.9702328966521107
breast-cancer-wisc-diag,0.9727051091795633,0.9783230867076531,0.9896650413398347,0.9755140979436082,0.9727051091795633,0.9727051091795633,0.9707971168115328,0.955745177019292,0.9660801356794573,0.9830400678397286,0.9707971168115328,0.9755140979436082,0.9755140979436082,0.9774220903116387,0.9802310790756836,0.9707971168115328,0.9707971168115328,0.9698961204155183,0.9802310790756836,0.9755140979436082,0.9585541657833369,0.9830400678397286,0.9707971168115328,0.9679881280474878,0.955745177019292,0.9538371846512614,0.9774220903116387,0.9688891244435023,0.9830400678397286,0.9698961204155183
breast-cancer-wisc-prog,0.732463768115942,0.623768115942029,0.6255072463768117,0.6121739130434782,0.5736231884057972,0.6539130434782608,0.6255072463768117,0.5252173913043479,0.6255072463768117,0.5953623188405798,0.5837681159420289,0.6823188405797102,0.6689855072463768,0.603768115942029,0.6623188405797101,0.618840579710145,0.6623188405797101,0.6255072463768117,0.6321739130434783,0.5802898550724638,0.6689855072463768,0.6907246376811594,0.5736231884057972,0.5620289855072463,0.5469565217391305,0.6756521739130434,0.732463768115942,0.6823188405797102,0.5904347826086956,0.6857971014492754
breast-tissue,0.6146765271765272,0.5972101972101972,0.6867664742664742,0.7201659451659451,0.6546897546897547,0.6596560846560847,0.5726791726791727,0.6649410774410774,0.6940416065416065,0.5756553631553633,0.5533670033670034,0.5681096681096681,0.6259800384800385,0.5693722943722943,0.7624939874939876,0.7239357864357864,0.6320707070707071,0.7670634920634921,0.697017797017797,0.6497895622895623,0.7568121693121693,0.6751322751322751,0.5337241462241462,0.5984126984126984,0.680489417989418,0.6781084656084656,0.6403379028379029,0.700925925925926,0.7068783068783069,0.6312710437710438
car,0.9277906488008426,0.9292941530951223,0.941670084872792,0.9377477566439799,0.9343474011505428,0.959915329768271,0.9366470942715929,0.9413192756441419,0.9407651464511424,0.9698402811537837,0.9330453178172096,0.9425892025198509,0.9598689940852374,0.9512905627126884,0.9212499746799546,0.9178798766407389,0.9425428668368173,0.9208206733106465,0.9460198154675094,0.9390337617485011,0.9555173644871171,0.9278672419380976,0.9438449501701507,0.9451772909577054,0.9477351219413385,0.940811482134176,0.9533566784151678,0.9277906488008426,0.9195488474315345,0.9413192756441419
cardiotocography-3clases,0.8765336096697299,0.8706216409835342,0.870713589015541,0.8536644733742679,0.8443256566853043,0.8683871573619371,0.8911475201637579,0.8417138776656827,0.8710320264561067,0.8790697052702581,0.8597199258582918,0.8540086786977442,0.8494735313054539,0.8790108473127992,0.8483305216117446,0.8566204577173657,0.8821529087982706,0.8384541002652939,0.8835717625880003,0.8991005731375398,0.8422677469360834,0.8858981942416042,0.8582915687985647,0.8694124511407288,0.8775494001785243,0.890718688999912,0.8686982726108655,0.8486674047435837,0.8676398887575257,0.8762482623037123
cardiotocography-10clases,0.8026516728745667,0.7990181311747621,0.7916819744554648,0.7534409940795779,0.8041927762603691,0.8311379500495775,0.8057641287728599,0.7891409583499359,0.770436275308862,0.7747801512442882,0.8097543353949515,0.7911175680369517,0.7647639263252385,0.8189173781005588,0.7958037683373853,0.7865483941284241,0.79644224881424,0.8154063022152822,0.7894746888830919,0.7966852069139966,0.7960134702318611,0.7853366067832176,0.7859998457972261,0.7875675036578969,0.7671764982361545,0.8169176570967643,0.810040469824683,0.7962991416001042,0.795246017465445,0.8041424794713681
chess-krvk,0.780495501562102,0.7717243550448505,0.7867389576570425,0.7792332838191012,0.776309001281399,0.7673340357563787,0.7880264739463565,0.7807124515234724,0.7891612731654627,0.7776716151691355,0.7874101355055638,0.7750546038431458,0.7723307147930156,0.7771485544224893,0.7762217942945128,0.777831739279944,0.7637598811403703,0.7733202831891645,0.774025629506163,0.7792556155978639,0.7809998508685883,0.7708065345763839,0.7812963520577895,0.791598768822922,0.7662811301106714,0.7802862450895516,0.7761388959421014,0.7831288659876507,0.7732276893823266,0.7664637160453687
chess-krvkp,0.9936142828856181,0.993725858107747,0.991216201350846,0.9918715093456034,0.9924710297292965,0.9886507569828802,0.9930705501129895,0.9930705501129895,0.992526817340361,0.9936700704966825,0.9931821253351185,0.9950922617083267,0.9918715093456034,0.9881628118213162,0.9937816457188116,0.991815721734539,0.9906166809671528,0.9905051057450239,0.992526817340361,0.9924710297292965,0.9919272969566679,0.9956359944809552,0.9906724685782173,0.9905051057450239,0.9911604137397815,0.9937816457188116,0.993725858107747,0.991815721734539,0.9918715093456034,0.9931821253351185
congressional-voting,0.48778195488721804,0.5598370927318296,0.5225563909774436,0.5078320802005012,0.47180451127819545,0.5620300751879699,0.5451127819548872,0.5197368421052632,0.5297619047619048,0.5463659147869674,0.5100250626566416,0.5046992481203008,0.525062656641604,0.5203634085213033,0.4733709273182957,0.5516917293233082,0.49874686716791977,0.4896616541353383,0.5391604010025063,0.5078320802005012,0.4981203007518797,0.5300751879699248,0.5366541353383458,0.5241228070175439,0.5338345864661654,0.5219298245614035,0.5144110275689223,0.5144110275689223,0.5278822055137845,0.5166040100250626
