folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,0.6545488095585742,0.6512913878090493,0.6549810539401247,0.6485080242198098,0.6684903254545168,0.6456954661915214,0.6563078189106241,0.652329988535629,0.6564731065634519,0.6503192025709974,0.655126368330336,0.652123087521286,0.6284191605541226,0.6501398648773413,0.6544977746034072,0.6551972763395099,0.6566431228720658,0.6643618547505232,0.6516420723038516,0.64086359851378,0.6392788975737707,0.6514093353271354,0.6571108212582033,0.6487164561439048,0.6526180525709389,0.6393786031562119,0.6398967392145153,0.6432537663378716,0.6585004071054148,0.654915572078348
acute-inflammation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
acute-nephritis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,0.7769129318603806,0.7726059372514605,0.7748605143703404,0.769630938151775,0.7696827183233016,0.7711443277873811,0.7723519974510944,0.7767831843208922,0.7697068556864186,0.7666663218033234,0.7635511924129156,0.7669679421085798,0.7696364934303855,0.774570004622305,0.7728433448006383,0.7750448197206605,0.7710787930039714,0.7707337254451043,0.7734293253539756,0.7694950411123322,0.7701623608942805,0.7701623608942805,0.7702893307944635,0.767797346126406,0.766363379470736,0.7675358012141111,0.7718027204300696,0.7692830929536025,0.7779556060642674,0.7750448197206605
annealing,0.7893642113942866,0.8308662348511973,0.7634114507046837,0.8972271588061063,0.7739893022599789,0.7710842040165348,0.7595064501079538,0.7740491922446809,0.7511371502348945,0.845626946153262,0.8213431848018313,0.873888400655318,0.7719573826340744,0.8272870487908083,0.7160096127765302,0.7668533888834641,0.8555670561685599,0.7295663400926559,0.8419279801234689,0.7997909275352885,0.7036479727457171,0.7931868632620512,0.7539962460263212,0.8147232800616259,0.7961518514901973,0.7404170599659322,0.7343495101389838,0.7490982868426478,0.8578119541277436,0.7953490870032224
arrhythmia,0.37673419476698167,0.36089981057194176,0.3487287575812165,0.3385578901972345,0.29835912721158625,0.28418663303909203,0.3666298182691625,0.3327503643897086,0.30700485307042685,0.4234574714902584,0.3242876795335811,0.3394525146984163,0.3903693028283192,0.2958994011453028,0.37828482992417417,0.3439058755452198,0.34149162313096737,0.37014422735734204,0.35530218415464315,0.3516802869261885,0.39562634087224247,0.3204249848512143,0.3735395751789194,0.30754442279032446,0.34296555903113285,0.3058681755403067,0.3355108279698444,0.3841222165812329,0.3634118886577903,0.32467510631445057
audiology-std,0.2874810911042795,0.40024764553750064,0.3276631044746987,0.405945932757527,0.3334711852827795,0.2708144244376129,0.28635875664861177,0.3552188552188552,0.3366137217586493,0.34191431220416724,0.3468550236666179,0.36536866247011174,0.294692089981945,0.3468855218855219,0.36871492704826037,0.28383594398087153,0.31244815302786316,0.38332845361830864,0.4171692773142049,0.31957985653637827,0.39155199336358754,0.38105816620309374,0.3407919777484995,0.3286427072658957,0.3194420045869321,0.36936026936026933,0.32513785194944617,0.39242180256673015,0.3722478407261016,0.28924876787195625
balance-scale,0.6990740740740741,0.6782407407407408,0.6643518518518517,0.6944444444444443,0.75,0.6851851851851852,0.6851851851851851,0.6921296296296297,0.6828703703703703,0.7662037037037037,0.7337962962962963,0.7129629629629629,0.6921296296296297,0.7152777777777778,0.6620370370370371,0.7453703703703703,0.6736111111111112,0.7129629629629629,0.7106481481481483,0.7222222222222222,0.6550925925925926,0.6990740740740741,0.7175925925925926,0.6967592592592592,0.7337962962962963,0.6875,0.7060185185185185,0.7314814814814815,0.7175925925925926,0.7314814814814815
balloons,0.41666666666666663,0.5,0.41666666666666663,0.5416666666666666,1.0,1.0,0.6666666666666666,0.25,0.8333333333333333,0.7083333333333333,0.6666666666666666,0.7083333333333333,0.8333333333333333,0.5416666666666666,0.7083333333333333,0.5833333333333333,0.41666666666666663,0.5416666666666666,0.25,0.5416666666666666,0.5833333333333333,0.6666666666666666,0.41666666666666663,0.8333333333333333,0.5416666666666666,0.375,0.375,0.5416666666666666,1.0,0.5416666666666666
bank,0.6334807692307692,0.6104038461538461,0.6231153846153846,0.6104038461538461,0.6051346153846154,0.5971153846153846,0.6378269230769231,0.66225,0.6250384615384615,0.6450192307692308,0.63825,0.6088076923076923,0.6195192307692308,0.6313076923076923,0.6445961538461539,0.6475384615384615,0.6298846153846154,0.6370769230769231,0.5881538461538461,0.6318846153846154,0.6188461538461538,0.6125769230769231,0.6488653846153847,0.6190192307692308,0.5915961538461538,0.6430961538461539,0.6361538461538462,0.6228653846153847,0.6419230769230769,0.6077307692307692
blood,0.6123792627636507,0.6253696037847427,0.5561994874827518,0.5972797161442933,0.5604178986792825,0.6085156712004731,0.6253696037847427,0.5895525330179381,0.6109796964320915,0.6046520796372955,0.551291149221368,0.620106445890006,0.5709442144687561,0.6155332150601223,0.6292331953479204,0.6025428740390302,0.6064064656022078,0.6344963532426572,0.5976345357776464,0.6780406071358172,0.6495958998620146,0.5958801498127341,0.5263552138773901,0.5863985807214666,0.5895525330179381,0.6123792627636507,0.5934161245811157,0.6678493987778436,0.6278336290163611,0.5846441947565543
breast-cancer,0.6266666666666667,0.5471428571428572,0.6711904761904762,0.6404761904761904,0.5897619047619047,0.534047619047619,0.6047619047619048,0.5985714285714285,0.5421428571428571,0.6642857142857143,0.6442857142857142,0.6085714285714285,0.6542857142857142,0.6266666666666667,0.6454761904761905,0.6054761904761905,0.6085714285714285,0.6147619047619048,0.6204761904761904,0.6861904761904762,0.570952380952381,0.7030952380952381,0.5885714285714285,0.6066666666666667,0.6135714285714285,0.5678571428571428,0.6435714285714286,0.6047619047619048,0.6592857142857143,0.6173809523809524
breast-cancer-wisc,0.9702328966521107,0.9575327510917031,0.9597161572052402,0.9472161572052402,0.980749636098981,0.9892831149927219,0.9724163027656477,0.9597161572052402,0.966066229985444,0.9743995633187773,0.9638828238719068,0.9765829694323144,0.9638828238719068,0.9597161572052402,0.9787663755458516,0.9787663755458516,0.9702328966521107,0.9406659388646288,0.9638828238719068,0.9682496360989811,0.9680494905385735,0.966066229985444,0.9765829694323144,0.978566229985444,0.9743995633187773,0.9575327510917031,0.9680494905385735,0.9577328966521106,0.9575327510917031,0.9702328966521107
breast-cancer-wisc-diag,0.9727051091795633,0.9707971168115328,0.9896650413398347,0.9755140979436082,0.9727051091795633,0.9727051091795633,0.9660801356794573,0.952936188255247,0.9632711469154123,0.9830400678397286,0.9707971168115328,0.9755140979436082,0.9783230867076531,0.9746131015475938,0.9802310790756836,0.9707971168115328,0.9707971168115328,0.9698961204155183,0.9849480602077592,0.9755140979436082,0.9585541657833369,0.9736061055755777,0.9707971168115328,0.9679881280474878,0.955745177019292,0.9538371846512614,0.9746131015475938,0.9688891244435023,0.9830400678397286,0.9698961204155183
breast-cancer-wisc-prog,0.7257971014492755,0.623768115942029,0.6255072463768117,0.6055072463768116,0.618840579710145,0.6356521739130435,0.6623188405797101,0.5252173913043479,0.6623188405797101,0.5452173913043478,0.5553623188405797,0.697391304347826,0.6623188405797101,0.638840579710145,0.6556521739130435,0.6405797101449275,0.6840579710144927,0.6321739130434783,0.618840579710145,0.5886956521739131,0.6623188405797101,0.7191304347826086,0.5820289855072464,0.5837681159420289,0.5269565217391304,0.6756521739130434,0.6907246376811594,0.6840579710144927,0.5837681159420289,0.6773913043478261
breast-tissue,0.5908670033670034,0.5972101972101972,0.6867664742664742,0.7386844636844637,0.6546897546897547,0.5742003367003367,0.539009139009139,0.6017797017797019,0.7107082732082732,0.5386183261183262,0.5938431938431938,0.5681096681096681,0.6497895622895623,0.5693722943722943,0.7178511303511304,0.7239357864357864,0.6320707070707071,0.7281024531024531,0.697017797017797,0.6259800384800386,0.7568121693121693,0.6584656084656085,0.5545574795574796,0.6192460317460318,0.6230098605098605,0.6387566137566137,0.6403379028379029,0.6037037037037037,0.6917267917267917,0.6497895622895623
car,0.926550979379355,0.9292941530951223,0.9468944964349377,0.9347303668368173,0.9343474011505428,0.956009079768271,0.9284052929022849,0.9413656113271754,0.9464491168368173,0.9603588103629882,0.9390961756603468,0.942175979379355,0.9589801338924,0.9495752562388592,0.9199478913466212,0.9169910164479014,0.9338415066439799,0.9272847542942796,0.9382073154675094,0.9230418742910387,0.9542152811537837,0.93088463174526,0.9438449501701507,0.9512281488008426,0.9395093988008426,0.9446874746799546,0.9546587617485011,0.9264885654675094,0.9243600358531843,0.940476751134338
cardiotocography-3clases,0.870478157185706,0.8713689095879457,0.863852009969647,0.8422088889786247,0.8484577407966595,0.8558731891129542,0.878666641989323,0.8439814513618279,0.8716873470285114,0.8794139105937343,0.8589137992964216,0.8596022099433741,0.8373626263374061,0.8691675160408966,0.8410658792849154,0.8584849681325757,0.876903582876117,0.8316513791768586,0.8785746939573161,0.8949096310687259,0.8395971099590032,0.87903661519571,0.8594088106093634,0.8493815832734471,0.874475699920509,0.8808753577280094,0.8591991466624392,0.8422088889786247,0.8520522202505275,0.8709400784240998
cardiotocography-10clases,0.7903921996377989,0.7940560409465138,0.7783270703993104,0.755361082156351,0.7898250461366454,0.7928738971621441,0.8063577979527388,0.768310332510148,0.7681048219975588,0.76041209752759,0.7983556962825081,0.7893878750000567,0.7655806469898624,0.7998163287906852,0.7661424744553158,0.7763373215772317,0.7785959411361056,0.8029249930722061,0.7771075245774746,0.7991706007698799,0.7839346213469076,0.782873184696925,0.7753305877093758,0.7946795891311129,0.7670050912495289,0.807622598009781,0.8077300179006514,0.7961954064786047,0.7951666717472562,0.7878841429725998
chess-krvk,0.7563776858816521,0.7430207975302726,0.7534778010267353,0.7571566280092276,0.7382202995611081,0.745955313685764,0.7593768433922339,0.7479852429988193,0.7656754155669291,0.744118453170241,0.7600215721015826,0.7436443235561883,0.7496303601061548,0.7520071403796673,0.7437611793069301,0.7352360005943962,0.7426437995521042,0.7345146665463756,0.7432697653492959,0.7542564787232572,0.7527319540494528,0.7448476191924631,0.7469255689600456,0.7570294177768929,0.7369094385251986,0.7573543354937599,0.746720099614051,0.7448631059832057,0.7415141126495242,0.7380535766965957
