folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,0.6224113686521,0.6306241319534592,0.6326683439385345,0.6272146391737937,0.653012679037229,0.6151851372867926,0.642499831483348,0.6384147054678412,0.6215338597148735,0.6330862416220852,0.6430081133642978,0.6305477977968883,0.6135741033100187,0.6314975452358209,0.6377962665440955,0.6185188931928883,0.6302975520940585,0.6438175756946346,0.6281152189110609,0.6173868464494056,0.6258849125924001,0.630914560316662,0.6277673958185429,0.6459618901279326,0.6302465171388915,0.619906847921738,0.6317477909386507,0.6131441230477513,0.6246353151966128,0.6235364583384336
acute-inflammation,1.0,0.9833333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9833333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9833333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
acute-nephritis,0.98,0.98,1.0,0.98,1.0,0.98,1.0,0.98,0.98,0.98,0.98,1.0,0.98,0.9457142857142857,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,0.96,1.0,0.98,0.98,1.0,0.98,1.0,1.0
adult,0.8009841245154068,0.7962273135618787,0.7935883212971573,0.7918837490052897,0.7895367221005778,0.7932501310442318,0.791829919000445,0.7985570804094151,0.7944854435163546,0.7916636015132874,0.7884111194714625,0.7904939574092175,0.7887231225279528,0.7965826302873367,0.7935358133196437,0.7966468430434153,0.7947545935405782,0.7917319139360024,0.7952438910568038,0.7921135514425386,0.7923537366310216,0.7933336536908041,0.7935807161852286,0.7913489544021349,0.7916691567918979,0.7911377340493925,0.793927833577414,0.7909521066717413,0.798854467463392,0.7962852432333597
annealing,0.8258210461217981,0.8290175655589189,0.7741384847399885,0.8641265501415877,0.7568669509271013,0.8011321594028361,0.7985270535646475,0.8006003102995584,0.7810908222938299,0.8090295001573198,0.8501392008158926,0.8727323720556803,0.7915148260261042,0.8371927654634422,0.7696142954789571,0.8162821556054638,0.8702814395295599,0.7677775607850796,0.8809899206891687,0.8254383794985298,0.75072399613753,0.7962411439855049,0.7617993034534388,0.7770505267497748,0.8208662348511974,0.7584860419446886,0.7778943028567088,0.7368669509271013,0.8663420455901658,0.8186692922783149
arrhythmia,0.39447645250923935,0.4130565063351949,0.363215309280883,0.3178329866854457,0.41699049584295483,0.3651478576068739,0.3975865664390254,0.33649099534345434,0.29938132905346015,0.4474566963091553,0.384097760163334,0.37284016529918174,0.4567972464693776,0.30572957097547265,0.3498487850946867,0.45203545088790986,0.3282070934529951,0.38743567907502335,0.3743552076338962,0.39237969680592627,0.39376268540202963,0.3264010852535443,0.37129182293116714,0.3409187533777697,0.2886420683141995,0.31651430536676445,0.3325526386182123,0.39353717320930437,0.38032590360459206,0.3862480142808011
audiology-std,0.2615014883130825,0.3276606646171863,0.24309520324013079,0.30667301029619876,0.26377177572829746,0.266911872346655,0.26175157370809543,0.30291318986971155,0.29042721905040747,0.33953179134338557,0.2855987410335236,0.3152613087395696,0.2669143122041673,0.33711633240618744,0.3129044063826673,0.24205704386863808,0.2920241057922217,0.31968965012443273,0.33419826282145126,0.28372127067779235,0.3174169228517055,0.31932977114136535,0.29480188356999953,0.3002476455375006,0.25950934465427217,0.2975003659786269,0.2792368125701459,0.32322744351729854,0.3565607768506319,0.26135631679109944
balance-scale,0.6550925925925926,0.6597222222222222,0.6481481481481481,0.6736111111111112,0.6504629629629629,0.6111111111111112,0.6504629629629629,0.6388888888888888,0.6759259259259259,0.673611111111111,0.6597222222222222,0.6504629629629629,0.6967592592592592,0.6851851851851851,0.6388888888888888,0.6921296296296297,0.6504629629629629,0.6412037037037037,0.625,0.6689814814814815,0.6481481481481481,0.6388888888888888,0.6689814814814815,0.6805555555555555,0.7245370370370371,0.6435185185185185,0.6296296296296297,0.6759259259259259,0.6597222222222222,0.6620370370370371
balloons,0.375,0.5,0.5,0.5,0.5,0.875,0.5,0.5,0.5,0.41666666666666663,0.3333333333333333,0.29166666666666663,0.375,0.41666666666666663,0.4583333333333333,0.25,0.375,0.3333333333333333,0.5,0.29166666666666663,0.4583333333333333,0.5,0.375,0.5,0.5416666666666666,0.5,0.5,0.125,0.5,0.25
bank,0.6461346153846154,0.6380192307692307,0.6666923076923077,0.6416153846153846,0.65625,0.6600961538461538,0.6601730769230769,0.6720576923076923,0.68275,0.6819999999999999,0.6550769230769231,0.6406153846153846,0.6581730769230769,0.6705384615384615,0.6515576923076923,0.6661153846153847,0.6694615384615384,0.6631923076923076,0.6411153846153845,0.6656153846153846,0.6532307692307693,0.6704615384615384,0.6813269230769231,0.6411153846153845,0.6381923076923077,0.6719615384615385,0.6659423076923077,0.6565,0.6650192307692308,0.6603461538461538
