TRAINNLL:,CAWPE_eq,CAWPE_alpha=1,CAWPE_pb,CAWPE_alpha=2,CAWPE_alpha=3,CAWPE_alpha=4,CAWPE_alpha=5,CAWPE_alpha=6,CAWPE_alpha=7,CAWPE_alpha=8,CAWPE_alpha=9,CAWPE_alpha=10,CAWPE_alpha=11,CAWPE_alpha=12,CAWPE_alpha=13,CAWPE_alpha=14,CAWPE_alpha=15
abalone,1.0521097413459717,1.0518285203793636,1.2384340207549005,1.051552413627913,1.0512815737199521,1.0510161524666046,1.050756300321655,1.0505021658161324,1.0502538949709956,1.0500116306916885,1.0497755121488586,1.0495456741498863,1.0493222465062286,1.0491053534019317,1.0488951127688642,1.0486916356744074,1.0484950257274457
acute-inflammation,0.14578743026771954,0.14568721516716782,0.06224102315803332,0.14558960443846233,0.14549455349362359,0.14540201743308803,0.14531195112961603,0.1452243093043596,0.14513904659578894,0.1450561176221565,0.14497547703814348,0.14489707958629564,0.1448208801438125,0.14474683376520528,0.1446748957212922,0.14460502153495103,0.1445371670140001
acute-nephritis,0.10881608002415293,0.10887684573915618,0.06486567839658512,0.10894600580262756,0.10902329736998852,0.10910843893122488,0.10920113324884591,0.10930107016312365,0.1094079292471218,0.10952138229887758,0.10964109566241581,0.1097667323730364,0.10989795412552185,0.11003442306658759,0.1101758034150748,0.11032176291510899,0.11047197412876829
adult,0.434117449343997,0.4338536043595191,0.4087613668257603,0.4335903062853223,0.43332758823193523,0.4330654832008726,0.4328040240666658,0.4325432435589139,0.4322831742443842,0.4320238485091716,0.4317652985409497,0.43150755631131926,0.4312506535582854,0.4309946217688789,0.4307394921619434,0.43048529567110877,0.4302320629279632
annealing,0.2947545168633783,0.2900372055616263,0.2664917457226649,0.28560509400085904,0.2814564902274083,0.27758706704778274,0.27399018429391897,0.27065723910023826,0.26757802662318525,0.2647410957814779,0.2621340874309558,0.25974404552255176,0.2575576948959174,0.255561682190541,0.25374277875798434,0.25208804636290527,0.25058496786192586
arrhythmia,1.4283530668437456,1.4163926503984705,1.585698178855446,1.406746180378272,1.3989882983010478,1.3927644174810478,1.3877887178397066,1.3838352630383888,1.3807269230112962,1.378324692296164,1.3765185676836962,1.375220316890745,1.3743580309347765,1.3738721580476596,1.3737126711100776,1.3738370546592082,1.3742088618487465
audiology-std,1.6422440147138446,1.6422713559822308,1.8890163728863578,1.6427192780552669,1.6435798805451645,1.6448440402054183,1.6465014259088377,1.648540519032189,1.6509486452539144,1.6537120215760621,1.6568158210025983,1.6602442566587925,1.6639806867818876,1.668007741442031,1.6723074707355605,1.6768615125065485,1.6816512756538193
balance-scale,0.35352867373141594,0.34829203600826486,0.5377659389636591,0.3432227670695547,0.338322197770503,0.33359101893728427,0.3290293467501504,0.32463678337646623,0.3204124718235877,0.31635514451191,0.31246316553557096,0.30873456696110696,0.30516707980138164,0.3017581604908267,0.29850501378353644,0.2954046130089191,0.29245371856515734
balloons,0.9859106548509441,0.912797470519339,1.1939462361253523,0.8640114967854511,0.8337963084605474,0.8158969551829244,0.8055952041222957,0.7998216505849396,0.7967266966215976,0.7952227590514408,0.7946659501413982,0.794667183779247,0.794986180399016,0.7954723783646721,0.7960312358386066,0.7966042159051041,0.7971563307452743
bank,0.34825902015588184,0.34824565334265833,0.4292757625261272,0.3482324250888812,0.3482193353614276,0.3482063841188646,0.34819357131148315,0.3481808968813346,0.3481683607622705,0.34815596287998296,0.34814370315205156,0.3481315814879873,0.3481195977892835,0.348107751949467,0.34809604385415266,0.3480844733810979,0.3480730404002635
