folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,0.6612362242453282,0.6506947771921419,0.6468615237182559,0.6535697172975563,0.6554863440344992,0.6425491135601341,0.6593195975083852,0.6521322472448491,0.6612362242453282,0.663632007666507,0.6564446574029708,0.6631528509822712,0.6473406804024916,0.6478198370867274,0.6550071873502635,0.655965500718735,0.6574029707714423,0.6655486344034499,0.6550071873502635,0.6459032103497844,0.6574029707714423,0.6564446574029708,0.6487781504551988,0.6492573071394346,0.6650694777192142,0.6430282702443699,0.6411116435074269,0.6449448969813129,0.6449448969813129,0.657882127455678
acute-inflammation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
acute-nephritis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,0.8576576576576577,0.8554463554463555,0.8575348075348075,0.856961506961507,0.855896805896806,0.8546273546273546,0.8594185094185094,0.8598689598689598,0.8558558558558559,0.854954954954955,0.8527436527436527,0.8565929565929566,0.8559377559377559,0.8590499590499591,0.8578624078624079,0.8588042588042588,0.8576986076986077,0.856019656019656,0.8588861588861589,0.8574529074529075,0.8581900081900082,0.8574119574119574,0.8571662571662572,0.854013104013104,0.8578214578214578,0.8554054054054054,0.8565110565110565,0.855978705978706,0.8590499590499591,0.8582719082719082
annealing,0.9151785714285714,0.9285714285714286,0.9441964285714286,0.9196428571428571,0.9129464285714286,0.9352678571428571,0.9174107142857143,0.9174107142857143,0.9151785714285714,0.9352678571428571,0.9174107142857143,0.9308035714285714,0.921875,0.9129464285714286,0.9151785714285714,0.9084821428571429,0.9241071428571429,0.9174107142857143,0.921875,0.9352678571428571,0.9352678571428571,0.9441964285714286,0.9352678571428571,0.9263392857142857,0.9397321428571429,0.9397321428571429,0.90625,0.9017857142857143,0.9129464285714286,0.9174107142857143
arrhythmia,0.7522522522522522,0.7207207207207207,0.6666666666666666,0.7387387387387387,0.6621621621621622,0.6801801801801802,0.6936936936936937,0.7117117117117117,0.6756756756756757,0.7297297297297297,0.6891891891891891,0.7567567567567568,0.6981981981981982,0.6441441441441441,0.6711711711711712,0.6846846846846847,0.6621621621621622,0.7387387387387387,0.7027027027027027,0.7027027027027027,0.7117117117117117,0.6936936936936937,0.6981981981981982,0.6756756756756757,0.6531531531531531,0.6846846846846847,0.7117117117117117,0.6711711711711712,0.6981981981981982,0.6936936936936937
audiology-std,0.6666666666666666,0.7708333333333334,0.6875,0.7395833333333334,0.6875,0.7083333333333334,0.7083333333333334,0.6875,0.71875,0.7083333333333334,0.7395833333333334,0.71875,0.6666666666666666,0.7395833333333334,0.71875,0.6979166666666666,0.71875,0.71875,0.71875,0.71875,0.7708333333333334,0.78125,0.7083333333333334,0.7291666666666666,0.7395833333333334,0.7083333333333334,0.6354166666666666,0.7604166666666666,0.6979166666666666,0.65625
balance-scale,0.8942307692307693,0.907051282051282,0.8942307692307693,0.8910256410256411,0.8814102564102564,0.8974358974358975,0.9102564102564102,0.907051282051282,0.9326923076923077,0.8910256410256411,0.8910256410256411,0.9262820512820513,0.8942307692307693,0.9134615384615384,0.8910256410256411,0.9102564102564102,0.9326923076923077,0.8782051282051282,0.8878205128205128,0.9038461538461539,0.9166666666666666,0.8910256410256411,0.8942307692307693,0.9038461538461539,0.9006410256410257,0.8878205128205128,0.8878205128205128,0.9102564102564102,0.9102564102564102,0.8717948717948718
balloons,0.42857142857142855,0.8571428571428571,0.2857142857142857,0.5714285714285714,1.0,0.8571428571428571,1.0,0.2857142857142857,1.0,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.8571428571428571,0.7142857142857143,0.5714285714285714,0.42857142857142855,0.8571428571428571,0.2857142857142857,0.7142857142857143,0.5714285714285714,1.0,0.7142857142857143,1.0,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.42857142857142855,1.0,0.42857142857142855
bank,0.8955752212389381,0.8915929203539823,0.8884955752212389,0.8907079646017699,0.8911504424778761,0.8893805309734514,0.8955752212389381,0.8964601769911504,0.8946902654867257,0.897787610619469,0.8915929203539823,0.8880530973451327,0.8955752212389381,0.8964601769911504,0.8982300884955752,0.9004424778761062,0.8946902654867257,0.897787610619469,0.8973451327433628,0.8942477876106195,0.8973451327433628,0.8889380530973451,0.9035398230088496,0.8946902654867257,0.8893805309734514,0.8911504424778761,0.8942477876106195,0.8907079646017699,0.8995575221238938,0.8853982300884956
