TRAINACCSTDDEVS:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_eq,CAWPE_pb
abalone,0.007099779159369484,0.0073952102401947375,0.007267515343139911,0.007078784312217744,0.007143634251472863,0.007098942788094747,0.007346877588893654,0.007630208890151513,0.007973664478221352,0.007656259501902886,0.0075601621399859755,0.007624673133707517,0.007461872628333092,0.0076255902710441305,0.008081099030944925,0.008999399650050467,0.00826092779213998
acute-inflammation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acute-nephritis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006709631665607483
adult,0.0017365885458507397,0.0017037552222326354,0.0016633266821389685,0.0016708794545066581,0.0016997167445541139,0.001693829596600975,0.0017178524366361914,0.0016880486642983862,0.001708694157786794,0.0016868744465093545,0.0017105211723418329,0.0016925500677360816,0.0016677497693877853,0.001644466166061103,0.001628125616125834,0.0016260946158964636,0.0016051714804870773
annealing,0.013803277948668431,0.014398678789071785,0.014140820259767393,0.013397132596164098,0.012023077266188767,0.011604971692857518,0.011055279899454814,0.011714014750160229,0.012066582863565151,0.012151713060605708,0.011440960162270936,0.011489163336132055,0.012008778826261916,0.012216812199091938,0.012357340398204632,0.012105675183261052,0.014246734908827278
arrhythmia,0.027732331725801272,0.028179908587057354,0.027732331725801272,0.028133108738908282,0.02914295055284782,0.028408647036353707,0.029190927785382265,0.027482272696981398,0.026829557158963825,0.026000042123959535,0.02486240351119457,0.024789597079779343,0.024834245696832156,0.023401607638927537,0.02449382720312631,0.024634819843458194,0.043342851090712835
audiology-std,0.0338018587201565,0.03354072218512703,0.034465043741480614,0.035430397946664444,0.03435812455853895,0.033690984185528454,0.03331686614320273,0.03390317518104054,0.03401335803628062,0.03385347589923036,0.03288165301569707,0.032872169108772074,0.033726133891682476,0.035216784392352186,0.03882972630955034,0.041336092866107996,0.03863652637309415
balance-scale,0.01528883882124173,0.015220722959171503,0.015191214872010672,0.014994453999024979,0.015255205925217051,0.014899656437426429,0.014385163188626812,0.013762632053306868,0.013815296197771883,0.013214635368497455,0.013010673420639092,0.012269414547170147,0.010277227069502116,0.010070640225645999,0.00788170054833793,0.008061669549100727,0.019998018541276634
balloons,0.23845621240753923,0.23845621240753923,0.23845621240753923,0.23845621240753923,0.2370749897940134,0.2370749897940134,0.2370749897940134,0.2370749897940134,0.2363317285130098,0.2294318779706395,0.23029929837250973,0.23408778535048172,0.23227702324803937,0.23308354311658394,0.23633172851300985,0.23929092217943693,0.23608345475132053
bank,0.0041590701953794825,0.00430488049112386,0.004324595693074353,0.0042700017593654644,0.004219343488693448,0.004197311609072466,0.004086224099421158,0.003996150151603816,0.004024292895777975,0.003960939100380314,0.004006947993163214,0.004040366021740665,0.004096784541130003,0.004095713238567415,0.0041072356440484655,0.0040167925033169636,0.0042241409851768484
blood,0.017440684054789556,0.017329369207677806,0.017423006367390616,0.01768236679262482,0.017809938665460923,0.017654461201507977,0.017448456563380253,0.017306592994501126,0.017520599200375738,0.017640491851954283,0.017620682982465836,0.017606920193231426,0.01737932452580809,0.017591978891482233,0.017784312675068786,0.017631172803335433,0.011381926034904495
breast-cancer,0.0269740045899222,0.026198915099735858,0.02565808384501473,0.024863760138194028,0.02501347777348221,0.026120468533922796,0.025754545231150713,0.025675851065248244,0.0252719398589481,0.02631073064731865,0.026958150272655537,0.028213498952494632,0.029912073846367775,0.028750870968198085,0.028599790188451397,0.02871516051573135,0.03187979512868189
breast-cancer-wisc,0.0065491040515040806,0.0065491040515040806,0.006591474923743202,0.006800757638555083,0.006800757638555083,0.00692656186773463,0.0068450176632346696,0.006885567848979698,0.006786171918816744,0.00691019344343517,0.007015905619219156,0.0068007576385550805,0.006727512818659167,0.006490483343029717,0.006490483343029717,0.006505006707224091,0.006997723561323165
