folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,0.8406390388941514,0.8378457409110671,0.8353054908520804,0.835071157947118,0.8408185372071058,0.8278043600732199,0.8425012025443503,0.8362967078185491,0.8425719288302536,0.8391113555682416,0.8380823746237063,0.8361615215729499,0.830814337221786,0.8362072096135245,0.8375926825251399,0.8378616515421955,0.8373989671612586,0.8435592019522751,0.8328767230958412,0.8289026893440161,0.8316735493537688,0.8365054627890955,0.8336194651049289,0.8355674167632077,0.8375960138449843,0.832783753241215,0.8281124860806566,0.8344799786971919,0.8332229262740563,0.8371363447660465
acute-inflammation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
acute-nephritis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,0.9090699467710616,0.9054320131508132,0.9067805363048748,0.9061064221315887,0.9060888534478239,0.9068629534233611,0.9091192901744412,0.9088812976166496,0.9046449416457855,0.9060597780592752,0.9041092303755975,0.9040050804175676,0.9065506325275495,0.9111126494330833,0.9062916625744115,0.9079826691154431,0.9082952203296083,0.9062984523593794,0.9088261686163119,0.9086066844411526,0.9064347271209173,0.9066174524873559,0.9071493681111308,0.9042904448536537,0.9055790483856837,0.9053011186259409,0.9071594192039405,0.9057318600047753,0.9107054558023874,0.9084541307786176
annealing,0.9667012529080938,0.970324157402411,0.968136207390836,0.9647455390583141,0.9481403128307317,0.9544054049647729,0.9523752174476955,0.9593641263445585,0.9529520285082003,0.9804468680758245,0.9602438893908909,0.967001977419145,0.9735043253294109,0.9464762290478698,0.9563606751667292,0.9517261052361671,0.9680865482318607,0.9571418550497226,0.9733347031628451,0.9533737239426148,0.9665544163748758,0.9713127887956837,0.9687726168006651,0.9561369586018031,0.9778306496469173,0.9690657259647208,0.9383568537671505,0.950635554278722,0.9666159858022306,0.9601381324679572
arrhythmia,0.8965627005109597,0.8316522663804339,0.8297652050637622,0.8654947462246299,0.8167504758120342,0.8037136734841317,0.8642734956874487,0.8354255242583118,0.8139614514013378,0.8468542030532341,0.8223840771749742,0.851571399478146,0.8255486531304587,0.8208542711595918,0.8185624024641714,0.8458778601031822,0.8103096750991545,0.8423551170226216,0.8311863910875212,0.8758870070775195,0.8220394464298485,0.8589929337719314,0.857123627622488,0.8171627237959115,0.7881576106266444,0.8371115611705264,0.8691647493398388,0.861846768004895,0.8428578071607551,0.8618056022442914
audiology-std,0.9119967246989238,0.9459628242897304,0.9247917581345909,0.9046535661909281,0.9340937378596661,0.9273055860817672,0.9324217526056748,0.9300905481609396,0.9215403352399872,0.9288554922697377,0.9234697868039445,0.9253072564986534,0.9356926019321133,0.9413110416666256,0.9245180939130373,0.9425485079311149,0.9070080405888269,0.9582222343204136,0.9341495527940052,0.9333936290511601,0.9275930183245064,0.9565668014733876,0.9296705035728146,0.934719082986996,0.9377170755678279,0.9149162872779728,0.9084395811457251,0.9304303442364128,0.9413283055993817,0.931087937564225
balance-scale,0.9822525564713058,0.9826150412087905,0.9840665700040693,0.9843066366503862,0.9840156949531944,0.9835419210419202,0.9848137973137967,0.9838137845950339,0.9889728327228324,0.9827152014652007,0.9850967897842893,0.9855546652421643,0.9798359915547408,0.9889887311762307,0.9836945461945454,0.9875054054741548,0.9925627035002034,0.9814353759666254,0.9781825524013015,0.9845292149979644,0.9890459656084651,0.9834751475376471,0.9843066366503859,0.9831826159951155,0.9811444342694335,0.9838789682539677,0.9783685643060632,0.9868265415140411,0.9831587683150173,0.9840856481481477
balloons,0.41666666666666663,0.9166666666666666,0.25,0.6666666666666666,1.0,1.0,1.0,0.3333333333333333,1.0,0.75,0.9166666666666666,0.9166666666666666,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.6666666666666666,0.6666666666666666,0.75,0.16666666666666666,0.5,0.8333333333333333,1.0,0.75,1.0,0.5,0.5833333333333333,0.25,0.41666666666666663,1.0,0.25
bank,0.850753846153845,0.8590884615384601,0.8520057692307681,0.8592942307692294,0.8744961538461523,0.8618788461538444,0.8554442307692292,0.8772865384615365,0.8749153846153831,0.8693692307692293,0.856732692307691,0.8490249999999988,0.8527807692307678,0.8720365384615368,0.8539384615384602,0.8635788461538444,0.847407692307691,0.8766884615384598,0.8544461538461523,0.853032692307691,0.8539365384615373,0.8629134615384599,0.8607576923076912,0.8547749999999988,0.8617769230769214,0.8679211538461523,0.8561365384615373,0.8518980769230755,0.8541596153846139,0.8674076923076911
blood,0.7680268085945209,0.7610486891385775,0.7406268480189243,0.7490636704119858,0.7506406465602214,0.6929233195347922,0.7491425192193975,0.7429134634338661,0.7453577764636317,0.7539128720678104,0.7256455746106847,0.7650305539128731,0.6928838951310866,0.762743938497931,0.73999605755963,0.7185097575399176,0.7305342006702156,0.7445298639858078,0.7202050068992712,0.8142716341415341,0.7357776463630994,0.7413364872856304,0.6861028976936727,0.7468953282081614,0.7036861817465015,0.7791839148432886,0.6936723832052043,0.7284052828700972,0.7599842302385184,0.7384190814113942
breast-cancer,0.6135714285714289,0.6266666666666669,0.744761904761905,0.6488095238095241,0.6442857142857146,0.583809523809524,0.5973809523809527,0.7571428571428575,0.6214285714285716,0.6838095238095241,0.7221428571428573,0.663809523809524,0.7161904761904765,0.7304761904761907,0.696666666666667,0.727619047619048,0.6200000000000003,0.7223809523809528,0.7023809523809527,0.7364285714285719,0.6685714285714289,0.7242857142857148,0.691666666666667,0.6669047619047621,0.623809523809524,0.697619047619048,0.6645238095238097,0.6747619047619049,0.643809523809524,0.7250000000000003
breast-cancer-wisc,0.9944687045123726,0.9877365356622998,0.9915574963609898,0.9892285298398835,0.98981077147016,0.9984352256186317,0.9930858806404658,0.9933042212518195,0.9914119359534205,0.992467248908297,0.9929039301310043,0.9924308588064047,0.987627365356623,0.990174672489083,0.9961426491994178,0.9932314410480348,0.9905021834061134,0.9879912663755458,0.9890465793304221,0.9951965065502182,0.9901382823871906,0.9915211062590975,0.9947234352256186,0.9869359534206695,0.99108442503639,0.9925764192139737,0.9933042212518195,0.9902474526928674,0.9926855895196505,0.9939592430858806
breast-cancer-wisc-diag,0.986697053211787,0.9798070807716767,0.9985690057239771,0.9974560101759593,0.993004027983888,0.9886580453678184,0.9917850328598685,0.9789060843756623,0.9917320330718676,0.9964490142039432,0.9877040491838031,0.9974560101759593,0.9862200551197794,0.9974030103879584,0.9992050031799872,0.9914140343438625,0.9881810472758108,0.9856370574517701,0.9975090099639602,0.9970320118719525,0.9864320542717827,0.9932160271358914,0.9959720161119355,0.9938520245919016,0.9897710409158362,0.9836230655077378,0.9965550137799448,0.9942230231079076,0.9904600381598472,0.9963960144159423
breast-cancer-wisc-prog,0.8771014492753622,0.7020289855072464,0.8121739130434781,0.7443478260869565,0.6504347826086958,0.7008695652173914,0.7286956521739131,0.6608695652173914,0.7066666666666666,0.7159420289855073,0.72,0.7223188405797103,0.8324637681159419,0.7182608695652174,0.7820289855072463,0.7582608695652173,0.6915942028985508,0.80231884057971,0.6156521739130436,0.6336231884057971,0.76463768115942,0.7240579710144927,0.7153623188405798,0.6063768115942032,0.6295652173913044,0.904927536231884,0.752463768115942,0.8162318840579709,0.7884057971014491,0.7947826086956521
breast-tissue,0.8884172352195608,0.8942150785812158,0.9036941417755371,0.9293428313351739,0.9000653062195887,0.908936499783068,0.8746250818570729,0.88299020258748,0.9441389493785977,0.9129697790077824,0.8803645934956201,0.8879834029649685,0.9141550971244676,0.8670827148209451,0.9263658176448875,0.9203316779961703,0.907322958443208,0.926607626947956,0.9146685230065831,0.8958060586605681,0.9135314620779736,0.8941443892025287,0.9065026940665057,0.9152129201547806,0.8879280540156886,0.937775661031475,0.9053905656642469,0.95023255168604,0.9234352533771139,0.9159803288348382
car,0.995631701262378,0.9954816112931457,0.9964405897294192,0.9969778816257382,0.997309022088729,0.9937737201407864,0.995027070517348,0.9965864831578238,0.9956056958101802,0.9979347312248342,0.9955739265677293,0.9970563168255488,0.9961170427412662,0.99588481175022,0.9969000201705129,0.9962586893253296,0.9964326432970955,0.9973090481832187,0.9967716354064835,0.9950359732093003,0.9953745842064339,0.9944318772820822,0.9966016059322703,0.9963026483383404,0.996063767024665,0.9971130378958618,0.9962695912629108,0.9968197459106911,0.9968573705994902,0.9961046936055169
cardiotocography-3clases,0.9777122457338756,0.976736599444164,0.9772563070439533,0.9811128248159601,0.976032718331827,0.9808032253060042,0.9794664880618154,0.9769855514463205,0.9813753695471507,0.9763246825675125,0.9825886355480269,0.9785182036312348,0.9726591012109908,0.9787178978981221,0.9748963367180528,0.9780813846867168,0.9824027430972679,0.9770265534224654,0.9814154584504685,0.9811572782015364,0.980218196188136,0.9743333797874821,0.9797230441260116,0.9797454399138525,0.9793376402387404,0.9806736265588101,0.9781930763306849,0.9762255803222919,0.9814993377572662,0.9803700968464133
cardiotocography-10clases,0.9831803078692178,0.9822422041086126,0.9804376526700418,0.9835901821015375,0.9821192109685941,0.983943539609638,0.9805603919024414,0.9803399864526308,0.9805382673149299,0.9808691321339452,0.979832526533765,0.9819969045018572,0.9782268457802832,0.9822076354323214,0.9817035937344359,0.9834029459077147,0.9830533927620319,0.9820858139942011,0.9783177785706819,0.983298626278019,0.9797194322556118,0.9821928842244121,0.985999360852316,0.9820335044386861,0.9825802087830923,0.9824431451727654,0.9816243369623978,0.9818826010913188,0.9820550345485721,0.9840284635409777
chess-krvk,0.9569876886243542,0.956057832892278,0.9573434056200347,0.9565921193857133,0.9562451956940206,0.9569304974234351,0.9579956930357946,0.957176376532632,0.9564290572373714,0.9578530191230091,0.9575490492563477,0.9573320735645133,0.95771879970044,0.9571371911936977,0.9561815132720937,0.956450001038361,0.9574752539321627,0.9591005438714607,0.9556655762414468,0.9560096184156252,0.9574829335542061,0.958234130797968,0.9585459849880356,0.9581097685140718,0.9568817209972884,0.9562748481170256,0.9578436635959874,0.9568827986599988,0.9578692947748031,0.956389754688711
chess-krvkp,0.9982320827479539,0.9985903806443677,0.9989455355767802,0.9987522432905573,0.9982525120139778,0.9987773870025861,0.9987883873765986,0.9982415116399639,0.9995678424494999,0.9988182455346333,0.9994735535293907,0.999347834969246,0.9987883873765975,0.9982729412800007,0.998901534080729,0.998604523982384,0.9979413585776191,0.9991136841509749,0.9994704105653871,0.9993651212712654,0.998956535950793,0.9990759685829299,0.9989031055627313,0.998772672556581,0.999344692005242,0.9988182455346335,0.9984552331922119,0.9988088166426214,0.9986359536224205,0.9995709854135035
