folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,0.6554692623498483,0.6516711665342906,0.6466174498925475,0.6523050862000067,0.6449301819678125,0.638257841291225,0.6566297058321591,0.6534317067960925,0.6579919248072453,0.6592047377059135,0.6550567908136946,0.6570393159660284,0.6416162991157234,0.6478816946121642,0.6525786031200971,0.6578978457894208,0.6535871759894869,0.666089305335631,0.6498040638415085,0.6462584778480638,0.6542474286919675,0.6604114874876053,0.648026708376546,0.6476684338236732,0.6581606106233268,0.6403144364808463,0.6362893661797194,0.6352686105230032,0.643052091053706,0.6598991139204485
acute-inflammation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
acute-nephritis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,0.7635883565819286,0.7625062012064241,0.7688916669171763,0.7671022499514051,0.7605981472583857,0.7610004166827468,0.765608303790936,0.7657697938054701,0.7614848867263491,0.7615504215097587,0.7519560545954357,0.764017541008712,0.7620762889736536,0.7688806899445984,0.7654874833907073,0.7602435583389149,0.7625546095173015,0.7601454196898292,0.7696259770945084,0.768452099739159,0.7642584540031822,0.7622806320204545,0.7687695244896167,0.7611218313043193,0.7623517220824747,0.7610887668019425,0.7640713710135567,0.768350589229424,0.7709288741833591,0.7660547482748948
annealing,0.8060800269070946,0.7917993034534387,0.8045810413479586,0.8541609434842516,0.7550646095758877,0.8292954247089585,0.6988273714589504,0.754798685024249,0.8030099057166726,0.8325607308314075,0.7490040035152817,0.8727188100120431,0.843085636168343,0.773895018932613,0.7278943028567089,0.7589441135305797,0.8342138897026116,0.7491462422289491,0.8500793108311905,0.7672271588061061,0.8080365415703762,0.8493298180516226,0.786750208855472,0.7508063448664952,0.8136360381473164,0.7765600147555034,0.7241953368269158,0.7350990029185518,0.8020926775813993,0.782377155008734
arrhythmia,0.4170225403012288,0.39991953401789476,0.3448425345146657,0.41210756456658093,0.35198839411954175,0.3454251759169792,0.37700922028790884,0.42059104829596633,0.3368372065093376,0.4487527772773674,0.3931351708400888,0.572131802623606,0.4134183303035762,0.307329828641304,0.4051619964734719,0.39209964898489486,0.33810020580512384,0.44583569436028453,0.3872267077185109,0.3515213748000633,0.4207452656632984,0.3097387858043596,0.3804214364870102,0.43437371371797595,0.3334382011431192,0.379352068696331,0.35660295988164836,0.3308786841573727,0.34505106914942973,0.3147527336051926
audiology-std,0.2994620114185331,0.4091982628214513,0.3291453179134339,0.3731176499292441,0.32193675889328066,0.30327794856780366,0.30630825159810665,0.3256404625969843,0.3371187722636998,0.343036646659835,0.3613587566486117,0.3430366466598351,0.3067803640267408,0.3881313131313131,0.34977553310886644,0.30126018640511393,0.32813521690333286,0.33773361635680477,0.3763699799931684,0.3308336993119602,0.4518774703557313,0.3513724198506807,0.3241228712243205,0.32041916752061683,0.3114709900941785,0.3600985702434978,0.3008929878495096,0.381310691455619,0.35594349290001465,0.2571780608012492
balance-scale,0.7291666666666666,0.6782407407407408,0.7268518518518517,0.7037037037037037,0.7129629629629629,0.7407407407407408,0.7708333333333334,0.7569444444444445,0.8819444444444443,0.6666666666666666,0.6875,0.7962962962962963,0.6412037037037037,0.7777777777777777,0.7453703703703703,0.6990740740740741,0.8240740740740741,0.6574074074074074,0.6412037037037037,0.7129629629629629,0.8032407407407408,0.6412037037037037,0.7175925925925926,0.7268518518518517,0.7453703703703703,0.662037037037037,0.6412037037037037,0.7754629629629629,0.7731481481481483,0.6412037037037037
balloons,0.41666666666666663,0.8333333333333333,0.29166666666666663,0.5416666666666666,1.0,0.875,1.0,0.25,1.0,0.875,0.7083333333333333,0.7083333333333333,0.5416666666666666,0.875,0.7083333333333333,0.5,0.41666666666666663,0.875,0.25,0.7083333333333333,0.8333333333333333,1.0,0.7083333333333333,1.0,0.5416666666666666,0.5833333333333333,0.375,0.41666666666666663,1.0,0.41666666666666663
bank,0.6085576923076923,0.5974423076923077,0.5875769230769231,0.6055576923076923,0.5955192307692307,0.5992884615384616,0.5991923076923077,0.6346538461538461,0.6145,0.6229423076923077,0.6058076923076923,0.5873269230769231,0.6211923076923077,0.6257884615384616,0.6210192307692308,0.6325576923076923,0.5996923076923077,0.6291346153846153,0.6088076923076923,0.5967692307692307,0.614326923076923,0.5995384615384616,0.6415,0.6128269230769231,0.5761153846153846,0.5988653846153846,0.6180961538461538,0.5905,0.6306346153846154,0.5889230769230769
blood,0.6257244234180959,0.61377882909521,0.5365267100335107,0.6099152375320324,0.5877981470530258,0.525290754977331,0.6046520796372955,0.595170510546028,0.6064064656022078,0.6246599645180366,0.5554898482160457,0.6123792627636507,0.5477626650896905,0.5969248965109403,0.5874433274196728,0.5670806229055785,0.5723437808003153,0.6050068992706485,0.5635718509757539,0.6889217425586438,0.6499507194953676,0.5347723240685984,0.5182732111176819,0.6064064656022078,0.5607530061107826,0.6120244431302977,0.5930613049477627,0.6850581509954662,0.6011433077074709,0.5460082791247782
breast-cancer,0.5652380952380952,0.5552380952380953,0.6354761904761905,0.6128571428571428,0.5997619047619047,0.5433333333333333,0.559047619047619,0.6404761904761904,0.5671428571428572,0.7030952380952381,0.6554761904761905,0.5997619047619047,0.6654761904761904,0.6028571428571429,0.5997619047619047,0.6273809523809524,0.6435714285714286,0.6316666666666667,0.6304761904761904,0.6335714285714286,0.595952380952381,0.6792857142857143,0.5916666666666667,0.6197619047619047,0.6373809523809524,0.5721428571428572,0.6416666666666666,0.6235714285714286,0.6266666666666667,0.6492857142857142
breast-cancer-wisc,0.9724163027656477,0.9577328966521106,0.9535662299854439,0.9472161572052402,0.9722161572052401,0.976783114992722,0.9599163027656477,0.9597161572052402,0.9599163027656477,0.966066229985444,0.9682496360989811,0.9682496360989811,0.9555494905385735,0.9618995633187772,0.9787663755458516,0.9702328966521107,0.9618995633187772,0.9533660844250365,0.9597161572052402,0.9682496360989811,0.9616994177583698,0.9618995633187772,0.9787663755458516,0.966066229985444,0.966066229985444,0.9533660844250365,0.966066229985444,0.9577328966521106,0.9638828238719068,0.9682496360989811
breast-cancer-wisc-diag,0.9679881280474878,0.9632711469154123,0.9830400678397286,0.9774220903116387,0.9698961204155183,0.9727051091795633,0.9641721433114268,0.9510281958872164,0.9736061055755777,0.9727051091795633,0.9585541657833369,0.9698961204155183,0.9641721433114268,0.9774220903116387,0.9877570489718042,0.9707971168115328,0.9651791392834428,0.9632711469154123,0.9755140979436082,0.9783230867076531,0.9613631545473817,0.9802310790756836,0.9688891244435023,0.9604621581513674,0.9613631545473817,0.9538371846512614,0.9707971168115328,0.9755140979436082,0.9830400678397286,0.9727051091795633
breast-cancer-wisc-prog,0.7860869565217392,0.6689855072463768,0.7843478260869565,0.6356521739130435,0.6055072463768116,0.6689855072463768,0.6272463768115941,0.5837681159420289,0.6205797101449275,0.5988405797101449,0.6423188405797101,0.6623188405797101,0.6640579710144927,0.6272463768115941,0.697391304347826,0.6623188405797101,0.578840579710145,0.7142028985507246,0.6321739130434783,0.5536231884057972,0.6440579710144928,0.7057971014492754,0.6205797101449275,0.5988405797101449,0.568695652173913,0.7359420289855072,0.6857971014492754,0.7057971014492754,0.7208695652173913,0.6857971014492754
