TRAINAUROCSTDDEVS:,CAWPE(ConTie),CAWPE(alpha=4),CAWPE(RandTie)
abalone,0.00473893215519182,0.004857455280627363,0.004900464214720537
acute-inflammation,0.0,0.0,0.0
acute-nephritis,0.0,0.0,0.0
adult,0.001702579037771016,0.0018594086975890053,0.0018684092295361318
annealing,0.006678173139911817,0.005906346639895234,0.00607665254609136
arrhythmia,0.01806825459955093,0.017878997687974723,0.018351654613490753
audiology-std,0.00700628072380945,0.006909446855855628,0.006693177780796107
balance-scale,0.002747469508682016,0.0024132416653202373,0.0024374418831717213
balloons,0.2824699488983763,0.23921500506078713,0.2632807067060309
bank,0.009161892165788475,0.008946474657322885,0.008922985737713806
blood,0.036330761906006676,0.03733113726431112,0.03845787040702155
breast-cancer,0.04969137489617939,0.05277873603502259,0.05457278270905568
breast-cancer-wisc,0.002936284610210345,0.0029684320229894194,0.002946606356701684
breast-cancer-wisc-diag,0.003554743528563436,0.003603715020555161,0.003601079995742463
breast-cancer-wisc-prog,0.05610091722593761,0.057291911031775514,0.05797559868598009
breast-tissue,0.019808959078089623,0.01928276704719561,0.019049295798991762
car,4.6587816523377607E-4,4.0280514425781127E-4,4.0609852821758396E-4
cardiotocography-3clases,0.0027357154178706336,0.001677185574310816,0.0016684885061390192
cardiotocography-10clases,0.0017920521253662835,0.0013998793880567336,0.001385530347139806
chess-krvk,5.16230529383695E-4,5.435676181388045E-4,7.3134085671203E-4
chess-krvkp,4.416590292813723E-4,4.517616288956088E-4,4.520993670079319E-4
congressional-voting,0.03623400690986852,0.03868446922592225,0.038507389999353034
conn-bench-sonar-mines-rocks,0.018240392413327214,0.017353304821720313,0.018522764222827823
conn-bench-vowel-deterding,4.4372367910653954E-4,4.4812083727770456E-4,4.5078668668118495E-4
connect-4,0.0012535713849849582,0.001267800743483698,0.0012733092182788536
contrac,0.011294963909606541,0.01141600217648033,0.011770241925379515
credit-approval,0.013355629189155022,0.012360735090755897,0.012409761714820394
cylinder-bands,0.0202554804774171,0.020731632562178005,0.021095932118809703
dermatology,9.14890076828892E-4,9.051148305930078E-4,9.0733173031179E-4
echocardiogram,0.05714218803560607,0.05794579666472701,0.05864462875149159
ecoli,0.007388359770246064,0.007270569551313028,0.0071814205689622115
energy-y1,0.0020052255215451936,0.002041824256689333,0.002078441650218771
energy-y2,0.0025430081186267398,0.0024561213208530003,0.0025155778735907685
fertility,0.13679164080413947,0.13188073528694236,0.13344610318109046
flags,0.02277344391617805,0.023747917996574483,0.025108757492701927
glass,0.014971611263166436,0.014581140239003499,0.014515037832016776
haberman-survival,0.05939085302333154,0.059704010476796285,0.06069999167678154
hayes-roth,0.022689601210095587,0.021458537120277326,0.023096218788874703
heart-cleveland,0.020743642223922817,0.022100673824241086,0.023321033618627664
heart-hungarian,0.027009450621746568,0.02628431264341063,0.0262445159709719
heart-switzerland,0.0580493308997592,0.06566409934286116,0.06606953195093335
heart-va,0.039218990885681655,0.04071615928457351,0.04162876061253689
hepatitis,0.03924897792111577,0.03716577783135878,0.03739546786936602
hill-valley,0.032549885372527336,0.023720962807238066,0.021465052931125567
horse-colic,0.018194448146194704,0.018343191412830286,0.018602893008166563
ilpd-indian-liver,0.030331651167843483,0.03005095792859601,0.030398364918524063
image-segmentation,4.6991560029847055E-4,3.9104930451371267E-4,3.9441358958569546E-4
ionosphere,0.008053607232812725,0.00778066461616476,0.007886660956378477
iris,0.0038538723456017702,0.0038404022777792893,0.0038725651931204455
led-display,0.005450249973928271,0.005593016064208084,0.005589427484290523
lenses,0.20763417543751592,0.20290204317087052,0.1924065899112194
letter,5.2270188303543994E-5,5.413367024346998E-5,5.807385017935854E-5
libras,0.005096661132838506,0.005131364499077358,0.005264975735995262
low-res-spect,0.004222880933641397,0.004225331889718114,0.004198162252544488
lung-cancer,0.12106056936954919,0.12639457314015715,0.144976400404125
lymphography,0.025372614536543842,0.025536812513900813,0.025421812768689538
magic,0.002377048554241902,0.0019887114755652523,0.0019891860393605374
mammographic,0.012633865173280771,0.01281127518192787,0.01295206407842796
miniboone,2.9949691441299905E-4,3.39086139922765E-4,3.49346562408607E-4
molec-biol-promoter,0.027696784874646507,0.02931660159925706,0.031920127283772956
molec-biol-splice,0.0016100821768988947,0.001671630523211606,0.0018379172035446186
monks-1,0.00271078763543667,0.0017531949664295607,0.0018904327130886754
monks-2,0.027806667016108604,0.025729626668367332,0.02530835001767271
monks-3,0.0034792358755590305,0.0032391957194377193,0.0034177620582721596
mushroom,0.0,0.0,0.0
musk-1,0.012482149705715902,0.012561548328490785,0.012625912773918864
musk-2,6.991159634680341E-4,6.984142315637806E-4,6.993750760752698E-4
nursery,1.7085073661894923E-5,1.2729559872091132E-5,1.3921958527009722E-5
oocytes_merluccius_nucleus_4d,0.011469065683567476,0.011467649063177652,0.011696676552421063
oocytes_merluccius_states_2f,0.003435014757563072,0.00335615984256489,0.003353047676185074
oocytes_trisopterus_nucleus_2f,0.010207052344427368,0.010116857458685154,0.010283940583812611
oocytes_trisopterus_states_5b,0.005016889293189909,0.004954328851309463,0.004967382315375897
optical,6.330969224719927E-5,6.370359627903562E-5,6.399149182227105E-5
ozone,0.022896963229105217,0.023576129558834612,0.023604229420705912
page-blocks,0.0013672648670527115,0.0013669849238306538,0.0013788479535974197
parkinsons,0.01517958728028327,0.015541931176006602,0.015883786812835445
pendigits,1.4389042649978444E-4,1.4402364566331737E-4,1.4410095440694213E-4
pima,0.017834611449226975,0.018941508242898496,0.01944655582756408
pittsburg-bridges-MATERIAL,0.04148986260022068,0.04029003749105006,0.039560871457889724
pittsburg-bridges-REL-L,0.05173979419309395,0.05477264669849338,0.0572397731079412
pittsburg-bridges-SPAN,0.05102855213549177,0.04693765006602411,0.04818039688831229
pittsburg-bridges-T-OR-D,0.10674466984808313,0.10105369041853132,0.10041372435593102
pittsburg-bridges-TYPE,0.04268639925970863,0.045873080370157034,0.04763788184553622
planning,0.10261979493919643,0.1025137420242707,0.09992405782337567
plant-margin,3.800169906020387E-4,4.0590480369085454E-4,4.1587994693837685E-4
plant-shape,0.0021297384029112932,0.0020795944264859656,0.0021080554345525287
plant-texture,0.0010343119609430614,0.0010203816212606387,0.0010338372435861364
post-operative,0.1171731943051327,0.09620328913588284,0.09562326422628768
primary-tumor,0.02011514482824004,0.018287307802893196,0.017905441082132167
ringnorm,4.204665356251608E-4,4.125581327597597E-4,4.142232159966166E-4
seeds,0.004422508464076596,0.004170278298966257,0.004269158933386473
semeion,7.400813098957244E-4,7.445480830598233E-4,7.550203290470011E-4
soybean,0.0015762458345059361,0.0015706841581767273,0.0015743728097120902
spambase,0.0014702343950864878,0.0013337581196636054,0.00133620832271558
spect,0.049236268381130655,0.04336232998774679,0.04462260958577106
spectf,0.034792282615788095,0.035884276223228644,0.0369109194513019
statlog-australian-credit,0.03275513574935739,0.03197203558689017,0.031554564759435584
statlog-german-credit,0.021972326156803508,0.020736659141373525,0.020930269508983128
statlog-heart,0.0244117847535101,0.024787130055247627,0.02491076852556189
statlog-image,3.3334967187185306E-4,3.226582484301887E-4,3.336158127670093E-4
statlog-landsat,4.7260325299602223E-4,5.010219156169582E-4,5.096139679639856E-4
statlog-shuttle,4.886169542579825E-7,2.5517877900938045E-6,3.589299594484195E-6
statlog-vehicle,0.005268722823631058,0.004920855793733557,0.005044913326288895
steel-plates,0.004245269303493529,0.0041080234906965135,0.004087264153854444
synthetic-control,2.2533346935996358E-4,2.1477910479598007E-4,2.231752743140115E-4
teaching,0.050333963910732575,0.05127650208751919,0.05313072719589309
thyroid,4.6556010065234584E-4,2.019288088088221E-4,2.0780977485945426E-4
tic-tac-toe,7.156560304855391E-4,7.33925404323635E-4,7.419427848773619E-4
titanic,0.01392355597906341,0.011906557895759689,0.011868498432549042
trains,0.22679678482993404,0.2043000385392192,0.3892410829931177
twonorm,3.350390076436246E-4,3.298342738297733E-4,3.2817214148553303E-4
vertebral-column-2clases,0.025465594633183628,0.023163378226401535,0.02354750982733569
vertebral-column-3clases,0.010555013938648721,0.010353537545558573,0.010431397148593603
wall-following,7.377004702413902E-5,1.631272847771258E-4,1.8075290222306376E-4
waveform,0.0013899962871229603,0.0013956625780236719,0.0014021258617405896
waveform-noise,0.0017019736741221388,0.001701637796320068,0.001700778522159117
wine,0.001543243060638814,0.0013942472070724,0.0013950742896280898
wine-quality-red,0.011449469413415654,0.011029487132416032,0.010929289541078434
wine-quality-white,0.006126939624217632,0.005708279689604864,0.0055288546117308905
yeast,0.008686314996381691,0.008949797953387014,0.009124026039814869
zoo,0.004754327215118455,0.004523570082275762,0.00449848936601553
