folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,0.654117895669556,0.6512913878090493,0.6544767675054298,0.6480037377851149,0.6684903254545168,0.6447602658678084,0.6558467769558062,0.6532651888593421,0.6569773929981467,0.6503192025709974,0.655169612810213,0.6526404903700583,0.6288802025089405,0.6510619487869771,0.655002061038102,0.6532666195604843,0.6566431228720658,0.665874714054608,0.6526205171074416,0.641367884948475,0.6391924086140166,0.6513660908472584,0.656636662889308,0.6492207425785997,0.6525748080910618,0.6403439315457247,0.6393924527798204,0.643223638272072,0.6584139181456607,0.6544846581893299
acute-inflammation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
acute-nephritis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,0.7772600492525659,0.772691509731351,0.7751172318100118,0.769802083111556,0.7699125207605506,0.7712029852648492,0.7724596574607838,0.7768100993233145,0.7699366581236677,0.7668961242405725,0.7638934823324774,0.7670804295908926,0.7696364934303855,0.7746555771021955,0.7729558322829511,0.7754995971225352,0.7712499379637523,0.7710125304145746,0.7737716152735374,0.7697296710222047,0.7702748483765933,0.7704729083387966,0.7706585357164477,0.7680319760362785,0.7664220369482041,0.7677069461738921,0.772059437869741,0.7693955804359154,0.7784642134709868,0.7755265121249575
annealing,0.8135880827610151,0.8302814395295599,0.7634114507046837,0.9018935867808049,0.7780709349130401,0.7804994086948974,0.7589216547863165,0.7781308248977423,0.7511371502348945,0.845626946153262,0.8213431848018313,0.879949006715924,0.771372587312437,0.8313686814438694,0.7282545107357137,0.78166205557183,0.8549822608469224,0.733647972745717,0.8419279801234689,0.8032877648667123,0.7071448100771409,0.7931868632620512,0.7600568520869273,0.8188049127146872,0.7961518514901973,0.7404170599659322,0.7384311427920451,0.7572615521487702,0.8613087914591674,0.7953490870032224
arrhythmia,0.3802306982634851,0.3590839215429379,0.344150003002462,0.3385578901972345,0.2944553260946704,0.2742798731323321,0.3825272541665984,0.3327503643897086,0.326235622301196,0.4234574714902584,0.3242876795335811,0.3614305366764384,0.38729237975139613,0.31038491563081727,0.3685412401805844,0.3548948865342308,0.3644298324626193,0.3765544837675984,0.35530218415464315,0.35231080395014813,0.39562634087224247,0.32896758978726187,0.38286358450292873,0.32327868852459013,0.34380701265947167,0.3058681755403067,0.34271477156723057,0.3810452935043098,0.37331864856455016,0.3211786028179471
audiology-std,0.2874810911042795,0.40024764553750064,0.3276631044746987,0.405945932757527,0.3334711852827795,0.2708144244376129,0.28635875664861177,0.3552188552188552,0.3366137217586493,0.34191431220416724,0.3468550236666179,0.3591958229639389,0.294692089981945,0.3468855218855219,0.36871492704826037,0.28383594398087153,0.31244815302786316,0.38332845361830864,0.4227248328697604,0.3245205679988289,0.39155199336358754,0.3835834187283463,0.3407919777484995,0.3286427072658957,0.333330893475821,0.3638047138047138,0.32513785194944617,0.39242180256673015,0.3722478407261016,0.28924876787195625
balance-scale,0.7013888888888888,0.6805555555555555,0.6643518518518517,0.6944444444444443,0.75,0.6875,0.6990740740740741,0.7060185185185186,0.7106481481481483,0.7685185185185185,0.75,0.7291666666666666,0.6921296296296297,0.7106481481481483,0.6620370370370371,0.7453703703703703,0.6736111111111112,0.7152777777777778,0.7523148148148149,0.736111111111111,0.6689814814814815,0.7129629629629629,0.7314814814814814,0.7106481481481483,0.7337962962962963,0.6875,0.7060185185185185,0.7314814814814815,0.7175925925925926,0.7337962962962963
balloons,0.41666666666666663,0.5,0.41666666666666663,0.5416666666666666,1.0,1.0,0.6666666666666666,0.25,0.8333333333333333,0.7083333333333333,0.6666666666666666,0.7083333333333333,0.8333333333333333,0.7083333333333333,0.875,0.5833333333333333,0.41666666666666663,0.5416666666666666,0.25,0.5416666666666666,0.5833333333333333,0.6666666666666666,0.41666666666666663,0.8333333333333333,0.6666666666666666,0.375,0.5416666666666666,0.7083333333333333,1.0,0.5416666666666666
bank,0.6334807692307692,0.6104038461538461,0.6231153846153846,0.6104038461538461,0.6070576923076924,0.5971153846153846,0.6378269230769231,0.66225,0.6252884615384615,0.6450192307692308,0.63825,0.6088076923076923,0.6195192307692308,0.6313076923076923,0.6445961538461539,0.6475384615384615,0.6298846153846154,0.6370769230769231,0.5881538461538461,0.6318846153846154,0.6188461538461538,0.6125769230769231,0.6488653846153847,0.6190192307692308,0.5915961538461538,0.6430961538461539,0.6361538461538462,0.6228653846153847,0.6419230769230769,0.6077307692307692
