TRAINBALACC:,CAWPE(ConTie),CAWPE(alpha=4),CAWPE(RandTie)
abalone,0.6538039991113763,0.6514315901380574,0.6511641809161994
acute-inflammation,1.0,1.0,1.0
acute-nephritis,1.0,0.9986666666666667,0.998
adult,0.7934562481565128,0.7719832866387447,0.7713529027035514
annealing,0.8115107176310183,0.7895811896263023,0.7939156802540259
arrhythmia,0.3854515448122004,0.35949331542774154,0.350327535852126
audiology-std,0.356140674051302,0.3456541664633453,0.3436564111322565
balance-scale,0.7756172839506174,0.7247685185185185,0.7121141975308642
balloons,0.7763888888888889,0.6875,0.6263888888888888
bank,0.6358307692307694,0.6260756410256411,0.6257217948717949
blood,0.6082672974571259,0.6008016295420198,0.6035068007096391
breast-cancer,0.6386190476190478,0.6209444444444442,0.6147698412698414
breast-cancer-wisc,0.9679245511887433,0.9672234352256186,0.9672234352256184
breast-cancer-wisc-diag,0.9739152710055826,0.972189244576355,0.971751112995548
breast-cancer-wisc-prog,0.6475652173913045,0.6325410628019323,0.6338840579710145
breast-tissue,0.6689700577200578,0.6441015311848645,0.6409463684463683
car,0.9386226823718469,0.9375553622792093,0.938120670272241
cardiotocography-3clases,0.8824562500607586,0.8635363134175535,0.8623028367479049
cardiotocography-10clases,0.8034435233031374,0.791823343441292,0.7877585175426582
chess-krvk,0.7768812534739672,0.775369562197106,0.7629443101499704
chess-krvkp,0.992438500051859,0.9922549247626801,0.9922130971500651
congressional-voting,0.5245509607351713,0.5182017543859648,0.5178675856307434
conn-bench-sonar-mines-rocks,0.8400441919191919,0.8230555555555557,0.820763888888889
conn-bench-vowel-deterding,0.9628282828282828,0.9587205387205388,0.9581144781144781
connect-4,0.7889438266206508,0.7822110868349448,0.7817709112594275
contrac,0.5234352622178484,0.5106388887634964,0.5071718053262966
credit-approval,0.8678865961742461,0.864353420251172,0.8639393628306471
cylinder-bands,0.7493376068376068,0.7374871794871795,0.7348632478632477
dermatology,0.9720524691358025,0.9689351851851851,0.9683950617283952
echocardiogram,0.798394660894661,0.7813672438672438,0.7787157287157286
ecoli,0.599071793026956,0.5914711920007782,0.5922929154269908
energy-y1,0.9371314451706608,0.9329593318809005,0.9303243766642459
energy-y2,0.8990174815609657,0.8938151466445995,0.8935594415256728
fertility,0.5433080808080809,0.5267676767676768,0.5279040404040404
flags,0.4195428876678876,0.4041117216117216,0.3832740638990638
glass,0.6378341687552214,0.6150045252018935,0.6022713032581456
haberman-survival,0.6012202380952381,0.5858630952380952,0.5835119047619047
hayes-roth,0.7856249999999999,0.7728240740740743,0.7578240740740741
heart-cleveland,0.335362842517314,0.3083709725986149,0.3077786634075491
heart-hungarian,0.7967683661180248,0.785795530576743,0.7834336946340159
heart-switzerland,0.3166111111111111,0.2916666666666667,0.27405555555555555
heart-va,0.3394476190476191,0.31124126984126993,0.3001682539682539
hepatitis,0.7108777322404372,0.6877561475409838,0.6832137978142078
hill-valley,0.6491199119911993,0.6037953795379539,0.5838833883388338
horse-colic,0.8299526707234618,0.8218390804597703,0.8211037863421231
ilpd-indian-liver,0.5815917516218722,0.5719203738029038,0.5712426629595304
image-segmentation,0.9661471861471861,0.9638383838383839,0.9627994227994228
ionosphere,0.9100529100529101,0.903753306878307,0.9003968253968254
iris,0.9622222222222222,0.9591111111111112,0.9586666666666667
led-display,0.719038087652856,0.7168470797732373,0.7167170292681868
lenses,0.6142857142857142,0.5333333333333332,0.47460317460317464
letter,0.9554035050124362,0.9525270722676412,0.950086251980536
libras,0.8020370370370372,0.788888888888889,0.7824074074074077
low-res-spect,0.5031706907697395,0.49571453103093366,0.4917048802740013
lung-cancer,0.700925925925926,0.5175925925925926,0.4311111111111112
lymphography,0.4823611111111113,0.46493055555555557,0.45368055555555553
magic,0.8541642207149253,0.8442204779283007,0.8437422596054609
mammographic,0.8241759201061527,0.8194252391926812,0.8185435435435436
miniboone,0.9324559559607362,0.9214249391687404,0.9199779598041344
molec-biol-promoter,0.8743589743589746,0.8474358974358973,0.8384615384615384
molec-biol-splice,0.9596218388049145,0.9458290779360332,0.9288471974327197
monks-1,0.9842925659472423,0.9810551558752995,0.978537170263789
monks-2,0.643781315197214,0.6260690289619373,0.6191365630082301
monks-3,0.974000104427736,0.9672862712336397,0.9673341339459761
mushroom,1.0,1.0,1.0
musk-1,0.8841242815050958,0.8778667342897165,0.8755035502101145
musk-2,0.9568541331527107,0.9550854194300981,0.9545127893959492
nursery,0.7979795812435998,0.793381927133323,0.792741506097445
oocytes_merluccius_nucleus_4d,0.7907477025898078,0.785602896129212,0.7847605123920913
oocytes_merluccius_states_2f,0.9064963890545287,0.9048215140204808,0.9047353813762087
oocytes_trisopterus_nucleus_2f,0.8227414052598226,0.8194939533164342,0.8190104166666666
oocytes_trisopterus_states_5b,0.9095724070360858,0.905137395459976,0.9050776583034648
optical,0.9840865852709911,0.9837188031155427,0.9837304653274593
