CAWPE(alpha=4),CAWPE(ConTie),CAWPE(RandTie)
0.6554863440344992 ,0.6626736942980355,0.6526114039290848
0.6468615237182559 ,0.6574029707714423,0.6439865836128414
0.6401533301389555 ,0.6521322472448491,0.6382367034020124
0.6415908001916627 ,0.657882127455678,0.6377575467177767
0.6492573071394346 ,0.6554863440344992,0.6492573071394346
0.6382367034020124 ,0.6449448969813129,0.631528509822712
0.650215620507906 ,0.661715380929564,0.6478198370867274
0.6473406804024916 ,0.6593195975083852,0.6377575467177767
0.655965500718735 ,0.6631528509822712,0.654048873981792
0.6564446574029708 ,0.663632007666507,0.6511739338763776
0.6574029707714423 ,0.6607570675610924,0.6535697172975563
0.655965500718735 ,0.6655486344034499,0.6530905606133206
0.6420699568758984 ,0.6487781504551988,0.6358409199808337
0.6430282702443699 ,0.6530905606133206,0.6411116435074269
0.6487781504551988 ,0.6569238140872066,0.6463823670340201
0.6521322472448491 ,0.6621945376137998,0.6511739338763776
0.6516530905606133 ,0.6593195975083852,0.6478198370867274
0.6593195975083852 ,0.6703402012458074,0.6593195975083852
0.6526114039290848 ,0.6554863440344992,0.6487781504551988
0.6344034499281265 ,0.6535697172975563,0.6310493531384763
0.6526114039290848 ,0.6602779108768567,0.6454240536655487
0.6535697172975563 ,0.6650694777192142,0.650215620507906
0.6468615237182559 ,0.6535697172975563,0.6449448969813129
0.6430282702443699 ,0.6526114039290848,0.6425491135601341
0.6574029707714423 ,0.6655486344034499,0.6554863440344992
0.6439865836128414 ,0.6463823670340201,0.6449448969813129
0.6329659798754192 ,0.6425491135601341,0.6276952563488261
0.6363200766650695 ,0.6459032103497844,0.6377575467177767
0.6382367034020124 ,0.6497364638236703,0.6329659798754192
0.6564446574029708 ,0.6645903210349784,0.6492573071394346
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
0.8576167076167076 ,0.8582719082719082,0.857002457002457
0.8555692055692056 ,0.8556920556920556,0.8553235053235053
0.8571253071253071 ,0.8579033579033579,0.8567977067977068
0.855896805896806 ,0.8574119574119574,0.8556920556920556
0.8555692055692056 ,0.8566339066339066,0.8554054054054054
0.8543816543816544 ,0.8552006552006552,0.8539312039312039
0.8585585585585586 ,0.8597870597870598,0.8583538083538084
0.8597461097461098 ,0.85999180999181,0.8593775593775593
0.8556511056511057 ,0.856019656019656,0.8551597051597052
0.854013104013104 ,0.8553644553644554,0.8538902538902539
0.8522932022932023 ,0.8534807534807535,0.8523751023751024
0.8564701064701065 ,0.8568386568386568,0.8562244062244062
0.8559377559377559 ,0.855978705978706,0.855978705978706
0.8583128583128583 ,0.8593366093366094,0.8576986076986077
0.8577805077805077 ,0.8581900081900082,0.8574119574119574
0.8584766584766584 ,0.8597051597051597,0.8579033579033579
0.8574119574119574 ,0.8583947583947584,0.8568796068796068
0.8557739557739558 ,0.8561425061425061,0.8555692055692056
0.8587633087633088 ,0.8594185094185094,0.8582719082719082
0.8572481572481573 ,0.8581900081900082,0.8572481572481573
0.8575757575757575 ,0.8586404586404587,0.8577395577395578
0.8565520065520066 ,0.8578624078624079,0.8563472563472564
0.8567567567567568 ,0.857944307944308,0.8567977067977068
0.8536036036036037 ,0.8542588042588043,0.8535626535626536
0.8572891072891073 ,0.8583538083538084,0.8571662571662572
0.8553235053235053 ,0.8558149058149058,0.855036855036855
0.8567977067977068 ,0.8568386568386568,0.8565110565110565
0.8557330057330057 ,0.8564701064701065,0.8552825552825553
0.8585995085995086 ,0.8595004095004095,0.8581900081900082
0.8582719082719082 ,0.8585995085995086,0.8583128583128583
0.8995535714285714 ,0.9196428571428571,0.8995535714285714
0.9285714285714286 ,0.9375,0.9263392857142857
0.9375 ,0.9508928571428571,0.9352678571428571
