TRAINAUROC:,CAWPE(ConTie),CAWPE(alpha=4),CAWPE(RandTie)
abalone,0.8353297471294439,0.8325084119951163,0.8310615597717664
acute-inflammation,1.0,1.0,1.0
acute-nephritis,1.0,1.0,1.0
adult,0.9069015225343133,0.9065262350582418,0.9063955284731425
annealing,0.9601717465879551,0.9570869225295436,0.9547736943620391
arrhythmia,0.8395404135305736,0.8387952980782923,0.8334812379813616
audiology-std,0.9278814230676103,0.9277839124704907,0.9268997883652369
balance-scale,0.9818820695122771,0.9842693812745889,0.9837232694003522
balloons,0.6361111111111111,0.6777777777777777,0.638888888888889
bank,0.857462756410255,0.858482628205127,0.857979038461537
blood,0.7387160785859785,0.7390485577238983,0.7388133254484531
breast-cancer,0.673293650793651,0.6715714285714288,0.6671904761904764
breast-cancer-wisc,0.9921724890829696,0.9915077632217368,0.9914471130519164
breast-cancer-wisc-diag,0.9918839657974701,0.9913151014062609,0.9911932018938587
breast-cancer-wisc-prog,0.7328888888888888,0.7249082125603866,0.7183574879227056
breast-tissue,0.9040233070011857,0.9039484129869835,0.9007512580747125
car,0.9955768109930171,0.9948590561236585,0.9937937465752451
cardiotocography-3clases,0.9785242600419148,0.9784130659200142,0.9782506689871493
cardiotocography-10clases,0.9818848465021113,0.9818640113281764,0.9816627229086361
chess-krvk,0.9601708150931415,0.9611216625354655,0.9601708150931415
chess-krvkp,0.9988073499260867,0.9987452763870146,0.9987035797312334
congressional-voting,0.5623373910967887,0.573514142499104,0.5734276166606985
conn-bench-sonar-mines-rocks,0.8973611111111114,0.8937626262626266,0.8850631313131316
conn-bench-vowel-deterding,0.9977376730265621,0.9976353161242051,0.9969656565656566
connect-4,0.8875640586881608,0.8855002207847547,0.8841264691214835
contrac,0.7128640627185507,0.7116495795992631,0.7099699963798336
credit-approval,0.8937640443030003,0.910382233172498,0.9098233126874921
cylinder-bands,0.7789145299145285,0.7800619658119643,0.7786645299145284
dermatology,0.9984601535484283,0.9986523941304088,0.9986606456501528
echocardiogram,0.8214646464646466,0.819877344877345,0.8181457431457434
ecoli,0.9592101497049846,0.9596649406212585,0.9594092561443776
energy-y1,0.9867796347705483,0.985541106545827,0.9848675509170339
energy-y2,0.9785833821116252,0.9786054928900452,0.9783620894110713
fertility,0.5604797979797981,0.5523989898989901,0.5507575757575759
flags,0.8039696702180454,0.8040190875730189,0.7913389375566611
glass,0.8609873233767227,0.861709781762183,0.859470781280113
haberman-survival,0.6917559523809528,0.6844568452380956,0.6835863095238098
hayes-roth,0.8477755521141936,0.8521308858515128,0.8361114384145794
heart-cleveland,0.8081713004096626,0.8053062869507533,0.80249704405022
heart-hungarian,0.8660310450956777,0.8652214639368391,0.8636023016191623
heart-switzerland,0.5866574069731825,0.5878744443916755,0.5795039790461733
heart-va,0.5929860164890243,0.5902236668771333,0.5835206398534208
hepatitis,0.8254439890710388,0.8175546448087435,0.8135587431693991
hill-valley,0.7632563256325657,0.7325886714083969,0.7068784106133401
horse-colic,0.8694599391480718,0.8670385395537513,0.8650481744421895
ilpd-indian-liver,0.7258476212542483,0.7252510040160651,0.7243763515600873
image-segmentation,0.9958657279869408,0.995811068841372,0.9957330593088174
ionosphere,0.9457813681027963,0.9448034769463337,0.9431689342403623
iris,0.9945066666666668,0.9960266666666667,0.9959466666666666
led-display,0.9481266459148099,0.9479787404924226,0.9477573171766864
lenses,0.8008417508417508,0.8167508417508418,0.7894781144781143
letter,0.9970530227375973,0.9970107103027315,0.9968261180488842
libras,0.9656834215167548,0.9657506613756613,0.9650297619047622
low-res-spect,0.9761203781731812,0.9756792879334975,0.9748835182292752
lung-cancer,0.619604938271605,0.6214455667789001,0.597425364758698
lymphography,0.8825420841806592,0.8819095382737029,0.8795871081233226
magic,0.9116812043174677,0.9077191925184424,0.9058269570459404
mammographic,0.8873373373373339,0.8865929883371708,0.8860971436552799
miniboone,0.9587844454714098,0.956730682633074,0.9559290392942991
molec-biol-promoter,0.8879191321499013,0.880128205128205,0.8755917159763311
molec-biol-splice,0.9769250442965702,0.9738105852778426,0.9709544255393561
monks-1,0.9498490416300039,0.9465314079671499,0.9349792108759019
monks-2,0.7801701903963986,0.7769520148505903,0.7722947776518322
monks-3,0.9806565023670265,0.9785401002506245,0.972190893901418
mushroom,0.9999999109952864,0.9999961242492856,0.9999952908415121
musk-1,0.9407911896826543,0.9377288315703036,0.9339733371975072
musk-2,0.9937242824485641,0.9926774240585508,0.9922862397576637
nursery,0.9991185278560246,0.9984229446859069,0.9979813035932437
oocytes_merluccius_nucleus_4d,0.8827073470713771,0.8755018332869163,0.8694067344286593
oocytes_merluccius_states_2f,0.9767109863671739,0.9768241358148727,0.9766449944716455
oocytes_trisopterus_nucleus_2f,0.8819787705956924,0.8807337874947208,0.8773222961554726
oocytes_trisopterus_states_5b,0.9762453783391641,0.9757519144568655,0.9752252080785216
optical,0.9993660397072451,0.9993337089783682,0.9993019162294074
ozone,0.8588613593284602,0.8580520203387803,0.8578271203778929
page-blocks,0.9884883716449439,0.9884023536591603,0.9883296297327305
parkinsons,0.946023592085237,0.9412290715372914,0.9333333333333338
pendigits,0.9994227073778185,0.9994127084086426,0.9994090753551857
pima,0.8274815920398022,0.8262000000000014,0.8248885572139314
pittsburg-bridges-MATERIAL,0.8967927019788725,0.8969609223291712,0.8954283169094952
