CAWPE(alpha=4),CAWPE(ConTie),CAWPE(RandTie)
0.6514233853679636 ,0.6585683535036945,0.6485011673712706
0.6432033286657056 ,0.6535284507676394,0.6400609930319824
0.6350636372841936 ,0.6470916082614426,0.6331893413991223
0.6372630823275235 ,0.6537013284785377,0.633349303113163
0.6439687488159448 ,0.6502309822842717,0.6441849712153299
0.6325130106716702 ,0.6392664141606148,0.6256600018088944
0.6453130225125577 ,0.6566297058321591,0.643132220239312
0.643173100391296 ,0.6553492471610407,0.6333337221625828
0.6514038089711286 ,0.6579749131555229,0.6496762581774107
0.6520845716971951 ,0.6592518774234355,0.6469003884062897
0.6533894961515762 ,0.65672951162321,0.6496409043814336
0.6507051406531669 ,0.6603623197859398,0.6477095501107971
0.6366784662900028 ,0.6430426694600541,0.6304594773015529
0.6387064643235765 ,0.648847023001677,0.6367456794787512
0.6446923194695288 ,0.6525786031200971,0.642287504321608
0.6475148318837806 ,0.6578978457894208,0.646350292746605
0.6473380589352372 ,0.6550567908136946,0.6434164892455867
0.6547633006309876 ,0.666089305335631,0.6546636952571564
0.6477436736228518 ,0.6507693922310213,0.6438823600648006
0.6295807380804039 ,0.6487065374758617,0.6259681393154305
0.6485064933100578 ,0.6561649690569157,0.6413090595180179
0.6491875526932961 ,0.6608987622705778,0.6458737700498168
0.6414108288025226 ,0.648026708376546,0.6395064048516517
0.6386043944132422 ,0.6486167505614636,0.6381734805242241
0.6525586298574806 ,0.660539192943093,0.6507314736899313
0.6388317052425614 ,0.6412234039764049,0.6398271616978738
0.6274284327545961 ,0.6372245665034325,0.6222442494636907
0.630692214278269 ,0.6404018590673513,0.6321880619306314
0.6332637477801598 ,0.6450259923126086,0.6278239928476372
0.6528066114410271 ,0.6608211978300843,0.6454021764260343
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
1.0 ,1.0,1.0
0.7627643742580696 ,0.7638989040264448,0.762126019311862
0.7620051989116334 ,0.762848491125986,0.7614917640322906
0.7679551971110046 ,0.7692291293641147,0.767329274749349
0.7650947353269499 ,0.7675570273532798,0.7646082154500294
0.7595415848579725 ,0.7606519772632304,0.7592579524158787
0.7597582269046823 ,0.7609417592052785,0.7592861894456321
0.7639113366109969 ,0.7658919362330296,0.7636007891664807
0.7655130763657987 ,0.7660265112451414,0.7649188964791888
0.7615897690967331 ,0.7617733466410662,0.7611494741127287
0.7591640470180725 ,0.7616359939896491,0.7584967272361243
0.7498215700707973 ,0.7520098846002803,0.749816742598174
0.7645916831988411 ,0.7644819733558336,0.7644301931843069
0.7618954890686258 ,0.7619224040710482,0.7619224040710482
0.7666827204698685 ,0.7688806899445984,0.765575105703916
0.7645731011143345 ,0.7654874833907073,0.7637442913178523
0.7578744439044043 ,0.7604416183011182,0.7566177717084696
0.7611633623092551 ,0.7628651569618176,0.7602268925030833
0.7602040771672973 ,0.7605049696665666,0.7598348722453131
0.768797167298026 ,0.7701076694988054,0.7683568723140216
0.7668627925689092 ,0.7686549871739856,0.7669214500463775
0.7626788017781793 ,0.7642584540031822,0.7627864617878687
0.7603635173485133 ,0.7622806320204545,0.7599356549490609
0.7670090723595859 ,0.769256044366537,0.7672119597944127
0.7599507315882751 ,0.7612612337890545,0.7598065016309166
0.7602027551399663 ,0.7628382419593953,0.7595940928354861
0.7602012995279921 ,0.7611695118092094,0.759719607123695
0.76386848357873 ,0.7638953985811524,0.7634454486519011
