folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Adiac,0.7307692307692307,0.7205128205128205,0.7333333333333333,0.7615384615384615,0.7307692307692307,0.7282051282051282,0.7435897435897436,0.7333333333333333,0.735897435897436,0.735897435897436,0.7589743589743589,0.7461538461538462,0.7435897435897436,0.7666666666666667,0.7589743589743589,0.7282051282051282,0.7384615384615385,0.735897435897436,0.7794871794871795,0.7307692307692307,0.7333333333333333,0.7435897435897436,0.7282051282051282,0.7102564102564103,0.7282051282051282,0.7333333333333333,0.7435897435897436,0.7512820512820513,0.7230769230769231,0.764102564102564
ArrowHead,0.8611111111111112,0.8888888888888888,0.8055555555555556,0.7777777777777778,0.8611111111111112,0.8055555555555556,0.8888888888888888,0.8333333333333334,0.75,0.8333333333333334,0.8055555555555556,0.75,0.8055555555555556,0.6666666666666666,0.6944444444444444,0.6666666666666666,0.8055555555555556,0.8055555555555556,0.8055555555555556,0.8055555555555556,0.8055555555555556,0.8611111111111112,0.8611111111111112,0.8055555555555556,0.75,0.8333333333333334,0.75,0.7777777777777778,0.8055555555555556,0.75
Beef,0.7333333333333333,0.8,0.7666666666666667,0.8,0.7,0.7,0.7,0.7666666666666667,0.6333333333333333,0.8333333333333334,0.8,0.8,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.6333333333333333,0.6666666666666666,0.9333333333333333,0.7666666666666667,0.7333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7666666666666667,0.6666666666666666,0.6666666666666666,0.7666666666666667,0.6666666666666666,0.8
BeetleFly,0.65,0.7,0.7,0.75,0.85,0.85,0.75,0.75,0.9,0.95,0.65,0.85,0.75,0.85,0.85,0.75,0.65,0.95,0.9,0.65,0.8,0.8,0.8,0.7,0.95,0.75,0.8,0.9,0.85,0.85
BirdChicken,0.65,0.8,0.8,0.8,0.6,0.85,0.7,0.9,0.95,0.9,0.8,0.85,0.75,0.75,0.8,0.85,0.65,0.9,0.85,0.7,0.8,0.6,0.8,0.9,0.85,0.75,0.85,0.9,0.9,0.8
Car,0.7833333333333333,0.8,0.7666666666666667,0.8333333333333334,0.7833333333333333,0.8666666666666667,0.8666666666666667,0.7333333333333333,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8333333333333334,0.8166666666666667,0.7833333333333333,0.8333333333333334,0.85,0.7666666666666667,0.8333333333333334,0.7833333333333333,0.9,0.8166666666666667,0.7333333333333333,0.85,0.8333333333333334,0.7166666666666667,0.8333333333333334,0.7166666666666667,0.8,0.85
CBF,0.9,0.8666666666666667,0.9666666666666667,1.0,0.9,0.9333333333333333,0.8666666666666667,0.9,0.9666666666666667,0.8666666666666667,0.9333333333333333,0.9333333333333333,0.8666666666666667,0.9,0.8666666666666667,0.9333333333333333,0.8666666666666667,0.8333333333333334,0.8,1.0,0.8,0.9,0.9,0.9,0.8,0.9333333333333333,0.9,0.9,0.9,0.9333333333333333
ChlorineConcentration,0.8244111349036403,0.8822269807280514,0.8843683083511777,0.8650963597430407,0.8501070663811563,0.8522483940042827,0.8758029978586723,0.8501070663811563,0.860813704496788,0.8779443254817987,0.8650963597430407,0.8586723768736617,0.8758029978586723,0.8586723768736617,0.8629550321199143,0.8522483940042827,0.8586723768736617,0.8758029978586723,0.8779443254817987,0.8586723768736617,0.8586723768736617,0.860813704496788,0.854389721627409,0.867237687366167,0.8693790149892934,0.860813704496788,0.8715203426124197,0.8501070663811563,0.8372591006423983,0.8907922912205567
CinCECGtorso,0.825,0.85,0.825,0.825,0.875,0.875,0.85,0.775,0.7,0.775,0.825,0.85,0.8,0.675,0.825,0.75,0.75,0.75,0.825,0.8,0.875,0.775,0.9,0.725,0.8,0.85,0.775,0.775,0.75,0.85
Coffee,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9285714285714286,0.9642857142857143,1.0,1.0,1.0,0.9642857142857143,1.0,1.0,1.0,1.0,1.0,0.9642857142857143,1.0,1.0,0.9642857142857143,1.0,1.0,1.0,1.0,1.0
