TRAINACCSTDDEVS:,CAWPE(ConTie),CAWPE(alpha=4),CAWPE(RandTie)
Adiac,0.015993690519537425,0.015363970822896828,0.015406458606764165
ArrowHead,0.06421221423919009,0.05704423085781083,0.059442564513547146
Beef,0.06720092439916414,0.06841575255711642,0.06985663114144337
BeetleFly,0.06486059321131851,0.09278574999588483,0.09972663785995484
BirdChicken,0.07273396651535972,0.09284766908852593,0.09298683629491826
Car,0.047883025838743924,0.04939286560237009,0.048132426945117525
CBF,0.05065345663645222,0.05140428991544737,0.05583454850853527
ChlorineConcentration,0.015244847737288639,0.014069746897380365,0.012247316494390911
CinCECGtorso,0.05147954621168411,0.05482469449469628,0.057366787219279326
Coffee,0.01646903704919335,0.017294078503982215,0.023259240292248455
Computers,0.025741062504305738,0.02912517574314302,0.03216309014718724
CricketX,0.023632503947854863,0.02379455293138792,0.024921226033426846
CricketY,0.020048721327927968,0.02125463845855035,0.023875085839968786
CricketZ,0.02196385660579345,0.024324591428930974,0.02788853206500914
DiatomSizeReduction,0.0302646373819689,0.0302646373819689,0.0302646373819689
DistalPhalanxOutlineAgeGroup,0.014379902961960584,0.014981789712464465,0.015543089901244256
DistalPhalanxOutlineCorrect,0.010715316498491083,0.010577965724850754,0.010287843264230562
DistalPhalanxTW,0.01172481404406125,0.012281422284627018,0.011347438821870426
Earthquakes,0.005247594856910364,0.005614994019380071,0.008423807146123067
ECG200,0.028098758511454887,0.028276142415206824,0.029164614049283753
ECG5000,0.007704007018294497,0.007977266549965294,0.007891214378523484
ECGFiveDays,0.05224050389769373,0.048977551997830084,0.06012972237248007
ElectricDevices,0.005857054701662329,0.00549556173081411,0.004682297386688503
FaceAll,0.010525150558368805,0.01067933544229659,0.010848401167074044
FaceFour,0.05748563038837991,0.06350563877177351,0.06540960439707508
FacesUCR,0.027084902695468337,0.027610280444191386,0.027024892739587473
FiftyWords,0.018296394537510096,0.018122613464231534,0.01783213274227777
Fish,0.02064864181084118,0.022193992547176862,0.02309888583588003
FordA,0.006008948020935412,0.006351871184927816,0.0059536409121654634
FordB,0.008255060051439049,0.007980042316749656,0.008193916254649642
GunPoint,0.034713937709000504,0.03341828255903349,0.03286335345030995
Ham,0.031865870492132464,0.032675310384141294,0.0336166078299681
HandOutlines,0.005031509907972262,0.005238671411810403,0.005071443604131382
Haptics,0.030681534918822796,0.029067255303749377,0.03210568384434583
Herring,0.05136265040903,0.05221606649848983,0.05937783568546143
InlineSkate,0.055791071670661774,0.05965032204054082,0.0619640236741051
InsectWingbeatSound,0.0388956509566543,0.040221198970008004,0.039263912087800064
ItalyPowerDemand,0.01705511832010047,0.01835665372711576,0.018797717311116492
LargeKitchenAppliances,0.019507289792400687,0.020826155085185167,0.021133934023395574
Lightning2,0.035580391230313514,0.035652107889083726,0.03955774026426201
Lightning7,0.05367341141252113,0.054926218825133606,0.055147851088769774
Mallat,0.024571950558532667,0.024385679137814573,0.026412774442445594
Meat,0.010107973914385384,0.0103575911044311,0.0103575911044311
MedicalImages,0.018283272770271232,0.019039401495026212,0.019758012789539328
MiddlePhalanxOutlineAgeGroup,0.01930621363855354,0.02100646452224023,0.020775379161650554
MiddlePhalanxOutlineCorrect,0.011469878370496,0.010336608058536955,0.01024305514968504
MiddlePhalanxTW,0.016704620311175734,0.01465732619338256,0.012875463655949614
MoteStrain,0.07483698759733501,0.0782164694418894,0.08110231936816942
NonInvasiveFetalECGThorax1,0.005239949802447516,0.005526135383058275,0.005743438578374609
NonInvasiveFetalECGThorax2,0.0036791651992097974,0.003964374129575911,0.003959897239845345
OliveOil,0.04264558866329944,0.05080451101741881,0.049891325064890024
