folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Adiac,0.9722875256994788,0.9760321964088273,0.9813615272169901,0.9747158398038238,0.9751301225661967,0.9780006591426651,0.9773898103543514,0.9821964251191447,0.979355835691346,0.9777331096972796,0.9832125520661062,0.9788642431741957,0.9812023352586747,0.9816531016077196,0.9775266226213019,0.9780110664152017,0.9779158365085027,0.9793748620713152,0.9811105655536762,0.9761638575987451,0.9754607135647905,0.9792479359732517,0.9773335107896541,0.970590043980935,0.9809210344527127,0.9755237762106183,0.9826821903324675,0.9777556701350348,0.97733888556593,0.9828808433255711
ArrowHead,0.9375,0.9814814814814815,0.8518518518518519,0.9039351851851851,0.9583333333333333,0.8969907407407407,0.9351851851851851,0.9247685185185184,0.9085648148148148,0.9502314814814814,0.9409722222222222,0.8611111111111109,0.9675925925925926,0.8344907407407407,0.849537037037037,0.7824074074074074,0.9027777777777778,0.9606481481481481,0.9525462962962963,0.9305555555555556,0.9525462962962963,0.9155092592592592,0.9699074074074073,0.9131944444444444,0.9085648148148149,0.9467592592592593,0.9143518518518517,0.9166666666666666,0.9351851851851851,0.9282407407407407
Beef,0.963888888888889,0.9555555555555557,0.8805555555555555,0.9263888888888889,0.8791666666666668,0.8666666666666667,0.9416666666666667,0.8861111111111111,0.8208333333333333,0.9388888888888889,0.9125,0.9736111111111111,0.9208333333333334,0.8500000000000001,0.9125000000000001,0.8902777777777778,0.9111111111111112,0.8375,0.9847222222222223,0.9222222222222223,0.9430555555555555,0.8569444444444444,0.951388888888889,0.8750000000000001,0.8444444444444446,0.8805555555555555,0.8583333333333333,0.8805555555555556,0.8569444444444444,0.8625
BeetleFly,0.75,0.8,0.82,0.7999999999999999,0.9600000000000001,0.94,0.84,0.8599999999999999,0.92,0.9500000000000001,0.7699999999999999,0.8699999999999999,0.8899999999999999,0.9299999999999999,0.9500000000000001,0.8,0.76,0.99,0.9199999999999999,0.82,0.92,0.76,0.96,0.7999999999999999,0.9400000000000001,0.8799999999999999,0.9099999999999999,0.97,0.98,0.8899999999999999
BirdChicken,0.7799999999999999,0.7999999999999999,0.81,0.9500000000000001,0.71,0.9,0.83,0.96,0.99,0.86,0.8099999999999999,1.0,0.7799999999999999,0.78,0.89,0.8,0.7,0.8600000000000001,0.7899999999999999,0.77,0.98,0.6599999999999999,0.82,0.9,0.8999999999999999,0.8,0.9400000000000001,0.84,0.9400000000000001,0.83
Car,0.9290172728710935,0.9636953301405129,0.9146583897829745,0.9703680732335218,0.9391444104068689,0.9690395291308912,0.952452862751866,0.9272599631818901,0.9591214709985474,0.9601328903654485,0.9531845507759129,0.9675105348693388,0.9592897412664856,0.9496010772173563,0.934388797802419,0.9412957889286794,0.9616525362787822,0.9429926939063151,0.9630846313155282,0.9441087428628956,0.971478908688211,0.9469797644216249,0.9121012569932836,0.9843129323611051,0.9560226733399491,0.9275130876875062,0.9150193798449612,0.9130177546705786,0.9316725633170816,0.9648097611137478
CBF,0.9822727272727273,0.9817508417508417,0.9914814814814814,1.0,0.9827777777777778,0.9983333333333333,0.9725757575757575,0.9903030303030302,0.9966666666666666,0.9756060606060607,0.9775757575757575,0.9822727272727273,0.9550000000000001,0.9787878787878788,0.9824242424242424,0.9852693602693602,0.9643602693602693,0.9483501683501683,0.9550000000000001,1.0,0.9440909090909091,0.9468181818181818,0.9824242424242424,0.9853030303030303,0.947912457912458,0.9983333333333333,0.9727272727272727,0.9931481481481481,0.9654545454545455,0.9904545454545454
ChlorineConcentration,0.9510874494244175,0.9481537543061036,0.9710708162821242,0.9572783649761338,0.9293062909379388,0.9615056053495755,0.9542187070114102,0.9477231310517422,0.9539866309019319,0.9593095332865504,0.947322957130474,0.9581710772883698,0.9663194853818962,0.9621814907334785,0.95874942322229,0.9587694446832581,0.9457592987124711,0.955301263117641,0.9651933394102654,0.9552119672616433,0.9571018669602515,0.9558390666299558,0.9655146861135081,0.9586811697834957,0.9529299160141382,0.9492277078742823,0.9597102020642754,0.9556182500788383,0.9458554440964122,0.9759672985443206
CinCECGtorso,0.9472552910052912,0.9876190476190476,0.9235846560846561,0.9351785714285714,0.9498214285714285,0.9846362433862433,0.955297619047619,0.9294179894179894,0.9137169312169312,0.9220701058201058,0.956031746031746,0.9583796296296296,0.9531084656084656,0.9215079365079364,0.9600661375661376,0.9304761904761905,0.9200132275132273,0.9056679894179893,0.9428769841269842,0.9357605820105821,0.9497619047619048,0.8999537037037036,0.9444576719576719,0.9297751322751323,0.94630291005291,0.9374801587301587,0.9507936507936509,0.922771164021164,0.9159920634920635,0.9704365079365078
Coffee,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9795918367346939,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9948979591836735,1.0,1.0,1.0,1.0,1.0
Computers,0.7008000000000003,0.7219840000000003,0.7150720000000004,0.7295360000000002,0.7169920000000002,0.7268480000000003,0.6789760000000001,0.7038080000000003,0.6794880000000001,0.7019520000000005,0.6760960000000004,0.7313920000000004,0.6912640000000003,0.6819840000000003,0.6986240000000002,0.6817280000000002,0.7276800000000002,0.6617600000000001,0.7198080000000004,0.6931200000000003,0.6790400000000003,0.6776320000000003,0.6599040000000002,0.7033600000000003,0.6531200000000001,0.6883200000000003,0.6771200000000002,0.6102400000000001,0.6587520000000001,0.7312000000000003
CricketX,0.9264842416875759,0.9234704572005235,0.9264017019229882,0.9119927510335059,0.9221035536654408,0.9159675301381078,0.9149087885101008,0.920509304507482,0.9127190644051324,0.9171879821975836,0.9093353249457155,0.92405924754468,0.9034583450187419,0.9178406786493497,0.924011251473329,0.9219516653515413,0.9207809729497239,0.926209666156879,0.9388353944754583,0.9083359680354317,0.9241331617278973,0.9238616357674695,0.929909959905566,0.9025587810580115,0.9220085433737653,0.9211480601210593,0.9225246900630091,0.9206297809661671,0.9189315350504349,0.9187826535742003
CricketY,0.9277049477502803,0.9327646961902984,0.9169097090662206,0.9297618683323011,0.9281260157248402,0.9285271845999505,0.9415224903460709,0.9178626042725464,0.9225641309658519,0.9281926510475631,0.9338497589104787,0.9263525541776028,0.9269831426492858,0.9240483011788068,0.9253165990977633,0.9295515664832954,0.9297151309216535,0.9287997086001891,0.9264560638589886,0.932931339839569,0.9220251467350904,0.9202969055968272,0.9257313061833493,0.9348047566428066,0.9280165417564082,0.9231112999988047,0.923919462073938,0.929446329341131,0.9296465175296759,0.9333837122236073
CricketZ,0.917833738968675,0.9107050081821693,0.9146437907353295,0.9150424141938416,0.9073398823235471,0.9133636984228762,0.9161060851065796,0.9130405630721633,0.9169162633957256,0.9293216572510758,0.9074962327797675,0.9143573351342044,0.9142896570259164,0.9061437535532987,0.933413858867917,0.9224930715575237,0.9207339064522715,0.8969198151915961,0.9181647630115086,0.9013134790517681,0.9131646935026939,0.9202878173293068,0.9151747159525614,0.919167400673879,0.9221320128597527,0.918290312504269,0.9041335567223394,0.9167379975756611,0.926128099181801,0.9148859556330957
DiatomSizeReduction,0.9246212121212121,0.896590909090909,0.9359848484848485,0.9261363636363636,0.9147727272727273,0.9303030303030303,0.9204545454545454,0.9261363636363636,0.9261363636363636,0.9359848484848485,0.9416666666666667,0.9115530303030303,0.9261363636363636,0.9318181818181819,0.9318181818181819,0.9375,0.9359848484848485,0.9147727272727273,0.9303030303030303,0.9416666666666667,0.9261363636363636,0.9375,0.9204545454545454,0.9359848484848485,0.9416666666666667,0.9255681818181818,0.9090909090909091,0.8960227272727272,0.9303030303030303,0.9303030303030303
DistalPhalanxOutlineAgeGroup,0.9219943500797145,0.9189336665312263,0.912253392454611,0.913309774931725,0.9362846137053445,0.9300341938878511,0.9161737731615769,0.9244089103052507,0.9357171090280836,0.9176795854112912,0.9192198063966346,0.9176609311914178,0.9035020240142181,0.9240274121066794,0.9200320546296146,0.9245480620236708,0.9204039696295782,0.9305997749778225,0.932749908627956,0.9044705116900228,0.924973003101051,0.915981256383694,0.9303048991219713,0.9141364566547481,0.9245455688016653,0.918871530414212,0.925371517902005,0.912657059321692,0.9175335544481877,0.9174992153528729
DistalPhalanxOutlineCorrect,0.9140330806997535,0.9106249106249165,0.902187902187908,0.9058582391915783,0.9141403308070033,0.8943467276800673,0.9116378283045017,0.9089327422660809,0.900817484150824,0.9103984937318335,0.9036536536536591,0.9067400734067457,0.8993278993279052,0.8858501358501422,0.9078483245149972,0.9024739024739076,0.8968015634682365,0.9185852519185911,0.8936198102864831,0.9075146575146635,0.9138304971638362,0.9027956527956583,0.9272725106058508,0.8944063110729839,0.8861838028504757,0.8993159826493224,0.9153081653081703,0.8976714810048205,0.901735068401741,0.9094332427665821
DistalPhalanxTW,0.9602653486168256,0.96569701429575,0.94891018093598,0.9602432088713894,0.957946362913793,0.9484204216906482,0.9573379582819583,0.9558361407239564,0.953689163944188,0.9622909589437734,0.9560444825818347,0.9610627108438743,0.9611554745537336,0.965122216103723,0.9580221544578995,0.9575365332569423,0.9617371631113527,0.9509735450808037,0.9592848845635225,0.957451948920606,0.95683725127915,0.9598080520931842,0.9568516560948805,0.9639911291357344,0.9555151143206629,0.9621554783675583,0.963730519197514,0.960889910390753,0.9530471299681518,0.9567695766576945
Earthquakes,0.6693443051201678,0.6827324973876704,0.6477925809822366,0.6495559038662493,0.5733411703239294,0.7129702194357371,0.6904388714733548,0.605668756530826,0.6543234064785795,0.5817006269592482,0.6441353187042846,0.7025208986415887,0.6827324973876702,0.7360240334378271,0.7307340647857894,0.6967737722048073,0.6786833855799378,0.6527560083594571,0.6146159874608155,0.6387147335423203,0.5972439916405439,0.6682340647857895,0.6746995820271686,0.6507314524555907,0.720741901776385,0.6521682340647864,0.6955329153605021,0.6520376175548594,0.6726750261233025,0.6409352142110768
ECG200,0.9476390836839641,0.9410939691444588,0.9438990182328186,0.9495091164095364,0.8901355773726032,0.9107059373539025,0.9368863955119203,0.923796166432912,0.9406264609630661,0.9640018700327242,0.9410939691444589,0.951846657316502,0.9424964936886391,0.9630668536699383,0.8971482000935008,0.9364188873305271,0.9611968209443662,0.9635343618513317,0.9354838709677409,0.9583917718560062,0.9597942964001862,0.9139784946236548,0.9457690509583905,0.906498363721364,0.9640018700327249,0.933613838242168,0.9453015427769982,0.9163160355306207,0.9579242636746137,0.9186535764375865
ECG5000,0.9899168837803412,0.9840289056292516,0.9875157558681034,0.9873769832905707,0.9868781887809734,0.9890331318668684,0.9893243614721512,0.986670293433752,0.9874331383603817,0.9884868948521351,0.9844515383664516,0.9948438821598112,0.987794190540163,0.984273216829053,0.9863028032092898,0.9929249332081418,0.992731619745627,0.9864513968423724,0.9883332483891409,0.9865594173770976,0.9912203103627569,0.9936999812190327,0.987941968119259,0.9863469055678279,0.9875464092349597,0.9916197756311675,0.9913102744912017,0.9827785744543277,0.987028339545622,0.9857021790807374
ECGFiveDays,0.8650793650793651,0.9285714285714286,0.9920634920634921,1.0,0.9444444444444445,0.9206349206349207,1.0,0.880952380952381,0.9047619047619048,0.8968253968253969,0.9365079365079365,0.9603174603174603,0.9365079365079365,0.9047619047619049,0.9206349206349207,0.9523809523809524,0.9841269841269842,0.9523809523809523,0.9523809523809523,1.0,0.896825396825397,0.9761904761904763,0.9285714285714286,0.9841269841269842,0.9682539682539684,1.0,0.9365079365079366,0.9761904761904763,0.9285714285714286,1.0
ElectricDevices,0.9737868497296766,0.9646046857289924,0.9634851416038934,0.9639600466952238,0.9651356486863286,0.9663081070679936,0.9645030986696863,0.9640578780799884,0.9649985520016997,0.9642765512063562,0.9636392953690485,0.9645595960275055,0.9654424507508442,0.9644886386651933,0.964852435486208,0.9625591308299308,0.9633634968932653,0.9653265617522725,0.964040084794351,0.9632658639101219,0.9642923242984637,0.9647994252985648,0.9650322124988863,0.9637093828240267,0.964043402277819,0.9636477377208844,0.9650474130019133,0.9635958289220419,0.9616219393499725,0.9646273149228451
FaceAll,0.9904464285714287,0.9871531593406595,0.9884168956043956,0.9870260989010988,0.9874587912087912,0.9900824175824177,0.9897458791208791,0.9927644230769233,0.9892307692307694,0.991081730769231,0.9858928571428572,0.9900686813186814,0.9901064560439561,0.9878777472527474,0.9897905219780219,0.9915041208791209,0.9930013736263735,0.9905975274725276,0.9897149725274725,0.9894093406593407,0.9887980769230769,0.9887946428571429,0.9942067307692308,0.991407967032967,0.9871771978021979,0.988379120879121,0.9857039835164836,0.9901030219780221,0.9864182692307693,0.9885096153846155
FaceFour,0.9648470133667502,0.9868551587301587,0.9209808375104427,0.9925986842105263,1.0,0.9947916666666666,0.9910257414369257,0.8790987886382623,0.9899945175438596,1.0,0.9814379699248121,0.9934275793650794,0.9675425543024226,1.0,0.9888327589807853,0.9928075396825397,0.9851973684210527,0.9492938074352548,0.9934210526315789,0.9794407894736842,0.9899945175438596,0.9626540309106099,0.9686847326649958,0.9904057017543859,0.9754855889724312,1.0,0.9675229741019215,0.965049342105263,0.9930098684210527,0.9825932017543859
FacesUCR,0.9783452596604619,0.9712964311284605,0.9659866856698375,0.9467735307265515,0.9667346099908447,0.9664120072799471,0.9734886758482116,0.9574714212348634,0.9538646811203216,0.9445892946967431,0.9658995673303288,0.9580399519089694,0.9622313523910629,0.9684565451415751,0.9541095718845651,0.9629056958820299,0.9743392533491366,0.9624156305692965,0.9538010055802036,0.9717485530083988,0.9665317407916807,0.967536261436041,0.9560570206078487,0.9661358128977175,0.9687591064467171,0.9566042929115458,0.9587682391281794,0.964095177020654,0.9584918459093846,0.9687960210257767
FiftyWords,0.949718860896398,0.9559293586250652,0.9543830280038664,0.9416344331046668,0.9482905114471907,0.9507484881649839,0.9542073697929375,0.9523362514529053,0.9540751510637807,0.9573215235215718,0.9446142758410766,0.9459639434083653,0.9534719453571255,0.9464637100215895,0.95120812692047,0.9494742229562492,0.9546771144983385,0.9593039767188698,0.9528370551965213,0.9543071118384955,0.9517289376940637,0.9543695414515261,0.9451267492845525,0.9512033978731058,0.9496463685394139,0.9525624942260486,0.9412015121192421,0.9399027798954205,0.960767889471055,0.9448680768985959
Fish,0.9690364116220881,0.9740298695915798,0.9705617568564948,0.9739315594845392,0.9665230496184644,0.9680562437613415,0.9790922865604594,0.9852364524414605,0.9781404414335536,0.9771185613871918,0.9858298458672815,0.9763207380049553,0.9802775193136031,0.9694222918395401,0.9665794024515877,0.9773429517959018,0.9800260528837468,0.9830998524608134,0.9831268261812409,0.974580449882966,0.9794038059024999,0.981394822296855,0.974000350351361,0.9797191817463207,0.9736270964738492,0.9681984884508438,0.9718313534844776,0.9694924951705891,0.96984779795529,0.9810737212029411
FordA,0.8996231167412265,0.9074719189562267,0.902104805030066,0.9032070573782548,0.8991835739398203,0.9044852503140861,0.9030295734521252,0.9006111620412978,0.9106416275430534,0.9013204804104208,0.9030724782620938,0.8992533328394808,0.9042645529102892,0.9016032200214373,0.9023912486534544,0.8958425547808156,0.9010991656712297,0.9047877446577502,0.9067465498668266,0.9050501122007237,0.900765187222409,0.895974355887698,0.8989276884184961,0.8973078003414022,0.9044864849848762,0.8987733545696875,0.9101783173289305,0.9038527902016698,0.8971871112716346,0.9011488611705455
FordB,0.9203468589557541,0.8833418095515098,0.888843177855297,0.890405223772181,0.8892681996512867,0.8877827424198619,0.8894304586845139,0.8887124019180699,0.8926538433595115,0.8845551196357874,0.8885071563499212,0.8827835900416767,0.8959871161484287,0.8902832267751851,0.8895367141335108,0.8829982199942107,0.88579446381868,0.8938653371113277,0.8849071854112404,0.8796873486389835,0.8838158723239596,0.8893466046692085,0.8950928751332209,0.8874727550130999,0.8873265402499496,0.89236837644098,0.8857944638186804,0.8883336965998484,0.8861601520875939,0.8943348590526238
GunPoint,0.9967948717948717,0.9743589743589742,1.0,0.9759615384615383,0.9919871794871795,0.9967948717948718,0.9695512820512819,0.9727564102564101,0.9663461538461537,0.9903846153846153,0.9935897435897436,0.9983974358974359,0.9935897435897436,0.9663461538461537,0.9983974358974359,0.9663461538461537,0.985576923076923,0.9823717948717947,0.9919871794871794,0.9903846153846153,0.9583333333333333,0.9887820512820513,0.9951923076923077,0.9823717948717948,0.9647435897435896,0.9839743589743589,0.9935897435897436,0.9967948717948718,1.0,0.9951923076923076
