folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Adiac,0.9723486271023962,0.9751109552257825,0.9824530228676899,0.9747485355226744,0.9749337458333089,0.9779803275634504,0.977398632222497,0.9831945493066045,0.9801245287301348,0.9777198446864241,0.9843319152684363,0.9794139288785619,0.9812023352586747,0.9821919481806645,0.9780435766026518,0.9784431615069062,0.9779997610107634,0.9795777041739184,0.9808320924779331,0.9761159147557666,0.9751829401788539,0.9792479359732517,0.977325650741317,0.9710370351713048,0.9807780549185416,0.9763909056781305,0.9826821903324675,0.978729581653058,0.9766690628105981,0.9820261479801813
ArrowHead,0.9375,0.962962962962963,0.8472222222222223,0.9016203703703702,0.9560185185185184,0.8969907407407407,0.9409722222222222,0.9247685185185185,0.9085648148148148,0.9479166666666666,0.9409722222222221,0.8900462962962963,0.9386574074074074,0.8379629629629629,0.8449074074074074,0.7858796296296295,0.9027777777777778,0.962962962962963,0.9513888888888888,0.9201388888888888,0.9247685185185184,0.9131944444444444,0.962962962962963,0.912037037037037,0.9085648148148149,0.9363425925925924,0.9143518518518517,0.9166666666666667,0.9305555555555556,0.9259259259259259
Beef,0.9291666666666667,0.9444444444444444,0.8805555555555555,0.9055555555555556,0.8430555555555556,0.8722222222222222,0.9305555555555556,0.8819444444444444,0.8125,0.9166666666666667,0.9,0.9583333333333333,0.8875000000000001,0.8486111111111112,0.8805555555555555,0.8972222222222224,0.8652777777777777,0.8402777777777778,0.973611111111111,0.9208333333333334,0.9027777777777779,0.8638888888888888,0.8763888888888889,0.8652777777777777,0.8458333333333334,0.8791666666666667,0.8291666666666667,0.8805555555555556,0.861111111111111,0.8625
BeetleFly,0.71,0.79,0.8,0.78,0.97,0.94,0.82,0.8599999999999999,0.92,0.9500000000000001,0.65,0.8599999999999999,0.85,0.9099999999999999,0.9099999999999999,0.75,0.77,0.99,0.9199999999999999,0.7899999999999999,0.86,0.76,0.84,0.69,0.9400000000000001,0.82,0.9099999999999999,0.97,0.96,0.82
BirdChicken,0.74,0.8099999999999999,0.82,0.8799999999999999,0.6799999999999999,0.86,0.82,0.96,0.99,0.85,0.8099999999999999,0.9299999999999999,0.76,0.7899999999999999,0.85,0.8,0.67,0.8500000000000001,0.7999999999999999,0.73,0.8899999999999999,0.72,0.79,0.89,0.88,0.79,0.8999999999999999,0.84,0.96,0.83
Car,0.9290172728710935,0.9396734909608663,0.9146583897829745,0.9694084293336784,0.941082394902993,0.9708561648760985,0.952452862751866,0.9163836993571212,0.9550355237232315,0.9574461391321858,0.9439888323193972,0.9560963814701355,0.9572920711625031,0.9454158936301793,0.9282909781248652,0.9364732996792797,0.9540307560656399,0.9387546561965167,0.9539565086076714,0.9398514691288777,0.971478908688211,0.9480950942744962,0.9043356560383138,0.9643074671729156,0.9560226733399491,0.9268671527807739,0.9092969323035769,0.9130177546705786,0.9205865009851721,0.959187628539788
CBF,0.9872727272727273,0.9817508417508417,0.9914814814814814,1.0,0.978148148148148,0.9949999999999999,0.9742424242424242,0.9807575757575757,0.9966666666666666,0.9756060606060606,0.9775757575757575,0.9837878787878789,0.9768181818181818,0.9737878787878788,0.9824242424242424,0.9867845117845118,0.9596969696969697,0.9518686868686868,0.9550000000000001,1.0,0.917878787878788,0.9468181818181818,0.983939393939394,0.9853030303030303,0.9475084175084176,0.9949999999999999,0.9710606060606062,0.9931481481481481,0.9654545454545455,0.9887878787878788
ChlorineConcentration,0.9399362284276527,0.9388353543691783,0.963107102028448,0.9509868788212397,0.9247963837243743,0.9515166247042328,0.9485789887562337,0.9381608792632172,0.9430150506687816,0.9483493826793172,0.9398257876889444,0.9525546194902149,0.9576126610529134,0.9491740349150863,0.952145040777917,0.9462330283870645,0.9369105872798071,0.9461374969304792,0.9586318449976587,0.9489629610078568,0.9489077506725665,0.9418576383157543,0.9577038182082208,0.9488428828452159,0.9427981263116493,0.9365038854715534,0.9521607877273638,0.9491183201221179,0.9363991485673555,0.969790859432726
CinCECGtorso,0.9401653439153439,0.9671693121693121,0.90744708994709,0.9351785714285714,0.9460978835978836,0.9713690476190476,0.9526851851851851,0.9248875661375662,0.9068981481481481,0.9105291005291005,0.9465542328042329,0.9583796296296296,0.9532870370370371,0.8983730158730159,0.9582473544973544,0.9224867724867725,0.9182738095238094,0.894239417989418,0.9401917989417989,0.9232804232804233,0.9404365079365078,0.8963822751322751,0.9444576719576719,0.9149999999999999,0.9373544973544974,0.9302777777777778,0.9227380952380952,0.9185052910052909,0.9032804232804232,0.9556349206349206
Coffee,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9795918367346939,0.9948979591836735,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9948979591836735,1.0,1.0,1.0,1.0,1.0
