folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Adiac,0.6981354231354231,0.6954782454782457,0.724869424869425,0.7433654183654185,0.7057507057507056,0.7141981891981893,0.7172249672249672,0.7147128397128398,0.7148628398628397,0.7228306978306979,0.7393501393501395,0.720933495933496,0.7254979254979257,0.7403653403653403,0.742797667797668,0.7091449091449092,0.7138229638229642,0.7167817917817918,0.76462433962434,0.7047925047925048,0.7098022848022849,0.7194850944850945,0.707866307866308,0.6841802341802341,0.7022323772323772,0.7210672960672961,0.7158252408252408,0.727950277950278,0.6978057228057228,0.7485553485553484
ArrowHead,0.861111111111111,0.8888888888888888,0.8055555555555557,0.7777777777777778,0.8611111111111112,0.8055555555555557,0.888888888888889,0.8333333333333334,0.75,0.8333333333333334,0.8055555555555557,0.75,0.8055555555555555,0.6666666666666666,0.6944444444444443,0.6666666666666666,0.8055555555555557,0.8055555555555555,0.8055555555555555,0.8055555555555557,0.8055555555555555,0.8611111111111112,0.861111111111111,0.8055555555555555,0.75,0.8333333333333334,0.75,0.7777777777777777,0.8055555555555555,0.75
Beef,0.7333333333333334,0.8,0.7666666666666667,0.8,0.7,0.7,0.7,0.7666666666666668,0.6333333333333334,0.8333333333333334,0.8,0.8,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.6333333333333333,0.6666666666666667,0.9333333333333333,0.7666666666666666,0.7333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7666666666666667,0.6666666666666666,0.6666666666666667,0.7666666666666666,0.6666666666666667,0.8
BeetleFly,0.6499999999999999,0.7,0.7,0.75,0.85,0.8500000000000001,0.75,0.75,0.9,0.95,0.6499999999999999,0.8500000000000001,0.75,0.8500000000000001,0.8500000000000001,0.75,0.6499999999999999,0.95,0.9,0.6499999999999999,0.8,0.8,0.8,0.7,0.95,0.75,0.8,0.9,0.8500000000000001,0.8500000000000001
BirdChicken,0.6499999999999999,0.8,0.8,0.8,0.6,0.85,0.7,0.9,0.95,0.9,0.8,0.8500000000000001,0.75,0.75,0.8,0.8500000000000001,0.6499999999999999,0.9,0.8500000000000001,0.7,0.8,0.6,0.8,0.9,0.8500000000000001,0.75,0.8500000000000001,0.9,0.9,0.8
Car,0.7693850267379678,0.7859291443850267,0.7413937165775402,0.8091577540106951,0.780163770053476,0.8546122994652408,0.863552807486631,0.7252673796791443,0.8653910427807487,0.8573696524064172,0.8564505347593583,0.8555314171122995,0.8242814171122995,0.811413770053476,0.7792446524064172,0.8029745989304813,0.8337232620320856,0.7413937165775402,0.8403241978609626,0.7783255347593583,0.8849431818181819,0.8043114973262032,0.7048796791443851,0.8318850267379678,0.8171791443850267,0.6750501336898396,0.8252005347593583,0.667028743315508,0.7868482620320856,0.8417446524064172
CBF,0.8833333333333333,0.8555555555555555,0.9666666666666667,1.0,0.8972222222222221,0.9305555555555555,0.8416666666666667,0.8833333333333333,0.9666666666666667,0.85,0.9249999999999999,0.9249999999999999,0.8833333333333333,0.8833333333333333,0.8416666666666667,0.9249999999999999,0.8416666666666667,0.8083333333333332,0.775,1.0,0.7583333333333333,0.8916666666666666,0.8888888888888888,0.8833333333333333,0.7722222222222221,0.9249999999999999,0.875,0.8972222222222221,0.8916666666666666,0.9166666666666666
ChlorineConcentration,0.768662211410303,0.8350056487862836,0.8507960054766001,0.8136128636329519,0.7938840544304586,0.8041539060020377,0.8334059360576034,0.8043596954806276,0.8296288774392431,0.8409377328622005,0.8057016194822543,0.8009721406667972,0.8330142247378084,0.8153165748585596,0.832944565367225,0.809848068988286,0.8046672759408798,0.8273200617515605,0.8295050113049309,0.8121868087717825,0.8197507371874587,0.8173278665444194,0.8199442626923542,0.8227963724146931,0.8251549798355744,0.808677595338905,0.8253409016767795,0.8052723804029549,0.7799909344706452,0.8551781685570355
CinCECGtorso,0.7541666666666667,0.8083333333333333,0.7964743589743589,0.7557692307692307,0.7791666666666667,0.8583333333333334,0.8141025641025641,0.6583333333333334,0.6891025641025641,0.6891025641025641,0.7891025641025642,0.7833333333333333,0.7391025641025641,0.6032051282051283,0.7891025641025642,0.6375,0.6740384615384616,0.6682692307692308,0.8256410256410257,0.7432692307692308,0.8583333333333334,0.7006410256410257,0.8833333333333333,0.6698717948717949,0.7375,0.7583333333333333,0.7182692307692309,0.6932692307692307,0.6698717948717949,0.8083333333333333
Coffee,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9285714285714286,0.9642857142857143,1.0,1.0,1.0,0.9642857142857143,1.0,1.0,1.0,1.0,1.0,0.9642857142857143,1.0,1.0,0.9642857142857143,1.0,1.0,1.0,1.0,1.0
Computers,0.5920000000000001,0.6160000000000001,0.612,0.6719999999999999,0.6439999999999999,0.64,0.64,0.6519999999999999,0.612,0.6439999999999999,0.6559999999999999,0.6519999999999999,0.6080000000000001,0.6439999999999999,0.5800000000000001,0.6,0.612,0.5680000000000001,0.612,0.624,0.604,0.5880000000000001,0.636,0.636,0.6000000000000001,0.616,0.6080000000000001,0.532,0.612,0.628
CricketX,0.6548119806634364,0.5775111459870856,0.6290238922484815,0.5868224700915536,0.6341541244694541,0.6130540415871047,0.62223800622835,0.5660771268091543,0.5797407941181348,0.5919695754942332,0.5929262032067238,0.6027990563325878,0.5697170326926645,0.5891476335690005,0.6220097831745607,0.5724895763009444,0.5796048387630269,0.6254544100131504,0.6251958959254476,0.5599221367711394,0.5952941118971737,0.6042598675445974,0.6410642731104361,0.5862036482245107,0.6038752409862364,0.6070953670594866,0.6062583511110634,0.6168606046249901,0.5920504964086643,0.6146384704589976
