TRAINACCSTDDEVS:,CAWPE(ConTie),CAWPE(alpha=4),CAWPE(RandTie)
Adiac,0.015831031750060814,0.016534308601103265,0.018839019964187645
ArrowHead,0.05414066736940173,0.054296068048563795,0.05466236004591915
Beef,0.06341696434345431,0.06401827644531971,0.07201709744493567
BeetleFly,0.08354570639758373,0.09071871393197359,0.09773292248741482
BirdChicken,0.07427813527082072,0.08874929172454954,0.10063019815944513
Car,0.04343562932978623,0.049311997042937816,0.04665024341552753
CBF,0.05059038419680242,0.054491730189119805,0.053199064703365766
ChlorineConcentration,0.016369155113025405,0.019917350508449123,0.018083849601246895
CinCECGtorso,0.04138409933973338,0.04639287499794244,0.06070112385105907
Coffee,0.015506160194832305,0.017294078503982218,0.01860108784864956
Computers,0.026795436221469703,0.0319542776802882,0.029617019027781185
CricketX,0.02430967446630839,0.023760227887583803,0.025377960885043706
CricketY,0.02238525293234156,0.020342833839756685,0.025056858720921654
CricketZ,0.03177749256441913,0.03319088108269692,0.03532446610555975
DiatomSizeReduction,0.02542738138578039,0.03255190373513674,0.03255190373513674
DistalPhalanxOutlineAgeGroup,0.014439728083535242,0.014971236790408547,0.013770491522876332
DistalPhalanxOutlineCorrect,0.014683658739289148,0.014358238186888316,0.014218689695393714
DistalPhalanxTW,0.011365467459577405,0.011404589215417357,0.0108810839765966
Earthquakes,0.003952209871304445,0.012420575298334041,0.015962714862680732
ECG200,0.029417720830318846,0.0368111052708876,0.03811808633374879
ECG5000,0.007849445401010702,0.007806864059068874,0.007942610242940544
ECGFiveDays,0.05201124065577709,0.05976727348631746,0.0579210179207164
ElectricDevices,0.003953802606995585,0.0036860421577661413,0.003973455546720457
FaceAll,0.013385123656648696,0.013836852241160253,0.011987958468913897
FaceFour,0.05247696082686688,0.06255584988667885,0.06559239824503386
FacesUCR,0.03325320829738035,0.03348914732425637,0.03220310900961362
FiftyWords,0.013583226578179399,0.013924934069729656,0.014203212071530085
Fish,0.02188747801010831,0.02393203293346402,0.024837071714735013
FordA,0.0078309384197532,0.00779320508109914,0.008349745567882148
FordB,0.010617027131385116,0.011095457445287425,0.010184468262270808
GunPoint,0.03341828255903349,0.034011492310620554,0.029780808446449824
Ham,0.037474630165040934,0.037144016680610535,0.03850975785700234
HandOutlines,0.0060838017454681245,0.00642382419135046,0.00676952264060098
Haptics,0.036353979517528986,0.037847271315554924,0.035730762078550506
Herring,0.0472060864856758,0.06389648555015306,0.05845379597911342
InlineSkate,0.05901977069875257,0.058096234075825474,0.06750138355329612
InsectWingbeatSound,0.029590232124479577,0.029883723874344736,0.03357233590900409
ItalyPowerDemand,0.019754136686383778,0.021282835458912863,0.0222935042178061
LargeKitchenAppliances,0.02572116918146029,0.028814073473573388,0.031198781781895415
Lightning2,0.051295477906340314,0.05508613944197479,0.06221999859190372
Lightning7,0.054847152894420825,0.056573518396986905,0.04976133515281192
Mallat,0.03532476313398463,0.04023300616209265,0.03530862450687228
Meat,0.006780635036208124,0.007496274085146749,0.007496274085146749
MedicalImages,0.02374224838870392,0.023405685795992722,0.02346717667531075
MiddlePhalanxOutlineAgeGroup,0.01585132069627298,0.020161880784827807,0.021402176546312768
MiddlePhalanxOutlineCorrect,0.009817784316682095,0.009897301514398875,0.010327491860205238
MiddlePhalanxTW,0.010551389736518903,0.015473240909760932,0.016789120439517354
MoteStrain,0.07233780906752466,0.08039056958475241,0.08570196955850488
NonInvasiveFetalECGThorax1,0.005325005471309526,0.005383807560758853,0.005141119083909345
NonInvasiveFetalECGThorax2,0.0044150127026715315,0.00493109178995419,0.005843010279095179
OliveOil,0.035754948571937055,0.03788805181039568,0.04873888516577974
OSULeaf,0.037350852826897436,0.03989929852752435,0.038235507358847814
PhalangesOutlinesCorrect,0.006888085480280616,0.005895866850620852,0.0058056418687479775
Phoneme,0.020919438841463123,0.021413319068500455,0.024649892268985507
Plane,0.011388362032940124,0.012171612389003697,0.012850755574537253
ProximalPhalanxOutlineAgeGroup,0.011921679276914364,0.012343561307302148,0.01373078594832142
ProximalPhalanxOutlineCorrect,0.00885097277305576,0.011618812639507516,0.011676378005210432
ProximalPhalanxTW,0.014735210781716334,0.015406605912631323,0.01568113479649184
RefrigerationDevices,0.02836809677140278,0.035539153304834384,0.02702048794596062
ScreenType,0.021861096384246794,0.02434137798055684,0.02485509473639247
ShapeletSim,0.1594620986928876,0.1659524928558094,0.19122262406426438
ShapesAll,0.01346486843576043,0.014119992981159539,0.014136377355990416
SmallKitchenAppliances,0.02653284429361217,0.02734702955611057,0.029601145951377264
SonyAIBORobotSurface1,0.051444647186446237,0.05437735329826322,0.053093931077302786
SonyAIBORobotSurface2,0.05890967554718355,0.06639650096810044,0.0677249152374704
StarlightCurves,0.005282915426381408,0.006999178933784043,0.00809065020190931
Strawberry,0.004433191227521407,0.004043465611785794,0.004239560066113322
SwedishLeaf,0.013490567160014101,0.01392937852909802,0.013595976416302141
Symbols,0.07103827687668947,0.08046988442175479,0.08935014424085765
