,,,,,ACC,,AUROC,,BALACC,
Classifier1,Classifier2,Classifier3,Classifier4,Classifier5,EnsSigBetterThanAllInds,EnsSigBetterThanPickBest,EnsSigBetterThanAllInds,EnsSigBetterThanPickBest,EnsSigBetterThanAllInds,EnsSigBetterThanPickBest
MLP,NB,RandomCommitteeDefault,RotFDefault,SVMQ,1,1,1,1,1,1
BaggingDefault,DaggingDefault,LogitBoostDefault,REPTree,RotFDefault,0,0,1,1,0,0
1NN,DaggingDefault,MLP,RandF,bayesNet,0,0,0,1,0,0
1NN,C4.5,DaggingDefault,LogitBoostDefault,RandF,0,0,0,1,0,0
DaggingDefault,DecisionTable,MLP,NN,bayesNet,1,1,1,1,1,0
AdaBoostM1Default,ENDDefault,Logistic,REPTree,SVMQ,1,1,1,1,1,1
DNN,DecisionTable,DecorateDefault,REPTree,SVML,1,1,1,1,1,0
BaggingDefault,ENDDefault,Logistic,RandF,RandomCommitteeDefault,0,0,0,1,0,0
BaggingDefault,LogitBoostDefault,MLP,MultiBoostABDefault,bayesNet,1,1,1,1,1,0
1NN,BaggingDefault,NN,RandomCommitteeDefault,bayesNet,1,1,1,1,1,1
C4.5,MultiBoostABDefault,REPTree,RandF,RandomCommitteeDefault,0,0,0,1,0,0
1NN,C4.5,Logistic,NB,bayesNet,1,1,1,1,1,1
AdaBoostM1Default,C4.5,DNN,DecorateDefault,SVML,1,1,1,1,1,1
1NN,BaggingDefault,DaggingDefault,NN,RandomCommitteeDefault,1,1,1,1,0,0
BaggingDefault,ENDDefault,Logistic,NN,bayesNet,1,1,1,1,1,1
1NN,DNN,LogitBoostDefault,NN,REPTree,1,1,1,1,1,1
DaggingDefault,Logistic,MultiBoostABDefault,NN,SVMQ,1,1,1,1,0,0
DaggingDefault,DecorateDefault,Logistic,LogitBoostDefault,RandF,0,0,0,1,0,0
DecorateDefault,Logistic,MLP,REPTree,RandomCommitteeDefault,1,1,1,1,1,1
1NN,AdaBoostM1Default,DaggingDefault,NB,RotFDefault,0,0,1,1,0,0
