TRAINACCSTDDEVS:,CAWPE,MLP,SVML,NN,C4.5,Logistic
abalone,0.007581024819068283,0.007554522657181366,0.00826092779213998,0.008411362145187118,0.01114716128720166,0.005895567971434212
acute-inflammation,0.0,0.0,0.0,0.003094477726017881,0.013464013371352283,0.0
acute-nephritis,0.0,0.0,0.006709631665607483,0.0,0.012897572712127782,0.0
adult,0.0016846471274501215,0.0030811076332948276,0.0016051714804870773,0.0019624836214688687,0.002226666551414087,0.0017524528989680962
annealing,0.011452967470276222,0.01677242889729526,0.014246734908827278,0.017236361756705572,0.015714724497997767,0.014438993222369342
arrhythmia,0.024827201253361547,0.02457937383509016,0.043342851090712835,0.020432142777471532,0.039103904181280555,0.03518594499895063
audiology-std,0.03160518141093134,0.034205324009765295,0.03863652637309415,0.0586763399945808,0.043316245157080525,0.04620840955567925
balance-scale,0.01127647777154553,0.015467360861003534,0.019998018541276634,0.010389212613962905,0.021071016018141785,0.019481189552832862
balloons,0.23029929837250973,0.24221396527249145,0.24814583349273256,0.25264261306569863,0.309365881144977,0.2458188955154722
bank,0.004077761573525252,0.007557031259928083,0.0042241409851768484,0.01669747347033918,0.006847036291782771,0.0040798305861639295
blood,0.018006333889056623,0.01567095276503489,0.011381926034904495,0.02343075360802609,0.020696256847441495,0.011672775452434421
breast-cancer,0.027703783255605227,0.044833159081389545,0.03187979512868189,0.037428948666474345,0.03372194334961601,0.02461027681606502
breast-cancer-wisc,0.006940852574013063,0.01098025429778408,0.006997723561323165,0.00796104888027348,0.013676586843286341,0.006281379466529224
breast-cancer-wisc-diag,0.008004517988111776,0.011591906020687754,0.007754936734061836,0.010435112451204973,0.014064762751363627,0.016319808774715883
breast-cancer-wisc-prog,0.0372600379255215,0.047662173427728695,0.03803728291547787,0.05443203046578536,0.04371728254104007,0.06433568202049608
breast-tissue,0.05523040718647731,0.054999026164144794,0.0528710496225116,0.06346723174633576,0.0654099654399959,0.06861649081431581
car,0.0066145217666136015,0.008611987433699793,0.010749812660966716,0.006219613999848198,0.006828066663780281,0.01020630625966366
cardiotocography-10clases,0.010614731570858908,0.012962413624930797,0.007083527547270557,0.014898871264901364,0.012073743370133788,0.011460140966956519
cardiotocography-3clases,0.007498786061023079,0.006572679303752325,0.006905013506534372,0.01032894610481145,0.00839719780937485,0.005779988253844375
chess-krvk,0.003239306061812411,0.006259232610863576,0.003812289243605348,0.0038239347608039214,0.004480435289508868,0.005170650974072439
