folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,0.6387158600862483,0.635361763296598,0.6252994729276473,0.6200287494010541,0.6329659798754192,0.6152371825586967,0.6348826066123623,0.6272160996645904,0.6209870627695256,0.6305701964542405,0.6372783900335409,0.633445136559655,0.6152371825586967,0.6243411595591758,0.6296118830857691,0.6329659798754192,0.6329659798754192,0.6358409199808337,0.6171538092956397,0.6233828461907044,0.6276952563488261,0.6272160996645904,0.6185912793483469,0.6300910397700048,0.6358409199808337,0.6185912793483469,0.6094873023478677,0.6133205558217537,0.6291327264015333,0.639195016770484
acute-inflammation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
acute-nephritis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9833333333333333,1.0,1.0
adult,0.844963144963145,0.8411547911547912,0.841973791973792,0.8404176904176904,0.8423423423423423,0.8395577395577396,0.8431613431613432,0.8445536445536446,0.8432022932022932,0.8395986895986896,0.838042588042588,0.8437346437346437,0.8425880425880425,0.8434479934479935,0.8426289926289926,0.8441850941850941,0.8434070434070434,0.8413595413595414,0.8432432432432433,0.842014742014742,0.8410728910728911,0.8432022932022932,0.8414823914823915,0.8408271908271908,0.8409090909090909,0.8423423423423423,0.8438984438984439,0.8413595413595414,0.843079443079443,0.8436527436527437
annealing,0.8549107142857143,0.8616071428571429,0.8459821428571429,0.8616071428571429,0.8348214285714286,0.8549107142857143,0.8504464285714286,0.8571428571428571,0.8459821428571429,0.8258928571428571,0.8303571428571429,0.8638392857142857,0.8504464285714286,0.8370535714285714,0.8392857142857143,0.8415178571428571,0.8616071428571429,0.8526785714285714,0.8638392857142857,0.8459821428571429,0.8616071428571429,0.8526785714285714,0.8415178571428571,0.8169642857142857,0.8616071428571429,0.8415178571428571,0.8482142857142857,0.8058035714285714,0.8616071428571429,0.8459821428571429
arrhythmia,0.6306306306306306,0.5765765765765766,0.545045045045045,0.5945945945945946,0.5180180180180181,0.46396396396396394,0.5540540540540541,0.5945945945945946,0.4954954954954955,0.5765765765765766,0.5990990990990991,0.527027027027027,0.5630630630630631,0.4954954954954955,0.44144144144144143,0.5765765765765766,0.4864864864864865,0.5720720720720721,0.536036036036036,0.5675675675675675,0.545045045045045,0.5720720720720721,0.5630630630630631,0.481981981981982,0.5180180180180181,0.5720720720720721,0.5675675675675675,0.5225225225225225,0.5630630630630631,0.536036036036036
audiology-std,0.6354166666666666,0.71875,0.6354166666666666,0.7083333333333334,0.6770833333333334,0.625,0.65625,0.65625,0.71875,0.65625,0.6875,0.6875,0.625,0.7291666666666666,0.6875,0.7083333333333334,0.6875,0.71875,0.71875,0.625,0.6354166666666666,0.71875,0.7083333333333334,0.7083333333333334,0.6770833333333334,0.6145833333333334,0.625,0.75,0.6770833333333334,0.6458333333333334
balance-scale,0.9230769230769231,0.8846153846153846,0.9134615384615384,0.907051282051282,0.8814102564102564,0.907051282051282,0.9198717948717948,0.9134615384615384,0.9423076923076923,0.8653846153846154,0.907051282051282,0.8814102564102564,0.8525641025641025,0.9134615384615384,0.9102564102564102,0.8942307692307693,0.9006410256410257,0.8974358974358975,0.875,0.8814102564102564,0.8974358974358975,0.8717948717948718,0.9166666666666666,0.8846153846153846,0.9038461538461539,0.907051282051282,0.8685897435897436,0.9198717948717948,0.8942307692307693,0.8910256410256411
balloons,0.42857142857142855,0.7142857142857143,0.42857142857142855,0.42857142857142855,1.0,1.0,1.0,0.2857142857142857,1.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.8571428571428571,0.7142857142857143,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.7142857142857143,0.5714285714285714,1.0,0.7142857142857143,1.0,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.42857142857142855,1.0,0.42857142857142855
bank,0.897787610619469,0.8946902654867257,0.8929203539823009,0.8924778761061947,0.893362831858407,0.8893805309734514,0.8915929203539823,0.8991150442477877,0.8946902654867257,0.9017699115044248,0.8880530973451327,0.8884955752212389,0.8929203539823009,0.8920353982300885,0.8982300884955752,0.9022123893805309,0.8924778761061947,0.8969026548672566,0.8898230088495576,0.8955752212389381,0.8955752212389381,0.8884955752212389,0.9008849557522124,0.8915929203539823,0.8871681415929203,0.8920353982300885,0.8938053097345132,0.8902654867256637,0.9008849557522124,0.8938053097345132
