TRAINTESTDIFFSACCRANKS:,CAWPE,SVML,Logistic,MLP,NN,C4.5
abalone,2.0,6.0,5.0,4.0,3.0,1.0
acute-inflammation,2.5,2.5,2.5,2.5,5.0,6.0
acute-nephritis,2.5,5.0,2.5,2.5,2.5,6.0
adult,4.0,3.0,1.0,5.0,2.0,6.0
annealing,1.0,2.0,6.0,5.0,4.0,3.0
arrhythmia,3.0,6.0,2.0,5.0,4.0,1.0
audiology-std,4.0,3.0,1.0,2.0,6.0,5.0
balance-scale,3.0,5.0,4.0,6.0,1.0,2.0
balloons,1.0,2.0,5.0,3.0,6.0,4.0
bank,3.0,2.0,1.0,5.0,6.0,4.0
blood,1.0,3.0,2.0,6.0,5.0,4.0
breast-cancer,3.0,1.0,4.0,5.0,6.0,2.0
breast-cancer-wisc,2.0,3.0,4.0,5.0,1.0,6.0
breast-cancer-wisc-diag,2.0,4.0,3.0,6.0,1.0,5.0
breast-cancer-wisc-prog,2.0,1.0,4.0,5.0,6.0,3.0
breast-tissue,1.0,5.0,3.0,6.0,4.0,2.0
car,2.0,4.0,6.0,3.0,1.0,5.0
cardiotocography-10clases,5.0,2.0,3.0,6.0,4.0,1.0
cardiotocography-3clases,2.0,4.0,6.0,3.0,5.0,1.0
chess-krvk,4.0,1.0,2.0,6.0,5.0,3.0
chess-krvkp,2.0,5.0,4.0,3.0,6.0,1.0
congressional-voting,4.0,1.0,3.0,6.0,5.0,2.0
conn-bench-sonar-mines-rocks,3.0,5.0,2.0,6.0,4.0,1.0
conn-bench-vowel-deterding,3.0,6.0,2.0,5.0,1.0,4.0
connect-4,4.0,2.0,1.0,3.0,6.0,5.0
contrac,5.0,3.0,1.0,2.0,6.0,4.0
credit-approval,4.0,1.0,2.0,5.0,3.0,6.0
cylinder-bands,5.0,2.0,3.5,6.0,1.0,3.5
dermatology,3.0,5.0,2.0,1.0,6.0,4.0
echocardiogram,1.0,2.0,3.0,4.0,6.0,5.0
ecoli,2.0,4.0,6.0,5.0,3.0,1.0
