folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,0.014320136273078043,-0.010121669115944365,9.106269616192542E-4,0.0013918469999977257,0.006170345932785093,-0.021609737197460732,0.02389157761765126,-0.021125766020225423,-0.002929504359408752,-0.009143409990760798,-0.018250825914810975,0.0032844012719431825,-0.009626693383281815,0.013826536109843857,-0.004355282071974331,-0.002433840842031909,-0.0019643131437951933,-0.012986980235359935,-0.006274659947774208,-0.0067483143542962365,-0.013451005655882975,-0.008187847761146116,-4.837419156644707E-5,-0.0034038465506449622,0.0013842813681413935,-0.012037608068173222,-0.014422386933924614,-0.006267782100632169,-0.01968554482866136,0.0023460336601839327
acute-inflammation,-0.016949152542372836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acute-nephritis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adult,0.002647956210317992,-3.413431224421615E-4,5.597221017743514E-4,-0.003698894358954985,-0.003658081813024072,-0.0037398276322198054,0.00186996914947124,0.0065789756969840685,-0.004558875400739293,-0.007834754595871574,-0.0036579912675236415,-0.005991962510675131,-0.0035351713265070472,8.871882878925819E-4,1.092884190092569E-4,0.0019110499783663304,0.0011328985942040681,-0.002306787471802685,-3.0007114193497664E-4,0.0022385664675403927,0.0012967255863005622,-0.0034532377092364452,0.004285974616004884,-0.003371267203058248,-0.002757066891863391,9.281651571391158E-4,-0.001692439604977558,-0.0017334734843538202,0.007602877629902416,0.00649724999901069
annealing,-0.054126984126984135,0.01280753968253967,0.015089285714285694,0.02177579365079363,-0.03621031746031744,-0.0029166666666666785,0.01722222222222225,0.006091269841269842,0.008323412698412636,0.019533730158730167,-0.02055555555555555,-0.013859126984126946,0.008363095238095308,0.017251984126984143,-0.018422619047618993,-0.03170634920634918,-0.005009920634920673,-0.03165674603174595,-0.024990079365079354,-0.02946428571428572,-0.018333333333333313,-0.009454365079365146,-0.027202380952380922,0.017291666666666705,-0.01834325396825398,0.04401785714285711,-0.045029761904761934,-0.06735119047619043,-0.004960317460317443,-0.011626984126984152
arrhythmia,0.03450842146494326,0.020054837446141782,-0.011633372502937722,-0.011790050920485684,-0.019702311006658868,0.002350176263219761,-0.041754798276537386,-0.032432432432432434,0.011829220524872675,0.02906384645515081,-0.02436349392871129,-0.015041128084606337,0.029533881707794696,0.024716020368194314,-0.014414414414414378,0.011359185272228789,-0.0638072855464159,-0.046259302781041955,-0.015824520172346257,-0.015041128084606337,-0.006502154328241305,0.011829220524872675,0.010889150019584792,0.02984723854289073,0.011359185272228789,-0.04610262436349388,0.006384645515080223,0.002193497845671799,0.02455934195064624,-0.019388954171562944
audiology-std,-0.10624999999999996,0.06708333333333338,-0.125,-0.04458333333333342,-0.11583333333333334,-0.14708333333333334,-0.18083333333333335,-0.13624999999999998,-0.12,-0.09583333333333333,-0.0625,-0.12624999999999997,-0.15749999999999997,-0.09999999999999998,-0.06625000000000003,-0.03916666666666668,-0.11624999999999996,-0.0029166666666666785,0.04458333333333342,-0.1679166666666666,-0.11583333333333334,-0.04458333333333342,-0.0954166666666666,-0.08374999999999999,0.01708333333333334,-0.21833333333333338,-0.11666666666666659,0.08791666666666664,-0.09958333333333336,-0.1875
balance-scale,0.009226263619234842,0.028375112640288358,-0.006778897353977187,0.028364872614073833,-0.02279429835340374,0.0028057671827639297,-0.003563529122634579,-0.003604489227492458,0.038021217334316404,-0.006840337511264116,-0.01315843368559022,0.009185303514376963,-0.009973785532890966,0.01881092815597607,-0.006748177275333833,0.028426312771360762,0.006000655361677709,-3.481608912918599E-4,-0.03238920291635938,0.012421151798148511,0.01561603997706229,-0.003563529122634579,0.012421151798148511,0.012421151798148511,-0.02598918653231752,0.006021135414106649,-0.019578930122061133,0.04440075366592944,-0.0131993937904481,-0.009953305480462027
balloons,-0.34920634920634924,-0.4603174603174603,-0.41269841269841273,-0.06349206349206349,0.3015873015873015,0.4126984126984127,-0.23809523809523808,-0.2698412698412699,0.6666666666666667,0.015873015873015817,0.19047619047619047,0.4126984126984127,-0.06349206349206349,-0.38095238095238093,0.4126984126984127,0.15873015873015872,-0.09523809523809523,-0.12698412698412703,-0.2698412698412699,-0.34920634920634924,0.19047619047619047,0.2698412698412699,-0.2063492063492064,0.4126984126984127,0.015873015873015817,-0.2698412698412699,-0.34920634920634924,-0.12698412698412703,0.5555555555555556,-0.5238095238095237
bank,0.0012767473081454206,-0.010669959646643856,-0.046953536887507696,-0.007573984414445789,-4.933598963572372E-4,-0.05934233031824754,-0.01598047696022986,-0.0013789027488032568,-0.00934565721957159,-0.001378119948491796,-0.015981064060463512,-0.013326979604137867,-0.009343895918870637,-9.364248726970725E-4,-0.03589374268570955,-0.0058025073093979085,-0.019519908568923716,-0.011997784675118361,-0.004033965705518394,-0.01598028126015194,-0.014209586955415632,-0.045626690359422684,-0.049163773567181934,-0.03102452904776254,-0.001820206424442139,-0.037661501489277605,-0.0239450787301414,-0.006687658761688198,-0.0031478357528386125,-0.0013787070487254471
blood,0.008021390374331583,-0.016042780748663166,-0.02941176470588236,0.0,0.018716577540107027,-0.008021390374331472,0.002673796791443861,-0.018716577540107027,0.0,0.010695187165775444,-0.021390374331550888,0.005347593582887722,-0.02941176470588236,-0.002673796791443861,-0.002673796791443861,-0.002673796791443861,0.016042780748663055,-0.0802139037433155,-0.0267379679144385,0.0267379679144385,0.008021390374331583,-0.018716577540106916,-0.048128342245989275,0.008021390374331583,0.010695187165775444,-0.013368983957219194,0.002673796791443861,0.0401069518716578,-0.008021390374331583,-0.016042780748663166
breast-cancer,-0.08098591549295775,-0.03873239436619713,0.017410015649452215,0.01007433489827858,-0.038830203442879574,-0.09546165884194047,-0.08108372456964008,-0.0035211267605633756,0.017116588419405332,-0.004010172143974922,0.06611893583724571,-0.03931924882629112,0.04528560250391234,-0.06729264475743346,-0.00391236306729259,-0.02464788732394363,-0.031983568075117375,-0.024843505477308292,-0.0814749608763693,0.024158841940532083,0.0033255086071987128,0.017214397496087663,-0.06729264475743346,0.0033255086071987128,-0.025136932707355286,-0.025332550860719838,0.031103286384976503,-0.017605633802816878,0.044503129890453796,0.06562989045383416
breast-cancer-wisc,0.011363078182562436,-0.020122799836266858,0.005599672533769917,-0.014424887433483469,0.014212034383954242,0.019934506753991,-1.0642652476466896E-4,0.01135489152681135,-0.01154318460908721,-1.0642652476466896E-4,0.02279164961113389,0.014195661072451848,-0.014416700777732272,-0.020122799836266858,0.031363078182562454,0.014203847728202934,-0.0029553827261563637,-0.025853458862054812,0.011322144903806786,0.008481375358166177,-0.005796152271796973,-0.0144003274662301,0.017060990585345825,0.002767089643880394,0.014187474416700763,0.0055914858780188315,0.0027507163323782224,-9.823986901358328E-5,-0.0029799426934097317,0.019926320098239914
breast-cancer-wisc-diag,-0.010674573758339578,0.006918705213738607,0.006893995552261001,-0.014208055349641757,0.01039041265134677,-9.883864591053726E-5,-0.007128737336298485,-0.007153446997776092,0.013911539411910145,0.02443785520138375,-0.021225599209290902,0.006893995552261001,-0.014208055349641757,0.01746973066468993,0.02797133679268593,0.02443785520138375,0.003409933283914035,-0.014195700518902954,0.024487274524339075,0.021015567086730913,-0.028243143068940046,0.017457375833951128,0.010415122312824376,-0.0036446750679515194,-0.003669384729429237,-0.021225599209290902,-0.017729182110205133,0.020978502594514503,0.006906350382999804,-0.01064986409686186
breast-cancer-wisc-prog,-0.0357142857142857,-0.20795918367346944,-0.025306122448979562,-0.035510204081632635,-0.06612244897959185,-0.11734693877551017,-0.044897959183673564,-0.0357142857142857,-0.055714285714285716,-0.14755102040816326,-0.06612244897959185,-0.05591836734693878,-0.05632653061224491,-0.0046938775510204644,0.06632653061224492,-0.1071428571428571,-0.1071428571428571,-0.07551020408163267,0.0053061224489795444,-0.055714285714285716,-0.045510204081632644,0.005102040816326481,-0.0053061224489795444,-0.0357142857142857,-0.08714285714285708,-0.08612244897959187,0.01571428571428568,0.1863265306122449,-0.025306122448979562,-0.09714285714285709
