TRAINBuildTimes:,CAWPE,MLP,SVML,Logistic,C4.5,NN
abalone,30055.813104033343,1700.4246205000006,132.61663249999998,104.87565076666667,95.47278616666667,2.9110319666666675
acute-inflammation,1538.2697217666669,35.513913933333335,14.568094233333333,5.816076800000002,1.6520754666666668,0.44748923333333324
acute-nephritis,1633.615860033333,39.446402799999994,10.170246266666668,4.4305171,2.7546658666666675,0.39338326666666656
adult,1201384.4519580668,34340.317434100005,11217.3500293,931.2795472333333,1540.2392353666667,4.258245733333334
annealing,32429.48738290001,2485.086491966666,134.63784126666664,225.23568350000005,22.797988533333335,0.7387752
arrhythmia,1018681.3226094331,53684.22605550001,549.1691147000001,45481.648824666656,138.2348204333333,0.5761254000000001
audiology-std,71218.24200390001,2257.2036470666667,880.719813,3272.819318566667,9.792583400000002,0.30867396666666663
balance-scale,4148.392817966667,161.85900346666668,56.3332177,14.59656823333333,5.483506033333333,0.7931871333333333
balloons,417.3480994333334,8.162371933333333,8.410601733333332,2.8880043999999994,0.6446550333333334,0.4292789
bank,51859.24094873332,3625.7446839999984,335.6513937666666,73.36981383333334,53.74239993333333,3.0498947333333337
blood,4134.611014833334,151.9422996,26.099104500000006,11.314560100000001,6.045345433333334,0.7579756666666668
breast-cancer,3554.7269723000004,110.6047913,21.889096166666665,7.453985399999998,7.1983908,0.3179849333333334
breast-cancer-wisc,5610.285128400001,262.00184449999995,29.21294713333333,19.836056633333335,7.930979033333333,1.4273076999999998
breast-cancer-wisc-diag,16699.507129966663,1194.064295866667,25.756526166666667,52.27377053333333,11.935738966666666,0.4991326333333334
breast-cancer-wisc-prog,7385.479158466667,478.1496254666667,15.611545033333334,42.227782000000005,11.91599036666667,0.2763722333333334
breast-tissue,4395.797171599999,76.79086816666667,71.82509943333334,48.673042233333334,2.871035366666667,0.24052043333333326
car,13337.31056723333,781.9327983000002,104.09237026666668,106.79886426666667,15.145453400000001,1.0680202666666667
cardiotocography-10clases,971614.5764267,4626.6954725666665,407.34142299999996,55274.49708650001,61.92105666666668,1.516706433333333
cardiotocography-3clases,37193.649241466665,2731.6932312333333,85.096212,126.23119776666668,42.65720180000001,1.1439384
chess-krvk,917278.6056514999,50581.02596849999,8131.572709800001,15643.423661933333,721.0118637333333,2.1525060333333332
chess-krvkp,109176.72775563333,9042.111432700001,253.3798945666667,144.83551780000002,33.83321083333333,1.9929289333333329
congressional-voting,5863.460836466666,349.4965688,25.201078666666668,15.219769633333332,8.294791233333333,0.5816064
conn-bench-sonar-mines-rocks,17772.960313166666,1526.9546020333328,23.32504896666667,21.700141899999995,13.433882233333339,0.28376813333333334
conn-bench-vowel-deterding,1367074.5169358002,1485.7886657666666,366.8181753000001,70552.52223936665,29.849189233333338,0.7351661666666666
connect-4,6904863.727673999,244114.95854970004,170346.26064710008,2929.1162069,10861.341414433331,7.771039633333333
contrac,13253.195179166667,727.7011293666666,68.1035726,33.24471053333333,28.666219333333338,0.8060713666666665
credit-approval,9064.808105733333,480.5644073333334,77.52942599999999,19.062432933333337,10.767266766666665,0.49888253333333327
cylinder-bands,18223.4231512,1433.2832746333333,48.95459993333332,35.7576397,19.18402143333333,0.5182013333333334
dermatology,16295.799960466666,1208.8504806999997,118.22509803333334,81.76344496666667,9.162068166666668,0.5622876
echocardiogram,2419.4248766,62.889789900000004,16.215105899999998,9.14170713333333,2.6857155666666666,0.3666750333333333
ecoli,9259.002890366666,274.27482926666664,197.57719720000003,74.07294093333331,5.410289666666668,0.5226826333333334
energy-y1,7878.567987633334,342.3136956333334,79.22875990000001,44.24435583333332,8.6585623,0.5226038333333334
energy-y2,7898.3970658,336.2188331666667,70.11131176666667,47.376341466666666,7.7356527666666635,0.6035948666666666
fertility,1867.3215768666666,40.869358500000004,13.97803033333333,4.456481966666667,2.090963466666667,0.2507169666666667
flags,10854.544919066666,571.2538462666666,212.2607151,89.61283943333335,12.352882866666668,0.4026754666666666
glass,5421.084040233332,153.95662903333334,72.756656,43.730640466666664,4.911159466666667,0.3042773666666666
haberman-survival,2206.8184745333338,56.68416763333333,13.871195899999998,5.531624699999999,3.7005642,0.42370383333333345
hayes-roth,1551.1541865999998,42.531910266666664,25.912753133333336,8.085119233333335,2.4292922666666663,0.5510059666666667
heart-cleveland,6149.459435200001,277.5901775,71.40039973333334,33.59505070000001,10.4993958,0.5231207666666666
heart-hungarian,3991.4342415666665,177.59803710000003,16.448747666666666,10.259559333333335,8.785146566666667,0.36571016666666656
heart-switzerland,3655.985295099999,101.55792793333333,81.79832176666667,29.10024263333333,3.470262533333333,0.3315494333333333
heart-va,5180.655823700001,159.95547639999995,73.87909346666666,34.67352393333332,5.9247518999999995,0.3766089666666666
hepatitis,3876.6545519333345,159.631807,14.558254766666668,12.461805700000001,4.3440846666666655,0.3079503666666667
hill-valley,251281.8949466667,23951.91801576667,73.09944423333332,56.79005023333334,24.715801133333343,0.8611745999999999
horse-colic,8156.115946566667,555.5276658666667,20.90664293333333,19.271752333333332,10.4789054,0.3945379666666666
ilpd-indian-liver,5377.860718533334,223.97351426666665,26.062456300000004,14.604087566666665,6.505322533333333,0.44942850000000006
image-segmentation,478222.12010899995,3502.7169010333328,247.33556373333334,41165.04179883334,53.927753966666664,1.2490682333333334
ionosphere,11000.700711333333,877.9622811666667,26.41225756666667,27.436425833333324,13.947276166666665,0.4714718666666667
iris,2107.638094866666,45.3121105,24.887146933333334,19.7784854,2.159716133333333,0.40857819999999995
led-display,17641.808460466666,994.1792703666669,321.95244856666676,150.61347036666666,11.6786684,0.7296776
lenses,1033.7466596,9.935160333333334,33.516173666666674,3.8416881333333337,1.5607865000000003,0.3427144666666667
letter,1580943.0768209002,89369.60482380002,6932.1611097333325,45969.7787754,391.13476163333326,2.632061100000001
libras,138235.21311943332,7587.769300999999,796.1374704333334,5887.9023880666655,69.49033116666666,0.48489109999999996
low-res-spect,146860.21644213333,11113.465098966668,241.35747940000005,1881.1794230666665,55.60661516666666,0.45657486666666663
lung-cancer,4010.3848970333333,210.30591943333334,24.286743333333337,10.544681899999999,5.322008433333332,0.3086669333333333
lymphography,4817.002320533334,187.27148183333335,69.75111220000002,27.715211566666667,5.445978233333333,0.2765952666666667
magic,203710.11652653335,8385.3076828,1241.9140820666667,272.3268660333334,316.3221897333333,2.580079733333333
mammographic,5405.973288566668,232.70671563333332,27.139184800000002,10.958841700000002,10.4354367,0.7074248666666666
