folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,1588.724639,1691.636414,1627.532523,1631.756973,1594.882843,1732.35862,1729.884868,1784.781643,1708.345281,1700.054852,1752.396582,1775.679398,1687.307648,1666.585201,1839.977506,1753.946672,1863.219882,1729.227767,1740.673508,1850.955242,1791.303647,1525.477335,1717.123241,1740.734047,1708.223695,1685.642591,1625.943007,1611.200391,1652.446937,1504.715662
acute-inflammation,38.895139,49.185035,34.231038,42.61368,34.681197,32.652499,32.724322,33.407826,34.627607,36.124053,39.17707,33.063204,32.395926,34.277735,31.065051,37.401123,32.61581,33.885316,32.626355,32.515416,35.61966,34.588482,35.588519,32.995645,39.372716,36.933584,36.874251,33.025824,38.642892,33.610443
acute-nephritis,35.47418,34.26566,34.374421,39.144524,43.22809,36.053389,59.592864,33.569708,36.304876,47.349703,73.324025,34.17778,34.202339,46.654129,35.354433,35.942886,45.551184,35.91587,35.440326,39.407852,37.908032,44.442986,33.894712,39.877671,32.94752,33.75976,44.933661,34.553896,33.026189,32.719418
adult,32879.636731,34304.229694,33533.721063,34011.934359,35769.961062,33597.862154,33449.603918,36472.271331,35454.238874,35500.264487,34902.807353,35948.175602,36437.761836,34421.19205,33406.978926,33319.265769,34939.136645,33187.563534,35903.410518,35352.999676,32542.565607,36835.0069,33788.653503,31438.773846,34304.768481,36601.898536,31494.104026,33439.193876,32360.774831,34610.767835
annealing,2404.487298,2753.554505,2308.67603,2694.086008,2203.776035,2276.835951,2767.953866,2803.264632,2378.508298,2524.904055,2359.982984,2439.902467,2502.69327,2436.894656,2442.919404,2438.598579,2937.537003,2449.153754,2459.24555,2261.24184,2322.326139,2319.016837,2446.922878,2610.450392,2693.106188,2728.222393,2453.12878,2373.640726,2434.875788,2326.688453
arrhythmia,52279.163471,66233.630793,51946.250746,58137.012668,57828.165537,49488.125138,50900.628178,63239.450681,49260.211977,48809.861623,55595.797856,52747.454395,55723.62734,51510.859058,56921.320456,51581.392666,51203.537267,49859.858643,49823.04521,49564.923812,62381.689614,50585.519335,49640.945927,52439.179411,50440.901031,53934.204028,55820.558963,56376.861958,49533.506174,56719.097709
audiology-std,2071.530767,2299.917189,2026.883826,1998.52784,2070.61405,2265.889248,2134.089657,2297.148068,2054.786928,2117.190833,2010.347941,2394.433671,2486.468282,2092.315939,2445.286235,2072.681412,2095.41076,2573.445779,2478.228398,2119.852097,1943.806872,2181.468098,2832.031841,2676.435385,2203.145609,2523.756814,2578.016385,2458.222537,2279.098046,1935.078905
balance-scale,157.436138,158.457797,154.838442,169.277144,159.989716,158.469372,155.946873,156.900275,167.729712,157.767888,163.690418,177.048341,164.77246,154.768131,163.557196,161.634209,163.868444,156.111317,159.244642,167.462164,151.180082,161.45698,167.20154,159.47293,167.447943,157.558957,172.413079,154.77334,183.329765,151.964809
balloons,4.953472,5.125331,6.529856,5.953416,5.675109,5.099421,15.053109,12.078764,7.07867,14.86976,11.330936,7.3167,5.024186,14.770055,5.068755,5.248354,7.068996,5.781309,4.842858,8.120443,6.316268,5.015866,5.653167,13.113645,14.650629,13.095516,5.282193,8.177961,5.080896,11.495517
bank,3536.955839,3614.610278,3489.543672,3793.438531,3340.44497,4092.51606,3728.989082,3314.76332,3539.358404,3310.217259,3794.920598,3611.072938,3523.715287,3718.860759,3416.002892,3540.072674,3422.189998,3503.483722,3973.159861,3718.627244,3780.715782,3639.276088,3917.247376,3551.762049,3820.005142,3599.857091,3632.698293,3593.93912,3689.334055,3564.562136
blood,138.546119,149.0995,147.519485,144.057833,143.997964,149.392236,149.484108,149.741883,146.69511,157.023323,155.724381,176.624211,159.438407,158.438873,166.79576,165.815624,157.476653,153.015555,149.739781,148.701811,144.92079,151.710114,145.668809,139.465697,158.54227,141.957237,149.273643,156.486974,153.223376,149.691461
breast-cancer,105.270675,109.907298,106.399537,104.205001,107.208258,109.356179,106.399842,111.75164,115.293766,104.954716,110.489037,114.147534,107.816005,106.111672,106.3663,104.086479,104.555411,111.226261,114.047602,109.544146,106.993999,115.27413,114.494242,111.534591,119.40419,131.991688,118.833514,109.321772,110.196937,110.961317
breast-cancer-wisc,235.398209,237.436313,272.276293,300.022802,273.337616,265.174055,268.159509,260.72357,249.181698,246.346797,272.387857,251.915936,268.942222,259.29187,270.138934,255.418321,269.50397,258.471012,244.374711,248.79677,254.457254,284.697755,250.048695,270.449585,272.13729,284.472156,274.203801,252.651352,257.800692,251.83829
breast-cancer-wisc-diag,1047.400067,1153.579342,1125.763254,1185.206445,1236.020386,1209.289335,1133.912253,1181.53924,1174.411467,1137.829186,1203.138253,1220.003673,1220.892386,1221.526134,1149.513181,1076.563757,1289.11928,1060.423012,1221.227223,1234.881177,1187.553729,1187.765853,1214.463917,1309.582481,1192.726597,1281.812419,1226.876753,1246.997921,1153.173474,1338.736681
breast-cancer-wisc-prog,520.531147,439.943684,467.659774,484.091175,409.822799,450.874122,458.361245,468.837495,474.938866,464.86279,445.11495,486.317726,415.80702,560.242852,467.603516,420.689575,450.591766,440.172999,485.345865,441.460885,479.200105,474.308087,550.901808,512.706184,598.509256,569.024579,461.846006,488.223355,481.330264,475.168869
breast-tissue,73.999794,71.695506,73.626465,77.340843,75.844424,77.633463,75.493449,81.980889,83.147054,73.447418,77.238477,89.581996,81.387602,86.810577,81.057731,81.86751,71.496691,72.715682,74.73088,73.959984,77.570269,72.676279,76.576846,73.473239,73.873017,78.201169,72.373385,73.82153,75.417721,74.686155
car,869.204827,913.132397,942.301203,798.721994,1009.101201,902.866143,748.197652,696.671412,728.761965,721.710424,701.996735,706.750156,663.349866,738.568377,747.007395,776.056156,767.263046,821.393214,759.912788,776.780086,771.384455,827.367363,783.066965,769.113986,763.920963,731.212735,808.684454,733.147731,743.494757,736.843503
cardiotocography-10clases,4296.385585,4797.59632,4744.093686,4324.846464,4279.502945,4520.645893,4531.947068,4716.525135,4733.689577,4744.186512,4753.171945,4559.431424,4794.041728,4564.492959,4840.785652,4761.264342,4876.403677,4853.476294,4616.35595,4982.998657,4297.708574,4242.319822,5067.31184,4742.63561,4531.917645,4233.652282,4667.614456,4507.609904,4779.316707,4438.935524
cardiotocography-3clases,2883.101655,2923.865884,2832.106575,2835.193306,2767.88138,2758.468799,2693.970201,2882.646585,2761.362936,2755.590464,2551.879777,2707.113138,2502.083514,2792.242016,2595.00834,2424.643646,2410.05152,2734.420681,2834.543311,2839.287034,2861.609827,2760.68428,2778.300679,2803.252613,2894.312305,2960.048766,2645.569938,2528.114685,2503.635751,2729.807331
chess-krvk,45644.888746,47999.119131,46621.500426,55524.41121,52965.059671,55197.401874,54874.616742,52330.951283,53203.835977,51513.833457,55397.76948,53378.149725,55502.205084,50875.720427,48673.54105,50693.247923,50521.670998,55020.188314,53861.528759,50929.885069,51216.008685,47660.032075,48715.711151,46176.865939,46378.335118,46496.397832,48742.282894,46709.993476,46270.415982,48335.210557
chess-krvkp,8558.53145,9278.731435,9116.316725,9071.397237,9151.319839,9127.380518,9664.421866,8795.182132,8943.197314,9134.276377,9670.842916,9320.298785,7971.790611,8549.103562,8331.994112,8432.996923,8967.587487,8297.13485,8705.39072,8188.98996,8654.311662,10191.481836,9943.361911,10250.844866,9928.422968,8809.596088,8756.27899,8986.317116,9853.770928,8612.071797
congressional-voting,353.207584,328.775949,332.984368,332.141908,333.325899,338.320271,325.000741,358.096131,504.546792,351.091444,334.105759,368.436409,341.245991,349.369651,331.80151,367.003505,348.188425,357.016803,333.140765,337.990282,322.686548,326.619788,348.000015,375.938552,350.405816,350.426902,338.634127,332.114907,367.426004,346.854218
conn-bench-sonar-mines-rocks,1338.569223,1453.431854,1503.901691,1631.085294,1420.30821,1510.213813,1875.562305,1521.913948,1631.039593,1593.263201,1775.974229,1396.643501,1324.949705,1765.275241,1589.752794,1183.648029,1883.387438,1439.076059,1409.371073,1281.114348,1444.276039,1349.189623,1309.036137,1609.087537,1630.867945,1535.620079,1911.156995,1414.173052,1586.330137,1490.418968
conn-bench-vowel-deterding,1358.14545,1538.439377,1550.298604,1401.053355,1299.221575,1419.096595,1359.243103,1342.06729,1543.546528,1541.872875,1351.628259,1571.36154,1409.967358,1416.196406,1342.998079,1537.149021,1595.406153,1811.997254,1589.203271,1805.261506,1488.848706,1361.646085,1392.888005,1599.058661,1419.011622,1466.467972,1746.273444,1432.454429,1476.881588,1405.975862
connect-4,248526.513547,252153.425329,267062.856403,242845.193603,235747.79997,249313.831601,223201.685486,263939.107665,246334.071923,238327.18349,270278.23396,246197.081739,228721.678825,233090.059852,234282.873339,235798.61157,244500.851166,244072.410803,233134.882365,251115.487623,231982.529304,243439.354931,251112.425095,235754.950864,241532.164601,250215.605688,239214.340396,235846.28554,254116.457829,251590.801984
contrac,818.149032,738.05349,733.879131,765.570709,725.680977,729.203573,818.140714,769.186182,706.451522,678.446835,723.110731,650.871332,688.308775,714.026674,756.236684,716.941967,708.161442,693.415014,723.826006,758.526996,729.667585,692.820254,676.278525,725.80116,718.163171,719.759054,760.37704,774.035225,721.693312,696.250769
credit-approval,448.5397,448.459028,508.066373,512.679827,432.727157,478.335258,479.740475,507.662148,513.328745,495.671945,469.874004,484.719498,466.232625,459.576902,528.191246,498.383741,445.841618,532.144284,468.08306,453.117606,454.461889,474.218592,453.12467,466.880321,464.898669,484.401528,470.653273,474.567445,448.013375,594.337218
cylinder-bands,1414.639981,1590.768681,1541.222142,1320.575584,1418.298651,1598.889183,1384.692079,1570.731201,1432.083283,1406.877263,1427.212097,1447.397881,1335.314616,1421.087644,1450.448735,1366.650562,1372.455668,1434.352923,1401.823117,1358.054155,1338.727532,1322.911101,1351.717296,1639.921621,1586.589571,1288.286072,1346.444545,1468.153234,1326.674507,1635.497314
dermatology,1211.612326,1149.291991,1201.480641,1174.886032,1245.697177,1169.274128,1187.141944,1142.851247,1130.340233,1380.759583,1117.57915,1121.686295,1161.197917,1271.701587,1151.01161,1340.545087,1408.580885,1100.67331,1168.872151,1159.875509,1297.742244,1180.222271,1164.356292,1157.112264,1158.76684,1198.410193,1140.573579,1176.867534,1394.026393,1402.378008
echocardiogram,62.414135,71.826294,60.365054,61.936467,73.292915,65.159754,59.037159,59.34054,65.026392,58.131584,59.432373,61.221614,58.129366,62.105864,65.037449,57.517948,59.130862,62.549851,59.127324,65.632851,67.576161,66.814809,61.261536,59.759174,69.601812,60.043986,65.641948,63.632344,68.028724,57.917407
ecoli,258.003103,256.434949,266.652888,261.965905,300.807214,333.072454,283.963915,274.137913,288.291791,297.845992,271.991977,272.631335,288.823949,255.314851,266.621603,287.187421,261.628257,279.985334,259.85739,254.570639,272.858341,289.96767,266.910375,261.564631,280.578436,297.054381,267.467417,250.900296,246.632799,274.521652
energy-y1,334.148017,341.058817,314.942409,360.624298,323.453898,308.898956,335.852107,360.542159,346.967064,313.865768,302.506802,368.268129,317.000362,357.873619,310.125515,323.278327,319.984111,323.519178,314.046373,332.535766,308.064975,312.502529,423.66815,339.532474,302.182249,395.711259,399.448153,303.240589,419.156536,456.41228
energy-y2,339.177676,292.366882,327.430012,303.396772,299.908768,330.431295,310.425327,319.796226,330.375165,357.235813,307.091071,328.632767,311.77557,334.517555,303.403901,337.144175,332.54628,330.039141,332.444425,320.644522,313.332903,322.873815,316.353653,306.968926,357.802492,339.236517,308.208748,502.273512,386.272424,484.458662
fertility,37.414352,43.434622,39.561612,40.101059,40.808252,38.702069,38.187894,43.504787,37.45809,40.180866,39.370243,41.766067,38.354688,38.218499,38.821744,34.224466,36.033138,43.139028,38.534149,39.828846,41.76088,50.692463000000004,64.365169,41.718125,37.484715,43.709628,40.784158,39.308151,40.871809999999996,37.741185
flags,560.106404,624.467398,539.711919,537.555282,594.510143,578.613568,634.427099,556.713967,563.818828,584.945987,576.105259,586.027403,536.904377,550.894861,580.518602,539.727574,532.065852,541.181193,539.393382,521.381559,587.998896,520.580134,576.616103,567.328189,546.194375,553.422209,577.302028,701.251006,547.658976,680.192815
glass,138.364664,152.83439,144.033692,130.423224,141.536195,143.35391,146.112579,155.082734,149.870572,155.855178,145.29227,156.457142,161.846195,152.292672,141.412569,160.54112,153.984131,161.319951,153.307773,156.154433,151.542729,152.448758,143.603398,164.156011,162.820027,216.521062,153.988856,165.777131,153.585083,154.180422
