folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,23308.318322,31856.153054,31478.208455,30017.020007,30792.452949,32396.714998,30371.790171,29997.068393,31726.701986,30683.919933,31539.561641,30222.757474,30731.024351,31454.459598,33044.8365,31605.062257,33507.525348,29911.807997,31883.138106,30486.608056,30926.73994,30819.715879,30162.343433,32111.637668,31474.999466,24197.746996,26025.755824,25016.365741,26200.328603,27723.629975
acute-inflammation,1840.609345,1468.617822,1804.962619,1542.223643,1412.479043,1757.10158,1553.55539,993.217222,890.678908,938.017385,697.617343,963.241812,1180.489004,1072.630628,1252.422375,1304.373419,815.251033,760.807272,2047.074422,1753.607383,2027.723943,2148.604607,2014.577991,1903.206829,2008.002106,2221.199027,1919.541837,2075.307524,2020.315877,1760.634264
acute-nephritis,1413.671279,1317.586199,1807.485451,1679.907639,2026.542067,1849.715262,1874.705388,2052.114886,1952.633326,1379.431128,1920.291483,1853.183232,1759.008563,1609.996754,1696.681648,1755.87447,1805.435144,1849.762945,1960.05067,1508.243899,1639.47784,1899.770715,1185.271118,1086.330655,1141.530111,1115.524979,1194.682649,1605.32853,1571.260305,1496.977466
adult,1013020.544414,1106109.43039,1137380.484488,1140105.136766,1256718.915262,1145315.089573,1337817.667233,1110558.563617,1310781.040707,1381836.29981,1356477.788966,1291782.508961,1246345.864794,1371766.480632,1119939.996408,986730.007993,993346.072474,979241.817021,993915.682747,1209672.74994,1135298.492491,1182777.643034,1165723.131471,1280127.160343,1277320.866538,1280119.959928,1131439.670758,1465809.631064,1159075.823923,1474979.036996
annealing,33486.542435,31266.849351,35454.877269,34666.902529,33030.645389,29426.427815,29570.573712,29380.3254,32268.727054,29636.649368,28744.849184,32956.621641,34621.846644,30548.27071,32007.998941,33288.546181,28137.777999,34501.447145,30649.11698,33575.414553,36101.098755,30774.342717,38637.462235,32323.050113,32802.934862,33633.103432,32196.25495,36869.284234,32460.066488,29866.613401
arrhythmia,955803.466218,1018685.540059,1044776.586182,952140.768474,984779.199046,944026.685741,994222.475908,977588.317135,954818.716938,1068241.821499,912927.512536,918776.956035,877098.35651,1006922.259163,839213.644136,946360.703077,930167.448695,1207493.767969,1204523.601237,1086970.026528,1035930.92016,1227775.49595,1140060.348422,1008724.567607,1167228.4087,1268564.579685,1018078.339342,887270.47862,928249.777429,1053018.909282
audiology-std,45675.207306,53393.907804,50321.043006,59833.541274,72344.049372,65916.331997,79124.436197,72943.959276,76406.601051,65443.842274,90297.03352,94223.593174,80944.842022,92455.570796,69577.048753,74252.779757,81540.845363,68869.401769,87950.005013,68777.184768,78308.259876,63680.045654,75085.102617,73616.516431,72422.126293,67451.850334,56146.21236,59643.783459,65822.951213,74079.187388
balance-scale,3526.115609,3133.917894,3105.849425,3008.870724,5343.988631,4962.643972,4890.793988,4906.471963,5356.627941,4968.405056,4475.33739,2983.528612,3353.54047,3714.961621,2816.641233,3172.523457,5724.513721,5173.860834,4950.221686,4636.468193,4959.301645,4970.193415,6033.392719,3508.416141,3575.551691,3531.36118,2939.589465,3873.465423,3440.26321,3414.96723
balloons,505.718846,576.62208,555.819868,618.167785,521.492754,433.96205,645.31002,314.728644,350.271307,243.861673,280.335684,293.826192,216.603189,249.809743,251.353389,265.524058,300.718524,273.620901,325.906477,527.458353,515.636173,392.056663,532.676221,399.063335,543.953207,390.60899,545.900598,456.304651,557.679138,435.45247
bank,56027.707354,50669.338806,52139.002853,52813.428815,47657.33564,51000.514057,53687.859063,48867.163011,48005.636095,56377.940895,49025.965742,50079.229415,49533.849477,50482.882712,52514.779853,49788.087155,50547.762793,53513.218563,51197.056141,57391.645401,62969.562666,57079.627791,52274.313049,51074.035593,52210.762096,51864.786637,52074.297135,47632.811232,50415.036456,46861.591966
blood,2496.813179,2662.553372,2754.855446,2570.349448,2855.024989,2653.5205,2575.269541,2758.586173,4835.853134,4452.474055,4334.152197,3812.94978,4600.741678,4559.823438,4333.185923,4421.319132,5236.735794,5220.624471,4787.966021,5230.691215,4809.338226,5035.342588,4098.883935,4595.25703,5115.286122,4584.945194,4734.077613,4624.180767,4480.944408,4806.585076
breast-cancer,3351.904045,3152.61904,3548.636628,3047.953115,3413.911288,3315.163008,3687.108179,4077.837219,4074.554146,4204.882802,4238.827008,3423.75559,4265.966615,3609.369269,4211.00624,3636.024043,4053.75576,4126.110538,3465.145289,3254.630828,3067.188968,3450.473891,3307.121638,3250.441975,3347.819912,3130.815046,3399.463034,3382.716952,3082.111438,3064.495665
breast-cancer-wisc,3498.898054,5622.64486,5375.805691,5367.513982,5044.468227,5346.907939,5543.3466,3670.846442,5062.287222,5782.009534,5506.275834,5218.81548,5278.291818,6237.440601,5452.800865,5960.802576,6677.744942,6370.838644,6622.250726,6614.324914,6521.159481,7315.585369,6370.505084,6559.924899,5935.912976,5828.663078,4508.04855,5108.311921,4432.051362,5474.076181
breast-cancer-wisc-diag,13387.230133,16499.437026,16630.373899,17888.111549,16022.432867,17471.161031,18210.4064,16179.812873,18380.491159,15483.83542,15441.239524,16355.556188,15691.961897,17368.537136,18257.688782,17701.397088,17968.120541,17701.987468,18272.363588,19666.039166,19833.240663,17251.012594,19561.284879,17962.439492,13735.119246,14733.548361,14567.160788,13982.502119,14593.222035,14187.499987
breast-cancer-wisc-prog,7620.363163,7581.382504,6556.578237,7112.784937,6975.54641,7040.266584,5594.083048,6600.240702,8342.975321,6244.908881,6398.211367,5761.415304,6005.897234,8756.884424,8465.681097,9400.44039,8044.109538,8339.187047,8895.584073,7886.101266,7819.588406,7556.881316,7791.862934,7951.382677,8639.593952,8725.361071,8064.819457,5484.54992,6290.494637,5617.198857
breast-tissue,2936.087952,3183.71899,2868.540269,2980.258597,3231.839173,5254.728441,4929.122506,6360.497286,4788.924032,4833.684201,5116.389669,4727.829908,4397.503865,5006.920058,4840.813318,5036.749917,4554.510882,5156.926762,4369.709586,4977.892228,4415.919577,4065.751681,5009.157316,4271.429574,3871.52342,3544.709758,4032.879964,4527.270097,4471.586049,4111.040072
car,10251.862215,15399.554121,15656.797938,14239.237673,14228.792547,15798.04848,15658.726162,15149.135357,15092.891233,16253.871867,15094.158978,10709.607663,12733.336084,12862.325388,13208.649435,13538.722919,12823.9104,13649.683802,13035.535159,11890.132379,12218.515037,12362.322488,12511.618187,11284.815373,11610.189331,12444.830621,13020.129432,12455.509942,12445.591882,12490.814924
cardiotocography-10clases,194591.450833,790636.040185,233317.858065,1511266.834915,352164.048235,573000.557833,510566.134332,266696.908517,830905.5978,803884.068998,640249.328009,1612288.251593,263979.135314,529391.912681,3485754.621449,871804.226449,388338.727061,563285.967282,271538.350695,640142.950191,1026389.794305,323054.757293,373855.124192,248275.835565,460486.931491,3038001.426658,2603851.490158,4928087.901084,429691.24233,382939.819288
cardiotocography-3clases,35264.734933,36071.419141,33641.968164,33913.948547,35341.247484,33378.427077,42181.676119,38452.442389,37952.324475,37413.813545,37747.762323,38219.223843,38493.471267,39761.292412,38802.216084,43500.626563,43265.208168,35226.730726,35839.597317,31936.734447,35749.6568,35828.069121,37336.171263,34432.370469,39978.816247,36651.813535,39385.817443,36711.141366,37243.084077,36087.671899
chess-krvk,943753.695885,939134.508553,878248.597289,883248.262788,876466.534008,931611.525094,845657.963175,889050.539703,842838.55066,841520.918437,854775.790545,959922.598932,1003092.996555,1088467.288905,881733.5523,881992.059871,924518.756323,899970.282828,843484.270583,856035.043918,912046.829121,950838.149858,1008508.194984,913848.497365,860682.076566,867588.803841,1008605.671445,999668.249185,1005140.84695,925907.113878
chess-krvkp,109476.809489,126061.375118,106338.796265,109702.550387,110529.331763,125165.137442,124019.989954,108197.600624,127860.055846,105756.572349,107342.187092,105045.428645,100720.536471,102809.937277,111716.959038,99992.232669,114010.26919,102448.541893,104019.28535,103341.77192,107055.095371,102235.808245,100381.038039,108301.474132,106764.110874,117300.779644,102940.501697,109602.295225,116700.812278,99464.548382
congressional-voting,6344.282454,6048.354075,6455.19891,5863.821575,4982.887587,5191.931579,5535.768936,5797.195758,5445.083894,5560.312299,5587.349598,7077.754261,6300.028526,6597.948493,6705.80466,6180.121344,6327.625468,6383.482468,7062.059627,6657.16835,6788.315688,6539.443026,4823.33176,4598.992991,4719.278007,5479.589496,4827.572002,5028.389848,5522.904096,5471.828318
conn-bench-sonar-mines-rocks,17168.981117,18065.005055,18361.883408,17347.442048,17425.272719,17552.968314,17511.275647,15790.079935,15150.022207,21309.366584,17373.899513,16585.230409,17337.6984,17126.091105,21418.684205,16766.272994,21507.279645,16902.562731,20079.059385,17101.354905,16441.682308,19422.677032,15888.065001,21912.773121,16232.989443,17990.78916,17199.587939,16750.552685,16323.190731,17146.071649
conn-bench-vowel-deterding,76486.121352,28816.367478,26408.586917,28292.046502,26741.924462,5888106.995899,29912.494047,29804.755561,389081.153857,26999.341465,2683499.292426,2417855.942721,5032147.179317,24951.271325,25214.989722,23909.392613,22436.415296,22277.370494,9927646.383241,29858.993192,29912.788209,803416.674803,823364.813757,488633.921449,4861807.873942,57585.311625,30653.473397,7103514.983492,27340.817679,25557.831834
connect-4,7074960.961499,6788524.488079,5960578.097845,6326487.820569,6331833.765301,6639979.674348,6285925.900577,6394612.770453,5724558.408571,6321139.522868,6415147.035559,7916210.241754,7479318.246462,6801307.367521,8070021.793983,6853955.688803,7102302.160614,6756947.051543,7440927.681994,6694397.354275,5733487.300824,8007585.656643,7229810.061264,8259678.094673,7598833.991037,7427232.8129,6721858.16643,7689839.474405,6780784.548939,6317665.690487
contrac,12966.889044,12505.09038,12287.393073,12180.555633,12668.286363,11414.768232,13601.571547,14530.746877,13455.509891,14075.419995,14921.768851,13524.398879,12948.829678,13145.571234,13839.990296,13337.526403,10720.172433,12041.007211,15063.197309,14080.554218,13591.29908,15172.503708,14655.429208,14719.388329,14438.129859,13483.83547,13878.935068,13428.52978,10883.434738,10035.122588
credit-approval,9246.922172,9524.606651,9775.064568,10689.661987,10014.988209,9939.227233,9702.291438,9549.649965,9590.090855,10017.440317,7249.185337,7037.774898,7466.976714,10308.403822,9302.611839,9820.420093,9656.082035,10504.683989,9810.6225,9753.310634,9305.24531,9954.345581,9762.65085,10970.470841,6642.858275,6766.209831,6920.162114,7233.708636,8317.880532,7110.695946
cylinder-bands,16822.808342,16822.749617,18774.395998,20368.511371,20872.749222,18248.951628,21525.686328,18927.969701,18266.596107,21652.459297,17326.674,17370.354632,17294.304893,17376.846979,18091.022796,17968.899983,16254.590723,16068.000422,18262.973913,15443.148779,17355.505528,17518.278878,20950.390923,17293.913247,17941.219879,18520.892828,18141.566945,19662.593435,17917.672469,17660.965673
dermatology,14170.160972,15820.769267,15884.064692,16471.689992,15666.341614,15018.477007,16640.05367,18133.137591,17551.022379,16617.475093,16010.636925,16123.61368,16836.846582,15729.238754,15194.441468,14784.058084,14569.329299,15336.359919,14703.130373,14352.748705,16510.694456,16896.506609,17888.472888,17067.299919,17502.381883,18740.52878,16478.715167,17124.601833,20209.483733,14841.71748
echocardiogram,2041.20652,2331.82089,1923.53791,2538.034561,2395.126138,2215.75771,2082.491904,2796.155211,2420.640447,2055.498834,2414.763694,2312.618777,2297.15729,2515.544368,2671.491831,2182.402427,2612.931977,2599.056936,3015.406874,2784.699746,2624.422368,2436.796026,2517.384583,2576.282271,2771.500823,2217.078565,2302.772198,2432.551835,2251.298889,2246.314695
ecoli,10615.082704,9485.062332,9253.29043,10191.42849,10487.071262,10652.819335,9254.992284,9671.651077,10060.577494,8842.920003,9466.014706,10616.004159,11013.108085,7640.723847,8355.550407,9559.76781,9222.744864,9632.631351,9752.708298,9835.876942,8655.237197,10307.224105,8354.61126,9791.388017,7265.54228,7941.573376,8094.235105,7914.56899,7964.73927,7870.941231
energy-y1,7472.917313,7327.772402,7477.278177,5099.596541,5258.791839,7848.740467,8189.430331,8443.717288,7953.277071,7772.816899,8652.962741,8526.748644,8717.777937,8185.415419,8246.571278,7646.543332,9117.80295,8096.797751,8148.119049,8413.397262,8724.136243,8681.476828,7436.913678,8435.266544,8593.101995,8784.421473,8105.68664,9005.20207,5892.228389,6102.131078
energy-y2,7985.773807,7677.363047,7409.657929,8069.627628,7357.796766,8363.90708,7141.515037,7694.390697,8577.566882,8306.185281,8477.145789,7656.570664,8706.895452,7428.432749,7957.329461,9026.928069,8221.344593,8442.567602,7523.230981,8183.597764,8310.753244,8183.801502,7234.252509,7235.625898,8422.696304,7753.973445,7457.511082,8267.140579,8994.657335,4883.672798
