RandF,CAWPE,AdaBoost,XGBoost,LogitBoost,Bagging
43124.401027 ,23308.318322,50.010597,7616.483802,39800.712526,4887.304698
43274.141602 ,31856.153054,47.634892,6142.736945,38601.315905,4926.028609
42397.617933 ,31478.208455,54.428015,6121.679865,36156.313417,4741.175983
43185.862302 ,30017.020007,36.817949,6099.765553,38939.847021,4917.595422
43050.292386 ,30792.452949,25.714464,6094.085771,38457.942328,4848.112399
44467.20899 ,32396.714998,66.372552,6143.397912,37542.381482,5080.06409
41248.91177 ,30371.790171,41.605303,6109.237789,38679.28799,4957.193944
43106.379527 ,29997.068393,74.456718,6139.563523,40639.955965,5081.843846
47438.7589 ,31726.701986,58.197772,6110.463174,39974.411989,4809.242266
47541.181198 ,30683.919933,59.91484,6125.965546,38909.312134,4783.821066
48324.079056 ,31539.561641,22.361303,6102.122702,39149.936754,4866.690501
47142.081313 ,30222.757474,22.774476,6176.53428,37378.595302,4732.021114
48902.288714 ,30731.024351,55.558388,6137.880751,36994.366424,4974.353388
46011.634776 ,31454.459598,78.592336,6117.5039,38348.711996,4893.299044
50164.393533 ,33044.8365,162.968462,6109.540844,37005.648738,4957.616791
51094.411095 ,31605.062257,82.300335,6112.27419,38773.515657,5020.28799
48218.887196 ,33507.525348,37.382517,6131.520497,38115.723128,4908.009669
45193.761613 ,29911.807997,114.958509,6132.75466,36981.1371,4912.688654
51995.142365 ,31883.138106,54.093608,6154.014101,41237.275962,4846.558542
48519.079892 ,30486.608056,63.714819,6736.780537,40337.722028,5004.598552
47863.237138 ,30926.73994,22.535967,6121.75374,40353.899674,5438.344743
47576.107585 ,30819.715879,49.632761,6981.900084,39971.272913,5486.023305
48174.493226 ,30162.343433,33.051349,6118.118787,39920.550099,5114.934576
47479.225412 ,32111.637668,64.016763,6140.949335,40878.019693,4616.988561
47317.72437 ,31474.999466,50.85949,6103.409039,41118.917407,4701.237913
49974.682839 ,24197.746996,41.327926,6132.73418,38039.213669,4697.194674
48710.394854 ,26025.755824,25.948685,6406.323828,38466.51888,4613.582958
49099.711274 ,25016.365741,41.964623,6525.110897,36144.251849,5004.989994
48793.30906 ,26200.328603,77.905426,6328.753213,38082.634741,5414.134456
46852.677874 ,27723.629975,81.115238,6100.803205,39323.922924,4765.733797
787.327327 ,1840.609345,34.15349,397.777092,535.691584,220.314838
816.273195 ,1468.617822,59.586065,363.918074,515.079876,162.682668
2137.042974 ,1804.962619,49.870987,386.450199,515.955034,157.072249
2244.119322 ,1542.223643,34.832586,374.685425,522.33064,100.253771
2063.482365 ,1412.479043,36.998438,410.377158,536.706801,196.695704
1670.431944 ,1757.10158,112.759637,454.280389,530.689563,99.938624
2063.143047 ,1553.55539,105.922749,369.641498,528.967134,261.71925
1994.715746 ,993.217222,43.435725,391.308344,515.742442,156.048952
1869.700604 ,890.678908,48.64494,366.280098,544.839489,107.550793
2112.880268 ,938.017385,35.433994,367.136845,531.135603,274.854581
2231.748586 ,697.617343,39.562526,379.50968,525.690059,200.561248
1893.668959 ,963.241812,61.464396,385.233103,521.571318,212.798753
2642.660518 ,1180.489004,56.444385,369.204104,604.062342,101.400701
2237.661418 ,1072.630628,37.927092,404.617407,538.316574,337.2415
1844.118759 ,1252.422375,45.161277,371.338898,552.962192,53.78647
2480.21151 ,1304.373419,63.940353,369.82728,531.714633,172.576422
1990.487158 ,815.251033,41.422795,377.923944,542.015662,226.568228
2168.437039 ,760.807272,78.135469,372.055698,545.30703,173.791224
1803.470637 ,2047.074422,83.158074,371.65073,523.950838,122.39964
1612.517412 ,1753.607383,39.573735,380.686304,588.996639,286.066139
3225.185816 ,2027.723943,37.648202,384.404883,565.117546,141.554782
3137.266977 ,2148.604607,36.775976,424.268438,541.313698,196.442183
3018.153259 ,2014.577991,78.940485,359.380539,515.288236,87.248659
2694.318222 ,1903.206829,30.829867,389.403949,690.688009,213.693769
2582.46291 ,2008.002106,51.324767,379.298298,615.698972,102.282343
2682.157928 ,2221.199027,75.189082,388.432613,596.096449,61.476612
2951.934791 ,1919.541837,63.954757,387.059479,608.921055,141.685844
2720.154976 ,2075.307524,114.776389,400.795696,619.09512,101.448698
3040.559626 ,2020.315877,31.512072,390.569114,610.551278,219.945327
2575.683991 ,1760.634264,58.377824,376.270186,1959.757917,224.94828
515.10456 ,1413.671279,58.731532,330.680038,674.328353,156.63538
1440.069703 ,1317.586199,103.775512,314.177805,720.45942,225.599602
1230.861293 ,1807.485451,92.713117,316.389155,691.308852,284.71521
1183.246072 ,1679.907639,45.554908,326.712529,685.712673,111.969763
1424.156305 ,2026.542067,41.002745,310.297091,732.663338,131.135856
1164.323987 ,1849.715262,92.840271,326.473839,715.740931,138.17365
1280.360016 ,1874.705388,43.226016,325.211639,664.265194,252.319367
2085.333687 ,2052.114886,55.877557,314.83292,694.153485,184.486302
2130.040001 ,1952.633326,33.584944,333.187373,685.30541,94.639318
1557.322631 ,1379.431128,57.173193,328.279004,680.885987,237.264543
2303.091665 ,1920.291483,119.885419,320.678004,720.328795,263.388814
2021.228441 ,1853.183232,33.963038,332.77631,747.504794,286.628873
1818.911034 ,1759.008563,29.664278,321.201951,739.604389,241.554856
1552.527987 ,1609.996754,30.808334,332.509095,697.798175,159.91163
2031.392216 ,1696.681648,39.194528,314.413811,735.042066,111.65406
1885.389864 ,1755.87447,41.279083,317.462647,694.257158,188.765946
2088.851856 ,1805.435144,32.514045,321.604236,711.275395,175.184975
1362.85029 ,1849.762945,31.643317,325.324767,689.074686,295.104845
1250.12274 ,1960.05067,30.614236,330.366743,696.469758,253.965021
1386.357089 ,1508.243899,32.854498,320.396161,681.353581,158.307649
1332.667139 ,1639.47784,36.639378,336.33934,731.001034,160.26545
1380.279747 ,1899.770715,30.348355,379.285863,689.153609,242.455236
1279.376506 ,1185.271118,61.160567,334.700698,666.500909,262.607304
1439.071258 ,1086.330655,41.526691,317.732301,773.802425,266.072358
1535.353209 ,1141.530111,69.074664,326.169078,699.549789,218.847566
1631.301765 ,1115.524979,36.019638,324.091823,740.86034,348.096301
1190.870845 ,1194.682649,66.005532,334.756042,666.196079,306.460286
1560.674433 ,1605.32853,29.683759,341.888927,705.096928,255.978756
2002.397215 ,1571.260305,63.42314,342.692279,741.619906,230.900852
2737.255283 ,1496.977466,38.856269,325.739486,1293.797609,220.236172
926179.321975 ,1013020.544414,28453.570145,45600.566954,706498.591339,101986.379205
821317.10838 ,1106109.43039,37689.616551,44030.466656,706188.67313,99518.494883
884226.363747 ,1137380.484488,32790.607295,44336.542189,728536.75746,101175.149596
786855.93269 ,1140105.136766,30402.203858,44432.220523,707450.822959,101711.479366
756392.078323 ,1256718.915262,34268.245204,43925.704475,707058.507132,100929.882797
764628.733101 ,1145315.089573,24911.158186,44172.723784,712016.191721,101409.746464
761727.75397 ,1337817.667233,38080.057106,44090.801172,724948.62447,100226.228677
767411.553879 ,1110558.563617,25616.567003,44378.533955,726583.636859,100849.592849
765904.302897 ,1310781.040707,24377.494315,44704.707178,704541.97229,101311.734716
763566.023663 ,1381836.29981,29499.022502,44068.6667,713868.132766,102307.049858
757711.476514 ,1356477.788966,23293.961835,43632.783917,723294.684896,101428.019266
755674.311581 ,1291782.508961,24020.50317,43908.566386,735823.53247,101325.677409
754509.869981 ,1246345.864794,25043.727963,44273.614761,715498.542176,101522.767087
762667.53412 ,1371766.480632,22008.968245,44104.27505,717422.419162,100285.956718
763592.148551 ,1119939.996408,22728.956496,44269.256913,745879.977417,104192.771782
687432.953042 ,986730.007993,24256.662748,44689.651709,757508.216668,104196.956729
688322.889645 ,993346.072474,42405.175613,44355.974767,770128.662232,104076.174377
703075.073456 ,979241.817021,33211.413321,43853.58251,776364.595296,103886.936884
688284.71589 ,993915.682747,42686.56539,44795.940868,748807.504161,104551.535174
706338.441255 ,1209672.74994,29534.327966,43966.604951,768237.733765,103554.776998
688795.351369 ,1135298.492491,36666.018945,44046.011938,747270.57328,103581.934338
690126.369685 ,1182777.643034,28375.375544,46207.765278,757630.511726,106422.857613
692394.509193 ,1165723.131471,28906.829378,44690.182725,742700.846957,104598.579581
711330.257944 ,1280127.160343,31234.234017,44078.175994,753439.575466,104278.556016
704492.058639 ,1277320.866538,27246.655356,44233.117546,739919.677745,104497.156663
691465.853126 ,1280119.959928,25650.426537,43860.088562,773529.780552,104495.40297
780199.249003 ,1131439.670758,27716.544523,47637.195647,736676.608608,104057.976799
753747.285811 ,1465809.631064,24948.70073,48507.193593,744116.029784,102901.592729
738545.507462 ,1159075.823923,27918.25454,48430.437789,715760.524017,101844.126138
774648.968167 ,1474979.036996,25311.232828,43613.066814,457938.264039,81073.039063
7843.863079 ,33486.542435,37.398644,4351.270954,23534.516465,1641.365573
7723.949883 ,31266.849351,12.855115,3416.762768,22304.29584,1624.545695
7623.274252 ,35454.877269,23.966806,3384.502407,22442.370922,1501.149303
7769.135338 ,34666.902529,43.544633,3381.157831,22926.870803,1671.28627
6985.637073 ,33030.645389,20.07268,4099.086788,21860.587056,1566.830055
10966.96104 ,29426.427815,46.006864,3366.955694,23533.031864,1685.596158
10021.1693 ,29570.573712,51.526021,3502.506847,22675.077209,1732.920464
9523.282586 ,29380.3254,37.45962,3456.801622,23862.227413,1633.329976
8848.918973 ,32268.727054,40.651728,3304.025097,23427.685543,1138.40544
9399.892975 ,29636.649368,17.6745,3298.700789,31460.586881,1552.480737
10241.809859 ,28744.849184,45.753757,3394.659016,30754.119936,1567.457715
9400.083307 ,32956.621641,21.495585,3361.400499,31366.060455,1558.473639
6991.730666 ,34621.846644,13.221799,3396.746267,31303.049653,1576.18847
7036.630782 ,30548.27071,12.432124,3350.706291,31219.480634,1443.087532
6989.915628 ,32007.998941,22.019961,3353.231912,31681.264769,1728.410135
7248.242591 ,33288.546181,12.534471,3313.040678,30690.219113,1684.503475
7205.52864 ,28137.777999,20.461637,3323.443534,31002.910027,1530.182591
7690.033417 ,34501.447145,36.597588,3482.377706,30432.042677,1672.02871
7318.232395 ,30649.11698,27.259527,3336.442958,31151.040097,1610.178691
7849.961327 ,33575.414553,18.753248,3441.438222,30097.71432,1585.979831
7900.894488 ,36101.098755,26.606474,3362.516658,31337.05459,1608.154499
7795.580905 ,30774.342717,23.22461,3894.635122,31211.557417,1613.924239
7885.319359 ,38637.462235,23.727243,3388.271212,30783.30942,1666.442039
7872.517639 ,32323.050113,13.097585,3403.555861,27166.103651,1698.364848
7461.741581 ,32802.934862,17.437653,3338.466332,27229.331285,992.708082
7710.180421 ,33633.103432,27.725114,3406.0788,27346.48383,1142.457346
7472.97066 ,32196.25495,14.636970999999999,3628.139593,27809.123384,1233.985918
9574.085438 ,36869.284234,48.679178,3918.5889,27431.335635,1233.869937
6723.195214 ,32460.066488,21.844591,3493.669492,26904.386701,1144.698749
14612.716639 ,29866.613401,31.838606,3419.455154,27206.765805,1016.106816
21715.861964 ,955803.466218,39.413364,12121.135927,15814.140609,13905.878496
21546.694216 ,1018685.540059,33.821998,12034.498286,14689.943322,14334.481243
20961.597957 ,1044776.586182,46.196675,12016.186744,226394.923251,14259.170231
21499.368641 ,952140.768474,33.491791,12216.332249,227808.703361,14606.63643
20735.25916 ,984779.199046,42.538061,12552.551392,228989.747792,14559.864787
21809.273903 ,944026.685741,42.214121,12286.865553,13957.517171,14117.72332
20600.074137 ,994222.475908,32.47167,12132.301662,15128.713127,14047.443708
20378.124636 ,977588.317135,44.683755,12287.005256,232955.246975,14015.8535
18632.605652 ,954818.716938,31.794938,12444.939079,231196.948718,14230.122938
19363.213444 ,1068241.821499,44.97938,12124.45149,15656.335646,14137.294959
18680.29802 ,912927.512536,40.430019,12280.885399,16319.464068,14065.323363
18960.787683 ,918776.956035,68.918729,12308.308095,14937.14445,14062.23691
18356.089296 ,877098.35651,41.423724,12204.890522,16090.166602,14215.627076
18899.689044 ,1006922.259163,43.07247,12351.745894,229922.557671,14032.087947
19165.843512 ,839213.644136,42.248191,12313.647762,15992.512855,14577.972385
18801.425075 ,946360.703077,45.596068,12268.679572,16644.214413,14392.85938
18755.123025 ,930167.448695,70.470094,12450.915333,16144.87087,14311.291234
18366.659671 ,1207493.767969,62.193296,12176.693,15979.115035,14589.402896
18940.549264 ,1204523.601237,52.829392,12435.997617,225294.003807,14477.359756
19204.658782 ,1086970.026528,55.331182,12115.335947,17676.767369,14200.154785
18638.147939 ,1035930.92016,44.756869,12253.980553,224136.960219,14385.234394
17947.227327 ,1227775.49595,45.543989,14292.911293,227705.71219,14534.01286
17987.298697 ,1140060.348422,32.621243,12339.567131,227784.6487,14182.2162
18380.365755 ,1008724.567607,44.685891,12436.864602,222726.73618,14412.522442
18575.73543 ,1167228.4087,45.543692,12468.035379,17160.905001,14765.810381
19278.735787 ,1268564.579685,52.01815,13104.014905,18569.483633,14263.61755
19831.340572 ,1018078.339342,31.404025,12624.648975,14514.128638,14181.459485
19650.718442 ,887270.47862,44.030661,13823.245072,16159.005237,14310.226732
20551.32944 ,928249.777429,41.672243,12888.973139,223115.454128,14590.798839
20579.470234 ,1053018.909282,47.426983,12212.083141,13560.31981,33358.729914
5155.965119 ,45675.207306,28.456715,5445.771932,2730.201389,943.221634
6150.036564 ,53393.907804,15.229196,5400.185929,29143.077743,697.770503
5477.406141 ,50321.043006,27.118139,5405.684317,2006.898102,684.688483
6995.871372 ,59833.541274,29.976138,5184.166974,31986.475513,657.058739
5962.855715 ,72344.049372,34.744954,5428.318598,28853.95091,696.589934
6939.13809 ,65916.331997,11.593859,5415.424255,30154.587869,736.509647
3931.604632 ,79124.436197,44.984209,5386.798603,1997.112807,735.057852
3702.679258 ,72943.959276,32.115906,5328.616436,2699.031809,653.676507
3616.130967 ,76406.601051,25.438456,5345.61409,29295.649482,764.280472
3950.896943 ,65443.842274,22.430871,5307.854366,31972.084161,686.660877
4182.790705 ,90297.03352,28.886466,5300.590068,31139.956313,676.553801
3777.744843 ,94223.593174,13.28806,5352.026031,30164.907385,707.848784
3791.326725 ,80944.842022,19.615308,5435.593624,29557.658896,725.16105
4110.234307 ,92455.570796,23.504644,5404.932897,3613.001678,645.967998
4340.682371 ,69577.048753,27.001707,5295.755816,29919.911642,659.441393
4465.417421 ,74252.779757,25.405302,5383.799992,30625.401369,697.905264
4859.120658 ,81540.845363,42.663964,5438.489348,29505.986378,722.756895
4891.127233 ,68869.401769,25.514688,5413.335785,30928.741902,686.585514
4312.249778 ,87950.005013,52.834117,5245.670068,31044.993522,661.702949
4777.134526 ,68777.184768,17.219163,5463.422751,30656.910893,658.951991
4360.886772 ,78308.259876,12.537305,5362.536894,2620.826012,688.803654
4689.550724 ,63680.045654,14.236821,5872.034973,29345.500955,690.371039
3654.507574 ,75085.102617,11.659585,5212.381563,30086.321519,696.694876
3639.065274 ,73616.516431,15.375832,5485.25173,31447.095823,673.641189
3999.431697 ,72422.126293,20.708021,5516.675582,29580.923276,680.503307
4152.889412 ,67451.850334,21.015135,5440.485415,27455.96716,684.194453
4034.617481 ,56146.21236,16.92702,5951.708201,29530.729042,726.943931
3564.610035 ,59643.783459,47.236898,5944.283964,2718.93861,703.88472
4611.243198 ,65822.951213,29.03618,5808.056727,3707.352051,698.531
4552.589217 ,74079.187388,26.542967,5480.468436,28298.147007,723.008782
4372.433273 ,3526.115609,21.724701,1466.361629,4099.322037,170.644405
5133.921741 ,3133.917894,32.660685,1442.768201,4259.984619,177.747862
4440.807917 ,3105.849425,36.995992,1438.748273,4476.449308,170.843413
4866.214872 ,3008.870724,34.956231,1432.125437,4475.579425,179.68843
5159.009058 ,5343.988631,15.339341,1461.938197,4475.677738,174.888017
4771.864932 ,4962.643972,24.877153,1462.777144,4431.033393,174.863976
5722.390448 ,4890.793988,24.231028,1440.767989,4048.298885,177.890729
5494.329383 ,4906.471963,18.95218,1423.113026,4197.605577,175.455594
5715.615668 ,5356.627941,20.00349,1430.491183,4207.045513,173.127409
5851.224509 ,4968.405056,39.708222,1446.613806,4087.324733,172.453023
6339.038057 ,4475.33739,16.366702,1443.513526,3975.219552,183.281137
5015.954956 ,2983.528612,44.759945,1439.526757,4198.929192,169.208852
5420.644099 ,3353.54047,16.426551,1466.025416,4346.656131,172.407738
5641.078376 ,3714.961621,30.40059,1433.919386,4260.406594,174.015819
6561.350418 ,2816.641233,28.13157,1414.017231,4031.585008,177.265697
5019.814174 ,3172.523457,33.168272,1456.260121,4039.971977,161.705876
5268.805177 ,5724.513721,20.615662,1445.589562,4030.875781,182.683754
2891.466052 ,5173.860834,17.272416,1455.392892,4178.636388,185.53739
2840.776335 ,4950.221686,14.01464,1464.09664,4278.205563,185.388761
3622.874963 ,4636.468193,17.691564,1443.607393,4226.361583,167.259603
