folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,109.570512,119.1033,47.197227,81.943554,67.889295,43.74334,55.521087,82.596549,44.248029,90.561187,43.693045,50.168581,53.089244,59.51563,43.316182,59.026036,95.034105,61.430683,93.805582,61.108832,97.770179,221.293217,62.708114,128.569011,78.4113,52.724954,91.124988,53.78797,71.395143,99.61393699999999
acute-inflammation,0.761954,0.816645,10.317913,1.7222,0.95026,0.829771,4.512005,1.26992,1.994205,1.931152,1.062501,4.970313,1.808837,8.35398,1.100831,1.095239,1.213954,1.000113,0.903805,0.911223,0.933568,1.368183,1.034169,0.793964,1.08303,0.862981,0.834291,1.081393,0.920162,0.962073
acute-nephritis,0.838349,0.726384,0.865798,1.244326,1.023536,0.881202,0.776385,0.916118,4.426812,0.904312,2.8975239999999998,0.717658,0.812291,1.811712,0.793184,0.810757,1.85468,0.781344,0.869647,0.895511,1.0482879999999999,0.876752,0.741216,0.931971,0.807695,0.817942,1.004829,11.386651,0.970831,0.885776
adult,1245.518262,1197.77014,1088.342711,1001.420754,1168.79036,1107.699192,1078.63116,1086.626986,1451.07391,1280.924789,1098.32238,1811.176021,1376.995756,1082.538908,1129.466928,1174.603829,1112.411086,844.77856,1381.293389,1549.169507,1370.664403,1189.451803,1275.393258,1315.086974,1139.476412,1063.989494,1047.385363,1209.562625,1100.43031,1027.595237
annealing,20.464333,17.651586,30.266334,18.695503,19.036895,14.005243,18.395761,22.20355,18.890018,18.576746,15.092226,24.890357,15.137547,10.098621,22.148753,19.174945,32.123076,19.329841,30.678669,16.948852,17.827955,23.661236,24.446945,18.859572,19.004172,18.404923,21.002258,28.749598,34.302627,50.446759
arrhythmia,136.572736,129.800244,135.840067,142.409357,178.394127,135.494335,137.323397,161.666024,120.873499,167.162914,131.522274,140.402934,169.358592,137.330134,133.160259,199.973542,173.293007,218.726443,149.219945,121.197157,144.825747,136.493422,117.430094,148.275144,128.763164,120.361462,107.555571,148.028345,184.736716,150.259188
audiology-std,6.128721,22.395483,19.946875,7.964105,9.248401,6.101708,7.35398,16.33711,11.628773,7.468491,7.877487,7.7159510000000004,7.298875,11.030546,6.829779,7.944546,6.378364,8.614687,6.333535,6.109716,13.385126,15.147038,6.772465,7.878901,6.956963,13.389247,17.870552,5.8593720000000005,19.610323,12.927412
balance-scale,2.7691470000000002,12.664227,12.38133,14.306641,2.8805680000000002,25.915903,13.491328,4.585051,2.924999,2.6143650000000003,2.370263,2.262107,12.566712,12.57869,18.081045,3.334668,3.649601,4.220649,2.508189,3.030409,2.7960599999999998,2.587142,2.801826,3.284874,2.305459,3.160938,5.784963,4.036786,11.738768,3.208456
balloons,0.685625,0.469675,0.427953,0.528699,0.894902,0.527782,0.360654,0.505948,0.430862,0.491251,0.623492,0.513754,0.401174,0.504226,1.260909,0.930288,1.7416800000000001,0.445512,0.354346,0.462056,0.408207,0.422355,0.960683,0.805272,0.455329,0.548009,0.530613,0.530569,0.303703,0.608351
bank,39.141198,40.223553,42.024351,66.606562,93.417841,45.278824,42.547029,43.644869,43.453285,49.006436,99.484683,48.717018,56.299294,141.621805,42.413185,47.736638,41.611852,46.664187,46.276208,43.551343,40.358897,45.018088,42.76227,43.729699,100.379816,39.187925,40.019408,57.029187,59.025928,63.790736
blood,3.368109,3.72029,21.556365,13.484794,17.167407,3.021995,11.211606,3.963489,2.415565,10.940541,15.995252,12.480305,1.944935,2.319135,3.997897,17.460619,4.125377,10.519033,3.523146,11.28924,2.439742,2.521026,11.026528,2.768279,3.683709,2.810495,2.524625,9.735311,13.516093,2.48389
breast-cancer,14.068595,20.879748,16.745547,2.5875909999999998,2.399525,3.139779,3.11111,2.380919,4.818007,9.134804,3.8322659999999997,23.777863,4.222734,7.227497,2.923613,2.486926,2.961879,3.030345,7.237773,18.989829,8.158414,2.785647,8.276787,3.200832,6.327723,2.7014240000000003,5.776142,2.130414,3.130269,2.132636
breast-cancer-wisc,16.199376,32.109134,15.212463,9.468317,3.12658,11.11673,4.496869,17.124622,3.807009,4.242061,18.47588,3.123595,3.610999,2.6190480000000003,3.8379529999999997,13.349106,4.14874,16.597546,3.670766,6.009747,2.594891,3.362469,3.156125,6.5834019999999995,3.983174,2.991811,11.174211,3.406133,13.656191,5.053686
breast-cancer-wisc-diag,16.893504,37.416136,12.666995,23.151453,24.997408,24.179842,16.825988,12.351051,11.480782,12.377408,10.115884,23.436931,16.720777,7.0769,7.521602,11.521136,10.17186,12.051208,14.740536,10.934559,18.471712,13.380459,8.92222,9.912756,28.663201,14.49966,10.346319,16.551873,13.354515,17.829399
breast-cancer-wisc-prog,4.563207,19.468841,6.107552,5.834969,11.445772,17.856138,15.863125,5.213143,40.731799,6.283091,19.52574,3.416269,11.380873,22.613215,7.295649,6.24153,5.685479,5.993617,3.480775,7.102966,11.056606,30.717,10.778557,13.586024,5.681971,10.389119,6.467071,5.278094,12.059683,4.720407
breast-tissue,1.643289,7.364035,1.736481,1.842809,2.519642,1.857304,1.755436,1.8223150000000001,1.761909,2.8006919999999997,1.749838,4.156329,2.6253,1.5352999999999999,2.027811,12.29803,2.823718,1.5785369999999999,14.061721,1.599002,1.585134,2.041108,4.8821200000000005,11.255083,1.804668,1.769972,6.772964,1.715765,8.045343,1.842327
car,7.902445,10.902064,17.473242,11.400185,5.764188,11.858086,17.477028,17.065814,15.043908,7.424359,7.427699,10.471236,8.810853999999999,6.278928,6.237949,6.600474,9.37042,6.309257,7.069356,6.461543,6.448738,7.18245,10.865472,16.959604,14.407459,9.776196,6.984228,25.372735,11.960367,26.207
cardiotocography-3clases,37.590243,33.789422,35.398445,30.036383,46.642972,54.386938,75.099479,30.118218,78.261974,66.128718,80.378951,33.485302,36.990235,43.26661,39.547138,58.39992,46.513289,36.295734,38.216142,43.514359,39.533152,65.116219,56.055539,70.277332,35.273606,36.569274,53.745975,76.867945,25.134434,38.066431
cardiotocography-10clases,68.830656,42.785184,56.313967,54.22317,61.160787,36.860478,59.294583,63.138234,37.598233,37.169118,51.924938,54.699662000000004,82.403338,113.163557,55.292064,75.179919,90.421532,54.760286,36.74088,57.203071,63.596273,50.61879,58.616723,41.659918,61.405001,39.001691,32.617023,62.88316,60.339387,52.262441
chess-krvk,709.748994,625.724305,853.296656,625.688862,618.629537,582.724702,783.032972,684.313026,696.204189,968.117025,837.617139,681.898341,675.555358,753.858314,716.323343,913.647097,720.876871,824.926457,665.59435,711.119107,605.929937,607.719886,573.603697,602.35408,588.255854,533.362075,728.022083,868.602421,638.423126,679.265267
chess-krvkp,35.442279,25.396004,47.637909,46.533297,61.329986,63.609126,38.00447,67.165288,70.401333,47.204221,25.732689,29.8488,74.828818,81.202733,24.777185,38.708935,22.189059,26.141701,41.173005,21.803392,24.876283,25.668629,17.298814,20.301642,19.101439,20.176329,22.604191,40.102732,40.884937,25.704395
congressional-voting,8.306175,4.93058,4.5435680000000005,4.307882,4.344397,3.544035,3.5464510000000002,20.671483,6.272007,4.933964,4.106787,3.718093,5.220763,4.586898,4.157685,4.689801,3.37834,2.722899,12.89823,6.132628,19.270438,18.469013,3.415162,8.904427,5.595707,4.572321,3.930807,3.552004,6.931513,4.027754
conn-bench-sonar-mines-rocks,9.37803,8.301768,10.639452,11.313465,13.750046,9.853384,8.575306,9.748319,32.771869,9.793907,10.624759,8.199782,15.048325,9.343588,7.966446,13.558274,9.263793,10.246636,8.488931000000001,10.470314,18.773319,18.993195,7.334765,14.709701,9.066654,14.550179,10.99225,10.185877,13.826232,9.117002
conn-bench-vowel-deterding,31.578743,61.100667,33.139625,42.837275,23.947558,21.104835,35.229972,67.772643,52.301365,29.76555,54.682045,58.955828,30.621519,60.201132,43.772896,60.910249,48.77137,69.863886,48.857588,76.765936,51.075259,46.315875,78.776268,58.017648,30.95679,93.211903,79.392755,42.702114,50.650408,26.798061
connect-4,4107.120576,4462.111739,5632.268985,3129.169056,4033.393755,5754.468104,6582.180441,17601.47023,12398.878753,8993.939603,13376.58142,13212.948143,11653.768493,14102.172108,11039.614917,7829.697064,9274.543769,15918.190169,5229.966323,22570.731991,8768.476195,9424.995694,3595.075223,15694.837979,7507.890643,7449.778882,5271.365892,14045.975384,14259.235829,11757.55711
contrac,19.176669,31.17588,17.50013,20.557676,17.063634,16.515632,17.347089,17.490738,17.913491,17.658932,15.99608,15.482855,15.851732,16.979968,17.561636,17.271554,15.703631,18.565351,16.305762,16.239502,17.197154,20.723592,25.892223,26.974262,16.053992,15.902306,21.717497,15.568847,17.702261,16.7544
credit-approval,8.528881,42.586642,8.16605,7.890679,17.765412,12.543965,12.945565,16.437474,9.375795,13.310644,10.9313,6.771764,7.24211,6.450916,8.466823,29.339156,9.437483,8.371361,26.933954,9.967682,9.312083,20.232028,13.037911,12.47384,24.883086,11.775079999999999,7.6399740000000005,6.681838,11.684805,13.86264
cylinder-bands,21.719579,27.026225,17.424662,52.169502,52.260458,14.147918,32.413048,44.340794,20.27674,28.723915,14.377725,17.363586,37.734611,23.417662,36.948044,22.121932,19.933932,16.677157,41.284054,53.135977,16.063938,16.447217,15.806068,14.148827,25.761021,13.093053,17.03503,13.243044,14.829238,13.519984000000001
dermatology,4.479461,5.015935,9.788711,10.79905,4.788067,24.683539,10.092074,17.661183,21.294342,8.06825,10.84297,13.985377,6.070532,6.440182,13.083618,14.925645,5.855839,18.817125,7.38753,4.4484580000000005,4.972277,6.262941,12.785538,10.913158,9.829282,12.130406,7.479753,9.616347,10.779927,4.993384
echocardiogram,1.8707129999999998,7.993701,1.433387,15.281091,1.583296,4.130737,1.9698449999999998,1.56033,3.760602,1.6868919999999998,1.936632,1.355151,1.231117,1.891575,6.6735679999999995,1.431254,6.6237200000000005,1.4103029999999999,1.999879,3.266723,2.104411,2.105214,1.998685,2.192129,10.600239,1.279653,2.982453,1.434626,14.575695,1.8268309999999999
ecoli,25.972104,3.055378,5.057172,2.8548299999999998,2.767662,2.611441,3.718469,13.637675,8.204333,3.179618,2.775543,11.104051,16.705341,25.995369,11.136585,15.743276,3.052507,10.130541,10.549418,3.086985,3.084953,9.790581,14.207644,3.365939,14.735399,4.078676,3.14785,3.02437,3.547987,4.404927
