folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,1788.68968,1715.878868,1689.226907,1750.586652,1736.250246,1807.371035,1788.47387,1741.614895,1734.769698,1722.391158,1761.967025,1707.575073,1728.707482,1814.099173,1777.606914,1805.650563,1683.364454,1779.348331,1827.768178,1780.764004,1872.127034,1706.051937,1818.881248,1766.128156,1725.416439,1703.601999,1753.78526,1712.925286,1744.574783,1700.43231
acute-inflammation,31.985797,35.351654,34.309841,34.12911,39.797632,37.785426,33.547829,34.039816,42.781299,34.248786,33.829122,37.917507,34.197988,36.60999,35.999781,64.240038,31.83717,34.697081,34.271879,35.385191,33.714963,33.263835,48.267102,32.281986,32.65426,33.825515,35.733599,44.808765,38.309712,35.713674
acute-nephritis,36.622623,40.775814,37.093765,42.848434,34.080956,34.8679,48.91404,42.004905,32.15862,33.48413,35.568183,36.111099,33.584296,33.671913,47.94041,41.040576,33.163243,33.159815,33.719677,32.955941,35.045683,49.913845,38.686207,33.928814,33.972466,32.842384,36.530473,39.358039,38.574535,33.276976
adult,29680.122461,29013.025885,32247.151852,32180.024309,33443.94941,35943.096163,36082.681062,32455.526404,32370.172314,34989.695287,35725.917467,35325.6144,33110.83453,36093.368765,34516.374428,32853.527364,33319.380894,32956.981846,32957.943954,32948.32266,32726.723744,32881.989245,32406.940321,33265.080529,32251.011628,32857.231357,31762.04738,32205.692632,37666.991588,33910.145526
annealing,2390.578237,2275.176001,2475.094922,2501.583386,2465.737787,2201.861316,2587.008838,2651.834325,2383.667813,2466.942037,2565.332296,2124.114192,2179.157695,2295.556186,2277.253624,2212.560331,2292.603901,2406.208122,2345.038471,2339.752568,2290.568497,2337.861949,2204.445231,2165.892678,2446.891382,2240.881771,2239.918545,2221.32453,2198.382909,2208.933772
arrhythmia,51997.908962,47523.757687,52126.373819,54228.364128,54234.584576,54652.667841,54187.772107,53892.748554,53279.663067,53069.269965,54930.229917,53189.677421,52805.982062,54602.705479,52458.269473,55489.830999,54537.077977,51402.582776,52995.029127,51929.176705,51426.483582,54285.346886,54480.402571,54852.63197,54880.808921,55140.993501,54309.231822,52744.87869,54075.342376,55264.875869
audiology-std,2173.550365,2368.243633,2293.436262,2167.361691,2203.33966,2384.235959,2373.298213,2189.244678,2140.223177,2179.910083,2389.812043,2389.830518,2119.502565,2136.318814,2384.120273,2073.217382,2436.599344,2199.116536,2157.714208,2277.24756,2204.367819,2297.916795,2191.607923,2470.498841,2003.019525,2203.215893,2117.361993,2011.223098,1936.267663,1988.961615
balance-scale,161.672394,156.860649,154.181816,163.828766,163.138217,158.984953,160.060374,168.948611,168.326703,143.920762,158.036378,154.036109,161.889296,150.465998,146.594793,158.5632,157.614188,145.292483,148.622678,157.527156,173.346665,155.696338,154.161629,153.210769,163.114378,168.715307,159.883119,177.317099,185.141167,173.943991
balloons,5.078086,4.854705,9.20121,4.9182749999999995,9.14939,7.778489,16.844894,14.549791,5.359031,5.789093,6.263747,4.579245,4.67412,7.803517,10.863273,7.6276209999999995,8.760879,4.454478,5.052168,4.436582,4.98971,12.250069,10.753645,5.221344,7.414105,5.810111,7.668246,4.960691,4.740999,4.854739
bank,3567.660554,3577.02903,3662.742451,3514.388277,3199.898921,3339.517298,3573.278236,3627.55589,3530.482687,3791.813347,3626.597925,3610.718496,3711.895452,3679.972301,3680.580682,3605.458067,3532.741469,3672.596708,3916.170066,3655.536974,3761.119047,3706.033852,3676.603858,3407.165567,3595.798668,3309.170836,3220.694749,4001.782775,3919.574827,3764.001703
blood,149.308765,156.853509,156.080443,160.092595,160.761461,174.579421,160.629088,171.376121,198.130408,159.34753,176.431131,157.123524,158.469504,144.052538,132.507863,142.736818,154.787616,154.314591,137.928106,146.758627,153.57521500000001,146.251153,153.541467,153.957983,161.723879,149.277836,153.34689,160.326806,153.264659,165.265589
breast-cancer,103.16536,110.277927,114.332932,118.069014,96.257019,107.85548,105.301856,120.49155,125.032256,95.524433,106.260504,105.442043,110.412693,106.751088,104.053578,108.160533,104.763457,116.810079,99.268208,108.104017,100.529003,103.926471,99.810918,104.972765,106.44475,103.492472,101.589984,104.176865,95.712718,108.813385
breast-cancer-wisc,266.632783,263.833046,266.889034,263.938688,266.434441,288.214514,274.483747,270.31225,253.698991,257.749655,271.469576,262.17074,273.859331,282.888962,260.104142,284.96998,270.174225,255.584234,257.203026,263.194324,288.684697,273.006431,257.562914,254.816353,262.971244,261.69169,262.422165,286.072842,259.580671,247.934305
breast-cancer-wisc-diag,1238.616525,1179.860145,1185.415013,1160.473762,1093.718547,1132.199444,1215.783983,1159.686405,1191.541787,1131.656999,1182.163528,1179.26371,1079.617361,1276.284596,1335.347992,1181.418394,1194.970631,1382.767181,1164.007763,1127.65426,1218.584374,1216.458579,1254.200366,1409.576434,1302.591561,1353.9057,1142.065228,1087.174218,1160.178627,1290.800908
breast-cancer-wisc-prog,471.160765,457.169932,498.949811,425.397961,470.747196,454.589852,469.992594,478.18007,451.253579,449.700121,526.408552,510.812053,499.715214,450.915082,453.701503,490.090862,503.457106,420.158826,532.872131,529.570103,450.818526,448.606705,434.370696,422.145368,548.578232,433.128824,441.807849,458.414202,446.88863,435.345572
breast-tissue,83.164734,82.040139,82.304862,79.528236,83.25877,73.581768,89.083597,85.439495,80.439461,76.799855,74.270357,76.215638,75.519133,72.477033,86.622793,73.856347,77.038351,78.544676,71.543456,80.56191,73.078304,94.939896,74.507077,85.610003,78.352008,74.871676,103.012011,75.086435,67.725508,69.752999
car,782.385799,863.905581,838.861892,895.000803,755.131398,876.930268,966.425293,751.38501,744.801561,799.512079,741.7753,720.940736,814.05196,729.27687,765.926036,729.018875,713.246541,753.746024,754.128161,765.621664,742.796682,777.729235,689.343469,717.461428,740.156649,702.270817,806.244788,807.584786,793.4022,768.307016
cardiotocography-3clases,2789.216695,2807.943722,2894.918946,2760.949656,2893.074526,2716.647995,2734.999356,2788.512826,2745.515562,2779.472168,2753.993172,2886.600299,2842.140615,2835.404785,2843.902948,2687.548416,2774.222285,2812.916,2811.353798,2884.695469,2826.13963,2888.044477,2806.379661,2704.198323,2860.639177,2839.606736,2783.672331,2762.050157,2837.234142,2887.87573
cardiotocography-10clases,4758.869608,4570.685644,4996.598546,4857.931248,5885.375852,5211.693768,4610.165076,5510.738005,4952.022386,4789.647683,4673.423351,4925.394119,5061.967081,4969.319671,4875.678993,4603.970685,4993.313725,4835.400487,4835.543445,4197.518847,4964.207121,4649.168273,4270.339063,4476.330143,4311.338871,4312.141954,4525.553231,4412.560965,4205.431459,4186.868508
chess-krvk,51951.072814,52371.263938,54641.606971,51680.15734,51543.890128,50812.852126,50344.061809,54306.931927,53335.53261,52918.393514,52113.077647,50242.726397,52016.380834,52886.133568,51458.729515,54268.260897,54921.639855,54930.887266,57219.614751,56754.28031,57002.733672,55327.189982,57480.039743,55503.643069,57833.928603,50916.765296,57258.786202,56817.658091,48489.048974,51555.077924
chess-krvkp,8694.128763,8620.989297,8831.713497,8892.589896,9179.372009,8493.9846,9918.609689,10102.024923,10032.219413,9036.894439,10015.534564,10033.499893,9466.659226,9791.578195,10319.835143,9228.049562,9233.768137,9045.371383,8946.899248,9021.195304,9021.173485,9186.95534,9136.111278,8751.810381,8497.966847,10088.7207,9950.241215,7993.047557,8460.918259,9872.078896
congressional-voting,313.589608,346.798571,375.108466,372.525236,357.945584,366.698432,389.16559,364.54979,353.025512,382.313137,384.992887,359.794772,382.753588,379.750019,335.584629,380.747404,388.763802,459.855517,350.424767,348.186493,350.066002,326.865794,365.477265,340.752657,342.784892,333.377479,342.780344,378.113292,351.532087,416.213375
conn-bench-sonar-mines-rocks,1406.728915,1480.974954,1468.761321,1303.369956,1501.782358,1470.454531,1490.195371,1496.454347,1413.49844,1485.303238,1430.129845,1467.258665,1708.563695,1433.317655,1487.535397,1694.980376,1453.583945,1467.59564,1493.724042,1430.938917,1472.697653,1451.595681,1464.338253,1388.762287,1430.134379,1411.478624,1571.580991,1392.125918,1881.028408,1364.526315
conn-bench-vowel-deterding,1628.403781,1573.385264,1481.154095,1752.59761,1623.391048,1629.883207,1359.185117,1400.107567,1427.22914,1597.275922,1558.279501,1536.000247,1471.827786,1289.200483,1512.681839,1323.256184,1499.644036,1292.790564,1533.176337,1609.81079,1515.757499,1548.98555,1605.471311,1520.966841,1468.141147,1436.82789,1347.74523,1352.482915,1361.160893,1367.834737
connect-4,263515.730077,222822.887387,225114.493656,263335.243,263732.554495,220869.412232,227767.137,233850.974063,261967.87488,243339.178685,271350.906536,238430.584972,228984.453706,231179.972787,248309.354251,228100.280053,255708.131794,254255.399195,256917.317726,250138.668881,250614.385591,250106.215285,252263.694397,268097.540024,240725.657504,254211.999015,254557.458293,240515.393287,234980.673894,244218.951028
contrac,716.781526,719.998126,722.829018,757.297002,750.7936,790.076134,682.875019,606.013985,715.037403,682.340029,744.974593,672.258556,687.473948,630.465104,724.845038,615.231916,700.113433,572.710419,722.329722,722.099367,729.59127,687.224742,711.773391,681.68845,689.023302,602.32041,695.293941,611.579862,770.791948,732.671241
credit-approval,464.125779,493.477937,463.871466,492.312138,572.30443,469.746597,473.893256,554.810307,486.563748,506.926235,470.856788,442.689996,490.924137,486.66957,498.307529,450.649927,479.753018,520.358194,486.767537,484.082296,487.3907,479.070484,490.41575,490.186943,480.453026,493.896389,492.821363,486.041479,510.607529,542.606151
cylinder-bands,1488.259707,1228.918562,1364.780726,1375.855085,1331.703253,1376.959956,1359.637067,1354.100949,1372.208433,1387.155196,1331.383586,1347.051386,1380.447891,1390.025628,1349.84176,1333.840465,1424.409744,1564.450275,1364.598916,1298.402531,1519.068177,1398.939202,1387.976283,1501.390103,1739.582121,1328.407193,1331.179673,1367.475807,1462.193675,1156.355937
dermatology,1443.132349,1183.544436,1113.4268,1147.170491,1091.512363,1505.916964,1170.451758,1194.975043,1173.359243,1204.194255,1326.558597,1366.219513,1304.135199,1187.745254,1301.053003,1337.593861,1344.15068,1155.199917,1199.451097,1154.16145,1213.257267,1151.018177,1201.887143,1475.552196,1110.764851,1157.688397,1151.988706,1171.295895,1140.359393,1365.332619
echocardiogram,57.215495,56.702788,58.48251,63.597234,56.547839,62.452333,58.847981,77.431723,58.757447,68.386183,61.600813,85.760502,70.505398,59.134844,61.05044,58.773828,66.297268,59.866246,64.181659,59.605505,65.741546,61.045079,58.999458,70.537102,59.728004,57.551556,58.057755,58.029599,61.673195,62.13622
ecoli,263.078407,284.310441,295.239924,259.933807,261.259404,259.076399,272.051884,285.4778,275.831137,271.422872,265.02812,286.177579,256.212533,418.429498,281.52038,290.458727,270.325075,270.458242,267.47097,285.327317,314.100911,310.369817,260.243518,269.853175,276.815208,307.362148,271.233577,261.94871,265.56285,249.937976
energy-y1,327.716247,330.185651,315.293696,325.526425,311.957024,303.437958,312.657356,313.694835,303.993315,311.268539,306.146009,304.739768,336.800032,334.684556,360.034661,308.077416,351.014487,329.893563,299.347788,316.254225,326.876248,349.106201,330.005447,324.052973,305.727621,314.406428,322.756877,305.615723,353.768194,313.004437
energy-y2,280.780686,320.92177,324.615161,315.826459,313.440492,319.778442,316.017159,334.865165,330.834706,351.123834,315.250985,313.265094,335.139976,351.6561,372.433741,322.948642,323.075212,344.542769,351.577141,346.839221,333.351026,422.497872,321.142363,305.823134,307.103249,313.018328,298.89294,297.674083,306.14501,315.064821
fertility,43.555984,39.17274,38.286029,38.666358,40.585895,42.12462,36.825293,37.593047,43.843714,41.937064,39.760513,46.686092,39.280677,37.131463,64.923208,42.10953,42.44521,34.4857,40.128622,38.983666,62.99438,40.691584,42.577371,38.529073,47.511642,37.272143,37.851098,36.584891,37.566933,40.418717
flags,531.430454,570.365136,552.393315,555.636242,520.023934,543.445858,557.676999,535.010078,554.580957,597.066529,568.097683,546.715247,548.089653,540.320154,557.918304,569.235307,477.868506,557.215082,577.626375,576.839764,533.359817,603.5255,615.90458,607.539638,582.579797,562.246863,592.478845,549.453798,537.781711,557.48838
glass,151.123721,147.302065,153.696293,153.422224,163.296583,147.456316,145.220045,149.699332,150.611643,161.12946,146.479864,144.729318,150.118534,158.620863,154.849692,181.806379,142.908535,166.051751,150.398826,162.694414,170.008628,148.649163,173.102612,148.537464,156.243299,164.886245,147.860826,135.588968,142.274694,147.329561
haberman-survival,47.214974,47.057746,46.201381,47.919614,46.056045,45.656382,49.702752,46.257874,52.815475,47.361457,49.723909,49.092975,47.936407,48.234344,83.794232,61.220295,55.794848,47.234161,51.964779,46.370665,48.544561,51.292384,52.875556,53.723926,46.884177,65.156919,45.149651,50.098539,49.052532,47.693274
hayes-roth,42.343799,43.649817,35.679352,39.992316,37.691108,48.232155,41.117023,38.906952,47.846265,37.62629,37.784605,38.101549,40.479753,38.029155,37.203345,42.68041,41.016101,40.160027,45.089087,38.525731,49.477313,41.754551,46.685412,38.808631,37.129834,50.329304,40.602033,39.160189,46.519211,43.144878
heart-cleveland,294.064987,302.897909,274.948452,276.019682,318.312786,305.76921,266.775695,275.188012,278.386172,292.231144,285.456397,294.944796,298.25483,264.077442,306.504932,280.762365,294.120402,280.185079,297.960964,290.396856,281.478309,291.164007,288.253292,286.96611,280.203553,265.824819,275.818112,291.088649,261.370991,286.495828
heart-hungarian,155.217562,161.281341,163.485354,173.74662,161.195497,202.903488,168.667163,193.935122,165.213921,172.999227,169.522952,177.403358,169.049644,235.125747,175.461208,174.502835,176.28438,166.35389,156.525827,177.131126,170.821599,173.954448,166.810935,178.897034,183.787214,168.507913,162.504237,180.51497,189.388233,163.586434
heart-switzerland,102.462721,100.732599,106.163725,98.040424,92.182913,105.093194,97.23439,95.168296,99.089948,97.736659,102.31761,98.012363,96.660797,96.024632,111.020581,98.454925,96.185577,109.684087,96.513673,105.593156,114.108496,104.343735,102.270601,101.652851,114.154777,94.495449,99.370939,97.815527,108.051933,96.673175
heart-va,153.351092,154.966904,151.668394,143.68595,165.176345,171.847607,163.882523,161.388387,156.710137,160.469813,190.790841,148.50807,156.709985,162.380049,186.317548,175.0093,176.547446,174.44696,162.834244,170.657768,164.787634,162.583179,157.415638,185.991119,157.390247,172.581201,173.037642,165.679998,163.108581,156.24928
hepatitis,154.91464,149.990064,176.705594,161.882076,149.913044,147.804167,153.084713,143.568236,149.415525,156.189577,153.78151,164.114748,161.584283,148.91862,150.54045,148.193759,148.810015,161.133856,150.286302,162.016834,159.952156,154.770935,155.104078,154.592739,160.35962,158.322352,156.116859,152.810627,160.140477,149.870471
