folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,136.30919,84.539769,206.020347,204.525198,142.185398,96.480898,92.501781,141.9805,105.390303,98.680773,105.536449,132.835926,112.394842,107.250819,104.198218,105.802719,115.00241,150.785197,223.133172,73.91383,114.49119,121.804421,122.854043,159.216734,112.115903,146.207365,104.894164,103.264217,123.275206,89.127086
acute-inflammation,13.141479,15.604929,17.3835,6.876177,8.743389,9.289329,9.905271,6.861639,9.90569,15.85438,13.217088,10.97386,6.785518,14.257603,8.510374,14.493859,8.72218,19.681853,9.191775,10.726741,8.597405,6.679471,24.807947,16.844395,12.755455,14.642339,17.267698,7.200271,6.358014,7.427386
acute-nephritis,14.945194,14.96372,7.489524,8.922469,29.082274,11.90906,12.713628,11.654677,17.69406,16.725092,22.255116,27.520023,6.907569,13.023382,8.132408,10.410477,9.690884,7.318957,6.830852,7.19094,10.904104,19.859952,7.694298,7.203549,14.692981,17.582917,10.21415,7.042792,7.954718,6.608716
adult,8506.507549,9683.041472,9939.108971,8899.50762,9574.775251,9813.674626,11407.149194,8696.048022,10486.117076,8308.607613,8925.430561,13401.569137,6825.83965,8830.345238,9781.044717,11144.068707,10160.187789,8886.163191,9258.629927,12944.317833,8259.988771,6853.141693,13611.770506,12617.154451,9451.900195,7984.387786,6234.355675,5041.666155,5932.766071,6863.726022
annealing,120.75996,114.565161,169.713767,95.762965,94.148562,161.287284,182.444046,240.235963,103.362763,124.467844,112.875091,125.163335,146.158575,87.935969,73.263673,107.861918,228.689428,104.994853,116.28057,102.410109,112.453026,99.638416,83.921309,92.279054,101.186369,119.939839,98.960314,104.658795,89.447281,128.933891
arrhythmia,294.24833,355.757075,239.651348,359.537614,351.58415,516.120173,926.258558,557.543737,247.569841,286.4751,428.039457,252.77164,343.928942,412.023416,248.177406,272.798742,477.186597,561.95624,366.265169,410.545364,360.278274,298.954752,318.457324,415.772221,528.867917,397.013635,452.898253,513.12086,250.856135,286.219553
audiology-std,310.554818,694.0278,1324.531222,794.758642,478.150455,756.687411,1044.450519,965.629436,1201.883658,1097.560967,704.666061,586.355659,1288.430786,665.001909,604.480512,617.331746,821.489133,1017.497852,513.814227,1130.235634,573.899016,436.25784,854.662139,534.220877,720.284872,425.029614,549.886259,509.689752,488.490705,1146.557034
balance-scale,19.326247,25.919458,37.244869,19.002672,65.213917,28.13714,30.905689,27.206621,34.963451,18.956888,29.432954,41.907242,19.94407,21.109988,45.080438,30.562298,19.837376,26.071096,36.243346,64.738599,122.80423,61.955663,28.348961,85.567102,41.795845,81.558103,86.449795,70.374459,88.496907,24.539716
balloons,5.814542,5.7481,6.390446,6.018823,9.108095,8.385791,7.880275,5.7188870000000005,8.751267,5.831752,9.631226,6.410311,5.779087,5.909637,9.85656,6.928162,5.822283,6.147777,5.807364,5.6425149999999995,5.793797,10.115604,6.153756,5.701485,5.682418,5.824043,12.261248,7.724382,10.289222,5.555652
bank,223.065213,244.242759,244.408961,142.124943,143.937286,200.523076,260.62491,197.159633,295.296238,172.820105,252.729798,237.796139,215.209516,223.30068,214.654021,184.545136,143.930608,305.931793,223.980373,270.666874,216.432739,188.879239,270.077686,389.548907,195.004539,303.332255,166.711105,263.758456,174.339616,310.201403
blood,13.4576,15.960215999999999,13.174968,23.261702,13.546108,19.214598,31.526677,19.71853,13.903897,10.738024,10.155488,11.265379,10.671041,14.360092999999999,21.234244,13.479521,26.880877,25.104713,12.71528,16.817996,16.63206,14.296445,16.396556,17.881319,20.322437,15.866996,17.623763,17.245776,19.960638,13.693811
