NN,C4.5,Logistic,SVML,MLP1,CAWPE-S
-1.8522500000000002,-69.64221900000001,-103.649296,-114.74680000000001,-1752.185956,-22710.492686999998
-0.21159250000000002,-1.0822115,-4.007576,-10.8503005,-35.0243675,-671.718871
-0.219634,-0.8906434999999999,-2.515208,-11.2793905,-35.839641,-672.095598
-4.7047985,-1171.6970944999998,-785.4523535000001,-9355.265061,-32957.4629,-971571.7157010001
-0.5156135,-19.252392999999998,-126.35755850000001,-112.6640585,-2316.7090675,-30172.9803195
-0.47171850000000004,-141.40614549999998,-43012.3407015,-363.2717215,-54208.0681175,-923600.465091
-0.2595655,-7.9543254999999995,-3182.3744525,-712.4754665,-2201.1662145,-50253.714108500004
-0.37687550000000003,-3.4921345,-15.15646,-35.6033985,-159.434036,-2575.032554
-0.306504,-0.520768,-1.3843475,-6.1507665,-6.036929000000001,-185.6926515
-1.9192965000000002,-45.777516,-63.422588000000005,-223.6405265,-3641.546432,-50542.017646
-0.567331,-4.061637,-10.4629125,-16.514308,-156.466976,-2418.54345
-0.276293,-4.0275,-7.2531095,-15.3333315,-105.85127349999999,-1629.8445510000001
-0.4207735,-4.7752775,-16.098613,-20.932982000000003,-265.18656450000003,-3560.132987
-0.364723,-13.9400595,-46.6339505,-32.1218285,-1188.4784,-13600.3100305
-0.2499305,-8.842384000000001,-31.562646,-19.008660499999998,-457.792067,-5521.251636499999
-0.2098335,-1.9425575,-53.3798585,-60.305878500000006,-78.448342,-1872.4603240000001
-0.8206325,-10.123716,-80.853269,-84.471807,-765.77385,-10335.104223
-0.9934215,-43.3904845,-138.33839,-65.71406,-2812.134899,-36379.10774000001
-0.9461515,-56.758519,-27513.9803505,-423.142721,-4812.524085,-531589.5541255
-1.5678139999999998,-690.2586075,-15679.082527499999,-6827.8315475,-53801.8967535,-984988.4653115
-1.4195389999999999,-36.7233745,-125.6372045,-228.603521,-9183.1636745,-123544.03050749999
-0.35893200000000003,-4.6383495,-9.919735,-23.889063,-365.0135275,-4869.8098965
-0.2612915,-10.358475,-25.4559735,-15.213502,-1468.1784805,-16788.0082545
-0.556342,-50.8628335,-291.196108,-337.7702645,-1514.219669,-25480.016699
-7.048538000000001,-9349.7697315,-2869.7020655,-134977.181032,-250122.442083,-6606725.8461785
-0.733236,-17.418913500000002,-34.1951025,-72.475994,-713.405397,-9993.3381605
-0.404284,-11.7299425,-19.52673,-57.219188,-488.7888215,-7291.1881835
-0.3626515,-20.9981595,-36.852446,-38.8680835,-1374.031759,-16137.859466000002
-0.310785,-9.960678,-65.096918,-113.12384,-1197.2130699999998,-14958.087706499999
-0.2225585,-1.999282,-6.125343,-19.2227155,-61.0477595,-1157.3061545
-0.296624,-4.731049499999999,-59.2143575,-172.88036499999998,-271.737378,-5436.590502999999
-0.432207,-7.062866,-47.627570500000004,-74.175605,-319.50555099999997,-5113.888373
-0.442961,-5.8128005,-44.975809,-67.69577100000001,-322.0455025,-5339.336032499999
-0.194065,-1.6045099999999999,-3.8697025,-12.386571,-40.2736695,-1039.010858
-0.238727,-4.644111499999999,-62.292292,-154.52501949999998,-557.5826895,-9397.163962499999
-0.243041,-4.588792,-40.78741,-78.97691950000001,-150.867682,-4256.999716
-0.26861999999999997,-1.7364039999999998,-4.048280500000001,-12.5943435,-48.7985465,-1671.3198905
-0.2108875,-2.592182,-3.954423,-25.903302,-40.809067,-1084.2992375
-0.30211350000000003,-7.0007675,-30.1581835,-58.927968,-287.609701,-4717.7094665
-0.3245925,-3.4809824999999996,-9.3875975,-16.127461500000003,-173.3729235,-2609.3694935
-0.22811150000000002,-2.7282265,-38.760394500000004,-47.0489745,-100.05176900000001,-2221.4452650000003
-0.279306,-4.138326,-36.6876685,-47.178661,-163.49555199999998,-3105.5466805
-0.2141255,-2.6236845,-10.552353499999999,-15.6109025,-154.8427875,-2432.5446144999996
-0.6804735,-27.172978,-56.96311,-48.631285500000004,-22966.5852845,-244201.9280015
-0.3031395,-7.931573500000001,-15.461869,-24.3712825,-559.1985414999999,-7028.045988
-0.37157,-7.15685,-11.4441325,-26.8676995,-232.89580949999998,-3530.5345455
-1.0507724999999999,-44.191993499999995,-35990.2878755,-238.8864045,-3422.5141335,-430546.5852405
-0.311859,-14.7120615,-23.532536,-24.800309499999997,-854.068737,-9601.691760000002
-0.22011,-1.255662,-11.5624585,-23.2345905,-39.799419,-1114.585853
-0.6043069999999999,-15.708107,-138.10248,-325.418852,-1009.988884,-15564.0672945
-0.2856295,-0.507333,-1.8434325,-15.4182855,-9.574031999999999,-469.7943555
-1.8211005,-400.3661565,-46446.061667,-6560.5389835000005,-87637.902852,-1504479.7692195
-0.3514695,-63.3089795,-4372.3303115,-563.0374959999999,-7135.541085000001,-142558.93686349998
-0.41620100000000004,-56.2166405,-1541.946011,-194.2611675,-10972.511065,-140660.503418
-0.2321025,-1.3809645000000002,-10.727068,-17.9235635,-204.7730985,-3058.2338225000003
-0.207801,-4.1663559999999995,-21.1255375,-56.16866,-176.68805300000002,-2823.288881
-1.8573205000000002,-332.2993655,-221.72827,-1023.378242,-8226.777987500001,-202103.20888350002
-0.5223035,-7.602125,-15.4131915,-30.730396499999998,-216.495825,-3725.7410045
-15.591208,-24062.599920499997,-4035.6181485,-17648.679360000002,-647488.247707,-1.8459060815022998E7
-0.20984,-3.6415215,-8.6182885,-12.031129,-681.739519,-8635.949822499999
-1.384897,-60.3955385,-316.06768999999997,-615.633835,-23277.8672225,-268874.37339900003
-0.37511150000000004,-3.5915844999999997,-7.49787,-18.9979225,-158.2306615,-2433.2550415
-0.3825045,-5.122465,-10.323732,-14.516897499999999,-173.4457985,-2619.117041
-0.37937849999999995,-5.3740524999999995,-12.490526,-19.2509525,-163.38732850000002,-2485.8742405000003
-2.4642855,-58.027468999999996,-237.4802795,-3513.049242,-9236.0184275,-159399.7649105
-0.41553399999999996,-67.5456395,-62.263499,-35.2547195,-23035.522306500003,-245683.2014535
-2.74508,-853.7796205,-1354.2290229999999,-3263.9721445,-319227.892613,-3199604.722376
-3.937714,-43.376122,-1863.5254974999998,-903.733659,-7168.624444,-139892.229616
-0.6369315,-54.616572500000004,-74.52482599999999,-97.01666900000001,-3321.262221,-41279.305583
-0.5574755,-31.185453,-95.2803885,-58.6650205,-1685.5215425000001,-21966.164145000002
-0.5061485,-38.4003065,-44.9241035,-56.0487675,-1350.536957,-17789.7950575
-0.528354,-43.1119935,-97.963718,-59.1299835,-2215.483601,-27381.362798000002
-2.3076,-216.69007449999998,-7290.7862895,-599.982411,-53627.800183,-686354.2357145001
-1.1744385,-54.58125149999999,-530.0778405,-100.44964999999999,-26622.968163999998,-322176.1248505
-2.2479185,-51.0139125,-1307.8294845,-245.31048199999998,-3582.908661,-59800.8195425
-0.228801,-5.097417500000001,-21.1306665,-20.3652985,-255.0765485,-3327.583323
-3.3167885,-205.7985945,-4230.725888,-1200.292707,-18282.4728545,-303459.883997
-0.47496,-8.6666635,-13.76218,-26.3389885,-287.2942765,-4804.4837305
-0.204351,-1.1660575,-7.30087,-19.8911525,-44.722249000000005,-1041.4841959999999
-0.20973,-1.5548229999999998,-5.543698,-17.7430195,-43.7148345,-1010.4248955
-0.244109,-1.569194,-9.5974215,-24.3059905,-39.026228,-1110.1288505
-0.197181,-1.09633,-3.3349335,-13.239009,-32.405346,-818.4541815
-0.207283,-1.5348465,-37.2299395,-72.280181,-69.433026,-2215.4029090000004
-0.2584015,-1.4323405,-15.482033999999999,-23.879132499999997,-105.23524900000001,-1953.592382
-0.7993680000000001,-165.6801195,-300946.188241,-33499.785582,-101470.398986,-4306558.857368
-0.7942775,-742.735041,-1062133.38671,-29505.445894999997,-95455.470615,-1.1179038491151E7
-0.7922175,-226.813218,-289262.4964095,-23765.374593,-89557.6387965,-4621340.910259
-0.2059145,-1.3090715,-7.296032,-42.406546,-38.677312,-2138.1541555
-0.303186,-10.762806999999999,-272.385166,-569.6622884999999,-871.8288,-20211.8508275
-2.4094035,-367.2957075,-128.34457400000002,-281.83792800000003,-8139.3507205000005,-118738.12734400001
-0.25724650000000004,-2.108277,-24.4798395,-22.458191999999997,-86.0188495,-3333.9159090000003
-0.930434,-171.4897105,-36462.414577999996,-427.482929,-175637.9362585,-2170314.5336525002
-0.42017950000000004,-26.139102,-1656.172337,-834.4240735,-3913.4522205000003,-65223.3787015
-1.8834784999999998,-138.474161,-289.05782899999997,-97.4735215,-29190.14008,-333521.954998
-0.2515815,-9.060308500000001,-12.540745000000001,-17.9654345,-346.8514245,-4255.2051235
-0.26299649999999997,-10.445788,-33.7058375,-15.835961,-1068.570057,-12006.369607
-0.438761,-17.493071999999998,-18.2625165,-53.280628500000006,-490.078116,-6082.2827255
-0.53434,-42.1313615,-42.8545725,-42.039365000000004,-1447.2396170000002,-17724.4729985
-0.277482,-3.379117,-20.870883499999998,-19.96823,-160.7499725,-2355.4216349999997
-1.0843805,-50.692975000000004,-1168.0729505,-189.9762715,-3311.205173,-50686.432946
-2.608141,-178.2828285,-1374.6660455,-364.743407,-22411.331733,-258918.023986
-3.904087,-274.340787,-44537.016642500006,-2935.1078975,-48208.4187715,-1446720.0401384998
-0.471312,-20.9144955,-119.565407,-66.1194715,-1019.9261859999999,-12770.871239
-0.8948725,-76.422515,-78691.478122,-227.49128000000002,-4356.517172,-973763.513264
-0.398417,-42.44786,-222.1105635,-115.99014700000001,-4861.057576,-54823.775638
-0.224117,-1.8036295,-5.0866785,-24.6115565,-48.148975,-1213.0900095
-2.401807,-51.476926500000005,-407.0491945,-1386.3622070000001,-9164.564015,-133430.05141000001
-0.531505,-10.707389,-27.0392195,-68.587592,-370.445353,-5504.803948000001
