folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,0.6708193579300431,0.6564446574029708,0.654048873981792,0.6535697172975563,0.6741734547196934,0.6478198370867274,0.661715380929564,0.6588404408241495,0.6583612841399138,0.6583612841399138,0.6650694777192142,0.6588404408241495,0.6468615237182559,0.6621945376137998,0.6669861044561571,0.6660277910876857,0.6626736942980355,0.6684235745088644,0.6612362242453282,0.6593195975083852,0.6497364638236703,0.6574029707714423,0.6650694777192142,0.6593195975083852,0.6665069477719214,0.6459032103497844,0.6535697172975563,0.6506947771921419,0.6506947771921419,0.6655486344034499
acute-inflammation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
acute-nephritis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,0.8712530712530713,0.8695331695331695,0.8686322686322686,0.8681408681408681,0.8679361179361179,0.8688370188370188,0.8669533169533169,0.873996723996724,0.8671990171990172,0.8648648648648649,0.8667485667485667,0.8686732186732187,0.8647420147420147,0.8712121212121212,0.8673628173628174,0.8709254709254709,0.8693284193284193,0.868018018018018,0.8707207207207207,0.8685503685503686,0.8685503685503686,0.8636773136773137,0.8662981162981163,0.8704340704340704,0.8678132678132678,0.8681818181818182,0.8685094185094185,0.8676904176904177,0.870966420966421,0.8724406224406225
annealing,0.9375,0.953125,0.9486607142857143,0.9419642857142857,0.9285714285714286,0.953125,0.9285714285714286,0.9352678571428571,0.9464285714285714,0.9598214285714286,0.9419642857142857,0.9375,0.9352678571428571,0.9553571428571429,0.9419642857142857,0.9352678571428571,0.9508928571428571,0.9464285714285714,0.9419642857142857,0.9508928571428571,0.9486607142857143,0.9508928571428571,0.9441964285714286,0.9553571428571429,0.9553571428571429,0.9575892857142857,0.9375,0.9285714285714286,0.953125,0.9464285714285714
arrhythmia,0.7702702702702703,0.7432432432432432,0.7162162162162162,0.7387387387387387,0.7252252252252253,0.7162162162162162,0.7612612612612613,0.7252252252252253,0.6891891891891891,0.7612612612612613,0.7162162162162162,0.7477477477477478,0.7387387387387387,0.6801801801801802,0.7252252252252253,0.7567567567567568,0.7252252252252253,0.7612612612612613,0.7072072072072072,0.7252252252252253,0.7477477477477478,0.7297297297297297,0.7342342342342343,0.7027027027027027,0.6846846846846847,0.6666666666666666,0.7207207207207207,0.7342342342342343,0.7567567567567568,0.7477477477477478
audiology-std,0.6875,0.7604166666666666,0.75,0.78125,0.7395833333333334,0.71875,0.6770833333333334,0.6875,0.75,0.7395833333333334,0.75,0.71875,0.6875,0.7395833333333334,0.7604166666666666,0.7083333333333334,0.7395833333333334,0.7604166666666666,0.8020833333333334,0.75,0.78125,0.78125,0.7708333333333334,0.7083333333333334,0.75,0.7291666666666666,0.7291666666666666,0.7916666666666666,0.7604166666666666,0.7395833333333334
balance-scale,0.9519230769230769,0.9166666666666666,0.907051282051282,0.9455128205128205,0.9487179487179487,0.9326923076923077,0.9358974358974359,0.907051282051282,0.9198717948717948,0.9455128205128205,0.9262820512820513,0.9230769230769231,0.9423076923076923,0.9423076923076923,0.9198717948717948,0.9423076923076923,0.9326923076923077,0.9326923076923077,0.9487179487179487,0.9262820512820513,0.9455128205128205,0.9487179487179487,0.9326923076923077,0.9326923076923077,0.9326923076923077,0.9134615384615384,0.9455128205128205,0.9551282051282052,0.9326923076923077,0.9294871794871795
balloons,0.2857142857142857,0.5714285714285714,0.42857142857142855,0.5714285714285714,1.0,1.0,0.7142857142857143,0.2857142857142857,1.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.42857142857142855,1.0,0.7142857142857143,0.42857142857142855,0.5714285714285714,0.7142857142857143,1.0,0.5714285714285714
bank,0.8982300884955752,0.8938053097345132,0.8964601769911504,0.8938053097345132,0.8942477876106195,0.8902654867256637,0.9004424778761062,0.9017699115044248,0.8995575221238938,0.9026548672566371,0.8995575221238938,0.8969026548672566,0.8964601769911504,0.9026548672566371,0.9053097345132743,0.9,0.8973451327433628,0.9,0.8951327433628319,0.9039823008849558,0.9017699115044248,0.8955752212389381,0.9,0.8946902654867257,0.8911504424778761,0.904424778761062,0.9008849557522124,0.8942477876106195,0.9026548672566371,0.8929203539823009
blood,0.7887700534759359,0.7914438502673797,0.7647058823529411,0.7914438502673797,0.7780748663101604,0.7780748663101604,0.7994652406417112,0.7914438502673797,0.7941176470588235,0.8021390374331551,0.7620320855614974,0.7914438502673797,0.7647058823529411,0.7967914438502673,0.7780748663101604,0.7780748663101604,0.7754010695187166,0.8021390374331551,0.7834224598930482,0.8235294117647058,0.8074866310160428,0.7834224598930482,0.7700534759358288,0.767379679144385,0.7807486631016043,0.7780748663101604,0.7887700534759359,0.8368983957219251,0.7887700534759359,0.767379679144385
breast-cancer,0.7535211267605634,0.6971830985915493,0.7676056338028169,0.7535211267605634,0.7112676056338029,0.704225352112676,0.7253521126760564,0.7183098591549296,0.7394366197183099,0.7816901408450704,0.7183098591549296,0.6971830985915493,0.7394366197183099,0.7816901408450704,0.7816901408450704,0.7464788732394366,0.6971830985915493,0.7394366197183099,0.7323943661971831,0.795774647887324,0.7183098591549296,0.8028169014084507,0.7183098591549296,0.7535211267605634,0.7112676056338029,0.7112676056338029,0.7535211267605634,0.7394366197183099,0.7676056338028169,0.7183098591549296
breast-cancer-wisc,0.9742120343839542,0.9684813753581661,0.9627507163323782,0.9598853868194842,0.9799426934097422,0.9885386819484241,0.9770773638968482,0.9598853868194842,0.9684813753581661,0.9770773638968482,0.9627507163323782,0.9770773638968482,0.9656160458452722,0.9713467048710601,0.9799426934097422,0.9742120343839542,0.9713467048710601,0.9484240687679083,0.9627507163323782,0.9770773638968482,0.9742120343839542,0.9742120343839542,0.9799426934097422,0.9770773638968482,0.9742120343839542,0.9598853868194842,0.9684813753581661,0.9684813753581661,0.9684813753581661,0.9742120343839542
