folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,0.6607570675610924,0.6506947771921419,0.655965500718735,0.6526114039290848,0.6760900814566363,0.650215620507906,0.6607570675610924,0.6473406804024916,0.6554863440344992,0.654048873981792,0.6602779108768567,0.6550071873502635,0.6468615237182559,0.6554863440344992,0.6641111643507427,0.6550071873502635,0.6569238140872066,0.6684235745088644,0.654048873981792,0.6444657402970771,0.650215620507906,0.6516530905606133,0.6521322472448491,0.6516530905606133,0.6583612841399138,0.6406324868231912,0.6363200766650695,0.6463823670340201,0.6602779108768567,0.663632007666507
acute-inflammation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
acute-nephritis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,0.8628173628173628,0.8576986076986077,0.8541769041769042,0.8533579033579034,0.8520884520884521,0.8554873054873054,0.8578214578214578,0.8637182637182638,0.8551187551187551,0.8534807534807535,0.8516789516789517,0.8524570024570025,0.8545864045864046,0.855978705978706,0.8592547092547093,0.861015561015561,0.8560606060606061,0.8531941031941032,0.8579033579033579,0.8554873054873054,0.8547502047502048,0.8510647010647011,0.8560606060606061,0.8537264537264537,0.8531122031122031,0.8534398034398034,0.855036855036855,0.8579033579033579,0.8609746109746109,0.8583128583128583
annealing,0.890625,0.8705357142857143,0.875,0.9330357142857143,0.8638392857142857,0.9174107142857143,0.8638392857142857,0.8839285714285714,0.8571428571428571,0.9352678571428571,0.8995535714285714,0.9330357142857143,0.8950892857142857,0.8392857142857143,0.8660714285714286,0.8660714285714286,0.9263392857142857,0.8816964285714286,0.9263392857142857,0.8660714285714286,0.875,0.9285714285714286,0.8526785714285714,0.8883928571428571,0.9151785714285714,0.8950892857142857,0.8683035714285714,0.8616071428571429,0.9308035714285714,0.8727678571428571
arrhythmia,0.8063063063063063,0.7882882882882883,0.7657657657657657,0.7702702702702703,0.7792792792792793,0.7657657657657657,0.7702702702702703,0.7567567567567568,0.7252252252252253,0.7702702702702703,0.7567567567567568,0.7882882882882883,0.7567567567567568,0.7252252252252253,0.7657657657657657,0.7927927927927928,0.7792792792792793,0.7972972972972973,0.7702702702702703,0.7657657657657657,0.7612612612612613,0.7567567567567568,0.7747747747747747,0.7342342342342343,0.7297297297297297,0.7432432432432432,0.7882882882882883,0.7657657657657657,0.7522522522522522,0.8063063063063063
audiology-std,0.8125,0.8229166666666666,0.8020833333333334,0.8125,0.7916666666666666,0.7916666666666666,0.7708333333333334,0.8125,0.8020833333333334,0.7916666666666666,0.8125,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.84375,0.8020833333333334,0.8125,0.8333333333333334,0.84375,0.8125,0.8541666666666666,0.8854166666666666,0.8125,0.7916666666666666,0.8229166666666666,0.8645833333333334,0.8229166666666666,0.8541666666666666,0.8333333333333334,0.8333333333333334
balance-scale,0.9006410256410257,0.9198717948717948,0.9038461538461539,0.9455128205128205,0.9262820512820513,0.9006410256410257,0.907051282051282,0.8942307692307693,0.9262820512820513,0.9294871794871795,0.9230769230769231,0.9455128205128205,0.9102564102564102,0.9326923076923077,0.9198717948717948,0.9166666666666666,0.8782051282051282,0.9134615384615384,0.9230769230769231,0.8910256410256411,0.9198717948717948,0.9166666666666666,0.9230769230769231,0.9455128205128205,0.9102564102564102,0.907051282051282,0.9294871794871795,0.9294871794871795,0.9134615384615384,0.9134615384615384
balloons,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,0.7142857142857143,0.8571428571428571,1.0,1.0,0.8571428571428571,1.0,0.8571428571428571,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,1.0,0.8571428571428571,1.0,1.0,0.7142857142857143,1.0,1.0,0.8571428571428571,0.7142857142857143,1.0,1.0,0.7142857142857143
bank,0.11504424778761062,0.11504424778761062,0.11504424778761062,0.11504424778761062,0.11504424778761062,0.11504424778761062,0.11504424778761062,0.11504424778761062,0.11504424778761062,0.11504424778761062,0.11504424778761062,0.11504424778761062,0.11504424778761062,0.11504424778761062,0.11504424778761062,0.11504424778761062,0.11504424778761062,0.11504424778761062,0.11504424778761062,0.11504424778761062,0.11504424778761062,0.11504424778761062,0.11504424778761062,0.11504424778761062,0.11504424778761062,0.11504424778761062,0.11504424778761062,0.11504424778761062,0.11504424778761062,0.11504424778761062
blood,0.7272727272727273,0.7433155080213903,0.23796791443850268,0.23796791443850268,0.23796791443850268,0.23796791443850268,0.23796791443850268,0.7566844919786097,0.7272727272727273,0.23796791443850268,0.23796791443850268,0.786096256684492,0.23796791443850268,0.7299465240641712,0.23796791443850268,0.23796791443850268,0.23796791443850268,0.7165775401069518,0.23796791443850268,0.7727272727272727,0.7620320855614974,0.23796791443850268,0.23796791443850268,0.23796791443850268,0.23796791443850268,0.7513368983957219,0.23796791443850268,0.786096256684492,0.7352941176470589,0.23796791443850268
breast-cancer,0.647887323943662,0.29577464788732394,0.7323943661971831,0.6549295774647887,0.6549295774647887,0.5985915492957746,0.5915492957746479,0.7464788732394366,0.6549295774647887,0.7535211267605634,0.6549295774647887,0.6267605633802817,0.7816901408450704,0.6690140845070423,0.6971830985915493,0.704225352112676,0.6549295774647887,0.6690140845070423,0.6549295774647887,0.7676056338028169,0.29577464788732394,0.7676056338028169,0.7112676056338029,0.704225352112676,0.6126760563380281,0.6549295774647887,0.6830985915492958,0.7183098591549296,0.6408450704225352,0.6901408450704225
breast-cancer-wisc,0.9713467048710601,0.9598853868194842,0.9627507163323782,0.9570200573065902,0.9828080229226361,0.9885386819484241,0.9770773638968482,0.9742120343839542,0.9684813753581661,0.9713467048710601,0.9598853868194842,0.9742120343839542,0.9656160458452722,0.9684813753581661,0.9799426934097422,0.9799426934097422,0.9742120343839542,0.9484240687679083,0.9627507163323782,0.9713467048710601,0.9713467048710601,0.9713467048710601,0.9828080229226361,0.9742120343839542,0.9742120343839542,0.9570200573065902,0.9713467048710601,0.9627507163323782,0.9627507163323782,0.9742120343839542
breast-cancer-wisc-diag,0.9788732394366197,0.9788732394366197,0.9859154929577465,0.9753521126760564,0.9823943661971831,0.9753521126760564,0.9788732394366197,0.971830985915493,0.9788732394366197,0.9859154929577465,0.9823943661971831,0.9788732394366197,0.9823943661971831,0.971830985915493,0.9788732394366197,0.971830985915493,0.971830985915493,0.971830985915493,0.9823943661971831,0.9823943661971831,0.9647887323943662,0.9894366197183099,0.9859154929577465,0.9753521126760564,0.9683098591549296,0.9683098591549296,0.9647887323943662,0.9788732394366197,0.9788732394366197,0.9823943661971831
breast-cancer-wisc-prog,0.7857142857142857,0.7040816326530612,0.7959183673469388,0.7551020408163265,0.6632653061224489,0.7040816326530612,0.7244897959183674,0.23469387755102042,0.7244897959183674,0.23469387755102042,0.23469387755102042,0.7448979591836735,0.7551020408163265,0.7142857142857143,0.7244897959183674,0.6938775510204082,0.7346938775510204,0.7346938775510204,0.23469387755102042,0.23469387755102042,0.6938775510204082,0.7040816326530612,0.23469387755102042,0.7346938775510204,0.23469387755102042,0.7551020408163265,0.7346938775510204,0.7346938775510204,0.7040816326530612,0.7551020408163265
breast-tissue,0.8076923076923077,0.7115384615384616,0.8076923076923077,0.7307692307692307,0.7692307692307693,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.7884615384615384,0.7692307692307693,0.7692307692307693,0.6538461538461539,0.6923076923076923,0.7115384615384616,0.8461538461538461,0.75,0.8076923076923077,0.8461538461538461,0.7692307692307693,0.7307692307692307,0.8076923076923077,0.7884615384615384,0.7307692307692307,0.8461538461538461,0.75,0.8269230769230769,0.7115384615384616,0.7884615384615384,0.8076923076923077,0.75
car,0.9675550405561993,0.9745075318655851,0.9721900347624566,0.9698725376593279,0.9721900347624566,0.9698725376593279,0.9745075318655851,0.9756662804171495,0.9826187717265353,0.984936268829664,0.9779837775202781,0.9779837775202781,0.981460023174971,0.9710312862108922,0.9710312862108922,0.9791425260718424,0.9745075318655851,0.9756662804171495,0.9791425260718424,0.9745075318655851,0.9884125144843569,0.9768250289687138,0.9779837775202781,0.9745075318655851,0.9803012746234068,0.981460023174971,0.981460023174971,0.9756662804171495,0.9756662804171495,0.9733487833140209
cardiotocography-3clases,0.9322033898305084,0.940677966101695,0.9387947269303202,0.9387947269303202,0.9350282485875706,0.9369114877589454,0.9444444444444444,0.9180790960451978,0.943502824858757,0.9397363465160076,0.9378531073446328,0.9340866290018832,0.9331450094161958,0.9378531073446328,0.9378531073446328,0.931261770244821,0.9378531073446328,0.928436911487759,0.9378531073446328,0.9472693032015066,0.9256120527306968,0.9340866290018832,0.9416195856873822,0.9340866290018832,0.9444444444444444,0.9387947269303202,0.940677966101695,0.9303201506591338,0.9369114877589454,0.9416195856873822
cardiotocography-10clases,0.8679245283018868,0.8603773584905661,0.8471698113207548,0.8452830188679246,0.8641509433962264,0.870754716981132,0.8660377358490566,0.8556603773584905,0.8481132075471698,0.8415094339622642,0.8650943396226415,0.8471698113207548,0.85,0.8622641509433963,0.8594339622641509,0.8622641509433963,0.8547169811320755,0.8688679245283019,0.85,0.8820754716981132,0.8462264150943396,0.8594339622641509,0.870754716981132,0.8566037735849057,0.8528301886792453,0.8867924528301887,0.8650943396226415,0.8433962264150944,0.869811320754717,0.8622641509433963
chess-krvk,0.789218482601255,0.7830861380490588,0.7835139760410724,0.7850114090131204,0.7807330290929835,0.7828009127210497,0.7886480319452367,0.7828722190530519,0.7850114090131204,0.783157444381061,0.7824443810610382,0.7852966343411295,0.7852966343411295,0.7870079863091842,0.7771677124928693,0.7743867655447804,0.7801625784369652,0.7858670849971477,0.7744580718767826,0.7868653736451797,0.7806617227609812,0.7823730747290359,0.7892897889332573,0.785439247005134,0.7867227609811751,0.7855105533371364,0.7877210496292071,0.7878636622932116,0.7895750142612664,0.7828722190530519
chess-krvkp,0.9924859110832811,0.9949906073888541,0.9912335629304947,0.9912335629304947,0.9881026925485284,0.9899812147777082,0.9918597370068879,0.9906073888541015,0.9918597370068879,0.9931120851596744,0.9937382592360676,0.9931120851596744,0.9924859110832811,0.9881026925485284,0.9912335629304947,0.9931120851596744,0.9887288666249218,0.9899812147777082,0.9924859110832811,0.9912335629304947,0.9912335629304947,0.9924859110832811,0.9899812147777082,0.989355040701315,0.9899812147777082,0.9931120851596744,0.9924859110832811,0.9899812147777082,0.9912335629304947,0.9931120851596744
congressional-voting,0.4147465437788018,0.6221198156682027,0.3870967741935484,0.4055299539170507,0.43317972350230416,0.6451612903225806,0.3870967741935484,0.6036866359447005,0.3870967741935484,0.6082949308755761,0.3870967741935484,0.45622119815668205,0.3870967741935484,0.391705069124424,0.4009216589861751,0.3870967741935484,0.3870967741935484,0.423963133640553,0.3870967741935484,0.4009216589861751,0.4700460829493088,0.3870967741935484,0.3870967741935484,0.3870967741935484,0.6221198156682027,0.3870967741935484,0.3870967741935484,0.3870967741935484,0.39631336405529954,0.3870967741935484
conn-bench-sonar-mines-rocks,0.8349514563106796,0.8446601941747572,0.8252427184466019,0.883495145631068,0.8155339805825242,0.7961165048543689,0.7766990291262136,0.8640776699029126,0.8155339805825242,0.8446601941747572,0.8058252427184466,0.8155339805825242,0.8252427184466019,0.8640776699029126,0.8349514563106796,0.8252427184466019,0.8349514563106796,0.8640776699029126,0.8640776699029126,0.7669902912621359,0.7961165048543689,0.8446601941747572,0.8058252427184466,0.8349514563106796,0.8349514563106796,0.8932038834951457,0.8349514563106796,0.8446601941747572,0.8932038834951457,0.8155339805825242
conn-bench-vowel-deterding,0.9737373737373738,0.9696969696969697,0.9737373737373738,0.9656565656565657,0.9636363636363636,0.9717171717171718,0.9616161616161616,0.9838383838383838,0.9616161616161616,0.9474747474747475,0.9636363636363636,0.9616161616161616,0.9575757575757575,0.9757575757575757,0.9656565656565657,0.9676767676767677,0.9494949494949495,0.9636363636363636,0.9676767676767677,0.9575757575757575,0.9717171717171718,0.9696969696969697,0.9575757575757575,0.9737373737373738,0.9717171717171718,0.9777777777777777,0.9535353535353536,0.9616161616161616,0.9676767676767677,0.9656565656565657
connect-4,0.8703001953934514,0.8697673041624726,0.8699745396411865,0.8670436378708035,0.8722837349754278,0.8666291669133755,0.8682574456746995,0.8697673041624726,0.867902184854047,0.8700041447095743,0.8710699271715318,0.8722541299070401,0.8685831014269643,0.8689975723843922,0.866392326366274,0.8676357392385576,0.8683758659482503,0.8689383622476168,0.8691752027947185,0.8685831014269643,0.8740008289419149,0.8701225649831251,0.8643791817159098,0.8686423115637397,0.8684942862218011,0.8689975723843922,0.868109420332761,0.8685238912901889,0.8680206051275978,0.8714547930605719
contrac,0.5346938775510204,0.5469387755102041,0.5605442176870749,0.5578231292517006,0.5374149659863946,0.5401360544217687,0.5170068027210885,0.5183673469387755,0.5183673469387755,0.5469387755102041,0.5401360544217687,0.5238095238095238,0.545578231292517,0.5428571428571428,0.5129251700680272,0.580952380952381,0.5619047619047619,0.5319727891156463,0.5428571428571428,0.5197278911564626,0.5374149659863946,0.5360544217687074,0.5564625850340136,0.5170068027210885,0.5605442176870749,0.5292517006802722,0.5741496598639456,0.5197278911564626,0.5659863945578232,0.5387755102040817
credit-approval,0.8691860465116279,0.8575581395348837,0.8546511627906976,0.872093023255814,0.8808139534883721,0.8633720930232558,0.8691860465116279,0.8604651162790697,0.8808139534883721,0.8604651162790697,0.8488372093023255,0.8691860465116279,0.8662790697674418,0.8662790697674418,0.8633720930232558,0.8982558139534884,0.8691860465116279,0.8401162790697675,0.8808139534883721,0.8633720930232558,0.8604651162790697,0.8604651162790697,0.875,0.8401162790697675,0.8546511627906976,0.8604651162790697,0.8488372093023255,0.8662790697674418,0.8837209302325582,0.8546511627906976
cylinder-bands,0.71875,0.7734375,0.77734375,0.75390625,0.78515625,0.765625,0.80078125,0.7890625,0.73828125,0.73046875,0.76953125,0.7578125,0.76171875,0.7421875,0.73046875,0.79296875,0.75390625,0.8046875,0.765625,0.7734375,0.7421875,0.796875,0.75,0.7578125,0.77734375,0.734375,0.74609375,0.765625,0.7265625,0.76953125
dermatology,0.989010989010989,0.978021978021978,0.9835164835164835,0.989010989010989,0.989010989010989,0.989010989010989,0.967032967032967,0.978021978021978,0.9835164835164835,0.978021978021978,0.9835164835164835,0.9560439560439561,0.989010989010989,0.978021978021978,0.978021978021978,0.945054945054945,0.978021978021978,0.9835164835164835,0.9725274725274725,0.9945054945054945,0.9835164835164835,0.9835164835164835,0.978021978021978,0.9835164835164835,0.989010989010989,0.9945054945054945,0.9615384615384616,0.9835164835164835,0.978021978021978,0.9945054945054945
echocardiogram,0.7846153846153846,0.6461538461538462,0.8307692307692308,0.7692307692307693,0.8461538461538461,0.8615384615384616,0.8153846153846154,0.7692307692307693,0.8,0.8,0.8615384615384616,0.8769230769230769,0.8461538461538461,0.7846153846153846,0.8307692307692308,0.8615384615384616,0.8153846153846154,0.7692307692307693,0.8307692307692308,0.7846153846153846,0.8461538461538461,0.7538461538461538,0.8769230769230769,0.8461538461538461,0.8615384615384616,0.9230769230769231,0.8769230769230769,0.9076923076923077,0.8769230769230769,0.8153846153846154
ecoli,0.891566265060241,0.8373493975903614,0.8433734939759037,0.8795180722891566,0.8614457831325302,0.8795180722891566,0.8795180722891566,0.8493975903614458,0.8855421686746988,0.891566265060241,0.8433734939759037,0.8493975903614458,0.9096385542168675,0.8855421686746988,0.8674698795180723,0.8855421686746988,0.8975903614457831,0.9036144578313253,0.8674698795180723,0.891566265060241,0.8795180722891566,0.8975903614457831,0.8614457831325302,0.891566265060241,0.8674698795180723,0.8313253012048193,0.8795180722891566,0.8674698795180723,0.8734939759036144,0.8734939759036144
energy-y1,0.97911227154047,0.9530026109660574,0.9556135770234987,0.9660574412532638,0.95822454308094,0.9425587467362925,0.9425587467362925,0.9530026109660574,0.9242819843342036,0.9477806788511749,0.9608355091383812,0.9530026109660574,0.9686684073107049,0.9399477806788512,0.9634464751958225,0.95822454308094,0.9686684073107049,0.9686684073107049,0.9477806788511749,0.9608355091383812,0.9634464751958225,0.9477806788511749,0.95822454308094,0.9686684073107049,0.9634464751958225,0.9608355091383812,0.9477806788511749,0.9425587467362925,0.9268929503916449,0.9373368146214099
energy-y2,0.9138381201044387,0.9112271540469974,0.9164490861618799,0.9216710182767625,0.9060052219321149,0.9373368146214099,0.9216710182767625,0.9321148825065274,0.9112271540469974,0.9216710182767625,0.9242819843342036,0.9425587467362925,0.9112271540469974,0.9347258485639687,0.9242819843342036,0.9190600522193212,0.8955613577023499,0.9138381201044387,0.9190600522193212,0.9164490861618799,0.8903394255874674,0.9190600522193212,0.9033942558746736,0.9112271540469974,0.9112271540469974,0.9216710182767625,0.9190600522193212,0.9295039164490861,0.9347258485639687,0.9138381201044387
fertility,0.12,0.12,0.78,0.12,0.12,0.8,0.12,0.12,0.12,0.8,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.22,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
flags,0.6979166666666666,0.71875,0.6875,0.6979166666666666,0.7291666666666666,0.7604166666666666,0.75,0.6770833333333334,0.7083333333333334,0.6145833333333334,0.65625,0.7291666666666666,0.7083333333333334,0.6979166666666666,0.6770833333333334,0.7604166666666666,0.7604166666666666,0.65625,0.71875,0.7083333333333334,0.7916666666666666,0.75,0.7708333333333334,0.6354166666666666,0.7083333333333334,0.7291666666666666,0.6979166666666666,0.6979166666666666,0.65625,0.7708333333333334
glass,0.7714285714285715,0.6952380952380952,0.6761904761904762,0.7142857142857143,0.7428571428571429,0.7047619047619048,0.6952380952380952,0.7619047619047619,0.7142857142857143,0.7142857142857143,0.7333333333333333,0.7333333333333333,0.780952380952381,0.7523809523809524,0.7142857142857143,0.6571428571428571,0.6857142857142857,0.6761904761904762,0.7714285714285715,0.7904761904761904,0.6857142857142857,0.7523809523809524,0.6857142857142857,0.7333333333333333,0.7428571428571429,0.6952380952380952,0.7047619047619048,0.7428571428571429,0.7523809523809524,0.7904761904761904
haberman-survival,0.756578947368421,0.2631578947368421,0.2631578947368421,0.7171052631578947,0.2631578947368421,0.2631578947368421,0.7828947368421053,0.7302631578947368,0.743421052631579,0.2631578947368421,0.7105263157894737,0.26973684210526316,0.7039473684210527,0.7368421052631579,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.756578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.7039473684210527,0.7171052631578947,0.75
hayes-roth,0.810126582278481,0.7974683544303798,0.7721518987341772,0.810126582278481,0.8227848101265823,0.6835443037974683,0.7468354430379747,0.759493670886076,0.7468354430379747,0.7721518987341772,0.8734177215189873,0.7215189873417721,0.7848101265822784,0.6835443037974683,0.7215189873417721,0.8227848101265823,0.7215189873417721,0.8227848101265823,0.7088607594936709,0.7468354430379747,0.759493670886076,0.7468354430379747,0.8481012658227848,0.6962025316455697,0.7974683544303798,0.7341772151898734,0.7848101265822784,0.7721518987341772,0.8227848101265823,0.759493670886076
heart-cleveland,0.5933333333333334,0.6266666666666667,0.6,0.7066666666666667,0.6,0.6,0.6066666666666667,0.5533333333333333,0.62,0.6333333333333333,0.6933333333333334,0.64,0.6466666666666666,0.6133333333333333,0.6066666666666667,0.5533333333333333,0.64,0.6333333333333333,0.66,0.6066666666666667,0.6266666666666667,0.6133333333333333,0.64,0.6733333333333333,0.6133333333333333,0.62,0.5866666666666667,0.6266666666666667,0.6066666666666667,0.6
heart-hungarian,0.8095238095238095,0.7755102040816326,0.8231292517006803,0.7755102040816326,0.8299319727891157,0.8231292517006803,0.8367346938775511,0.8435374149659864,0.8163265306122449,0.7891156462585034,0.7755102040816326,0.8163265306122449,0.782312925170068,0.8299319727891157,0.8163265306122449,0.8571428571428571,0.8095238095238095,0.8027210884353742,0.782312925170068,0.8027210884353742,0.7891156462585034,0.8163265306122449,0.7755102040816326,0.7891156462585034,0.782312925170068,0.8163265306122449,0.782312925170068,0.8503401360544217,0.7959183673469388,0.7891156462585034
heart-switzerland,0.3114754098360656,0.45901639344262296,0.4098360655737705,0.5245901639344263,0.47540983606557374,0.4262295081967213,0.3442622950819672,0.21311475409836064,0.5737704918032787,0.5081967213114754,0.4426229508196721,0.2786885245901639,0.3770491803278688,0.29508196721311475,0.47540983606557374,0.5409836065573771,0.3770491803278688,0.47540983606557374,0.3442622950819672,0.5409836065573771,0.29508196721311475,0.5081967213114754,0.36065573770491804,0.36065573770491804,0.3114754098360656,0.4918032786885246,0.4098360655737705,0.36065573770491804,0.32786885245901637,0.2459016393442623
heart-va,0.36363636363636365,0.42424242424242425,0.40404040404040403,0.40404040404040403,0.43434343434343436,0.37373737373737376,0.2727272727272727,0.43434343434343436,0.37373737373737376,0.35353535353535354,0.37373737373737376,0.3939393939393939,0.3939393939393939,0.43434343434343436,0.41414141414141414,0.3939393939393939,0.3838383838383838,0.37373737373737376,0.3939393939393939,0.45454545454545453,0.43434343434343436,0.5454545454545454,0.40404040404040403,0.4444444444444444,0.46464646464646464,0.3939393939393939,0.41414141414141414,0.3939393939393939,0.3939393939393939,0.40404040404040403
hepatitis,0.7532467532467533,0.7922077922077922,0.7922077922077922,0.8181818181818182,0.8051948051948052,0.7402597402597403,0.7922077922077922,0.6883116883116883,0.8571428571428571,0.7662337662337663,0.7402597402597403,0.7922077922077922,0.8701298701298701,0.8441558441558441,0.8051948051948052,0.8701298701298701,0.8181818181818182,0.7792207792207793,0.8051948051948052,0.7532467532467533,0.7922077922077922,0.8831168831168831,0.7402597402597403,0.7922077922077922,0.8181818181818182,0.7402597402597403,0.7792207792207793,0.7402597402597403,0.7662337662337663,0.8051948051948052
hill-valley,0.6237623762376238,0.6567656765676567,0.6122112211221122,0.6617161716171617,0.6402640264026402,0.6155115511551155,0.6633663366336634,0.6287128712871287,0.6171617161716172,0.6221122112211221,0.6105610561056105,0.6402640264026402,0.5957095709570958,0.6353135313531353,0.6155115511551155,0.641914191419142,0.6485148514851485,0.6138613861386139,0.6056105610561056,0.5363036303630363,0.6402640264026402,0.5825082508250825,0.6270627062706271,0.6336633663366337,0.6386138613861386,0.6204620462046204,0.6452145214521452,0.6122112211221122,0.6303630363036303,0.6105610561056105
horse-colic,0.8913043478260869,0.842391304347826,0.8206521739130435,0.842391304347826,0.8315217391304348,0.8315217391304348,0.8586956521739131,0.8641304347826086,0.842391304347826,0.8858695652173914,0.8804347826086957,0.8586956521739131,0.875,0.8478260869565217,0.842391304347826,0.8478260869565217,0.8532608695652174,0.8586956521739131,0.8315217391304348,0.8586956521739131,0.8097826086956522,0.8478260869565217,0.8478260869565217,0.842391304347826,0.875,0.8641304347826086,0.8695652173913043,0.875,0.8532608695652174,0.8695652173913043
