folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,0.6722568279827503,0.6530905606133206,0.6607570675610924,0.6804024916147581,0.6760900814566363,0.6521322472448491,0.6655486344034499,0.6511739338763776,0.6545280306660278,0.655965500718735,0.6669861044561571,0.6669861044561571,0.6545280306660278,0.663632007666507,0.655965500718735,0.667465261140393,0.6679444178246287,0.6665069477719214,0.6693818878773359,0.6583612841399138,0.6588404408241495,0.6593195975083852,0.667465261140393,0.659798754192621,0.6660277910876857,0.663632007666507,0.6530905606133206,0.6545280306660278,0.6574029707714423,0.6693818878773359
acute-inflammation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
acute-nephritis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,0.8729729729729729,0.8729729729729729,0.8699426699426699,0.8693284193284193,0.8687141687141687,0.8697788697788698,0.868959868959869,0.8739148239148239,0.8694103194103194,0.8692465192465193,0.8667076167076168,0.8694103194103194,0.8692465192465193,0.8698607698607699,0.8685503685503686,0.8725225225225225,0.8709254709254709,0.8686732186732187,0.8711711711711712,0.8693284193284193,0.8703521703521704,0.87002457002457,0.8703112203112203,0.8701064701064701,0.8698607698607699,0.8683456183456183,0.8705978705978706,0.869000819000819,0.8728091728091728,0.8721539721539722
annealing,0.9598214285714286,0.9620535714285714,0.9620535714285714,0.9776785714285714,0.953125,0.9665178571428571,0.9598214285714286,0.9375,0.9553571428571429,0.9732142857142857,0.9642857142857143,0.9754464285714286,0.9776785714285714,0.9642857142857143,0.9508928571428571,0.9508928571428571,0.9709821428571429,0.9620535714285714,0.9620535714285714,0.9575892857142857,0.9754464285714286,0.9709821428571429,0.9642857142857143,0.9620535714285714,0.9620535714285714,0.9709821428571429,0.9642857142857143,0.9665178571428571,0.9709821428571429,0.9665178571428571
arrhythmia,0.8603603603603603,0.8468468468468469,0.8738738738738738,0.8513513513513513,0.8603603603603603,0.8648648648648649,0.8333333333333334,0.8513513513513513,0.8423423423423423,0.8468468468468469,0.8423423423423423,0.8738738738738738,0.8468468468468469,0.8288288288288288,0.8288288288288288,0.8828828828828829,0.8423423423423423,0.8468468468468469,0.8378378378378378,0.8738738738738738,0.8513513513513513,0.8333333333333334,0.8513513513513513,0.8378378378378378,0.8243243243243243,0.8378378378378378,0.8738738738738738,0.8783783783783784,0.8468468468468469,0.8873873873873874
audiology-std,0.8958333333333334,0.875,0.84375,0.8541666666666666,0.8645833333333334,0.8333333333333334,0.8645833333333334,0.8541666666666666,0.8541666666666666,0.8333333333333334,0.84375,0.84375,0.84375,0.84375,0.8333333333333334,0.8645833333333334,0.7708333333333334,0.875,0.8854166666666666,0.875,0.8645833333333334,0.8541666666666666,0.8645833333333334,0.84375,0.8333333333333334,0.8645833333333334,0.8333333333333334,0.8958333333333334,0.8333333333333334,0.875
balance-scale,0.9743589743589743,0.9775641025641025,0.9647435897435898,0.9743589743589743,0.9711538461538461,0.9583333333333334,0.9775641025641025,0.9775641025641025,0.9743589743589743,0.9711538461538461,0.9775641025641025,0.9871794871794872,0.9743589743589743,0.9583333333333334,0.9743589743589743,0.9647435897435898,0.9839743589743589,0.9615384615384616,0.9775641025641025,0.9807692307692307,0.9775641025641025,0.9775641025641025,0.9647435897435898,0.9935897435897436,0.9775641025641025,0.9743589743589743,0.9807692307692307,0.9743589743589743,0.9647435897435898,0.967948717948718
balloons,0.8571428571428571,0.5714285714285714,1.0,0.5714285714285714,1.0,1.0,0.7142857142857143,0.5714285714285714,1.0,1.0,1.0,0.8571428571428571,0.8571428571428571,0.5714285714285714,1.0,1.0,0.5714285714285714,0.7142857142857143,0.5714285714285714,1.0,1.0,1.0,0.5714285714285714,1.0,1.0,1.0,0.8571428571428571,1.0,1.0,0.8571428571428571
bank,0.897787610619469,0.8929203539823009,0.8955752212389381,0.8938053097345132,0.8929203539823009,0.8915929203539823,0.8982300884955752,0.904424778761062,0.9022123893805309,0.9,0.9092920353982301,0.893362831858407,0.9017699115044248,0.9048672566371682,0.9053097345132743,0.9026548672566371,0.8951327433628319,0.9008849557522124,0.9,0.8995575221238938,0.9088495575221239,0.897787610619469,0.9070796460176991,0.8867256637168142,0.8889380530973451,0.9053097345132743,0.8991150442477877,0.8942477876106195,0.9070796460176991,0.8973451327433628
