TRAINTESTDIFFSACC:,SMLRE-A,SMM5-A,SMLR-A,ES-A,RC-A,WMV-A,NBC-A,CAWPE-A,MV-A,PB-A
abalone,0.007415671862498082,0.0018916677938694078,-2.474420140170482E-4,8.026906138020077E-4,-0.003959889923877521,-0.00497757439729044,-0.00418010330526409,-0.004163168517189649,-0.005425406308819921,-0.006380273111667952
acute-inflammation,0.0,0.0021857923497267786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011484671668055891
acute-nephritis,0.0,0.00888888888888889,0.001111111111111111,0.005000000000000001,0.002222222222222222,0.002222222222222222,0.0033333333333333327,-0.001111111111111111,0.002222222222222222,-2.2204460492503132E-17
adult,-6.316480937724189E-4,-9.100941755924907E-4,-8.950799430694471E-4,0.0011739638850440566,-0.0012453059144566848,-8.751574737161482E-4,-0.004470893008686808,-9.24222515410796E-4,-8.751574737161482E-4,-9.046718415320453E-4
annealing,0.02175694444444444,0.018061838624338616,0.006317129629629629,-0.0023928571428571336,-0.0028488756613756568,-0.004254298941798929,-0.0613068783068783,-0.004257936507936496,-0.0041769179894179794,-0.004999338624338615
arrhythmia,0.31027418723070893,0.13470557514035775,0.16674108891500197,0.008673456064760427,0.003843843843843853,-0.0025473299386342906,0.042619140880010446,0.0041428384906645795,-0.0045684815250032875,5.953779866823217E-4
audiology-std,0.38691666666666674,0.13415277777777776,0.35272222222222216,-0.047000000000000035,-0.026513888888888906,-0.06206944444444444,0.06736111111111111,-0.07019444444444445,-0.06048611111111114,-0.053597222222222206
balance-scale,0.022265571666530128,0.023771538188471095,-0.0017350017749378683,-0.015333756587750198,4.5636383495808823E-4,-0.008474304360885832,-0.029018527620764036,-0.022406201359875474,-0.006453605854564308,-0.004449974058600244
balloons,0.4862433862433863,0.39417989417989413,0.015873015873015817,0.03015873015873016,0.11534391534391528,0.11428571428571428,0.43333333333333335,0.09841269841269841,-0.007936507936507941,-0.1470899470899471
bank,0.007961979388867795,0.0025943502692180598,9.72224940278843E-4,0.0012081218141658115,-3.8569876017475747E-4,1.3653342100694577E-5,-0.7827443413322478,-8.2676107238423E-4,1.3653342100694577E-5,-9.019099022934666E-4
blood,0.026827094474153292,0.011497326203208542,0.008021390374331534,2.673796791443861E-4,2.673796791443898E-4,0.0036541889483065913,-0.33110516934046336,0.0025846702317290655,0.0036541889483065913,-0.0024064171122994637
breast-cancer,0.09939032342201355,0.06665362545644235,0.057518257694314026,0.03711854460093898,0.014179055816379757,0.020142149191444976,-0.04111567553468962,0.022166797078768914,0.020142149191444976,-0.008294209702660404
breast-cancer-wisc,0.01269450129622052,0.011933415199890869,0.00916223222813481,0.006202483285577838,0.0053426115431846055,0.0053426115431846055,0.005438122526947738,0.003911311229362802,0.0053426115431846055,0.003510437986082656
breast-cancer-wisc-diag,0.01116341322790546,0.01105098426818221,0.006120583148010894,0.005773000576558781,0.004703072234577073,0.004703072234577073,0.00787414545754059,0.0023713038464706552,0.004703072234577073,0.0044349724075447095
breast-cancer-wisc-prog,0.08395238095238096,0.04774149659863943,0.03947619047619047,0.017591836734693868,0.008959183673469363,0.001904761904761872,-0.15472108843537413,0.0072517006802721,0.001904761904761872,-0.00805442176870751
breast-tissue,0.3057929724596391,0.22970085470085475,0.26809116809116806,-0.007288698955365617,0.010517568850902182,-0.008618233618233603,0.0936372269705603,-0.012369420702754031,-0.010090218423551752,-0.013485280151946825
