folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,0.0019033295658014149,0.006684579637445842,-0.0071903306639644615,-0.011988087568749806,0.01436621784893044,-0.021554026635609347,0.0066907696998737,-0.003374959592648108,-0.0028875494918417788,-0.010547866377185744,0.006210925230923703,-0.01102083299899359,-0.026826813516345194,0.0038123906708881217,0.009562270881717017,-0.0028861739224133043,-0.007668111778771802,0.025842593590305052,-0.006240270712063567,-0.012458990836414996,-0.02586299787016,-0.007679116334199265,4.603572353805152E-4,-4.95892778948237E-4,0.005728329623116868,-0.0249218791195438,-0.03162113149755952,-0.025871939071444805,0.003813766240316596,0.006694208623444831
acute-inflammation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acute-nephritis,0.0,0.0,0.0,0.0,0.0,0.0,0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,-0.033333333333333326,0.033333333333333326,0.0,0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adult,0.006090174196799358,-8.3011108725628E-4,5.21186607502222E-4,-0.0036146065586734055,-0.0028365691947708216,-0.003696429509221222,9.716102296563056E-4,0.0054759940068268564,-0.0025500094536209383,-0.004802110796705783,-0.008405546723456836,-6.66253913326198E-4,-5.844846193712172E-4,0.002118167780275737,6.03012911587153E-4,0.0017907049476945103,-9.310089565595092E-5,-0.003164182936519433,0.003510412162447185,-5.844141950930304E-4,-0.0018947953842720633,-0.002263285389155434,-7.073146209989334E-4,-0.005252551186545107,-0.001976594860060632,-0.003450823162558514,-0.0024271358560115086,-0.005006948193419403,0.003797122812764453,0.0036741586696544815
annealing,-0.026954365079365106,0.0064484126984126755,0.008650793650793576,-0.004712301587301515,-0.024712301587301533,0.004206349206349214,-0.038115079365079296,-0.00694444444444442,-2.67857142857042E-4,-0.0024206349206348232,-0.009166666666666656,-0.006924603174603194,-0.02031746031746029,0.02425595238095235,0.0019642857142857517,-0.013621031746031798,0.00642857142857145,-0.018025793650793598,0.01088293650793648,-0.022509920634920633,-0.0024900793650792785,0.006458333333333344,-0.002450396825396828,0.008650793650793576,0.0064484126984126755,0.013134920634920721,-0.022539682539682526,-0.018085317460317496,0.0019940476190476453,0.013105158730158717
arrhythmia,0.06545240893066984,0.012025068546807627,-0.014218566392479426,-0.05816686251468861,-0.00987074030552293,-0.014375244810027499,0.021190755973364728,0.016372894633764123,-0.05056795926361146,0.05193889541715624,-0.05816686251468861,0.029259694477085763,0.025695260477869186,-0.05910693301997649,-0.049314531923227545,0.011868390129259665,0.021034077555816655,0.016529573051312196,-0.019349784567175843,-0.014061887974931464,0.00379945162553863,0.020877399138268693,0.0252252252252253,-0.014845280062671384,-0.01594202898550723,-0.02835879357618487,-0.005366235801018471,0.029416372894633724,-0.010340775558166815,-0.005052878965922436
audiology-std,-0.07166666666666666,-0.04833333333333334,-0.10083333333333333,-0.039583333333333415,-0.09125000000000005,-0.10208333333333341,-0.15333333333333332,-0.15249999999999997,-0.07083333333333341,-0.060833333333333406,-0.040000000000000036,-0.09125000000000005,-0.11250000000000004,-0.08083333333333342,-0.019583333333333397,-0.07291666666666663,-0.10124999999999995,-0.040000000000000036,0.09166666666666667,-0.09125000000000005,4.166666666666208E-4,0.04166666666666663,-0.030416666666666647,-0.02041666666666664,-0.0508333333333334,-0.08041666666666658,-0.12124999999999997,-0.018750000000000044,-0.07166666666666666,-0.06125000000000003
balance-scale,-0.019466289833702022,-0.016281641681002657,0.012503072007864269,-0.006656017039403661,-0.003481608912918821,-0.038676579012042245,-0.022620217907757922,-0.03864585893339889,0.0093081838289506,-0.00983042516588839,-0.02583558613910053,-0.003481608912918821,-0.003481608912918821,0.03170312115999019,-0.03227656262800027,0.015779880396493806,0.0028876873924796875,-0.02905095437044314,0.015738920291636038,-2.9696076021956674E-4,-0.003430408781846417,-0.01624068157614489,-0.00985090521831744,-0.01300483329237323,0.015738920291636038,-0.025907266322601763,-0.03864585893339889,0.006174735807323639,-0.013045793397231109,0.0061440157286802854
balloons,-0.2063492063492064,-0.31746031746031744,-0.2063492063492064,-0.06349206349206349,0.5555555555555556,0.4126984126984127,0.5555555555555556,-0.2063492063492064,0.4126984126984127,0.19047619047619047,0.04761904761904767,0.15873015873015872,0.15873015873015872,0.0793650793650793,0.4444444444444444,0.3015873015873015,0.015873015873015817,-0.09523809523809523,-0.17460317460317454,-0.09523809523809523,0.33333333333333337,0.5555555555555556,-0.2063492063492064,0.4444444444444444,0.2698412698412699,-0.34920634920634924,-0.09523809523809523,-0.06349206349206349,0.6666666666666667,-0.09523809523809523
bank,-4.870974938647743E-4,-0.005353375630643531,-9.309452705161814E-4,-0.005796244906905446,-0.005353962730877182,-0.005798984707996002,8.407275346095089E-4,0.003937094166963417,-4.5598118148082456E-5,0.008802980903586444,0.0012816398100926607,-0.003584051226452445,3.960969576466411E-4,-4.870974938647743E-4,0.01057289240801118,0.008359133126935037,-0.0013724446462329842,0.0034944205907794235,-0.0027002696747072674,3.976625582697846E-4,-4.869017937868536E-4,-0.007565765011174563,0.012783129087685308,-0.0031435303511251345,-0.014202150352455867,0.009245067379536787,0.004821267118864325,-0.004912071955004649,0.009687740955720892,-0.011989760971924834
