TRAINAUROC:,ES-A,CAWPE-A,SMM5-A,SMLRE-A,NBC-A,PB-A,SMLR-A,WMV-A,RC-A,MV-A
abalone,0.8391064375716009,0.8378968245726829,0.8287205279454265,0.8314656131662321,0.818040549644018,0.8191898179059706,0.827881688426152,0.794505344725584,0.7944329098009201,0.7931236923191969
acute-inflammation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
acute-nephritis,1.0,1.0,1.0,1.0,1.0,0.9997333333333333,1.0,1.0,1.0,1.0
adult,0.9220607701847411,0.9173580192473154,0.6055371402727573,0.5981349600000204,0.7041008526223237,0.9248879718493658,0.6055797190726416,0.7041040175035483,0.7040702420851971,0.7007645009209441
annealing,0.9806764755264138,0.9783467976450113,0.9930852483463043,0.9873423940571956,0.9421723609987607,0.9773593996332226,0.9836958112937872,0.942020510683297,0.9423892380426699,0.9399039985477418
arrhythmia,0.8805353711645242,0.880218315946605,0.9724985314900413,0.9800575034452836,0.8916296830625866,0.8691531201245681,0.9492048860922974,0.8196386796063824,0.813310310027372,0.821567213387831
audiology-std,0.933566174145757,0.9349385434935865,0.9880704123959764,0.9998542955730207,0.9799094728908012,0.9100967516174322,0.9994569756554749,0.8620728150042345,0.861830365383744,0.8617116375961573
balance-scale,0.9925542773199021,0.9901636268823764,0.996004877645502,0.9928356269502091,0.9876237429622842,0.9706303630782794,0.9873179097137419,0.9843026090421916,0.9850571496404822,0.9817014630816706
balloons,0.6694444444444442,0.7194444444444446,0.7027777777777777,0.9333333333333333,0.9111111111111111,0.43333333333333335,0.0,0.7083333333333334,0.7166666666666666,0.5583333333333335
bank,0.8913482692307674,0.8927153846153828,0.3213210897435891,0.3453260256410248,0.4915589102564089,0.8903448076923056,0.3125292307692301,0.49148698717948597,0.4911911538461525,0.48915115384615254
blood,0.7272632893094162,0.7159603127669366,0.2868979565017413,0.3151967934818321,0.43404560089362015,0.6594007490636706,0.2731559235166569,0.4331651225441886,0.43020434982587596,0.4258610946842767
breast-cancer,0.6979047619047624,0.6857063492063494,0.3470952380952382,0.3533492063492064,0.5261269841269843,0.619777777777778,0.31334126984126986,0.5189682539682542,0.5175396825396829,0.5015396825396827
breast-cancer-wisc,0.9916557496360988,0.991988112566715,0.9574963609898098,0.9554366812227061,0.9670245026686064,0.9877559437166423,0.9475655021834051,0.9670196506550208,0.9670196506550209,0.9668243571081991
breast-cancer-wisc-diag,0.9941912232351071,0.9939191576567025,0.9592820295385484,0.9578263020281248,0.9769327256024309,0.9906119708854499,0.9498074341035966,0.9769168256660306,0.976934492262031,0.9763391279768213
breast-cancer-wisc-prog,0.7279613526570048,0.7254685990338164,0.3597681159420289,0.3863381642512077,0.5760579710144926,0.6667826086956521,0.31800966183574875,0.57087922705314,0.5692946859903381,0.5507826086956521
breast-tissue,0.9087557006133298,0.9093117038210629,0.983390085786569,0.9839062493933451,0.9545449768819025,0.8893444792849217,0.9770498725922717,0.8860322934245227,0.8906677584038617,0.8830956192187049
car,0.9989739969862707,0.9986314827857192,0.9997746929794668,0.9995212235406312,0.9967028568345986,0.9986385629145117,0.9992181565627111,0.9962337742151408,0.9961899093221211,0.9960435912849521
cardiotocography-3clases,0.9867187849708025,0.9859402486561142,0.9894639753869564,0.9833831543231323,0.9738933558712447,0.9831734229864568,0.9810399069997154,0.9715179452921271,0.9712530864592384,0.9718410165471467
cardiotocography-10clases,0.9866961094585744,0.9862708211869546,0.9956540837654274,0.9888790658200536,0.9744668367774755,0.9837230936479965,0.9860523024029906,0.960116139221061,0.9598880136280844,0.960095888644772
chess-krvk,0.9780466408950451,0.978536920250897,0.9965528150395476,0.9798079314339722,0.9683625633710996,0.9651057731049673,0.9788910450308328,0.9384028522999694,0.9387191495416499,0.9325632182805773
chess-krvkp,0.9990396673486888,0.9990604109111129,0.9878475201490134,0.9862513658797682,0.9959726059257399,0.9992411313413224,0.984240654658444,0.9959713487401385,0.99596411992293,0.9958574686777405
congressional-voting,0.5874656880295969,0.5786370688626319,0.13616183315431435,0.2107679914070892,0.24015693996896895,0.5632384532760462,0.1294187850578828,0.21948621553884717,0.21888351831960864,0.21370390261367708
conn-bench-sonar-mines-rocks,0.9128787878787878,0.9130429292929295,0.7192676767676771,0.7241414141414145,0.8658964646464652,0.8884974747474749,0.7066414141414145,0.8655429292929299,0.8654040404040408,0.8503030303030304
