TRAINAUROCSTDDEVS:,ES-A,CAWPE-A,SMM5-A,SMLRE-A,NBC-A,PB-A,SMLR-A,WMV-A,RC-A,MV-A
abalone,0.005039707208643485,0.004857455280627363,0.0053394006059654196,0.005478216535838194,0.005124606066201692,0.006170650330864792,0.005561653031779655,0.006224934352707678,0.006265559314492351,0.006191738843579874
acute-inflammation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acute-nephritis,0.0,0.0,0.0,0.0,0.0,0.0010258676376803586,0.0,0.0,0.0,0.0
adult,0.0025714805324721984,0.0018594086975890053,0.005743575498009245,0.007628513739182151,0.006360913905754547,0.001702579037771016,0.005768379629626173,0.006359323951774456,0.0063373703010421185,0.006225887124980871
annealing,0.0056070631512619915,0.005906346639895234,0.0033448826835652187,0.0040392986116591645,0.014778119003371276,0.007136643296546397,0.005523043550476424,0.014693283819474266,0.014486712097685381,0.014449200854898028
arrhythmia,0.01822813970228604,0.017878997687974723,0.007375588678048162,0.008101455197949086,0.019355411237048384,0.019472201725630682,0.011676897931744236,0.020441966796624085,0.02261348436663739,0.020307392604569773
audiology-std,0.0074386316750399235,0.006909446855855628,0.006199324798413859,5.20019898280929E-4,0.00714203771515203,0.013717226415863582,0.001147895188149208,0.014951519261669162,0.015347552665546667,0.015273985386301881
balance-scale,0.0025301158291042842,0.0024132416653202373,0.0031273149094772764,0.003657158724493857,0.004734745031388875,0.005575857013065225,0.007197453043719641,0.005357373676590235,0.005237354959183807,0.005335345439573335
balloons,0.2693501237132011,0.23921500506078713,0.3900604956846335,0.2537081317024625,0.11771559118776301,0.33433756772968587,0.0,0.2950339288235984,0.2875114523789307,0.3187544605652888
bank,0.011119945157579922,0.008946474657322885,0.05057707706273838,0.047270902897512866,0.03473380291967801,0.009890935278373992,0.042278611036591765,0.03475778689983406,0.03477741488604173,0.03451003914627102
blood,0.03274273638929212,0.03733113726431112,0.0774975552262065,0.07164786650980007,0.05052811645431198,0.04734244500585477,0.08172461102502783,0.05128234611365305,0.05167033248837045,0.05083275941573141
breast-cancer,0.05037203834712003,0.05277873603502259,0.11248585110112098,0.10147868611952192,0.06922721485866014,0.06925609581786946,0.10874878355779619,0.07517598227351559,0.07579668692354591,0.07503825837170959
breast-cancer-wisc,0.003736706813040525,0.0029684320229894194,0.015824141803461235,0.013889292145931703,0.009091244548352539,0.004513604359860682,0.01801795648548238,0.009093344167862873,0.009095975122629697,0.00911760737597328
breast-cancer-wisc-diag,0.0034037197552856564,0.003603715020555161,0.01554761681523541,0.015561671520593139,0.011298039175476634,0.005367962461867174,0.014985223554136397,0.011300191293352472,0.011287297889316903,0.011297421882193246
breast-cancer-wisc-prog,0.06158395344459158,0.057291911031775514,0.15211396739372407,0.11922106624787575,0.09106549117577953,0.06550333671049133,0.14413445638753353,0.09257199650219974,0.0911323171976917,0.09012084954124694
breast-tissue,0.01945402252271994,0.01928276704719561,0.011194788802766791,0.0106902473242203,0.016266685048616805,0.027871854542885224,0.0126089029871546,0.025507977003741533,0.025865836875997795,0.025021829228157717
car,3.868384001376421E-4,4.0280514425781127E-4,2.1750655999003447E-4,3.4606399309824385E-4,0.001046162554010607,8.334568645364739E-4,5.626620131789611E-4,0.0016580596877230904,0.0016424087326565144,0.0016546170401269774
cardiotocography-3clases,0.0017872358084505171,0.001677185574310816,0.004404691463973181,0.0033669809132487265,0.00402640348644634,0.002903616522483933,0.00413054894430541,0.004543812091326494,0.004500883465175259,0.004541683767357133
cardiotocography-10clases,0.0013939975273128567,0.0013998793880567336,0.00112352083432997,0.0013639548166956925,0.002579131598703547,0.002140184513776053,0.0015361483124328515,0.004852586816983365,0.004869073801628454,0.004851912741590925
chess-krvk,8.084901551891759E-4,5.435676181388045E-4,2.3495704890821983E-4,4.632274881974937E-4,9.853376554842023E-4,4.3861274149684825E-4,5.943021605896294E-4,0.00183863297503607,0.0017875396744253965,0.001940906998707076
chess-krvkp,4.551515249840139E-4,4.517616288956088E-4,0.0033031613213207606,0.0030592599963005537,0.001652010002852666,2.9261925269060324E-4,0.0028633214103995115,0.0016519253698930752,0.0016555986095724532,0.001650261642737025
congressional-voting,0.04214813892393592,0.03868446922592225,0.10548564768995496,0.11366447484790523,0.08367850252994194,0.03923258494592328,0.10030527015060865,0.08542634709658915,0.08538760438451272,0.07805018780188863
conn-bench-sonar-mines-rocks,0.01862619826233973,0.017353304821720313,0.04804299766201316,0.05293822553054175,0.03180052554932813,0.02565778415796522,0.045216716426935456,0.031924903641520945,0.0316625124975224,0.03128050583479094
conn-bench-vowel-deterding,4.24768802432211E-4,4.4812083727770456E-4,1.0823278457584128E-4,9.696692573390661E-5,5.916461204470633E-4,9.440636461748737E-4,3.7730335928890457E-4,0.001980114526115478,0.0019666604537722466,0.001976217799258999
connect-4,0.0017190601557281434,0.001267800743483698,0.005533717630055958,0.003983141714981207,0.007757159513120258,0.0010226264347545568,0.004475819647657531,0.007689499181399168,0.007628779532620559,0.007538958135972339
contrac,0.012181761705872417,0.01141600217648033,0.015328012182235612,0.01059625507251978,0.011880492937927907,0.014251649668321915,0.013375078264964233,0.013306453359889205,0.013375288749464084,0.013660051106273968
credit-approval,0.012719700550108888,0.012360735090755897,0.03583891378201475,0.030093940448154225,0.021639318644991187,0.01634824963161008,0.029854891962157796,0.02156459090197314,0.02154193228962231,0.021777789911247677
