TRAINAUROC,ES-A,CAWPE-A,SMM5-A,SMLRE-A,NBC-A,PB-A,SMLR-A,WMV-A,RC-A,MV-A
AvgTRAINAUROCOverDsets:,0.8872995281112264,0.8915186650403456,0.8240970441738162,0.8291653263926297,0.8524749163868552,0.8660019611230334,0.7978798024354955,0.8269845859592989,0.8274834515528331,0.811819995784727
AvgTRAINAUROCRankOverDsets:,3.4297520661157024,3.8016528925619837,4.5,4.628099173553719,5.053719008264463,5.25206611570248,6.066115702479339,6.847107438016529,7.037190082644628,8.384297520661157
StddevOfTRAINAUROCOverDsets:,0.1371458522000649,0.12895791189209496,0.24747941315853872,0.2329355820872455,0.17577195567382042,0.16645876497128442,0.2641886701808338,0.18143564129273038,0.18143951258120197,0.20245625225212133
AvgOfStddevsOfTRAINAUROCOverDsetFolds:,0.024868478871907785,0.022620924875948106,0.03567637794044162,0.030034938272261554,0.023613425550612775,0.024945647214042552,0.02991090181299429,0.029931157155953136,0.029760790419893282,0.028784823669844133
StddevsOfTRAINAUROCRanksOverDsets:,2.127504196161125,1.8545881605302736,3.551408171415953,3.2586608481730623,1.5011129938767684,2.5001033036507954,3.402782041188463,1.6756130410571772,1.7141145542915621,1.4285195287699561

flat,ES-A,CAWPE-A,SMM5-A,SMLRE-A,NBC-A,PB-A,SMLR-A,WMV-A,RC-A,MV-A
ES-A,0|121|0,78|3|40,51|3|67,54|3|64,93|3|25,107|2|12,63|3|55,111|3|7,110|3|8,115|3|3
CAWPE-A,40|3|78,0|121|0,52|3|66,51|3|67,93|3|25,101|2|18,57|3|61,113|3|5,113|3|5,117|3|1
SMM5-A,67|3|51,66|3|52,0|121|0,68|4|49,66|4|51,70|2|49,109|4|8,68|3|50,68|3|50,69|3|49
SMLRE-A,64|3|54,67|3|51,49|4|68,0|121|0,68|4|49,68|2|51,109|5|7,70|3|48,70|3|48,70|3|48
NBC-A,25|3|93,25|3|93,51|4|66,49|4|68,0|121|0,44|2|75,53|4|64,111|3|7,110|3|8,116|3|2
PB-A,12|2|107,18|2|101,49|2|70,51|2|68,75|2|44,0|121|0,54|2|65,101|2|18,100|2|19,105|3|13
SMLR-A,55|3|63,61|3|57,8|4|109,7|5|109,64|4|53,65|2|54,0|121|0,67|3|51,67|3|51,67|3|51
WMV-A,7|3|111,5|3|113,50|3|68,48|3|70,7|3|111,18|2|101,51|3|67,0|121|0,69|4|48,113|3|5
RC-A,8|3|110,5|3|113,50|3|68,48|3|70,8|3|110,19|2|100,51|3|67,48|4|69,0|121|0,108|3|10
MV-A,3|3|115,1|3|117,49|3|69,48|3|70,2|3|116,13|3|105,51|3|67,5|3|113,10|3|108,0|121|0



p=0.01,ES-A,CAWPE-A,SMM5-A,SMLRE-A,NBC-A,PB-A,SMLR-A,WMV-A,RC-A,MV-A
ES-A,0|121|0,14|105|2,50|7|64,51|12|58,81|19|21,72|44|5,55|22|44,104|14|3,104|14|3,108|12|1
CAWPE-A,2|105|14,0|121|0,50|7|64,51|7|63,80|21|20,65|49|7,54|17|50,105|15|1,105|15|1,108|12|1
SMM5-A,64|7|50,64|7|50,0|121|0,30|76|15,65|7|49,68|4|49,55|61|5,67|6|48,67|6|48,68|6|47
SMLRE-A,58|12|51,63|7|51,15|76|30,0|121|0,66|8|47,66|6|49,57|61|3,68|7|46,68|8|45,69|7|45
NBC-A,21|19|81,20|21|80,49|7|65,47|8|66,0|121|0,36|17|68,51|10|60,52|67|2,51|68|2,63|56|2
PB-A,5|44|72,7|49|65,49|4|68,49|6|66,68|17|36,0|121|0,53|9|59,91|23|7,91|22|8,93|26|2
SMLR-A,44|22|55,50|17|54,5|61|55,3|61|57,60|10|51,59|9|53,0|121|0,65|5|51,65|5|51,67|4|50
WMV-A,3|14|104,1|15|105,48|6|67,46|7|68,2|67|52,7|23|91,51|5|65,0|121|0,0|121|0,9|112|0
RC-A,3|14|104,1|15|105,48|6|67,45|8|68,2|68|51,8|22|91,51|5|65,0|121|0,0|121|0,10|111|0
MV-A,1|12|108,1|12|108,47|6|68,45|7|69,2|56|63,2|26|93,50|4|67,0|112|9,0|111|10,0|121|0



p=0.05,ES-A,CAWPE-A,SMM5-A,SMLRE-A,NBC-A,PB-A,SMLR-A,WMV-A,RC-A,MV-A
ES-A,0|121|0,16|102|3,51|5|65,51|12|58,84|13|24,80|34|7,58|16|47,106|12|3,106|12|3,108|12|1
CAWPE-A,3|102|16,0|121|0,50|6|65,51|4|66,84|14|23,74|38|9,55|14|52,106|14|1,106|13|2,110|10|1
SMM5-A,65|5|51,65|6|50,0|121|0,34|67|20,65|6|50,68|4|49,66|50|5,68|4|49,68|4|49,68|5|48
SMLRE-A,58|12|51,66|4|51,20|67|34,0|121|0,66|7|48,66|4|51,76|42|3,69|6|46,69|5|47,69|6|46
NBC-A,24|13|84,23|14|84,50|6|65,48|7|66,0|121|0,37|15|69,52|8|61,59|60|2,57|62|2,68|51|2
PB-A,7|34|80,9|38|74,49|4|68,51|4|66,69|15|37,0|121|0,54|6|61,94|17|10,94|16|11,98|20|3
SMLR-A,47|16|58,52|14|55,5|50|66,3|42|76,61|8|52,61|6|54,0|121|0,66|4|51,66|4|51,67|3|51
WMV-A,3|12|106,1|14|106,49|4|68,46|6|69,2|60|59,10|17|94,51|4|66,0|121|0,0|121|0,13|108|0
RC-A,3|12|106,2|13|106,49|4|68,47|5|69,2|62|57,11|16|94,51|4|66,0|121|0,0|121|0,16|105|0
MV-A,1|12|108,1|10|110,48|5|68,46|6|69,2|51|68,3|20|98,51|3|67,0|108|13,0|105|16,0|121|0



T TEST,ES-A,CAWPE-A,SMM5-A,SMLRE-A,NBC-A,PB-A,SMLR-A,WMV-A,RC-A,MV-A
ES-A,0.0,0.3699423,6.8503E-4,0.00104635,0.00331874,5.4E-7,3.77E-6,2.0E-8,3.0E-8,0.0
CAWPE-A,0.0,0.0,1.2165E-4,1.7119E-4,1.4434E-4,0.00227856,3.8E-7,0.0,0.0,0.0
SMM5-A,0.0,0.0,0.0,0.10061577,0.00147742,0.03052833,2.6394E-4,0.78790011,0.7494905,0.36000491
SMLRE-A,0.0,0.0,0.0,0.0,0.00198567,0.04966318,7.2337E-4,0.82656918,0.86365636,0.18349397
NBC-A,0.0,0.0,0.0,0.0,0.0,0.3244633,4.65E-6,1.0E-8,1.0E-8,3.434E-5
PB-A,0.0,0.0,0.0,0.0,0.0,0.0,4.1697E-4,0.00138995,0.00176056,0.0
SMLR-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01514392,0.01363751,0.31423263
WMV-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22899895,0.05462736
RC-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04827161
MV-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

SIGN TEST,ES-A,CAWPE-A,SMM5-A,SMLRE-A,NBC-A,PB-A,SMLR-A,WMV-A,RC-A,MV-A
ES-A,0.0,5.5122E-4,0.14579515,0.36330214,0.0,0.0,0.4670589,0.0,0.0,0.0
CAWPE-A,0.0,0.0,0.20311484,0.14579515,0.0,0.0,0.71612957,0.0,0.0,0.0
SMM5-A,0.0,0.0,0.0,0.08411872,0.17268206,0.05625037,0.0,0.10176351,0.10176351,0.06903637
SMLRE-A,0.0,0.0,0.0,0.0,0.08411872,0.12223637,0.0,0.04550027,0.04550027,0.04550027
NBC-A,0.0,0.0,0.0,0.0,0.0,0.00482965,0.31731051,0.0,0.0,0.0
PB-A,0.0,0.0,0.0,0.0,0.0,0.0,0.31731051,0.0,0.0,0.0
SMLR-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14579515,0.14579515,0.14579515
WMV-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05625037,0.0
RC-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MV-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

SIGN RANK TEST,ES-A,CAWPE-A,SMM5-A,SMLRE-A,NBC-A,PB-A,SMLR-A,WMV-A,RC-A,MV-A
ES-A,0.0,1.1077E-4,0.05170185,0.04948301,3.1E-7,0.0,0.001173,0.0,0.0,0.0
CAWPE-A,0.0,0.0,0.03157878,0.04414154,2.7E-7,0.0,0.00164004,0.0,0.0,0.0
SMM5-A,0.0,0.0,0.0,0.81189433,0.09628028,0.2126355,0.0,0.99464334,0.96679807,0.6127112
SMLRE-A,0.0,0.0,0.0,0.0,0.100151,0.18487101,0.0,0.7707674,0.76871458,0.45776826
NBC-A,0.0,0.0,0.0,0.0,0.0,0.00330117,0.00293843,0.0,0.0,0.0
PB-A,0.0,0.0,0.0,0.0,0.0,0.0,0.01712662,0.0,0.0,0.0
SMLR-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15897769,0.15426393,0.2845511
WMV-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13082627,0.0
RC-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
