folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,0.7952485687836466,0.7878906929244948,0.7870801512928894,0.792407407008682,0.8050793960551754,0.7883660588512915,0.8001899603973707,0.8001700258027302,0.7901742245467559,0.7980213049479569,0.7985102576556979,0.7987047782713661,0.7792238845676502,0.7938154005288306,0.8005876340496961,0.7873611553854392,0.7888530541376982,0.808877808285676,0.794516031736369,0.7910331974692533,0.7942040261121663,0.7898954311665589,0.7914049643237805,0.7928765309319201,0.7952064853064511,0.7922495285275928,0.7878288845747963,0.7867970940775539,0.7889150284199404,0.7882218034364754
acute-inflammation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
acute-nephritis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,0.7079256441343923,0.7123031207648891,0.7007517342212386,0.6989555366832328,0.6940110346996327,0.710732764188506,0.7106921728824398,0.7023813102518645,0.7017980428486947,0.6953126926757588,0.6936537833000316,0.68813672832292,0.6936165177909444,0.7028292978687712,0.7029647158460456,0.7013499078280443,0.6961705456162212,0.7004615423125269,0.7030734445328799,0.6975902463532704,0.6994617487791082,0.6923932601812787,0.7013379589120275,0.6966978180220533,0.6967223515327323,0.6980910413615463,0.698141637696752,0.7088343790048152,0.7135366413602465,0.7030074076554668
annealing,0.9366782168000963,0.9581483738238836,0.9360875044986108,0.9583424444108448,0.9304656881215272,0.9452058214991756,0.9156144556704624,0.912559907259852,0.9151748214214955,0.9307509206442983,0.9438952064411605,0.9656900344201128,0.9545549561497219,0.9363090795647352,0.9388053033992694,0.9316498287456441,0.9540817531250901,0.9523910089878193,0.9466479634299442,0.9411964763015089,0.9400080112357608,0.9320471088673679,0.9513903668365594,0.9481460811831002,0.9408909176793337,0.957577522818409,0.9092235297261612,0.9268521836362829,0.9509237044813874,0.9358107652526402
arrhythmia,0.8636502762792955,0.8007535872932589,0.8363186044850318,0.827811062058914,0.8237913191431543,0.8296276631661784,0.8311280534919275,0.8284485018568384,0.8020346318303566,0.829346804960012,0.7964743281812642,0.8352243302437292,0.8282130571951849,0.795146534672044,0.7969022397875635,0.8365767275674091,0.8085425885287243,0.837971390861494,0.8342173734161397,0.8449450776061959,0.7920277931615116,0.8178642848176263,0.8346593410202424,0.8082409376420271,0.7693973447348065,0.8065212235190468,0.8231168777751999,0.826423403318007,0.827408507114114,0.8542325359076355
audiology-std,0.8440915170097543,0.8838265714365703,0.8574604904367147,0.8599366356626964,0.8592766601925699,0.8352827825671452,0.8353486871836879,0.8587305056642942,0.8552290004886833,0.866587321021666,0.8877561250550119,0.8461876149485995,0.8512090582061261,0.8551307009576655,0.883372277528977,0.8668697793524236,0.8557905781638984,0.8744148858522123,0.8640907585177553,0.8502682671003705,0.8738567758775583,0.8937866096782672,0.8777624666977902,0.8468362547582766,0.8672209078494693,0.8737273803656851,0.8575419708084532,0.872696678000907,0.8597862142339473,0.8372736522675471
balance-scale,0.9783049704924692,0.9792906746031735,0.974761205229954,0.980516445360194,0.9862653261090748,0.9740855209605197,0.9807612815425304,0.970719818376067,0.9876739290801789,0.9869092134717121,0.9784226190476177,0.9868678774928761,0.9865912444037441,0.9803177146927144,0.9759392806267803,0.985268493080993,0.9824290293040291,0.9725847069597057,0.9868933150183147,0.9820156695156692,0.9882049374236872,0.9791491783679283,0.9876500814000811,0.9918806598494095,0.9814751221001209,0.9814290165852653,0.9740219271469258,0.9869918854293842,0.9823908730158726,0.9812318757631244
balloons,0.25,0.25,0.16666666666666666,0.5833333333333333,1.0,1.0,1.0,0.16666666666666666,1.0,0.6666666666666666,0.8333333333333334,0.5833333333333333,0.5833333333333334,0.5833333333333334,0.8333333333333334,0.5,0.3333333333333333,0.25,0.5,0.41666666666666663,0.8333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,0.08333333333333333,0.25,0.16666666666666666,1.0,0.25
bank,0.4524615384615373,0.4235461538461528,0.5512038461538447,0.4449153846153835,0.4916749999999987,0.4931923076923064,0.468505769230768,0.5195788461538448,0.5085173076923063,0.5017307692307679,0.5360019230769215,0.472930769230768,0.49360192307692174,0.558040384615383,0.4445653846153835,0.55643846153846,0.48903076923076794,0.479107692307691,0.44546538461538343,0.4670019230769219,0.4720884615384603,0.49902307692307557,0.5215249999999986,0.4833942307692295,0.4434615384615373,0.488132692307691,0.5129538461538448,0.4658865384615372,0.4854942307692295,0.5050634615384602
