folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,0.8208171622438734,0.818709507773519,0.8168953626796318,0.8187959865712711,0.8315898445738215,0.8104249064255086,0.8257688375259049,0.822429167818318,0.8229970082299597,0.8231827598028718,0.8275175275945456,0.8199457067268255,0.8053002709435523,0.8245375320155783,0.8281653181815961,0.8185224379219457,0.8180862294269573,0.8277827031614554,0.8170285640029713,0.8111125057704351,0.8133993954630386,0.8175603863258902,0.8186654342976503,0.8274681692179153,0.817338123016041,0.8147707507773121,0.8177504044266477,0.8099689566810628,0.8128200563101429,0.8163435212728757
acute-inflammation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
acute-nephritis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9965714285714286,1.0,1.0,1.0,1.0,0.9954285714285714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,0.9276435647750412,0.9248375502490129,0.9254022171422054,0.9223675241324895,0.9236016804064798,0.924535473913427,0.9246654563776272,0.9275504977360485,0.9233996175113538,0.9243800090269366,0.9217791436619214,0.9238869895661767,0.923186582249995,0.9285991371851798,0.9256283989749778,0.9262267568364743,0.9251212011165724,0.924957914618897,0.9261305206169766,0.9251760168839727,0.924629922862524,0.9241465859852162,0.924255342310266,0.923058930607518,0.9241082794371905,0.9234004835083608,0.9250173459660471,0.923432764928344,0.9285705224333506,0.9269427244603873
annealing,0.9701691642391128,0.9798657036566268,0.9614021299636615,0.9816172754873562,0.9687421229573582,0.975301032543318,0.97076346654525,0.9681094423207965,0.9835781391669819,0.9869658100308618,0.9734293599305875,0.9880231899011959,0.979074952461466,0.9766530560061014,0.9773333814796553,0.9734960330963263,0.9867783882767005,0.9806234481366164,0.9859492329466287,0.9782793102229447,0.9774623445739644,0.9815212426744951,0.9669618765624908,0.9830002336892196,0.988536669949507,0.9772875599613328,0.9662402806551675,0.971230344744733,0.9837845236310906,0.9786022731851337
arrhythmia,0.9057568846829281,0.8775703353037793,0.8847950785510592,0.8747433098734968,0.8647881423403201,0.8602612390445719,0.8924216313121195,0.8649671962299538,0.8367391685384148,0.8826119749174492,0.8384903327066638,0.864486621164632,0.8883219064109004,0.8469161554153872,0.8639372633280501,0.869435081003874,0.8489505371831613,0.8994209189063869,0.8469887005235142,0.8796681340775174,0.8762663215443475,0.87082526138726,0.8768458645505602,0.8497225220627583,0.8479876635872562,0.8550702546636496,0.8835409812573819,0.8926816000972437,0.8359112559969525,0.8944712670754521
audiology-std,0.9068138764629223,0.9263506079492903,0.9179539887909691,0.9308646795168466,0.9025348823117608,0.9201463449980825,0.8799078875931265,0.8912181493898752,0.9061803694690367,0.9168628929656327,0.9223284311933031,0.9175599986381682,0.9162222154845457,0.9045930816683323,0.9192903018850084,0.9177403453079094,0.897669276884689,0.9136066738746071,0.9249908566002546,0.8997100499863042,0.9164267197299925,0.9303890935074448,0.9243282835256655,0.8821496999671382,0.8928981307142843,0.9096761594866585,0.9105588623241494,0.9067617596219911,0.9104438653587859,0.8867250633162059
balance-scale,0.9670917913105408,0.9750489672364668,0.9679439484126979,0.9747309981684977,0.9663127670940166,0.9603285892348389,0.9652396214896211,0.9667515644078141,0.9749885531135529,0.9723509996947493,0.9701283959096454,0.9701077279202275,0.9762397613960108,0.9805164453601951,0.9678867139804637,0.9777326261701258,0.9680456985144479,0.9639121006308503,0.9646497888685386,0.9768025666463163,0.9758645578958076,0.9716021825396821,0.9743653337403333,0.9807676409238906,0.9765275234025229,0.9689471408221404,0.9601028311965807,0.9721490893365891,0.9653652192714688,0.9664097476597471
balloons,0.08333333333333333,0.8333333333333334,0.16666666666666666,0.16666666666666666,1.0,0.75,1.0,0.5,1.0,0.25,0.16666666666666666,0.16666666666666666,0.5,0.16666666666666666,0.16666666666666666,0.0,0.41666666666666663,0.08333333333333333,0.41666666666666663,0.3333333333333333,0.41666666666666663,1.0,0.16666666666666666,0.6666666666666666,0.5833333333333334,0.41666666666666663,0.5,0.0,1.0,0.08333333333333333
bank,0.8749865384615361,0.8728538461538445,0.8969711538461519,0.8805846153846134,0.8906153846153825,0.8973346153846138,0.8918884615384599,0.9007730769230751,0.9017557692307668,0.9043807692307674,0.8985115384615365,0.8860615384615362,0.8881999999999984,0.901213461538459,0.8794846153846132,0.8861230769230748,0.8952346153846137,0.897336538461536,0.8670288461538445,0.8835384615384597,0.8974384615384595,0.9053384615384598,0.8864673076923053,0.8880769230769207,0.8900884615384594,0.9001730769230749,0.8965538461538444,0.8769192307692291,0.8832019230769206,0.891209615384613
blood,0.6529863985807218,0.7017938103686189,0.6557461068401343,0.6740390301596689,0.6859452000788494,0.599960575596294,0.6946974177015578,0.6745909718115517,0.6253498915828899,0.6732505420855515,0.6164399763453579,0.725133057362508,0.5995663315592352,0.6687167356593736,0.6931598659570278,0.6609107037256066,0.670451409422433,0.6675340035481966,0.622314212497536,0.7727183126355222,0.6918588606347333,0.6487285629804852,0.5765030553912871,0.6886654839345557,0.5563177606938692,0.6980879164202646,0.5888823181549379,0.7169327813916822,0.655548984821605,0.6251921939680666
breast-cancer,0.6840476190476193,0.5266666666666667,0.7035714285714288,0.6369047619047621,0.5766666666666668,0.5173809523809525,0.5588095238095239,0.635952380952381,0.5766666666666667,0.639761904761905,0.7192857142857146,0.607857142857143,0.7052380952380956,0.6538095238095241,0.7252380952380955,0.609761904761905,0.6042857142857144,0.5085714285714286,0.5245238095238096,0.741666666666667,0.5069047619047619,0.6802380952380953,0.6423809523809526,0.7052380952380957,0.6014285714285716,0.5802380952380952,0.5971428571428572,0.5500000000000002,0.6042857142857144,0.668809523809524
