folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,0.8337347439478155,0.82908704004721,0.8281984138004972,0.8238949862918303,0.8415160721548715,0.8171866581213285,0.8370066557477702,0.8296845744385268,0.8306365851071777,0.825338831747444,0.8228822444003783,0.8319955132701768,0.8199939303702918,0.8302820455291602,0.8302886348477647,0.823742136948491,0.8211582089325486,0.8362608228201778,0.8293520091144013,0.8264393143008942,0.8290436820368029,0.822964779353683,0.8298047521098038,0.8265394156352057,0.8347131479996415,0.8254276783174026,0.8202628982837786,0.8221736549197121,0.8313414464689471,0.8254997757208224
acute-inflammation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
acute-nephritis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,0.6178147135119776,0.6107456721501064,0.6036183326073947,0.6028477242580467,0.5995433560982529,0.6096662253184026,0.6054431448972493,0.6140821559006735,0.607620565368761,0.6027787761566847,0.5939354175000917,0.5988886992192067,0.5956854223897503,0.6070900592932899,0.6057347924179356,0.6150359502531596,0.609544331634661,0.6036863225844196,0.6065561352934988,0.6028477242580467,0.6019797557356366,0.6036873175596927,0.6077248719432692,0.6024877090382411,0.5988483935078946,0.6017330387187381,0.6061978981313586,0.6038365638507224,0.6161638652785127,0.6115666373035763
annealing,0.9814499056181175,0.9850057429869558,0.9698560894307857,0.9870010606621775,0.9795158475110464,0.9845500726588923,0.9811724411278482,0.977122224212614,0.9830090209135603,0.9919967655695927,0.9824956805476899,0.9901980155931135,0.9886651735162102,0.984863340736399,0.9805780313594137,0.9845830101332445,0.9858570476463153,0.9849431012564813,0.9885909803908218,0.9846376930593206,0.9783577926881237,0.983313763588214,0.9798476712468578,0.9867091064750695,0.9910007557226399,0.9858908667904345,0.9681785093025045,0.9823050555368695,0.9909980276182542,0.9881815449140574
arrhythmia,0.9647867786861862,0.9522484193319665,0.9438219436187382,0.9554344096991233,0.9345887706436258,0.9470413371246085,0.9519895153005734,0.9489731656867557,0.9140285755779518,0.9322076962803792,0.9390040738650027,0.9476768611040993,0.9528400064976608,0.9513141526423099,0.9537955481368742,0.9568855584160998,0.9457373583626489,0.9517119869121355,0.9442008885659557,0.9596932019479159,0.9375735192397389,0.96219710761315,0.9540426374323766,0.9515819097355565,0.9294714354889202,0.9584351399119462,0.9659876673186358,0.9615739734364559,0.9426404113632326,0.9646625328283004
audiology-std,0.9997735507246375,0.9998903508771928,0.9996366279069765,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9990310077519378,0.9998903508771927,0.999878875968992,0.9996408045977009,0.9998867753623186,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9990547059319176,0.9948811931243678,0.9963726489999131,0.999878875968992,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9986593394924071,0.9997184684684682,0.9998903508771927,0.9999999999999998,0.9999999999999998,0.9994369369369367,0.9981884057971012
balance-scale,0.9885928596866084,0.9812620828245813,0.9883400742775725,0.9927614341676835,0.987817015160764,0.9766356328856313,0.9950698896011391,0.9855594347781833,0.9949140847578343,0.9907105336792816,0.9732413130850616,0.9908345416157897,0.98569457163207,0.9845530626780612,0.9674336080586065,0.9925022893772892,0.9823606659544157,0.9873098544973531,0.9918297847985331,0.9906660180097664,0.9956708511396003,0.9920316951566934,0.9823654354904336,0.9974689662189657,0.9922113476800971,0.9728724689662174,0.9898345288970273,0.9925229573667056,0.9884291056166041,0.9880411833536815
balloons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bank,0.28904615384615323,0.24049230769230726,0.3133846153846147,0.255261538461538,0.29144999999999943,0.26182692307692257,0.3215076923076916,0.3809307692307683,0.3408999999999992,0.3471403846153838,0.3255807692307685,0.26169230769230717,0.3442923076923069,0.3846653846153837,0.3313538461538454,0.37661346153846065,0.32390769230769156,0.30560769230769164,0.2789230769230764,0.30765769230769163,0.3034384615384609,0.32847692307692233,0.3749999999999991,0.26034615384615334,0.23938461538461497,0.3635634615384607,0.31825961538461467,0.2662499999999995,0.3428249999999992,0.2960980769230763
blood,0.3431500098561011,0.27005716538537355,0.1923122412773507,0.35257244234180984,0.23765030553912872,0.23244628424995073,0.26808594520007883,0.3486694263749263,0.35655430711610514,0.29272619751626267,0.20524344569288389,0.3275379459885671,0.1829686575990538,0.31097969643209156,0.20599250936329588,0.22684801892371376,0.14042972600039424,0.35521387739010474,0.18095801301005324,0.4331953479203631,0.35127143701951535,0.3064064656022079,0.09970431697220579,0.2448255470136014,0.14094224324857085,0.2798344175044353,0.26808594520007883,0.39968460477035317,0.3486694263749263,0.2916617386162035
breast-cancer,0.28785714285714287,0.02333333333333333,0.33904761904761915,0.3926190476190477,0.20571428571428568,0.18095238095238092,0.18666666666666665,0.40285714285714297,0.2238095238095238,0.4333333333333335,0.3771428571428573,0.2657142857142857,0.36023809523809536,0.36190476190476195,0.4207142857142858,0.39428571428571446,0.18476190476190474,0.3321428571428572,0.18095238095238092,0.4871428571428573,0.21666666666666667,0.442857142857143,0.18285714285714283,0.3428571428571429,0.31333333333333335,0.2714285714285714,0.41142857142857153,0.4161904761904764,0.3214285714285715,0.4400000000000002
breast-cancer-wisc,0.961863173216884,0.9371179039301301,0.9371179039301301,0.9168122270742349,0.961863173216884,0.9786754002911198,0.961863173216884,0.9332241630276555,0.9332241630276555,0.9494541484716148,0.9292576419213964,0.9575691411935944,0.9446870451237254,0.9489810771470151,0.9661572052401736,0.961863173216884,0.9497816593886452,0.9489810771470151,0.9575691411935944,0.9292576419213964,0.961353711790392,0.9532751091703047,0.9700145560407558,0.965684133915574,0.9575691411935944,0.8926855895196498,0.9532751091703047,0.925109170305676,0.9371179039301301,0.9455604075691402
breast-cancer-wisc-diag,0.9421242315030739,0.9514521941912231,0.9607801568793723,0.9662391350434597,0.9498622005511976,0.9514521941912231,0.9701081195675216,0.9367712529149882,0.9514521941912231,0.9756200975196098,0.9274962900148398,0.9514521941912231,0.9421242315030739,0.9607801568793723,0.9645961416154334,0.9514521941912231,0.9568581725673097,0.9406402374390501,0.9514521941912231,0.955321178715285,0.922196311214755,0.9662391350434597,0.9514521941912231,0.9314182743269025,0.9274962900148398,0.9182213271146914,0.955321178715285,0.9514521941912231,0.9756200975196098,0.9367712529149882
breast-cancer-wisc-prog,0.5599999999999998,0.24695652173913044,0.35478260869565215,0.2504347826086956,0.1252173913043478,0.2921739130434783,0.2921739130434783,0.08231884057971015,0.3704347826086956,0.08463768115942029,0.16927536231884058,0.42318840579710143,0.36521739130434777,0.2921739130434783,0.33391304347826084,0.42898550724637674,0.49391304347826076,0.45913043478260857,0.21159420289855074,0.16927536231884058,0.3704347826086956,0.5843478260869563,0.2144927536231884,0.16695652173913042,0.1252173913043478,0.5194202898550723,0.5426086956521737,0.37565217391304345,0.24695652173913044,0.3884057971014492
breast-tissue,0.9797426410798503,0.9804729185543138,0.9871167269423083,0.9844047425442773,0.9815474773855374,0.984298711624293,0.9825800491498166,0.9488850108107056,0.9853128783361341,0.9768002023815977,0.9798598042784089,0.9702873999385627,0.9921407726640284,0.9778548136177179,0.9800401149238359,0.9802958023888256,0.9601923270527922,0.9900022135487252,0.9773697232999558,0.970873725914849,0.978718310113659,0.9748574100318287,0.9346907716660978,0.9886341049131747,0.9568491908608189,0.9774522957662493,0.9739675053628541,0.9941832069739046,0.9805696564417494,0.9814956692012846
car,0.9997147235838,0.9981486043621841,0.9992431856698997,0.9993529220281018,0.9990185984942885,0.9992253336082014,0.9977532660384998,0.9974792996305757,0.999488266146244,0.9990854016414673,0.9998644631227612,0.9993631365394632,0.9994703678867367,0.9989430526025158,0.9996114135594225,0.9993544176621694,0.9993142240759227,0.9993411721288127,0.9996294616126995,0.9991633576520873,0.999704445542459,0.999174642023184,0.9993772538961415,0.9995739893755781,0.9993792469231935,0.9994065813784275,0.9998145410449493,0.9993940472125373,0.9996460329575245,0.9985092484814881
cardiotocography-3clases,0.9771484287159948,0.9839226750719416,0.9813820882992387,0.9789361104112895,0.9765123695794379,0.9776737272879437,0.9811855082632851,0.9754475049448618,0.985034703513604,0.9867601650856276,0.984345364485946,0.9798891928521898,0.970332396526498,0.9860428227301656,0.9770141862616524,0.973682509749619,0.9826906438138141,0.9819853902709966,0.9815484807767709,0.9796709028277553,0.9812029495345883,0.9812034609560801,0.9770296975294027,0.9859085480843696,0.9847362645469359,0.987134163329449,0.9816159828836915,0.9806392861904327,0.984950503910825,0.9855711815570568
cardiotocography-10clases,0.9858513073378633,0.9858180149437485,0.9853331132566024,0.9859672841306106,0.9880247911398519,0.9876387911057769,0.9829819604491615,0.9843539378129889,0.9848272150623038,0.9826907415743696,0.9882092044343699,0.9860571367706299,0.9858611724256393,0.9882114952887786,0.9883659093074538,0.9861240388215836,0.987598246743202,0.9848801112769534,0.9855720146719765,0.9868541587858399,0.9840257305871937,0.985667301779997,0.987945595161308,0.985351297775816,0.9859634456125895,0.987328823123188,0.9866503180876306,0.98381800973374,0.9862923314978729,0.9873055733906797
chess-krvk,0.9795066766815158,0.9786694384600296,0.9797189824351268,0.9789216171537501,0.9788323199304518,0.9793143415176316,0.9790271578170245,0.9792606553704281,0.9781305672736416,0.979504376471639,0.9785705514109906,0.9784684000477476,0.9789143977509691,0.9790996155337728,0.9777524406372057,0.9782742670523823,0.978878575251679,0.9798998748639308,0.9782933912295854,0.9776891938202764,0.9782288957926932,0.9789849047397126,0.979755536843333,0.9791526318024948,0.9796366127637232,0.9787922669434153,0.9795488870162061,0.9789140264139559,0.9789639119266322,0.9780268359730356
chess-krvkp,0.9847691964383882,0.9886821866229115,0.9823962586156451,0.9849986328106534,0.9809772103680047,0.980023320792902,0.9838090209352782,0.9848854861065226,0.9839174531934035,0.9886821866229115,0.9862998199081575,0.9849986328106534,0.9813213649264025,0.9787252766594015,0.9862998199081575,0.9861882446860285,0.9801333245330291,0.9859556653497598,0.9838090209352782,0.9873778565614038,0.9838090209352782,0.9861882446860285,0.9827262698360265,0.9774272325259009,0.9838090209352782,0.9876010070056618,0.9849986328106534,0.9825094053197759,0.9862998199081575,0.9876010070056618
congressional-voting,0.1981740064446832,0.15413533834586468,0.09165771571786609,0.12701396348012886,0.3903508771929825,0.19495166487647697,0.12504475474400284,0.3741496598639459,0.04618689581095596,0.15288220551378448,0.06981740064446831,0.03490870032223416,0.40628356605800214,0.08020050125313283,0.11367704976727533,0.15664160401002508,0.06928034371643393,0.07035445757250268,0.09094163981382027,0.14661654135338348,0.03517722878625134,0.07832080200501253,0.09989258861439311,0.0,0.14545291800930898,0.034371643394199784,0.12110633727175078,0.1145721446473326,0.06874328678839957,0.09165771571786609
conn-bench-sonar-mines-rocks,0.6909090909090911,0.7272727272727275,0.71969696969697,0.7053030303030305,0.71969696969697,0.6477272727272729,0.6446969696969699,0.7609848484848488,0.6909090909090911,0.6795454545454548,0.643939393939394,0.6621212121212123,0.6587121212121214,0.7609848484848488,0.6909090909090911,0.7424242424242428,0.6795454545454548,0.747727272727273,0.7609848484848488,0.6306818181818183,0.6621212121212123,0.7454545454545458,0.7609848484848488,0.6621212121212123,0.71969696969697,0.7954545454545459,0.7424242424242428,0.7299242424242427,0.7575757575757579,0.6587121212121214
conn-bench-vowel-deterding,0.9993670033670035,0.9996228956228957,0.9996139169472503,0.9993804713804715,0.9996677890011224,0.999578002244669,0.9991919191919193,0.999771043771044,0.9996767676767677,0.9994478114478115,0.9998069584736252,0.9997530864197532,0.9995555555555556,0.9997620650953987,0.9995959595959597,0.9983928170594837,0.9990931537598204,0.9982626262626264,0.999510662177329,0.9989719416386084,0.9996273849607183,0.9998563411896746,0.9996228956228956,0.9997441077441078,0.9996094276094277,0.9994567901234567,0.9991919191919193,0.9995600448933784,0.9997261503928172,0.9996902356902357
connect-4,0.6550676960872482,0.6597459121681918,0.6503693911446844,0.6452049811669454,0.6537049166384442,0.6399763520004024,0.6509299289409828,0.6493167329068483,0.6474074268635391,0.6497367903421979,0.6601772276773782,0.6476348267324761,0.6504828738512181,0.6496777374003644,0.6487425853082021,0.6437885700299845,0.6466268466140076,0.644778619399141,0.6467706751185602,0.6492395933782719,0.6572902448125013,0.6520850620958747,0.646813672082606,0.6451470946446743,0.6493531563646945,0.6473509759345765,0.6501205187666295,0.6539373269169205,0.648406212573551,0.6512137230707254
contrac,0.698381384525696,0.7126619262156738,0.7168187662271697,0.709891869035566,0.713722821979273,0.7022617557550439,0.6896338181900379,0.6840270220705462,0.7005599887610984,0.7091213598486548,0.7143722496443119,0.7000058237745304,0.7336231710233179,0.7007892681011136,0.7048193893794694,0.7410006214531499,0.7135478861619102,0.7125994960328366,0.7260720155351641,0.707186385912514,0.704257939551259,0.7220643008987151,0.723831827047082,0.7135711449697102,0.720477843833502,0.7000752352003418,0.7324704177897259,0.7132443997842732,0.7372421261097322,0.7172883527519571
credit-approval,0.7509495944974822,0.7382541149094867,0.7633713171132299,0.7518050850357567,0.7703521199055511,0.7351743489716978,0.7555008041611033,0.7520104027649428,0.7922868973069128,0.7565958320500948,0.7136844266502389,0.7384594326386724,0.753379187626182,0.7562878554563162,0.7340108818396442,0.8004653868528183,0.7531054306539342,0.7015022413852078,0.8016630736064029,0.7498203469869597,0.7270985182903851,0.7384594326386724,0.7703521199055511,0.6886356636895573,0.7520104027649428,0.7509495944974822,0.7272353967765092,0.7710365123361707,0.837148821134035,0.7295623310406162
cylinder-bands,0.515384615384614,0.5712179487179473,0.5624999999999986,0.5971153846153832,0.5702564102564088,0.588461538461537,0.6147435897435882,0.6057692307692293,0.5456410256410242,0.514358974358973,0.5411538461538448,0.5405128205128191,0.5435256410256396,0.5317948717948704,0.4896153846153833,0.5613461538461524,0.5626923076923063,0.6189743589743575,0.5626923076923063,0.4765384615384603,0.5200641025641012,0.6326282051282036,0.5044230769230756,0.5357051282051268,0.5278846153846141,0.45115384615384485,0.5415384615384602,0.5708333333333319,0.5167948717948704,0.5192307692307678
dermatology,1.0,0.9990056994970387,0.9996453829315255,1.0,0.9997872297589152,1.0,0.9990766229107335,0.9998581531726103,0.9985147264461056,0.9997858570476825,1.0,0.9993603165655132,1.0,0.9999290765863051,0.9997163063452204,0.9935775417121187,0.9996815309939893,0.9997176790564533,0.9991475463244284,0.9997149336339877,0.9998581531726103,0.9997510816964514,0.9997886024701481,0.9999290765863051,1.0,0.9998206323989134,0.9990779956219664,0.9998581531726103,0.9988304500296505,1.0
echocardiogram,0.5909090909090909,0.44372294372294374,0.7272727272727275,0.6049783549783551,0.6060606060606061,0.8095238095238098,0.6212121212121213,0.616883116883117,0.6212121212121213,0.5324675324675324,0.7445887445887448,0.7727272727272729,0.6190476190476191,0.6515151515151516,0.6363636363636365,0.6363636363636365,0.681818181818182,0.5627705627705628,0.6049783549783551,0.5909090909090909,0.6980519480519481,0.6190476190476191,0.6666666666666667,0.6666666666666667,0.6980519480519481,0.8095238095238098,0.681818181818182,0.8181818181818185,0.8095238095238098,0.5909090909090909
ecoli,0.9984522822834963,0.9773075456952,0.9856981511667601,0.9858051260627066,0.9714553122478808,0.9930963648998873,0.9839037080866726,0.9742640612762358,0.9817920483979422,0.9772457476687288,0.9776673647838564,0.974571487243219,0.9841611085939356,0.9852104783049539,0.9872192672326789,0.9847577795412358,0.988409349824235,0.9776794216402369,0.969889225684592,0.9877823263204708,0.9892529055662759,0.9912377632217316,0.9724508798215602,0.9718454266243132,0.9756272852457503,0.9838630130132568,0.9769040714953781,0.9726207016284455,0.9922710499143116,0.978161658372147
energy-y1,0.9981374202925127,0.9960885965595287,0.995746056225135,0.9930679362885002,0.9954305800519463,0.9866614241739486,0.9900127805352495,0.9947105325283716,0.9870175732302056,0.9946026781061066,0.9950118156621172,0.9960891635896063,0.9928925061719838,0.9957598113145181,0.9952020565581614,0.99257370849334,0.9927667234572639,0.9976870312983543,0.9929758561358943,0.9882625050531365,0.9940765352765775,0.9940509059780687,0.9904157602829171,0.9967213525686531,0.9949673936960359,0.9906444797017289,0.9975389742130856,0.9916426808333826,0.9895680099793602,0.9949308064260274
