TRAINTESTDIFFSAUROCSTDDEVS:,ES-A,SMLRE-A,SMM5-A,SMLR-A,NBC-A,RC-A,WMV-A,CAWPE-A,PB-A,MV-A
abalone,0.010554702299148263,0.009719807299185505,0.010068508495143938,0.009993081074936428,0.00827491393756796,0.011612258204529042,0.011727425219613383,0.008731895804644393,0.009762215407453208,0.011387951713936004
acute-inflammation,0.0,0.0,0.014155445235468796,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acute-nephritis,0.0,0.0,0.04032055463949836,0.014605934866804386,0.0,0.0,0.0,0.0,0.0010258676376803586,0.0
adult,0.011666411430791888,0.00871364426926982,0.008332766749249165,0.008426185196699142,0.012020810297877209,0.012013247175356375,0.012024140782812802,0.003552722903822772,0.0030636122579040326,0.011933857172072885
annealing,0.02182423483125174,0.010933696634521421,0.008900074344635312,0.00798124650818433,0.028262148022378968,0.027219466030948918,0.027633180478521417,0.0112509966874565,0.013154903846719874,0.027313769757484705
arrhythmia,0.028595764555171203,0.022718504688127278,0.021318141891595515,0.01985499941956641,0.02647436359133464,0.028957222396528242,0.029676374650410203,0.02849410707036707,0.03175214982883239,0.029441381786400593
audiology-std,0.020121400169878366,0.027269902654934435,0.02168947008508062,0.02286352567365973,0.01640974512165663,0.02381267023599257,0.025866908695937035,0.010362488991838987,0.019976408456331415,0.026378907961482494
balance-scale,0.00600996100021144,0.009219541983913946,0.009918388349654797,0.010020132756730018,0.00883854274585478,0.008428724093832584,0.008834994690567468,0.004480609706174068,0.008955955902588764,0.008849964415004182
balloons,0.4494213677304064,0.27841918285080564,0.36614600790668544,0.0,0.201238185123946,0.4092173166674847,0.4467850246343849,0.36356929312961633,0.45643861240757416,0.4855064109728989
bank,0.030761433601477976,0.07533489224898446,0.04399060411173266,0.040034598931304434,0.04364422379054823,0.04371776853979667,0.043641623039807245,0.013228734504605471,0.01440790767812893,0.043259677541920595
blood,0.06121916572859111,0.09019444008762781,0.09356030681869713,0.10031910479564349,0.07492308189859735,0.07420157218725568,0.07514396788325588,0.05756784556271147,0.058575697128431664,0.07340382825171443
breast-cancer,0.08464481448970068,0.15129834349627191,0.14329252701308037,0.139938527997023,0.10441594939645377,0.11098911765608226,0.11099397570203161,0.07373416607711349,0.09277563085801409,0.10968284448851787
breast-cancer-wisc,0.016719698052367445,0.02762964573377887,0.0322135066965886,0.02858398226287113,0.020818324646470574,0.020798203024617982,0.02081942359061482,0.004786420663607914,0.007501558749040872,0.02077984850182426
breast-cancer-wisc-diag,0.01833820616376942,0.03237111842984843,0.03024394689756921,0.03128067310651995,0.024793292634661828,0.024778066716146026,0.024795103634882066,0.006546168556791048,0.010686932264777092,0.024840883015879688
breast-cancer-wisc-prog,0.09546351037858156,0.16253070813101778,0.1601435387520508,0.16027795110848764,0.11490306500039014,0.11549768465539553,0.11711574590575005,0.0882091560870272,0.0886147852998253,0.11381136676602815
breast-tissue,0.03672616537529654,0.06348326289195348,0.03340170085991122,0.04295605627481056,0.029410272363015837,0.04092241366948659,0.03972360274548553,0.029443652852202008,0.036721467715669136,0.03930078470885304
car,0.0022414380415629945,0.0019980055184298817,0.0018485040090613079,0.0024060256075348076,0.002256598050428088,0.0022069346501411985,0.0022076092043565596,8.204848425062071E-4,0.001645916822668379,0.0021976766059729922
cardiotocography-3clases,0.005788204194129545,0.008465086120689944,0.008029280084075977,0.009090480197109011,0.0068447437738330015,0.008232406952658547,0.008258875106117858,0.0032839434570167436,0.005260828491764193,0.008251754144589766
cardiotocography-10clases,0.003754772926231659,0.004488836332694493,0.003400311910401158,0.004625944729630732,0.004187508553046521,0.006865256565218412,0.006808887511457076,0.002468271642659786,0.003441366373713878,0.006780312064273617
chess-krvk,0.0026429790459599166,9.654457082685509E-4,0.0011663470696571029,9.644615108898024E-4,0.0015945520177516835,0.0029388248811549073,0.002985454480103356,8.925120472597695E-4,9.553997764331263E-4,0.0031345943200875165
chess-krvkp,0.0020377414113034566,0.006490724225657373,0.007762182796342882,0.006745719507560967,0.0027968403403494345,0.002798446747374845,0.002792295388887551,8.492602264052448E-4,4.5863591953707104E-4,0.002812790556178388
congressional-voting,0.07858897390579687,0.09759606629493923,0.10231890075706528,0.08995104289145336,0.08842794473548529,0.09710235037477488,0.09635217295639079,0.060493592421804736,0.058695607330706556,0.09193252565593746
conn-bench-sonar-mines-rocks,0.06463474294386158,0.09664193267126178,0.07785026343205363,0.07540973883823672,0.07127681049209067,0.0711192168626061,0.07084822199512747,0.0349675811342444,0.04977176430390011,0.07167214442236138
conn-bench-vowel-deterding,0.0038965790670569237,0.0032413996957836888,0.0019766010792566834,0.003531834907061012,0.0023535364442552734,0.004366561970459832,0.004384197449312391,9.430627514328383E-4,0.0020505223957096716,0.004398286287555116
connect-4,0.012871138470419766,0.009249731447408479,0.009487963820834172,0.010080022034917169,0.014898092668372715,0.014763554847456183,0.014920693254378876,0.0024909265717474407,0.002191212809310554,0.014476569288785743
contrac,0.019859288038268922,0.022651671595099544,0.022962868372483614,0.02238625002867866,0.017414197453792458,0.019090658002413288,0.019087698270079674,0.01852834889219624,0.022888524225455897,0.01943816616375395
credit-approval,0.035354584699291376,0.12171815020208455,0.055699961262795,0.05948850473549611,0.03951121089441666,0.03927636992936347,0.039455845566588175,0.022793111106150604,0.025058729981286245,0.0397371629001943
cylinder-bands,0.0522510183956902,0.07892475963155773,0.0854177100428458,0.07885537770214048,0.0596646363724611,0.058277733467518966,0.059537092742243905,0.03843943268851544,0.05068477989260239,0.05941972863042617
dermatology,0.006033496409180908,0.006168796104262172,0.004141917428297623,0.004320043083486654,0.0029121601391530797,0.008267818141394878,0.008273728343781673,0.0013187325607858648,0.0028562854982096806,0.008271353856734104
echocardiogram,0.1449632982325192,0.18209650616228007,0.20329150773656862,0.174497902385419,0.1593437368864714,0.16225509411285363,0.162131483572141,0.0968478972910592,0.0957206837430548,0.16194894037874422
