folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,-6.833307544774625E-4,-0.003374412526683024,-0.0028013458923179524,-0.005162843074412393,0.008132497154194951,-0.017953509391136047,0.014978430912185758,-0.0014013672396356869,-0.004550049763159647,-5.195442351058066E-5,-0.0022237872229062816,0.0014087316992509313,-0.02053931775060369,0.001137236336477776,0.003549120428546826,-0.003777004056753186,-0.008717949993949148,0.021054010204715312,-0.0016740335564550124,-0.006390655761889352,-0.009482280755086503,-0.003368266956447985,5.021246616359054E-4,8.004957682770097E-4,0.0041437711301195446,-0.010121907525478813,-0.010161670839679116,-0.010044682888732726,-0.006621320603104497,-0.002683747004099679
acute-inflammation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acute-nephritis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adult,0.016014942885072103,-0.001619228484775137,0.0011422139332492032,-0.005440056946864447,-0.019981993283802013,-0.02987185215602639,0.014642145888066338,0.005726375300561415,0.012572992273498507,-0.016559984174424947,-0.020435906447576757,-0.014808044433685996,-0.00977371519258241,0.011322669892663617,-0.012593095022089051,-0.003908509747643452,-4.3483432109181486E-4,-0.0025003809389059217,0.011629858508174218,-0.017444433920029256,-0.00572645425392726,-0.011574133968377698,0.010837581009446096,-0.012920725407043032,-0.013835140103721,-0.00725113161917057,0.0021757341386984264,0.008322650442302404,0.0063914901582584616,0.001497050248991827
annealing,-0.022474022461295484,-8.121357575158195E-4,-0.019462250117307622,0.01963487353681903,-0.03463035114883328,0.01242602168513307,-0.0710697740886106,-0.05138483344645106,-0.04622791736062837,-0.034725293537309354,-0.02162236629121772,0.016926580850385342,-0.004296953692585759,-0.03954264231139837,-0.03029251583698045,-0.02631691405154324,0.007139067067742255,0.017783607868739892,0.017416744883218205,0.009852264957103896,0.021962790490714923,0.021394851773773205,-0.03348749009422791,-0.0017603508981295368,-0.00883141294247769,0.046010841054783036,-0.03293396024752426,-0.04305444951260251,0.02755636080285273,-0.004194227107454762
arrhythmia,0.09855278164422188,0.049328324024567216,0.017137959760391897,0.01397450873712236,0.024098458562189284,0.041862871606123675,0.080061763226279,0.06185437046823494,0.003149864029485916,0.060414922511642155,0.013479101289955664,0.07065748685177675,0.019359040083750667,0.03175787117462037,0.010142110159607642,0.03325180299213015,0.020215913355536963,0.047667284834888024,0.051840238335457256,0.04875720136168271,-0.0013690123425746936,0.026728292106001028,0.06052245384265442,0.008901249106153974,-0.014786089368211686,0.017463105493171982,0.04219668606504279,0.04324540424565748,0.013760157564122077,0.06972136283724384
audiology-std,0.0175946859225542,0.03940213700121786,0.01152002207397218,0.01920917292829849,0.03550702541952033,0.030261425504717665,0.01338624654905074,-0.0021980464831485858,0.014991251545591222,0.022135526578761278,0.05016021417072003,0.014025652298553126,-0.00513406346178269,0.025837620505011483,0.03550799095022583,0.023640788409638014,-0.0015142197918837086,0.02345493306835955,0.062103232577328304,0.021814664107417614,0.02702898857376479,0.041113951768644075,0.013459278491378845,0.022115244144733537,0.0271590643448113,0.04751456439570356,0.0021907054173926355,0.035106696975965024,-9.454928615469926E-4,0.006911272649582023
balance-scale,-0.010148188714406037,-3.942175659735758E-4,0.010499281579015585,-0.009008095734717725,0.007885569198046172,-0.015780303938481732,-0.00838080934253993,-0.014837091560489069,0.019453243255737496,-0.007508537512455282,-0.011465131963681596,0.003305107948256003,-0.0012664886146152021,-0.010854700510865012,-0.011221302279646461,-0.005551883712211381,0.005020668677087947,-0.01283458621429423,-0.003990642303956293,-0.0036181625225691905,0.0041638850429412955,-0.012161411548353596,0.006388801507957065,3.025144740707031E-4,0.009571680864919663,1.401212866705137E-4,-0.012603215853976502,-0.003043795826306095,-0.007477194623914052,0.006316435217692873
balloons,0.8333333333333334,0.23333333333333328,0.7333333333333333,0.4166666666666667,0.65,0.75,0.75,0.6666666666666666,0.6,0.55,0.25,0.41666666666666663,0.5,0.29999999999999993,0.25,0.4333333333333333,0.5,0.4833333333333333,0.95,0.45000000000000007,0.3500000000000001,0.65,0.6333333333333333,0.7,0.4,0.7,0.06666666666666665,0.7000000000000001,0.6000000000000001,0.6166666666666667
bank,-0.11228446065428876,-0.07143327438844665,0.04832957559681661,-0.03212082228116703,-0.021860543766578477,-0.017248659003831657,-0.06211947391688799,0.008404921898024997,0.015788859416445422,0.045348703212496067,0.009531063955201313,-0.09168513852048399,-0.0657147214854118,0.019332861774240206,-0.07852752726201029,0.030564478337753553,-0.017315156203949467,0.0028744473916886837,-0.008128809313292185,-0.03781708664898331,-0.04351344680224012,-0.054494916003537286,0.02679132036545806,-0.010273843206601907,-0.09472332007073414,0.0015945181255525576,-0.016781653404067787,-0.08163762894193971,-0.04943623636899536,0.0034382183908043817
