folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,0.020276389706818554,0.0018056912242454537,0.001643236698263717,0.00848162035600919,0.015297341202512471,-0.007222786915710433,0.02858175483095904,0.009117722926202498,0.02109830102567345,0.0036205828743546276,0.0013480290213355728,0.015624700138943237,4.8663264504988923E-4,0.010663194714150448,0.01742644609881827,-8.312445401177371E-4,-0.00916234698503593,0.02041820377597392,6.60067786257601E-4,0.0012841055825164593,0.005085962473404204,-0.007918335403799714,-0.006809716913753094,0.0022185706073122313,0.013429457567737946,5.390530724587173E-4,2.1133389824268267E-4,-0.005323391234095087,0.0108679080824019,0.007761736774131167
acute-inflammation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acute-nephritis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adult,0.01498548599442373,-0.006848789021927981,-0.0046499744766228535,-0.010337960703869609,-0.013034756508936818,-0.014430065669795433,0.003152671829627751,0.01611550784127702,0.004063934834381389,-0.005221228280756995,-0.013801763883069307,-0.010927372316822281,0.003257769748388095,0.004011748437439122,-0.008603025275218279,0.00343272118963589,-0.005168742086073541,-0.005966666733327908,0.006335547607012826,-0.0015916595777555331,-0.010375700046772018,-0.0013659745841504423,0.008691278150617987,-0.009873173642551802,-0.008666576698464379,-0.007723411005800429,0.001305136523523709,-0.013177515426164299,0.01131342691372117,0.0050773515350548415
annealing,0.0017491478705784491,0.006357934289580425,0.023171967369210456,3.841465306786418E-5,-0.0021512135978826175,0.01352912341503143,-0.003850515097894913,-0.002934472122466114,0.02075502468722601,0.018761930500626023,0.0018626481704482334,0.027317332182680842,0.020578371906065596,0.00815588864817951,0.0016189905099261992,0.0034142044348253187,0.021564414125575082,0.009284245885976539,0.043149602627625905,0.005419292135845355,-0.001175521509624633,0.012085724601199943,-0.004458588298007937,0.007834459002704186,0.010093673804711933,0.00924575643797787,0.01182396918641948,0.0017628960245592573,0.02134652091764022,0.012907248793752824
arrhythmia,0.1978021149851643,0.20295877448504718,0.15335062637726782,0.17822285354194312,0.1302839730241706,0.18549259213148883,0.1552996794314675,0.15295620090030593,0.1919576675180671,0.13248366897989916,0.15121708790700028,0.19631578880085365,0.1770665219114549,0.152825438443987,0.17391818396671876,0.12360650780493876,0.20765587072525238,0.1552235699521468,0.16157600694467178,0.152377043924384,0.1989117698410543,0.15318565911229698,0.1570971928664866,0.18827986142687325,0.15237569858702016,0.14599723638760753,0.16468768229357955,0.1878477682943055,0.17199036102932608,0.14908415106442385
audiology-std,0.09209093054695316,0.12687190863178766,0.17010439360759855,0.15228674853337443,0.10802950726889426,0.12622860618034104,0.10814968044941908,0.07587338227852602,0.0977257808813734,0.11024958076874725,0.1713795449338662,0.11695738616759033,0.07662969618054294,0.12380795924961963,0.19238075288059453,0.0940124788437714,0.13330479608345625,0.09975975522978187,0.1020923712210462,0.14675490434033023,0.11724569438052557,0.10926477986064975,0.11812426836584167,0.1292723534346435,0.082143824235544,0.09648618762295691,0.11331854408240394,0.12376043508473067,0.12351390110176097,0.12461881784087037
balance-scale,0.0039295315248029095,-0.0035352014310681135,0.012275688177899036,0.01079086796650397,0.010364125189060491,0.006414173782923194,0.018193249212080986,8.555141803473498E-4,0.02220595594370689,0.0029195432982069836,0.011513704493398613,0.011429209820438269,0.0052943854217584185,0.005115017343528816,0.03011983954879116,0.009107064290886813,0.029501240456022648,0.002754533058930475,-0.0030428092547947205,0.006826044141339249,0.030808608296167828,0.01138994427425244,0.02413041312916997,0.012463204750738144,0.014815617512841772,0.003275962867539395,0.0022981685206748814,0.008167995122521865,0.015079978433805485,0.005110197013727613
balloons,1.0,1.0,1.0,0.55,0.8,1.0,0.8,0.4,0.8,0.5,1.0,0.55,0.85,0.55,0.8500000000000001,0.95,0.0,0.7,0.0,0.55,0.8500000000000001,0.8,0.95,0.7,1.0,1.0,1.0,1.0,1.0,0.95
bank,0.004165251989389385,-0.039148880047156304,-0.004871352785146166,-0.06560287356321848,0.05929376657824864,0.005252932508104435,0.19067055702917693,0.10165897435897359,-0.01480975537872109,0.04554942528735584,0.09896321839080369,-0.0883645446507515,-0.012931152372532007,0.08100104627173527,-0.023836980548187725,0.035977674624225964,0.004926201002062702,0.12631709401709307,-0.036092204538756445,-0.01649920424403223,-0.03801293103448283,0.13706909814323498,-6.364574123213229E-5,0.06212380636604692,-0.07801385941644573,0.05244137931034426,0.11332642204538657,0.04959889478337684,0.20115372826407213,-0.038685455349248665
