TRAINBALACCSTDDEVS:,SMLRE-A,SMM5-A,SMLR-A,NBC-A,ES-A,CAWPE-A,WMV-A,MV-A,RC-A,PB-A
abalone,0.007631974875388851,0.007791470623251757,0.0072235671860320354,0.008408181962199255,0.007488899885396828,0.008227853585295826,0.008328859383751486,0.008009060854242519,0.009596669776764868,0.009909330430712331
acute-inflammation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0050854762771560605
acute-nephritis,0.0,0.0,0.0,0.0,0.0,0.007302967433402219,0.007302967433402219,0.007302967433402219,0.007302967433402219,0.013850175148001104
adult,0.0038797566583042282,0.0030363039439306144,0.0030499020552492,0.002725780904842922,0.005465926962994666,0.0033598345472783736,0.0036637754831743067,0.0036637754831743067,0.006608343085146301,0.0029903372500160934
annealing,0.044377226537567434,0.04950531562254292,0.045808742504441904,0.04562754811802229,0.05247016376874022,0.051516870563912416,0.05051617409908372,0.05258251529465087,0.05230811037919568,0.04020101002017515
arrhythmia,0.06360244420494612,0.0451147824938011,0.066255694817296,0.04250934162572802,0.046906809058899955,0.034568500733053065,0.036840913768558414,0.0340328650447685,0.03266732833257103,0.044339127458739316
audiology-std,0.016154321760347118,0.06593950340566275,0.023691935005155675,0.054103649091726005,0.04164088708024509,0.039525727428184956,0.03809867873600738,0.037267940286241,0.03542483167076713,0.030383653579361243
balance-scale,0.0326241950838227,0.026381279104134993,0.04291340222567163,0.024628085171009846,0.04676249941355241,0.02856063456892723,0.03131679119649148,0.02989948107562797,0.01088605305699335,0.023342099348721432
balloons,0.12685406585123124,0.20292796097026755,0.0,0.10037644661215478,0.22595052521900297,0.2247151240419302,0.2003748084389862,0.2050264366344725,0.16902073145870375,0.13161761295840482
bank,0.0233843919861851,0.025688637953860168,0.02159417380359996,0.0,0.017548657542808935,0.018210951251763793,0.01765598807337924,0.01765598807337924,0.023250013849484576,0.013112168721376393
blood,0.03466171896501906,0.039101465046151467,0.040332506402308524,0.08436564630220851,0.04307296069639018,0.03264896035383299,0.03652130965431885,0.03652130965431885,0.03496629494065472,0.026556465525730856
breast-cancer,0.05144186310835159,0.05617594936671802,0.05321388561188393,0.06401797567381086,0.039251574125930444,0.0405725927878887,0.03876723344837433,0.03876723344837433,0.036130857361850684,0.05381337204271885
breast-cancer-wisc,0.007118316533710447,0.00811827928252795,0.00926675952094331,0.010436456144796265,0.009946652513569536,0.01008483020937282,0.010774028782564187,0.010774028782564187,0.010774028782564187,0.012202525751854414
breast-cancer-wisc-diag,0.007871032873126174,0.007846084049577502,0.007642251983743704,0.006855561767955873,0.008235613274820431,0.008739651612485182,0.008789601678206062,0.008789601678206062,0.008789601678206062,0.00848707561809019
breast-cancer-wisc-prog,0.062192116892991485,0.07936678519361683,0.07291468633075747,0.09433571027079024,0.05090611832179429,0.048929670978896375,0.05276321825044307,0.05276321825044307,0.05117155489791819,0.05188931950535905
breast-tissue,0.06511445531692703,0.06259657411022698,0.05053190256770282,0.05659034603072463,0.061287815623046964,0.06205276779179364,0.05530362310113679,0.05263433543714133,0.05078095129494499,0.05846493236499696
car,0.011288611423376385,0.011397595864580872,0.012255788517462785,0.015134698604990863,0.013742931588733241,0.01206677931703681,0.01571445501258217,0.016019655967762836,0.015966298976233435,0.016766634996336367
