folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,0.6670075942162317,0.6530752994967216,0.6497875492641773,0.6498177775385868,0.6705244828450186,0.6429840444468166,0.6577302940173098,0.654996634890705,0.6548436302338135,0.6542576837037605,0.6612889964248317,0.6553085674262763,0.6415731548444562,0.6587559787470317,0.6636166439980404,0.6626920955519019,0.6590231358929741,0.6650260026906488,0.6573830076857613,0.6555767584075795,0.6455264837182684,0.65367273132249,0.6603273628557442,0.656134007572975,0.662615761395331,0.6433094942309044,0.6488217238002733,0.6462401357038091,0.646997629452228,0.6620828778045884
acute-inflammation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
acute-nephritis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,0.7895002857375518,0.7864928163568334,0.7834370722498807,0.7819996001489182,0.7836247494608501,0.7835716472619925,0.7803978603941165,0.7928873427914884,0.7809112952734594,0.7716343531095939,0.7795593956523874,0.7791819913971305,0.7721988403544762,0.7869510992040004,0.7820747898775748,0.7868213516645121,0.7850091193629549,0.7832093196459499,0.7861002018777192,0.7813302305336519,0.7805676833265665,0.770912475516814,0.7743361025184197,0.7872609188425295,0.7767397370672815,0.7856632787543639,0.7828870674228687,0.7810583028701232,0.7908956326122345,0.7885210964837566
annealing,0.8416570647397716,0.8401048074732286,0.7770505267497748,0.8083024661220148,0.7492884809426162,0.8217169547244735,0.6895544054942551,0.7965186776464972,0.7299331662489557,0.8733476548514142,0.8542208334689537,0.8499969621022254,0.7936174852716207,0.824723280061626,0.7483967494493811,0.8009006281938612,0.8714510301728348,0.7536959281320184,0.8605817574238627,0.8285869435493496,0.7147232800616259,0.806241143985505,0.7170505267497749,0.7877775607850797,0.8267022534691708,0.7561587952565396,0.7837303214746824,0.7249822608469225,0.8810084735648646,0.823920515574651
arrhythmia,0.3832754677016971,0.454187670253244,0.3888075312665477,0.3571581424040441,0.389066234312136,0.33760103284693443,0.423063384702729,0.3741256557650001,0.3286266738725755,0.44743349546628236,0.3563844352368943,0.42660536185126346,0.41709257955159595,0.2863966088556253,0.37475617278895973,0.4489130541589557,0.36339534782157723,0.3972393180589901,0.35572176457422355,0.384077889323791,0.42126736651326807,0.28437999159310634,0.39281811085089774,0.34695719580965484,0.3392282580807171,0.2827369351959516,0.33900733146634787,0.3816758105282695,0.4077841830300847,0.42952244476834645
audiology-std,0.31063167910993994,0.3669143122041673,0.3338359439808716,0.4084711852827795,0.35353291367784123,0.2897538183770068,0.2838335041233592,0.3472478407261016,0.3637742155858098,0.3780254233152784,0.3560581662030937,0.35919582296393887,0.287590884692334,0.3700897867564534,0.3661896745230078,0.28877421558580985,0.33986361196506126,0.3777728980627531,0.4227248328697604,0.3384094568877178,0.40908846923339676,0.3971075489191431,0.38487410335236416,0.32864270726589573,0.33445322793148885,0.36936026936026933,0.3214927048260382,0.40934099448592204,0.4257526960425511,0.2916642268091543
balance-scale,0.8495370370370371,0.6967592592592592,0.7013888888888888,0.8101851851851851,0.8356481481481483,0.7893518518518517,0.8032407407407408,0.7129629629629629,0.7453703703703703,0.8449074074074074,0.773148148148148,0.7476851851851851,0.8194444444444445,0.7962962962962963,0.7337962962962963,0.7847222222222223,0.7546296296296298,0.8009259259259259,0.8356481481481483,0.75,0.8680555555555555,0.8240740740740741,0.8125,0.7430555555555557,0.7893518518518517,0.763888888888889,0.8333333333333334,0.8634259259259259,0.8125,0.7986111111111112
balloons,0.29166666666666663,0.5,0.41666666666666663,0.5416666666666666,1.0,1.0,0.6666666666666666,0.25,1.0,0.7083333333333333,0.6666666666666666,0.7083333333333333,0.8333333333333333,0.7083333333333333,0.875,0.5833333333333333,0.41666666666666663,0.5416666666666666,0.25,0.5416666666666666,0.5833333333333333,0.6666666666666666,0.41666666666666663,1.0,0.6666666666666666,0.375,0.5416666666666666,0.7083333333333333,1.0,0.5416666666666666
bank,0.6279615384615385,0.6020384615384615,0.6252884615384615,0.5953461538461539,0.6106538461538461,0.6167692307692307,0.6342307692307692,0.6584038461538462,0.6303846153846153,0.6438461538461538,0.6420961538461538,0.6121538461538462,0.6152500000000001,0.6438461538461538,0.642,0.6540576923076923,0.6358269230769231,0.6339807692307693,0.6044615384615385,0.6362307692307692,0.6316346153846154,0.6063846153846154,0.6373269230769231,0.6242884615384615,0.5955192307692307,0.6599038461538462,0.6328076923076923,0.6223653846153846,0.6421730769230769,0.6149230769230769
