folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,0.6575195979739316,0.6470423046332472,0.6522225926865076,0.6491289276800585,0.6726111058918299,0.6461619342937365,0.65672951162321,0.6434204846918415,0.6519214122371204,0.6507122981275356,0.6566562392861433,0.6514773819340249,0.6416596438042103,0.6518086904492117,0.6610219394874991,0.6513738813225485,0.6534197244259856,0.6650128862765715,0.6494309415475867,0.6397737624148138,0.6465458086738424,0.6479959473098248,0.6474088667358012,0.648259309426732,0.6546483147237958,0.6365178715750407,0.6314642551419074,0.6412773003338562,0.6566877980530851,0.6597591254690246
acute-inflammation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
acute-nephritis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,0.8059523492890915,0.8014734819144036,0.8055524567501062,0.8066565660707665,0.8015402051405011,0.809698555565836,0.8010263096244575,0.8059579045677021,0.808576458382013,0.8052122166638624,0.8034413817825978,0.8029555897116645,0.8024194730811789,0.8080271813609882,0.802554909483921,0.8034189672007415,0.8083742987531735,0.8053757565117148,0.8085882967452211,0.8070003116023026,0.8044628298473162,0.8028616843138583,0.8084916137081097,0.8036726398318211,0.8039728045251033,0.8054199315713126,0.8068802190080611,0.7997896751250038,0.8065595559815975,0.8099132813638708
annealing,0.8656909589992298,0.8703041152665213,0.856582690492465,0.9406657335980645,0.8591345246232465,0.8806058436133624,0.8313314671961288,0.8429741019214703,0.8582838047499701,0.9366783842723692,0.9154849244322929,0.9520413588082761,0.9068605496425045,0.8032865714068722,0.8542435092059153,0.860161876552854,0.9542449196584535,0.857894519849407,0.9432932981805162,0.8667129946077315,0.8441132050906488,0.8811082902060345,0.7814138159250941,0.8670851370851371,0.9220000216992699,0.8440907463463855,0.8220105458451323,0.8432161572763077,0.9514751163623345,0.8704463539801885
arrhythmia,0.49204314810872185,0.5261644366562399,0.4594612491333802,0.46749103355660726,0.49924250612775195,0.47757521167357236,0.49030821637379013,0.542328163639639,0.4100116277165457,0.5217909958893565,0.4350977983764868,0.5729798070781678,0.5147444904821954,0.44939224709716513,0.5083257179978491,0.5773333770055081,0.4798631423221587,0.5028401652991816,0.5574120415104022,0.485281985773789,0.46008510615067993,0.4298553359209097,0.516144565816697,0.45318293728129794,0.5096066228853113,0.49648526337050924,0.5578339147191606,0.4853718958636991,0.46174541305688843,0.5452499413155151
audiology-std,0.6565632167081443,0.5446945298394574,0.5221075489191431,0.6426743278192553,0.5396440247889523,0.5372285658517543,0.5419143122041673,0.6014309764309764,0.5885216903332845,0.5786427072658956,0.5277753379202655,0.6153686624701117,0.5336932123164008,0.530331088664422,0.6135241301907969,0.575250085395013,0.5975821012052895,0.570056848680037,0.5893914995364271,0.5890267408383351,0.7116137217586493,0.6915544332210999,0.5858537061435611,0.5310581662030938,0.5611086712535989,0.6520482603815938,0.5369784804567413,0.6782803884253159,0.6674218025667301,0.5617259552042161
balance-scale,0.8703703703703703,0.9305555555555557,0.861111111111111,0.9259259259259259,0.9351851851851851,0.8819444444444445,0.9097222222222222,0.8773148148148149,0.9236111111111112,0.9490740740740741,0.9097222222222223,0.9490740740740741,0.9120370370370371,0.8935185185185185,0.9074074074074074,0.9166666666666666,0.888888888888889,0.9027777777777778,0.9328703703703703,0.8865740740740741,0.9305555555555557,0.8935185185185185,0.9444444444444445,0.9606481481481483,0.9004629629629629,0.9212962962962963,0.9259259259259259,0.9375,0.914351851851852,0.9143518518518517
balloons,0.875,0.7083333333333333,0.8333333333333333,0.875,1.0,1.0,1.0,0.75,0.8333333333333333,1.0,1.0,0.8333333333333333,1.0,0.875,1.0,0.8333333333333333,0.875,0.8333333333333333,1.0,0.875,1.0,1.0,0.75,1.0,1.0,0.875,0.75,1.0,1.0,0.75
bank,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
