folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,0.6690078285118988,0.6501152631675485,0.656725616385565,0.6492624561487247,0.6725848730636753,0.6476353441469794,0.662022621672989,0.6465743056212802,0.6505498718769921,0.6520258464753478,0.6633532818811334,0.6635733995181635,0.6493691545062353,0.6603290941827159,0.6522420688747328,0.6642520945735086,0.6621314482232525,0.663514674296316,0.6654330480794054,0.6543179398353599,0.6554120680377528,0.6554211890055753,0.6632064365811701,0.6565085605680389,0.6623053597695115,0.6520404937991771,0.6496195004176749,0.6461536467440551,0.6536305206779738,0.665746411316119
acute-inflammation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
acute-nephritis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,0.7987841052073588,0.7954992864691443,0.7913959071010381,0.7908748671097666,0.7891806775691328,0.7941624634872865,0.7919817540697323,0.7972914810742207,0.7933171214396157,0.7908210371049219,0.7860434606489259,0.7890785728380539,0.7875141308369085,0.7929844864653006,0.791934801370829,0.7973735481088187,0.7944150812603215,0.7910894593231583,0.7930832193357303,0.7908748671097666,0.7906823624261738,0.7914497371058828,0.7933978664468828,0.7909169923360464,0.7891717504298731,0.7900846770942717,0.7927650667792856,0.791246121865069,0.797972555468052,0.7956648761503147
annealing,0.8651724549468909,0.8430168494830148,0.8264657314281376,0.934422962167323,0.825532662825896,0.8959408260912021,0.8286692922783148,0.8000155149779209,0.8316756176154673,0.9056749015395631,0.9297565341926244,0.9620837808807734,0.9374173529060748,0.839171738870987,0.8275116362334408,0.8372751141924073,0.9097565341926245,0.825940826091202,0.8910084735648646,0.8526685762024109,0.7974292875044755,0.8985045948203844,0.8367502088554719,0.847919799498747,0.8836959281320184,0.8413342881012055,0.7986812268767156,0.7973693975197735,0.8945053108962883,0.8485869435493496
arrhythmia,0.680019870839543,0.6430034446427888,0.6550525430853299,0.7145208889471183,0.7283159463487332,0.6861392705655001,0.7186654875179465,0.7734341614669483,0.629987608020395,0.676114814147601,0.6358950339278208,0.6310665290993159,0.6036194952588395,0.7021975838369282,0.7411420819617541,0.7336007708138855,0.5839569719897588,0.6187067031329326,0.7899465015858459,0.6727071835268555,0.5788332432594727,0.7304339376470524,0.7594026738289034,0.572083326509556,0.7457407073800516,0.8162558206820503,0.790976619009406,0.6674434854762724,0.637108301534531,0.6838892255285697
audiology-std,0.9861111111111112,0.9444444444444444,0.9861111111111112,0.9444444444444444,1.0,1.0,0.9920289855072464,1.0,1.0,0.9444444444444444,0.9861111111111112,1.0,1.0,0.9444444444444444,0.9305555555555556,0.9861111111111112,0.9870882740447959,1.0,1.0,1.0,1.0,1.0,1.0,0.9944444444444444,0.9444444444444444,0.9444444444444444,1.0,1.0,1.0,0.9861111111111112
balance-scale,0.8796296296296297,0.8356481481481483,0.8773148148148149,0.9328703703703703,0.8981481481481483,0.8819444444444445,0.898148148148148,0.9212962962962963,0.9467592592592592,0.9421296296296297,0.8564814814814814,0.9675925925925926,0.9537037037037037,0.8958333333333334,0.8796296296296297,0.898148148148148,0.8148148148148149,0.8865740740740741,0.9629629629629629,0.9004629629629629,0.9537037037037037,0.960648148148148,0.9050925925925926,0.9467592592592592,0.9120370370370371,0.8032407407407408,0.9027777777777777,0.9328703703703703,0.9097222222222222,0.9583333333333334
balloons,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
bank,0.6360769230769231,0.611576923076923,0.6465384615384615,0.6187692307692307,0.63575,0.6208653846153847,0.6513846153846153,0.6816538461538462,0.6619999999999999,0.6640961538461538,0.6538076923076923,0.6206153846153846,0.6634230769230769,0.6835769230769231,0.6587307692307692,0.6789807692307692,0.6513076923076923,0.6421923076923077,0.6323076923076922,0.6454423076923077,0.6427692307692308,0.6544807692307693,0.6798076923076923,0.6181153846153846,0.6093269230769232,0.6737884615384615,0.6502115384615385,0.6240384615384615,0.66475,0.6391730769230769
