folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,0.6703570312815175,0.6592333993526506,0.6695947086687027,0.6564291288740436,0.6763164531820954,0.6468315083812591,0.669767586379601,0.6573582055587489,0.6674076468299189,0.6583684095465004,0.6725338381085083,0.6682139471321421,0.6481474210569643,0.660431861584661,0.6745919642078816,0.6726991257613358,0.6592262418782819,0.6701514607597069,0.6661180027002888,0.6573985886363415,0.6565621602683186,0.6604941814183241,0.6678144918014559,0.6618749429548847,0.6676849587790445,0.6543735675197829,0.6564478073620482,0.6546716861496661,0.662822662409674,0.6669867875354741
acute-inflammation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
acute-nephritis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,0.794500059518868,0.7906182832547384,0.784563996906327,0.7875803934263053,0.7861325385741089,0.7892083203775422,0.7869275560622273,0.7948479047170405,0.7872111885043209,0.7847275367541793,0.7824115245185261,0.7867716213263037,0.784826269624609,0.791831374612419,0.7920452390198237,0.7946483891428631,0.7895099406827987,0.7873892107700435,0.7903290955340341,0.7871235661911125,0.7836482926026233,0.7867937088561026,0.7955488832227094,0.790110270069363,0.7875935538168444,0.7856784889782213,0.7881138660021288,0.7869516934253443,0.7975205557054825,0.7937367845057954
annealing,0.8810084735648646,0.8447712354479272,0.8363833826991722,0.9385045948203843,0.8319415421671061,0.899880220030596,0.8350901062179258,0.8326685762024107,0.8485869435493496,0.9190893901420217,0.9402470461868958,0.9772407208497433,0.9601646974579305,0.8485045948203844,0.8973350041771095,0.8773693975197734,0.9571927654634422,0.8338381668456856,0.9010084735648645,0.8573350041771095,0.8655925528105979,0.8996741854636593,0.850749492779568,0.8579197994987469,0.9009261248358993,0.8425038787444802,0.8221780642081393,0.8343286788399571,0.9073350041771094,0.9154982694832319
arrhythmia,0.8845676181741756,0.7271427479624202,0.7674802246933395,0.8231357167422743,0.8585501929764224,0.9547540983606557,0.8337084773150346,0.9408513344578918,0.8573903146034294,0.7984592456723603,0.7816648924845645,0.8444510680576255,0.7821998766261061,0.9249538985604561,0.9456864992930567,0.8174336046467194,0.8733776605907753,0.8107669379800526,0.928108448928121,0.925956229562787,0.7987056659187807,0.9012720612720613,0.9124697160762735,0.9420489892621041,0.9015961088092236,0.9054289426420574,0.8500576472707622,0.8404749349011644,0.7728205128205127,0.7871660579857301
audiology-std,1.0,1.0,1.0,1.0,1.0,1.0,0.9805555555555555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9444444444444444,0.9305555555555556,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9944444444444444,1.0,1.0,1.0,1.0,1.0,1.0
balance-scale,0.9328703703703703,0.9467592592592592,0.9143518518518517,0.9467592592592592,0.9143518518518517,0.9004629629629629,0.9027777777777778,0.9259259259259259,0.9629629629629629,0.9699074074074074,0.9745370370370371,0.9745370370370371,0.9583333333333334,0.888888888888889,0.9375,0.9305555555555555,0.8402777777777777,0.9305555555555555,0.9745370370370371,0.9050925925925926,0.9467592592592592,0.976851851851852,0.9351851851851852,0.9791666666666666,0.9282407407407408,0.9074074074074074,0.9467592592592592,0.9606481481481483,0.9097222222222222,0.9814814814814815
balloons,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bank,0.6461923076923077,0.6166730769230769,0.6708653846153847,0.63775,0.6722115384615385,0.6482884615384615,0.6582307692307692,0.7027307692307692,0.6780576923076923,0.68675,0.6855,0.6334038461538462,0.6647692307692308,0.7008076923076922,0.6537115384615385,0.6962884615384616,0.6729615384615384,0.662673076923077,0.6596538461538461,0.6486923076923077,0.6637500000000001,0.6870961538461539,0.6905961538461538,0.6448653846153847,0.6204423076923077,0.68525,0.6797307692307692,0.6288846153846154,0.6754615384615384,0.6499615384615385
blood,0.671023063276168,0.6474866942637493,0.6344963532426572,0.6738221959392864,0.6362507392075695,0.6032525133057363,0.6151783954267692,0.6892765621919968,0.6478415138971023,0.6250147841513897,0.671712990341021,0.6762862211709049,0.6306327616794796,0.639759511137394,0.6155332150601223,0.6309875813128326,0.5663709836388725,0.6685590380445496,0.6274788093830082,0.7194756554307116,0.627123989749655,0.658722649319929,0.5547802089493397,0.64608712793219,0.61377882909521,0.6566134437216637,0.6330967869110979,0.6945397200867337,0.6309875813128326,0.6604770352848413
breast-cancer,0.6385714285714286,0.5702380952380952,0.7607142857142857,0.6823809523809523,0.6009523809523809,0.599047619047619,0.5752380952380952,0.6109523809523809,0.6892857142857143,0.7119047619047619,0.7080952380952381,0.599047619047619,0.6504761904761904,0.6447619047619048,0.7219047619047619,0.7457142857142858,0.6366666666666666,0.6466666666666666,0.6723809523809523,0.6861904761904762,0.6078571428571429,0.7457142857142858,0.7188095238095238,0.6385714285714286,0.6128571428571428,0.6554761904761905,0.6823809523809523,0.6585714285714286,0.6535714285714286,0.6216666666666667
breast-cancer-wisc,0.9868995633187774,0.978566229985444,0.9682496360989811,0.9722161572052401,0.9851164483260553,0.9892831149927219,0.9829330422125182,0.9741994177583697,0.9743995633187773,0.9743995633187773,0.9765829694323144,0.9827328966521107,0.9720160116448326,0.9763828238719068,0.9829330422125182,0.9765829694323144,0.9765829694323144,0.9700327510917031,0.9827328966521107,0.9827328966521107,0.9783660844250364,0.9722161572052401,0.9849163027656478,0.9827328966521107,0.9743995633187773,0.9616994177583698,0.9829330422125182,0.9638828238719068,0.9680494905385735,0.9890829694323144
breast-cancer-wisc-diag,0.9727051091795633,0.9783230867076531,0.9943820224719101,0.9736061055755777,0.9774220903116387,0.9755140979436082,0.9849480602077592,0.9641721433114268,0.9830400678397286,0.9905660377358491,0.9707971168115328,0.9802310790756836,0.9802310790756836,0.9849480602077592,0.9896650413398347,0.9802310790756836,0.9783230867076531,0.9707971168115328,0.9896650413398347,0.9830400678397286,0.9755140979436082,0.9877570489718042,0.9755140979436082,0.9679881280474878,0.9755140979436082,0.9613631545473817,0.9783230867076531,0.9755140979436082,0.9877570489718042,0.9746131015475938
breast-cancer-wisc-prog,0.7843478260869565,0.6689855072463768,0.7843478260869565,0.6756521739130434,0.6321739130434783,0.7040579710144927,0.6605797101449276,0.7626086956521738,0.6605797101449276,0.638840579710145,0.5753623188405798,0.7542028985507246,0.692463768115942,0.6321739130434783,0.7542028985507246,0.638840579710145,0.7191304347826086,0.6823188405797102,0.6020289855072464,0.6539130434782608,0.6756521739130434,0.7843478260869565,0.6889855072463769,0.5820289855072464,0.5802898550724638,0.712463768115942,0.7542028985507246,0.7040579710144927,0.603768115942029,0.6991304347826087
breast-tissue,0.8915343915343916,0.8283730158730158,0.9606481481481483,1.0,0.797017797017797,0.8963624338624339,0.9357142857142856,0.6966089466089467,0.9640151515151515,0.8819444444444443,0.9046296296296296,0.8797498797498798,0.8892195767195767,0.8370310245310245,0.9368386243386243,0.9008537758537759,0.806415343915344,0.9100529100529101,0.9629629629629629,0.8132215007215007,0.9368386243386243,0.9391534391534391,0.7802128427128427,0.8921957671957671,0.8646164021164021,0.9153439153439153,0.9021164021164022,0.849867724867725,0.810515873015873,0.8763828763828764
car,0.9792130023497002,0.9516877076243719,0.9775601097877168,0.9537396441014422,0.9542455386080052,0.9875635533138876,0.9859106607519041,0.9801642764543834,0.976225869996759,0.9896920829282126,0.9831655880327337,0.9731782227353752,0.9788621931210502,0.9767175852779129,0.9792290805785124,0.9710336148922378,0.9814663597877168,0.967556666261546,0.9714931737157673,0.9593612005752714,0.9952673037190083,0.9762419482255713,0.9697315315589046,0.9793217519445796,0.9767175852779129,0.9641099750850755,0.9983471074380166,0.9667604774347756,0.9749862005752714,0.9827684431210502
cardiotocography-3clases,0.8951618883601955,0.8970852567328643,0.8963710782030008,0.8974552299392514,0.8923662132765604,0.8970263987754056,0.9184430303578689,0.8700935395960444,0.9144785776976138,0.8901810843424248,0.9009319934782017,0.8823625727451949,0.8706216409835342,0.9048118202980873,0.880531152404533,0.8831429314241545,0.9033929665083577,0.8807503196214546,0.9099434303053235,0.9098088889287714,0.8794139105937343,0.9062144094749035,0.9077347145666371,0.9071808452962365,0.9077678046411851,0.9271102618615142,0.9000081510014141,0.9086422924305114,0.9075082251580783,0.9208451454305662
cardiotocography-10clases,0.86987339254928,0.8577778301810248,0.8640468335597318,0.8497397817989606,0.8699456559662867,0.8783910336460805,0.8657989041941974,0.8511455103798573,0.851416403993713,0.8482658503519691,0.8763343312516989,0.8549616093869433,0.8496164355339972,0.8564269766900354,0.861342846790025,0.8774165885982759,0.8461788683401336,0.875981044811371,0.8398658851906143,0.8662538063197068,0.868174643460265,0.8675395517925304,0.8778306251309502,0.8796236362360439,0.8525140374002161,0.8841050386107472,0.8846116633005288,0.8451849564091367,0.8667872182513072,0.8711958051677836
