folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,0.6690078285118988,0.6501152631675485,0.656725616385565,0.6774013602080563,0.6725848730636753,0.6476353441469794,0.662022621672989,0.6465743056212802,0.6505498718769921,0.6520258464753478,0.6633532818811334,0.6635733995181635,0.6493691545062353,0.6603290941827159,0.6522420688747328,0.6642520945735086,0.6644721120019289,0.663514674296316,0.6654330480794054,0.6543179398353599,0.6554120680377528,0.6554211890055753,0.6632064365811701,0.6565085605680389,0.6623053597695115,0.6607037473863896,0.6488820801404823,0.6498093897802956,0.6536305206779738,0.665746411316119
acute-inflammation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
acute-nephritis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,0.7987841052073588,0.7954992864691443,0.7913959071010381,0.7908748671097666,0.7891806775691328,0.7941624634872865,0.7919817540697323,0.7972914810742207,0.7918672167541012,0.7908796945823899,0.7860434606489259,0.7889930003581634,0.7877121907991118,0.7929844864653006,0.7922991788201899,0.7973735481088187,0.7945054812128354,0.7910894593231583,0.7930832193357303,0.7908748671097666,0.7909611673956443,0.7914497371058828,0.7933978664468828,0.7909169923360464,0.7891717504298731,0.7899942771417577,0.7927650667792856,0.791246121865069,0.797972555468052,0.7956648761503147
annealing,0.8932533715240483,0.8564313380854734,0.8529345007540498,0.9484222460914189,0.8280964315550783,0.9000224587442632,0.8473350041771095,0.8040971476309821,0.8345995942236544,0.9120957154791741,0.8954982694832319,0.9865735767991406,0.9707494927795679,0.838014082826113,0.7756749015395632,0.842845208258742,0.9185045948203843,0.8325862274734455,0.9021780642081394,0.8432533715240483,0.9161773481322353,0.8996741854636593,0.807158372120778,0.8514166368301707,0.8938381668456857,0.838422246091419,0.875592552810598,0.9089951068146558,0.919579902136293,0.9054982694832319
arrhythmia,0.58702619784587,0.5428181108508977,0.6615204467663484,0.5880162460490329,0.5932709913037781,0.5841101521429389,0.5114805959068255,0.6184125164453034,0.5458950339278208,0.6033031449424892,0.52516243319522,0.656077037716382,0.5644319068909233,0.5746163126490995,0.5173658581855304,0.5889353269681139,0.5588054568382437,0.5477941730400746,0.5583735936194952,0.6520634556700131,0.5812796493124363,0.5461537369734091,0.5595390947849964,0.569121807154594,0.5747383763777206,0.5134397842594564,0.6562458306720603,0.5714206558468853,0.4926783598914746,0.6383414399807842
audiology-std,0.6978370663153272,0.5413019079685746,0.5395037329819938,0.5141389742839019,0.6232323232323232,0.4525228126677402,0.6330783682232958,0.5604938271604938,0.6305531156980433,0.503030303030303,0.45858585858585854,0.5416642268091544,0.4959876543209876,0.46994949494949495,0.4808080808080809,0.5666666666666667,0.4479444200458694,0.5425340360122969,0.624635241301908,0.5881593714927048,0.5926438296003513,0.528645147123408,0.5393939393939394,0.5502525252525253,0.47308959156785246,0.45580808080808083,0.4363636363636364,0.616411701556629,0.5217122920021471,0.5252525252525253
balance-scale,0.923611111111111,0.9490740740740741,0.9398148148148149,0.9467592592592592,0.9444444444444443,0.9120370370370371,0.9606481481481483,0.9606481481481483,0.9699074074074074,0.9791666666666666,0.9837962962962963,0.9791666666666666,0.9699074074074074,0.8888888888888888,0.9467592592592592,0.8935185185185186,0.9537037037037037,0.9143518518518517,0.9837962962962963,0.9398148148148149,0.9837962962962963,0.9722222222222223,0.9398148148148149,0.9953703703703703,0.9490740740740741,0.9699074074074074,0.9629629629629629,0.9467592592592592,0.9398148148148148,0.9652777777777778
balloons,0.875,0.5,1.0,0.5416666666666666,1.0,1.0,0.6666666666666666,0.5,1.0,1.0,1.0,0.875,0.875,0.5833333333333333,1.0,1.0,0.5,0.7083333333333333,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.8333333333333333,1.0,1.0,0.875
bank,0.6360769230769231,0.611576923076923,0.6465384615384615,0.6187692307692307,0.6266346153846154,0.6208653846153847,0.6513846153846153,0.6816538461538462,0.6619999999999999,0.6640961538461538,0.6944423076923077,0.6252115384615384,0.6634230769230769,0.6835769230769231,0.6587307692307692,0.6789807692307692,0.6513076923076923,0.6930384615384615,0.6323076923076922,0.6454423076923077,0.6908461538461539,0.6544807692307693,0.6798076923076923,0.6181153846153846,0.6093269230769232,0.6737884615384615,0.6502115384615385,0.6240384615384615,0.66475,0.6391730769230769
