TRAINTESTDIFFSBALACC:,SMLRE-A,SMM5-A,SMLR-A,NBC-A,ES-A,RC-A,WMV-A,MV-A,CAWPE-A,PB-A
abalone,0.0077334821420410775,0.001836794669541042,-3.1436392453482545E-4,-0.003943428825184699,7.035356617268359E-4,-0.0040655530293099654,-0.005006000452866503,-0.005465617261818264,-0.004111867295182326,-0.006274582254804017
acute-inflammation,0.0,0.002186379928315407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011111111111111072
acute-nephritis,0.0,0.010666666666666677,0.0013333333333333346,0.0040000000000000036,0.006000000000000005,0.002666666666666669,0.002666666666666669,0.002666666666666669,-0.0013333333333333346,1.9047619047619276E-4
adult,-0.0012542700905761337,-0.0015127468535286422,-0.0014911455424531466,0.014926050221409177,-5.651642282795429E-4,-0.0027830965680789503,-0.0019156683795154414,-0.0019156683795154414,-0.0017778105814605593,-0.0014463039017177084
annealing,0.07855031058675464,0.0174496496312507,-0.007171134695239079,-0.014486926891968892,-0.06301024771418401,-0.05482310006405537,-0.06644083487727892,-0.06152819520152556,-0.06908433038287083,-0.05767917616807489
arrhythmia,0.5777010227544015,0.16845990911592365,0.32800935673443593,0.10127914657544344,-0.012332103651960307,-0.014936189432114158,-0.03361500946211678,-0.039298540670653366,-0.022353115502178954,-0.01881252756375013
audiology-std,0.7561481562810065,0.1890671814766018,0.7221566713837245,0.22202703362123652,-0.19896966850469264,-0.07640224710876886,-0.2134582133736723,-0.22095868101302887,-0.24946030351827456,-0.09461661705623058
balance-scale,0.06015123456790123,0.058132716049382714,-0.022117283950617305,0.012780864197530868,-0.08192592592592589,-0.006216049382716056,-0.04251851851851849,-0.037543209876543214,-0.09995061728395065,-0.00903703703703705
balloons,0.48583333333333345,0.3961111111111111,0.0,0.44833333333333325,0.0183333333333333,0.10083333333333332,0.09805555555555555,-0.025555555555555595,0.0808333333333333,-0.1794444444444445
bank,0.01705922733077905,-0.0016791703507220885,-0.004945267216818953,-0.1728243614303959,-0.004286889674820712,-0.007359382061106193,-0.0071378720895962314,-0.0071378720895962314,-0.010772315551625885,-0.0022181869535317865
blood,0.02314015375517446,2.0303567908535786E-4,-0.00800183980550628,-0.06966226427491952,-0.020301596688350087,-0.010127472238649052,-0.006746172547473553,-0.006746172547473553,-0.0037131217557000956,0.0012543531112425268
breast-cancer,0.0782506204108783,0.0591400812838759,0.04227010441907978,0.03455261522830025,0.0292507391935207,0.010291103362827965,0.01463599333355264,0.01463599333355264,0.016435272597027147,-0.004759028394533804
breast-cancer-wisc,0.014220605218521058,0.013913128907174156,0.0106522549833387,0.00608696632862968,0.007196929597683854,0.005881968754636472,0.005881968754636472,0.005881968754636472,0.004457426588232449,0.0038594008765703734
breast-cancer-wisc-diag,0.013078284930808133,0.012095301711903017,0.007398474316717255,0.009878410393248546,0.007187975344932888,0.005508543328955181,0.005508543328955181,0.005508543328955181,0.0031359787037574544,0.004524602758199762
breast-cancer-wisc-prog,0.08417785405542842,0.038082697686244595,0.02196389524535978,0.009097381133994406,0.007818395626748041,0.004712751080600069,-0.011583841851004313,-0.011583841851004313,-0.010331744215611479,-0.019948321891685737
breast-tissue,0.32212802629469295,0.2410355539522206,0.28348224306557646,0.10055054513387844,-0.009854497354497348,0.005587622254288908,-0.011767877184543855,-0.012850729517396176,-0.016595719095719094,-0.014859908609908597
car,0.037344288352393305,0.03320200247798846,0.013380189283013485,0.008562445983903188,0.0033047759393012815,-0.005224520076625708,-0.004812886673264364,-0.004933466155057087,-0.01267376544281628,-0.005655387068739363
cardiotocography-3clases,0.011093419154434419,0.018051963727576663,0.001113345377955155,0.00517256535391879,7.808585158243897E-4,-0.00756621919321793,-0.007250938203006189,-0.007426524043183324,-0.007371419084381714,-0.0016054413946718657
cardiotocography-10clases,0.03904523870788633,0.06876633811955674,0.00979572991382726,0.01504611847609855,0.005220904895931914,-0.016324830359350725,-0.018913179198546622,-0.019154228186931282,-0.01595500733387717,-0.013500796288489322
chess-krvk,0.007386804078089285,0.11582501794376439,-0.0027726301136697497,0.0013766593537872167,2.2535554830786322E-4,-0.017309226959037145,-0.015184292855753971,-0.016087651505291064,-0.013640139353294797,-0.010525165204418848
