TRAINTESTDIFFSBALACCRANKS:,SMLRE-A,SMM5-A,SMLR-A,NBC-A,ES-A,RC-A,WMV-A,MV-A,CAWPE-A,PB-A
abalone,1.0,2.0,4.0,5.0,3.0,6.0,8.0,9.0,7.0,10.0
acute-inflammation,5.5,1.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,10.0
acute-nephritis,9.0,1.0,7.0,3.0,2.0,5.0,5.0,5.0,10.0,8.0
adult,3.0,6.0,5.0,1.0,2.0,10.0,8.5,8.5,7.0,4.0
annealing,1.0,2.0,3.0,4.0,8.0,5.0,9.0,7.0,10.0,6.0
arrhythmia,1.0,3.0,2.0,4.0,5.0,6.0,9.0,10.0,8.0,7.0
audiology-std,1.0,4.0,2.0,3.0,7.0,5.0,8.0,9.0,10.0,6.0
balance-scale,1.0,2.0,6.0,3.0,9.0,4.0,8.0,7.0,10.0,5.0
balloons,1.0,3.0,8.0,2.0,7.0,4.0,5.0,9.0,6.0,10.0
bank,1.0,2.0,5.0,10.0,4.0,8.0,6.5,6.5,9.0,3.0
blood,1.0,3.0,7.0,10.0,9.0,8.0,5.5,5.5,4.0,2.0
breast-cancer,1.0,2.0,3.0,4.0,5.0,9.0,7.5,7.5,6.0,10.0
breast-cancer-wisc,1.0,2.0,3.0,5.0,4.0,7.0,7.0,7.0,9.0,10.0
breast-cancer-wisc-diag,1.0,2.0,4.0,3.0,5.0,7.0,7.0,7.0,10.0,9.0
breast-cancer-wisc-prog,1.0,2.0,3.0,4.0,5.0,6.0,8.5,8.5,7.0,10.0
breast-tissue,1.0,3.0,2.0,4.0,6.0,5.0,7.0,8.0,10.0,9.0
car,1.0,2.0,3.0,4.0,5.0,8.0,6.0,7.0,10.0,9.0
cardiotocography-3clases,2.0,1.0,4.0,3.0,5.0,10.0,7.0,9.0,8.0,6.0
cardiotocography-10clases,2.0,1.0,4.0,3.0,5.0,8.0,9.0,10.0,7.0,6.0
chess-krvk,2.0,1.0,5.0,3.0,4.0,10.0,8.0,9.0,7.0,6.0
chess-krvkp,2.0,1.0,3.0,8.5,4.0,8.5,8.5,8.5,5.0,6.0
congressional-voting,1.0,2.0,3.0,4.0,6.0,5.0,7.5,7.5,9.0,10.0
conn-bench-sonar-mines-rocks,1.0,2.0,3.0,4.0,5.0,7.0,7.0,7.0,10.0,9.0
conn-bench-vowel-deterding,1.0,2.0,3.0,5.0,4.0,8.0,6.0,9.0,10.0,7.0
connect-4,5.0,4.0,6.0,1.0,3.0,9.0,7.5,7.5,10.0,2.0
contrac,1.0,2.0,3.0,4.0,5.0,9.0,6.0,8.0,10.0,7.0
credit-approval,1.0,2.0,3.0,6.5,4.0,6.5,6.5,6.5,9.0,10.0
cylinder-bands,1.0,2.0,3.0,4.0,5.0,7.0,8.5,8.5,6.0,10.0
dermatology,1.0,3.0,2.0,4.0,5.0,7.0,6.0,8.0,9.0,10.0
echocardiogram,2.0,1.0,3.0,5.0,4.0,6.0,8.5,8.5,7.0,10.0
ecoli,1.0,3.0,2.0,4.0,5.0,7.0,9.0,10.0,6.0,8.0
energy-y1,2.0,1.0,3.0,6.0,8.0,7.0,5.0,4.0,9.0,10.0
energy-y2,1.0,2.0,3.0,5.0,4.0,8.0,7.0,9.0,6.0,10.0
fertility,1.0,2.0,3.0,4.0,7.0,8.0,5.5,5.5,10.0,9.0
flags,1.0,3.0,2.0,4.0,6.0,5.0,9.0,8.0,7.0,10.0
glass,1.0,3.0,2.0,4.0,6.0,5.0,8.0,9.0,7.0,10.0
haberman-survival,1.0,2.0,3.0,10.0,4.0,7.0,8.5,8.5,5.0,6.0
hayes-roth,1.0,2.0,3.0,4.0,5.0,7.0,6.0,10.0,8.0,9.0
heart-cleveland,1.0,2.0,3.0,4.0,7.0,5.0,6.0,8.0,10.0,9.0
heart-hungarian,2.0,1.0,3.0,10.0,4.0,5.0,6.5,6.5,8.0,9.0
heart-switzerland,1.0,2.0,4.0,3.0,7.0,5.0,8.0,9.0,6.0,10.0
heart-va,1.0,2.0,4.0,3.0,7.0,6.0,8.0,9.0,5.0,10.0
hepatitis,1.0,3.0,4.0,2.0,5.0,10.0,7.5,7.5,6.0,9.0
hill-valley,1.0,2.0,3.0,4.0,9.0,10.0,7.5,7.5,6.0,5.0
horse-colic,1.0,2.0,4.0,3.0,5.0,7.0,7.0,7.0,9.0,10.0
