folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,0.008931060678858294,0.00534122216838151,-5.02118098471338E-4,-0.005747281275927385,0.010444875493103245,-0.019593950032873786,0.007756712624101714,0.004040946452855576,0.0023320274801329477,0.01698627720331003,0.004661684852059422,5.772974819193699E-4,-0.026210122357635868,-3.1260202865146525E-5,0.01515935059110296,0.008950693532846277,0.001758286151210764,0.02277328047087135,0.009966731307618604,-0.006822395982037821,-0.025539321974317075,-0.005915814603967506,0.005830476249197081,0.028301823545455407,0.007629820760156503,-0.009303924638398131,-0.01473267165905201,-0.019620165978534887,-0.01691358474529625,0.01059611435800123
acute-inflammation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acute-nephritis,0.0,0.0,0.0,0.0,0.0,0.0,0.040000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040000000000000036,0.0,0.040000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06000000000000005,0.0
adult,0.009506253877946458,-0.012982953302642541,0.004464079089128603,-6.880897426899679E-4,-0.014878991431002797,-0.0047053669273635634,5.905470697300519E-4,-5.664962086493475E-4,1.917487976021981E-4,0.001967370480386199,-0.01664842200362593,0.0010609107639762971,0.004505343324840982,0.00962496315545247,0.004621417747460499,-0.0014046630906733304,0.007170474462039889,-0.01109245287590499,-0.004366757673254451,-0.0011767093315585564,-3.3659218156922854E-4,0.0017721401057764208,0.007139511480128258,-0.00926818511703087,0.010052827208196558,-0.009472813931125312,-0.011288620350139889,0.008363913880003015,0.006826242139197802,0.0040644437369787845
annealing,0.0012594039210581665,0.07962389932049385,-0.10062405185359624,-0.027943147913072952,-0.17178754244919658,0.03557522785828837,-0.2507049684307534,-0.02292060683922692,-0.1517414123544154,-0.02658285770448543,0.009494311281131318,-0.038155084681400275,-0.049458538120192186,0.012218292101529693,-0.1372640692640692,-0.016760190519589102,0.00859654100874796,-0.18266733296189297,0.0031424729381385186,-0.06673469387755104,-0.17093753865182437,-0.021665288763033197,-0.21627111067712568,-0.051651403783203764,-0.05003458863609245,-0.10139813628800809,-0.08804814429759145,-0.1319898753759876,0.005102040816326592,0.030020962771073467
arrhythmia,0.029899390995414055,0.06904750710182389,-0.03238660605329319,-0.07628668356423401,-0.026284790522941304,-0.08587005828832184,0.03640405279011383,-0.006374916208367332,-0.06871121025705346,0.0390870326732905,-0.056287289536143814,0.08984906623943312,0.06250595604377174,-0.07232063700045732,-0.05411221335897609,0.07924047220682401,-0.031011374286833426,0.00242097505115374,0.024211295681015432,-0.025917337463180645,0.040765723066033654,-0.1351197144544421,-0.030954492405757983,-0.02530482921972471,0.017172318398135766,-0.11513371198051175,-0.10091214555444239,0.027564590291345725,0.02627434515064081,0.028582174906875868
audiology-std,-0.20948555604352703,-0.19311167227833886,-0.19895940077099494,-0.19105609232420828,-0.21104767481579068,-0.18195359391011567,-0.30743058605377444,-0.20489618406285082,-0.2783456546137706,-0.19100973503147417,-0.20670350851510277,-0.19317266871614708,-0.3155748304299029,-0.1456576635924462,-0.3065558971356072,-0.23567559654516168,-0.2394707949055776,-0.1445566778900112,0.007045698531205791,-0.22377702142194883,-0.028560972039232968,-0.13319487141950914,-0.12574049675498955,-0.24106036207485482,-0.24625359878983072,-0.15484677694822624,-0.3607811203825697,-0.23510527985165658,-0.05696518323329919,-0.21518628312106575
balance-scale,-0.06990740740740731,-0.020370370370370483,-0.062129629629629535,-0.15796296296296297,-0.07277777777777772,-0.1347222222222223,-0.13592592592592578,-0.18212962962962975,-0.09472222222222226,-0.10583333333333333,-0.04194444444444456,-0.0784259259259259,-0.09074074074074068,-0.06925925925925924,-0.18564814814814812,-0.08777777777777773,0.03805555555555573,-0.09824074074074085,0.03851851851851862,-0.13814814814814813,-0.03805555555555562,-0.14870370370370356,0.017685185185185137,-0.19203703703703678,-0.02342592592592596,-0.010648148148148073,-0.1597222222222221,0.03731481481481491,-0.08259259259259266,-0.10749999999999993
balloons,-0.45833333333333337,-0.17500000000000004,-0.3583333333333334,-0.2583333333333334,0.55,0.55,0.24166666666666664,-0.525,0.55,0.05833333333333324,0.016666666666666607,0.18333333333333324,0.2833333333333332,-0.06666666666666676,0.25,0.008333333333333304,-0.2333333333333334,-0.08333333333333337,-0.625,-0.008333333333333415,-0.06666666666666676,0.21666666666666662,-0.3583333333333334,0.55,0.24166666666666664,-0.375,-0.033333333333333326,0.08333333333333326,0.55,-0.15833333333333333
bank,-0.02403941939286769,-0.02988969938107866,-0.009721117005599744,-0.0374162982611258,-0.015611479516651983,-0.025153183023872705,0.015293987621573746,0.015981432360742676,-0.0037906719717065718,0.014917992926613555,0.010917992926613662,-0.019108605953433555,-0.0055181992337163255,-0.009070512820512855,0.010656130268199226,0.03154236663719423,-0.003098364279398691,0.007049734748010739,0.019173224285293222,-0.00860735337459484,0.02669208664898326,-0.04186921603300908,-0.010174034777483132,-0.01355253463012085,-0.005260462717359249,0.003240053050397984,-0.013111847922192776,-0.009147067491895089,0.005997789566755007,-0.005929413498379055
