folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,-1.257210377232365E-4,0.002990131476015012,-0.007972795116913955,-0.010434478697668892,0.017256325963097452,-0.027853156746202923,0.0072386701594854275,-0.004637160290404396,-7.77039484631592E-4,-0.008446630115340525,0.004266942482570202,-0.011043383762273429,-0.02778224065599566,0.004626581115036221,0.005790369941021112,-0.004412032352032469,-0.0071933941243977895,0.0220681952616415,-0.007442205341949615,-0.009752751039771468,-0.023103499446439857,-0.0042032781247018924,-0.0012888382908673446,-0.004340156362869663,0.003950539904860162,-0.025835900160817382,-0.03301739406464155,-0.0239606983871562,0.0015590624588562862,0.009907416985668549
acute-inflammation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acute-nephritis,0.0,0.0,0.0,0.0,0.0,0.0,0.040000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,-0.040000000000000036,0.040000000000000036,0.0,0.040000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adult,0.011716104217140533,0.0027691857354238403,0.007879574519909838,-0.008914270014532488,-0.004473565445143435,-0.01536000332329901,0.006299221991243553,0.010432679383033272,0.0010514302477163673,-0.011396181499658598,-0.014058022214616717,-0.006273260707865269,2.31608271624828E-4,0.00851848171381886,-0.005965876670843695,-0.0025459317593932163,-0.004253841169423511,-0.0036918988590932678,0.004800167402803646,-0.007802430224164603,-0.0049693228574814174,-0.004507523325721352,0.002262580727857899,-0.012747364296523567,-0.00707589681239873,-0.00581582476376119,-9.792858820337758E-4,-0.00220552188945744,0.005869780062989327,0.0037351560563860797
annealing,-0.02390947064631277,-0.018620998638690156,-0.10420252183808132,0.07589358678080482,-0.12245468649979918,0.06965757658725358,-0.21961629436463592,-0.08300223949228813,-0.06348314764502283,-0.03294663064587877,-0.07604814429759155,0.013436035977389515,-0.05820659874795209,-0.025335586228111495,-0.12126406926406919,-0.06525070251386045,0.01276052239077452,-0.23424580294637787,0.017364007165864725,-0.1472850958565245,-0.1823310006618276,-0.02649569811975827,-0.12967599543804753,-0.018460070471569945,-0.017720385761960333,-0.10408559085516189,-0.10920508426656139,-0.08909885995865652,-0.00611550521324955,0.04410259542413464
arrhythmia,0.0425723527541263,0.010665507561672005,-0.030808581457398787,-0.10550183369363386,-0.12333721282357213,-0.08567409425481581,0.0023226432165932565,0.0012856314478740805,-0.11774420977785782,0.04949574835912596,-0.1328953251814876,0.0088397158875122,0.05591576059450459,-0.10790606798342162,-0.039445851004612065,-0.03131729090683966,-0.05365154217520962,-0.041673520197187675,-0.02444198042497181,-0.0720903985545821,0.032085066585574085,-0.08269086432897826,0.005095127142923428,-0.023426454413751796,-0.007979737329689651,-0.10352405219935124,-0.0961435964562406,0.01923613325744783,-0.07407478981818483,-0.05214250394516745
audiology-std,-0.2963823012736057,-0.237553676865271,-0.21332284194603024,-0.17896537842190025,-0.29228578051041815,-0.2981152100717317,-0.28232079246572,-0.2020202020202021,-0.29775960083931097,-0.14935221783047875,-0.14783706631532711,-0.20453386522227096,-0.2781705948372616,-0.2434971697652858,-0.2646787927585028,-0.28567559654516184,-0.30927511833308946,-0.20335297418630754,-0.14804018445322797,-0.18777570389889225,-0.07491582491582494,-0.13077941248231106,-0.07753867174157025,-0.29178499975601435,-0.2914580588493632,-0.15967525496511004,-0.23612026057678226,-0.21241094520080028,-0.21833796906260672,-0.21482396428048606
balance-scale,-0.062129629629629646,-0.04759259259259263,0.043333333333333335,-0.02157407407407408,0.018981481481481488,-0.134537037037037,-0.08185185185185173,-0.09805555555555545,-0.04249999999999998,-0.031481481481481444,-0.056388888888889044,-0.00824074074074077,-0.02157407407407408,0.03861111111111104,-0.11370370370370364,-0.022222222222222143,-0.02675925925925926,-0.11194444444444451,0.023611111111111138,-0.013981481481481484,-0.0065740740740740655,-0.06851851851851853,-0.057499999999999885,-0.05351851851851852,0.022962962962962852,-0.08351851851851844,-0.08240740740740748,-0.018148148148148135,-0.045370370370370505,0.03629629629629638
balloons,-0.20833333333333337,-0.17500000000000004,-0.525,-0.2583333333333334,0.55,0.425,0.24166666666666664,-0.4,0.38333333333333325,0.05833333333333324,-0.10833333333333339,0.05833333333333324,-0.10833333333333339,-0.3583333333333334,0.475,0.1333333333333333,-0.2333333333333334,-0.08333333333333337,-0.5,-0.033333333333333326,0.09999999999999998,0.21666666666666662,-0.3583333333333334,0.2833333333333332,0.11666666666666664,-0.5,-0.19999999999999996,-0.275,0.675,-0.15833333333333333
bank,-0.024969864426760857,-0.03778043029767164,-0.0169060565870911,-0.019700265251989313,-0.019442897141172977,-0.023097995873857968,0.010774756852343081,0.015981432360742676,-0.008048040082522911,0.015377910403772455,0.00938852048334804,-0.02842978190391987,-0.002815649867374037,-0.018262820512820466,0.009670866489831953,0.025092690834070175,-0.00713233127026236,0.008987547892720271,0.011988284703801866,-0.026172413793103422,0.0016667403477748088,-0.030679781903919845,0.010935602711464765,-0.013158930150309334,-0.026167550839964582,0.0022506631299734625,-0.01025832596522247,-0.012507957559681815,0.019157751252578792,-0.029877836722664308
blood,-0.008791642026414359,0.01649911295091655,-0.09621525724423419,-0.07585255273014002,-0.0561797752808989,-0.006327616794795987,0.00877192982456143,0.0035087719298245723,0.02842499507194951,0.01965306524738808,-0.06881529666863784,0.016853932584269593,-0.03546225113345158,0.0010447466982062004,0.03406268480189234,-0.0014192785334121716,0.03195347920362712,0.054070569682633574,-0.018253498915828947,0.08846836191602603,0.02387147644391885,-0.014054799921151218,-0.07583284052828698,-0.02071752414744732,-0.035817070766804626,-0.04494382022471899,-0.018963138182535033,0.08811354228267299,-0.005617977528089901,-0.03441750443524538
breast-cancer,-0.018832933127199802,-0.06436937381445784,0.041145576351655166,0.08197805993223906,0.04778976568753224,-0.022350635395765428,-0.033780522570529437,0.024892547394274267,-0.10565365174391184,0.09405776125785337,-0.021426871923072688,-0.039013683760402706,0.06580194730436495,-0.015463745710119214,0.058914454568380514,0.00196309331929867,-0.020052739493218397,0.004699735754306378,-0.02500614014889857,0.07712366917754898,-0.024109788055217463,0.16657779897591096,0.007239948247316441,-0.01629272063418974,0.02270802495531954,-0.06259585759240371,0.07684681424953121,0.05811612556604506,0.05740052410556673,0.0207726171288225
breast-cancer-wisc,3.3142059739910135E-4,-0.018918943303619762,0.0036910390125952652,-0.01707342379732213,0.010882595305977683,0.03591056455784514,0.012728114812275204,0.012293388429752028,-0.010150883587763282,0.012293388429752028,0.0036566037508871663,0.020557851239669467,0.0017766489828815457,0.022472241269382964,0.029291475693817848,0.037555938503735176,0.006412477293779362,-0.03383693023927237,-0.00652224908874377,0.008561448145608552,-0.0022867118986611423,-0.004035391629675034,0.025193679550567172,0.002549261972644268,-0.0018175502544299782,-0.002659033767608454,0.02250667653109084,-0.020902203856749457,-6.413379527709928E-4,0.026638907936049727
breast-cancer-wisc-diag,-0.012258643702855343,-0.0028246814387042907,0.03961245607531527,0.014973476418943532,0.008348502918837486,0.002746218065407091,-0.005818133152048488,-0.00948104028812935,0.0036158291121024533,0.02530843507910885,8.539183720360777E-4,0.010272187961527401,0.0017078367440720443,0.005708284429432053,0.036819159985929883,0.018820846504323474,-4.7078023978408545E-5,-9.323817453333882E-4,0.0207445315470135,0.005555206829451986,-0.02259360236302066,0.02724781279645838,0.0027619107400665976,0.011326261957522066,-0.0037099851600593814,-0.028348964816431232,-0.017908006580264146,0.01692854681095246,0.007478891872142013,0.008348502918837486
