folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,0.008914594934068987,-0.004532578792318942,-0.008859740994816567,-0.00797142616551949,0.017794813998248338,-0.020585257437128912,0.009630151043906299,-0.005579351175806657,-0.005873295430262937,-0.006615294619888301,0.002637500378986579,-0.005001287435640989,-0.021572683010868454,0.007456460335654391,0.008051322529415428,0.0016314666903389785,-0.007743134319537437,0.022157320659795476,0.002068817465046169,-0.02151025932602102,-0.018186501955611556,-0.0014207395256478073,-0.0021942076857017767,-0.007240350928046757,0.012339393295900059,-0.022074879073269438,-0.025671844592901283,-0.023818926050937828,4.751640854270267E-4,0.004991888347597451
acute-inflammation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acute-nephritis,0.0,0.0,0.0,0.0,0.0,0.0,0.040000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040000000000000036,0.0,0.040000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adult,0.020689026785285836,0.010012609063462907,0.019001262676231256,0.013646542807582263,0.007154762967209294,0.007741719158462779,0.012733066249078662,0.021800027267127486,0.025066809034853588,0.009530106738519617,0.007047057436586179,0.013363375918794329,0.014890594893359643,0.024387781421601695,0.008980226601479124,0.011866254841381929,0.01864353818609432,0.013874356749025596,0.023619871999017272,0.013801893463458947,0.013124900909561199,0.009504925688681443,0.023976528523120155,0.007417387267738662,0.011120596740532118,0.014563618926378252,0.020321066922424524,0.009103953146544774,0.017280357318012918,0.02351728694066857
annealing,0.014708502858878925,-0.012422406921301143,-0.022752706824356372,0.08442011956297679,-0.08535670344692892,0.04987932142553986,-0.12130148774023175,-0.04376274018379289,-0.026805978531763586,0.037695928132018275,0.020993696362117564,0.06388931202465042,0.05212370753724138,-0.11204882590994936,-0.04649333289934798,-0.02632935151732152,0.07867766819646516,-0.09118150354240595,0.06631084204016535,-0.07860864281916913,-0.07237802297952667,0.05495624342240879,-0.15732302618016902,0.002593909014961815,0.07232544309589883,-0.032296594554887315,-0.05965027286831792,-0.11517118362496515,0.05556868361379641,0.015131596498248356
arrhythmia,0.13671503969430948,0.12168742836122037,0.06582567894996766,0.023960111695479014,0.05706418726087781,0.03814414555395096,0.10716742658196848,0.17214927436131255,0.006451997852975899,0.13844977488397042,-0.0014527961196986738,0.22041931566214162,0.13634451022480426,0.047620994584824494,0.09375995230637985,0.19026714430137676,0.11292996293119323,0.07527056166954049,0.17339366776407356,0.061778316210081896,0.06954440857433508,0.023846204339545485,0.15817731105769745,0.08230183901746047,0.1853628429004432,0.06518008324731789,0.1456847162003561,0.12351737452512523,0.07246139813497487,0.1343515245352972
audiology-std,0.23161506368028112,0.15133521202361794,0.17932342751183333,0.23893341628848863,0.15529876055238379,0.2296717171717172,0.14267920753428004,0.19999999999999996,0.2211773532425706,0.19932171961157463,0.14279144097984686,0.27688905967891464,0.21360586541745968,0.1534725272044113,0.14911189186551504,0.24524471770848588,0.1908322353974527,0.24448653198653192,0.23966293368467284,0.16572915141755723,0.3613050797833407,0.3609970477724101,0.20023910603620743,0.1811618601473674,0.22798638559508133,0.2865368662470113,0.19088347240521153,0.26752976626165026,0.3497804128238911,0.26320877860732933
balance-scale,-0.02879629629629643,-0.006296296296296244,0.029166666666666674,-0.008611111111111125,0.04472222222222211,-0.041574074074073986,-0.06481481481481488,-0.050833333333333286,0.06379629629629635,-0.005740740740740824,0.010555555555555762,0.09685185185185186,0.008796296296296413,0.004166666666666652,-0.05555555555555547,-0.010925925925926006,0.11259259259259269,-0.0010185185185184187,0.09574074074074068,-0.01259259259259271,-0.01962962962962944,-0.01027777777777783,0.07194444444444448,0.010462962962963007,0.08185185185185173,0.04935185185185187,-0.0022222222222222365,0.023240740740740673,-0.04046296296296292,0.039537037037036926
balloons,0.675,0.30833333333333324,0.7333333333333333,0.17500000000000004,0.55,0.55,0.575,0.55,0.38333333333333325,0.35,0.22499999999999998,0.18333333333333324,0.575,0.09999999999999998,0.375,0.38333333333333325,0.45,0.4833333333333333,0.5,0.19999999999999996,0.35,0.55,0.45,0.44999999999999996,0.44999999999999996,0.65,0.35,0.675,0.55,0.65
bank,-0.18473084291187747,-0.16840804597701142,-0.18456513409961683,-0.1581637931034483,-0.16557662835249043,-0.17265517241379302,-0.1749051724137931,-0.17498659003831418,-0.15891091954022984,-0.162242337164751,-0.17565229885057476,-0.1840651340996169,-0.1656580459770115,-0.17765229885057476,-0.17223659003831415,-0.17357088122605369,-0.18065229885057477,-0.16757375478927206,-0.13301245210727974,-0.17681800766283517,-0.16507662835249037,-0.18373371647509573,-0.17931513409961686,-0.17240517241379316,-0.17648946360153261,-0.1856465517241379,-0.19022796934865904,-0.17682088122605366,-0.16998946360153255,-0.17298946360153256
blood,0.01862803075103492,0.008101714961561202,-0.1538340232603982,-0.1594520007884881,-0.15767790262172288,-0.12645377488665488,-0.12397003745318358,0.06534594914251923,-0.015769761482357647,-0.09272619751626254,-0.16855903804454964,0.09164202641435049,-0.17417701557263943,0.024955647545830795,-0.12257047112162422,-0.15243445692883895,-0.12117090479006509,0.028484131677508295,-0.10816085156712008,0.09059727971614429,0.044608712793219096,-0.1538340232603982,-0.13589591957421643,-0.165405085748078,-0.11064458900059138,0.011255667258032731,-0.16191602602010646,0.08988764044943809,-0.008062290557855345,-0.15066035876207373
breast-cancer,-0.01578067607425193,-0.08726686622150592,0.08173936164380557,0.08247283532339944,0.0607136826639475,0.02025898270890214,-0.05496315910660843,0.12848256088067278,-0.028858645000712668,0.13888775588522306,-0.027361983706676307,-0.06553474118175928,0.16175142265057074,-0.0019232371742157195,0.08149183689133033,0.09444437134743378,-0.008596153635297088,-0.021494961788537714,-0.050254980647566394,0.17110160849972045,-0.15484688003684088,0.18422617677050102,0.05465675471201614,0.041482681490740414,-0.03765188645110362,0.011787276734318008,0.06149896384987341,0.12528831288444464,0.006970932973695998,0.08385710996348805
breast-cancer-wisc,3.3142059739910135E-4,-0.018918943303619762,0.0036910390125952652,-0.012906757130655477,0.010882595305977683,0.03591056455784514,0.012728114812275204,0.012293388429752028,-0.010150883587763282,0.012293388429752028,0.005639864304016751,0.020557851239669467,0.0017766489828815457,0.022472241269382964,0.029291475693817848,0.037555938503735176,0.006412477293779362,-0.03383693023927237,-0.00652224908874377,0.008561448145608552,-0.0022867118986611423,-0.004035391629675034,0.025193679550567172,0.002549261972644268,-0.0018175502544299782,-0.002659033767608454,0.02250667653109084,-0.020902203856749457,-6.413379527709928E-4,0.026638907936049727
