folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,-0.01053942439293698,-0.0010566269550833507,-0.004544642572264612,-0.007340553933355531,0.01853496038334701,-0.023956317424058793,0.011661404736198255,0.013969244890712496,-0.012697217835513142,0.006263762394058459,0.011860310411129338,-0.010377639961038576,-0.03846567425397396,-0.00954195059713936,0.0073914770280304465,-0.03271735661301067,-0.01713673553359929,0.018079185592751124,2.5072685896143643E-4,-0.021233080242359037,-0.013007245560880842,-0.020409975434095617,0.005646848509226032,0.023307999609522234,-0.012556121168537326,-0.007788833121304073,-0.0013738679310969504,-0.03458197211208924,-0.01001221816474196,-0.015865934250978042
acute-inflammation,0.0,-0.016666666666666607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016666666666666607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016666666666666607,0.0,0.016666666666666607,0.0,0.0,0.0,0.0,0.0,0.0
acute-nephritis,-0.020000000000000018,-0.020000000000000018,0.0,-0.020000000000000018,0.0,-0.020000000000000018,0.040000000000000036,-0.020000000000000018,-0.020000000000000018,-0.020000000000000018,-0.020000000000000018,0.040000000000000036,-0.020000000000000018,-0.05428571428571427,0.040000000000000036,-0.020000000000000018,0.040000000000000036,0.0,0.06000000000000005,0.0,0.0,0.0,-0.040000000000000036,0.0,-0.020000000000000018,0.020000000000000018,0.0,-0.020000000000000018,0.06000000000000005,0.040000000000000036
adult,0.008230876080795646,-0.0032484560975972743,-0.0019832054230830565,-0.004796363753842181,-0.00896701879127515,-0.00633528233284697,-0.002799633341498353,0.005103241409277315,0.0031074021466304114,-0.004141351007961758,-0.007796698184550865,-0.004941012039754278,-0.0021801092279920553,0.004434255221231753,-0.0023224413012162826,0.0013710522509969847,-6.602690337693673E-4,-0.002569858585852458,0.00477693150583014,-0.002210317456880939,-0.0036226447269231965,-0.0014630353194543533,0.004213546491164788,-0.005180149557425406,-0.006133680371928629,-0.003998358636096766,-2.478541955945879E-4,-0.007798673379203258,0.006969259425122165,0.001800731182166726
annealing,-0.0012549772700147788,-0.02829375195054107,-0.12342876672199976,0.042465731428137476,-0.16762427714307415,-0.03947671572616296,-0.1439779343954487,-0.018838974186165758,-0.10341416566626638,-0.08312254662630603,0.005997473949707621,0.03974991591532939,-0.043561197365708626,0.008102982181708462,-0.11429213726958087,-0.003624277143074117,0.007063689271561979,-0.17200090498719423,0.029305022168356953,-0.023298462606733294,-0.14459764128937058,-0.019665288763033084,-0.1437576280911088,-0.11520884717523383,-0.03339313907381114,-0.12353803786267303,-0.09446895823720247,-0.14010518529580895,-0.014640410550185168,0.032524125439649665
arrhythmia,0.050567831424258025,0.07942263863941351,-0.06173174179187152,-0.1153483660456256,-0.04980690313080427,-0.04681487946843349,0.018841381042808136,-0.015526165107101919,-0.10060324859528252,0.129226380658577,-0.028573964609704072,0.0037168964479579736,0.07548388815789542,-0.07791697634837291,-0.07995073058663005,0.09080837902293937,-0.053795219431118924,-0.02610229639540984,0.017519651070384612,-0.006458884875056803,0.035812227479714354,-0.07350129504283226,-0.00301420250056178,-0.05619240625684202,-0.1067596656616433,-0.0774523065079149,-0.08813606917180872,0.028192077404546323,0.0030287760917046547,-0.02931063282568841
audiology-std,-0.10912567706045967,-0.127635046113307,-0.13450690479675986,-0.0800993022007514,-0.13644537159029918,-0.15165544332210995,-0.16911933343092767,-0.10416910652417904,-0.0609750890547992,-0.09931013028839114,-0.13019079685746354,-0.07393134240960325,-0.13753964768457522,-0.06520519201678626,-0.04502147074610835,-0.23069523739813597,-0.06225174449812132,-0.04127384960718289,0.02830173717854878,-0.06947921241399507,-0.051007661152588646,-0.005601912848289647,-0.10746779388083738,-0.13755794661591764,-0.1579142878055922,-0.1163086175767335,-0.14258283316254333,-0.1032407407407408,0.015871883082028027,-0.032360440150295156
balance-scale,-0.068425925925926,0.009814814814814832,-0.008703703703703658,-0.002962962962962945,-0.0035185185185185874,-0.07879629629629614,-0.041759259259259274,-0.037685185185185155,0.026574074074074083,0.006851851851851776,-0.014537037037037015,0.005740740740740602,0.06305555555555542,0.05666666666666664,-0.05685185185185204,0.020185185185185084,-0.012777777777777888,-0.05101851851851846,-0.049259259259259225,0.012685185185185244,-0.023240740740740784,-0.041759259259259274,0.005740740740740713,-0.009351851851851833,0.08444444444444454,-0.010462962962963007,-0.022592592592592498,0.008611111111111014,-0.03249999999999997,-0.005277777777777715
balloons,-0.4,-0.30000000000000004,-0.30000000000000004,-0.17500000000000004,0.04999999999999999,0.425,0.04999999999999999,-0.275,0.04999999999999999,-0.10833333333333339,-0.4166666666666667,-0.00833333333333336,-0.15000000000000002,-0.2583333333333334,0.15833333333333333,-0.5,-0.30000000000000004,-0.4166666666666667,-0.275,-0.2333333333333334,-0.09166666666666673,0.04999999999999999,-0.4,0.04999999999999999,-0.008333333333333415,-0.275,-0.275,-0.55,0.04999999999999999,-0.55
bank,-0.02810197465369879,-0.04154877689360448,0.024357058650162133,-0.021545534924845344,0.020824712643678134,0.010929487179487163,0.012753536693191903,-0.006760315355142876,0.024589080459770152,0.025670498084291116,-0.006833996463306846,-0.034371205422929596,-0.02397634836427942,0.005880415561450025,-0.026426024167403472,0.012951591511936367,0.004550618921308591,0.02018847627468312,0.01010293250810479,0.0019573386383731073,-0.020424403183023854,0.009800618921308568,0.015337459475390558,-0.030955496610669098,-0.030050029472443285,0.006803492484527052,0.0015342617152962479,-0.0075766283524904,0.003942602416740382,-1.4905688181554577E-4
