TRAINNLL,SMM5-A,ES-A,CAWPE-A,SMLRE-A,WMV-A,RC-A,MV-A,SMLR-A,PB-A,NBC-A
AvgTRAINNLLOverDsets:,0.6515867208723213,0.6698464767785494,0.6609450222668452,0.7169963415604802,0.8093786216837361,0.8136419294008838,0.8302755245030929,0.8555924413626231,0.883094059260683,1.0210775173877409
AvgTRAINNLLRankOverDsets:,3.7355371900826446,4.421487603305785,4.636363636363637,4.87603305785124,4.87603305785124,5.5041322314049586,6.231404958677686,6.363636363636363,6.603305785123967,7.75206611570248
StddevOfTRAINNLLOverDsets:,0.5595632177269871,0.5317641532274293,0.5155667216700163,0.5896974891163653,0.6885398457287126,0.6866876069966416,0.7025188141536827,0.744761091957677,0.7635013918492111,0.7719412409777282
AvgOfStddevsOfTRAINNLLOverDsetFolds:,0.09549067831975944,0.060035530883622214,0.04800186234502228,0.08964165683872638,0.0983442744855342,0.09682716572335998,0.10104994644757383,0.08230888372150094,0.0991355330037782,0.10292250637885295
StddevsOfTRAINNLLRanksOverDsets:,3.195748725628373,2.7560601895813233,2.604483314082341,2.859400426470219,1.9940338008414178,2.025355799779999,1.9780475667456898,3.0523215208537042,2.678554768412047,2.8962072662234677

flat,SMM5-A,ES-A,CAWPE-A,SMLRE-A,WMV-A,RC-A,MV-A,SMLR-A,PB-A,NBC-A
SMM5-A,0|121|0,42|0|79,44|0|77,41|4|76,47|0|74,47|0|74,47|0|74,2|4|115,35|0|86,22|0|99
ES-A,79|0|42,0|121|0,55|0|66,63|0|58,36|0|85,37|0|84,34|0|87,55|0|66,31|0|90,24|0|97
CAWPE-A,77|0|44,66|0|55,0|121|0,64|0|57,40|0|81,40|0|81,39|0|82,55|0|66,33|0|88,26|0|95
SMLRE-A,76|4|41,58|0|63,57|0|64,0|121|0,61|0|60,61|0|60,61|0|60,18|4|99,50|0|71,23|0|98
WMV-A,74|0|47,85|0|36,81|0|40,60|0|61,0|121|0,44|0|77,0|0|121,54|0|67,37|0|84,34|0|87
RC-A,74|0|47,84|0|37,81|0|40,60|0|61,77|0|44,0|121|0,43|0|78,54|0|67,38|0|83,34|0|87
MV-A,74|0|47,87|0|34,82|0|39,60|0|61,121|0|0,78|0|43,0|121|0,54|0|67,42|0|79,35|0|86
SMLR-A,115|4|2,66|0|55,66|0|55,99|4|18,67|0|54,67|0|54,67|0|54,0|121|0,63|0|58,35|0|86
PB-A,86|0|35,90|0|31,88|0|33,71|0|50,84|0|37,83|0|38,79|0|42,58|0|63,0|121|0,39|0|82
NBC-A,99|0|22,97|0|24,95|0|26,98|0|23,87|0|34,87|0|34,86|0|35,86|0|35,82|0|39,0|121|0



p=0.01,SMM5-A,ES-A,CAWPE-A,SMLRE-A,WMV-A,RC-A,MV-A,SMLR-A,PB-A,NBC-A
SMM5-A,0|121|0,39|11|71,38|9|74,10|56|55,37|16|68,36|17|68,37|16|68,1|50|70,26|19|76,17|14|90
ES-A,71|11|39,0|121|0,7|92|22,52|18|51,26|24|71,26|23|72,25|23|73,44|19|58,29|10|82,20|7|94
CAWPE-A,74|9|38,22|92|7,0|121|0,56|13|52,32|23|66,33|20|68,31|20|70,46|18|57,28|11|82,21|7|93
SMLRE-A,55|56|10,51|18|52,52|13|56,0|121|0,52|15|54,50|17|54,51|16|54,13|62|46,39|19|63,19|14|88
WMV-A,68|16|37,71|24|26,66|23|32,54|15|52,0|121|0,0|113|8,0|117|4,50|10|61,29|35|57,30|10|81
RC-A,68|17|36,72|23|26,68|20|33,54|17|50,8|113|0,0|121|0,7|108|6,50|10|61,31|34|56,31|8|82
MV-A,68|16|37,73|23|25,70|20|31,54|16|51,4|117|0,6|108|7,0|121|0,50|11|60,30|38|53,31|9|81
SMLR-A,70|50|1,58|19|44,57|18|46,46|62|13,61|10|50,61|10|50,60|11|50,0|121|0,51|20|50,25|17|79
PB-A,76|19|26,82|10|29,82|11|28,63|19|39,57|35|29,56|34|31,53|38|30,50|20|51,0|121|0,32|12|77
NBC-A,90|14|17,94|7|20,93|7|21,88|14|19,81|10|30,82|8|31,81|9|31,79|17|25,77|12|32,0|121|0



