folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,-0.050527852669572715,0.02179504482536565,-0.016457810194692613,-0.03183260530424814,-0.08000972589118738,0.10033203766827303,-0.11244473808946176,5.926969791638648E-4,-0.01546875650941848,-0.008269029794053528,0.008515872819824466,-0.0682463172017449,0.012928409958361309,-0.014227950408838508,-0.016440818329131357,0.028243017812436655,0.07016503266497143,-0.05505393639014278,0.01843306845558601,0.07418403461592948,0.03495692725274813,0.08398280413651138,-0.02349432445796129,-0.0010383097757871163,-0.020121579684034163,-0.008098736538681317,0.01247132392737682,-0.010056821402599336,-0.0584694873967333,0.0041976562682986
acute-inflammation,-0.21770491803278688,0.0,0.0,-0.10885245901639344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10885245901639344,0.0,0.0,0.0,0.0,0.0,0.0
acute-nephritis,0.0,0.0,0.0,0.0,0.0,0.0,-0.22133333333333333,0.0,0.0,0.0,0.0,-0.22133333333333333,0.0,0.0,-0.22133333333333333,0.0,-0.22133333333333333,0.0,-0.33199999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33199999999999996,-0.22133333333333333
adult,-0.029022728731513348,-0.011622024448491364,0.011489933721363421,0.010130837711542773,0.022094155918410796,0.013936996831107495,0.009043494101228178,-0.027663810861580984,0.013665311234059563,0.023997068472047967,0.05037139148513692,0.021821891366726076,0.007140136197870461,-0.0010167779470866556,0.015025208873377327,-0.016515727585744933,0.0022452751513432068,0.017744002115141377,-0.008902184634883903,0.015568557799987115,0.0019737008917254384,0.011489889186391378,-0.012708121079588297,0.01257738866910818,0.019646558389001978,0.026716418400962727,0.008498831392942607,0.022365886050430772,-0.029566411670413628,-0.019234387222592852
annealing,-0.017049602112341217,-0.11348636402886614,-0.1514326617287234,-0.11562478704350374,-0.06019140340075557,-0.1865624568594227,-0.052398067763439415,0.003012715584414849,-0.23605497613456602,-0.14426198271050597,-0.07408298782163758,-0.1418230867708629,-0.10683325771933896,-0.1121024844487628,-0.13079259955207226,-0.0275810171374202,-0.13296684356409563,-0.029257625150304195,-0.1396634234536496,-0.1112852893607455,-0.018548880172468696,-0.18331907344455456,-0.06680767951377187,-0.08448034379787286,-0.14018728168257066,-0.18724556094893682,-0.12678193222831577,-0.1040345016662931,-0.2129147345616588,-0.22849570446902492
arrhythmia,-1.018531765100871,-0.8976744553094699,-0.6776951462076825,-0.6457675288967277,-0.8221881110735905,-0.7780822275040231,-0.8804331676066209,-0.7073369040004016,-0.8126208021396863,-0.9035534189444606,-0.7224969855220381,-1.015448093085511,-0.876341599873891,-0.7034926948743311,-0.534808739054673,-0.669516879938323,-0.890592757826517,-0.7689207545034425,-0.7006647867304345,-0.9487506050276926,-0.8575434722427738,-0.8985134277456248,-0.7371430644787157,-0.5627299495075233,-0.6204538517561062,-0.6935916960107207,-0.8712505857526301,-0.9192448332601403,-0.7771628615857633,-0.9063829893249896
audiology-std,-0.9554533217738035,-0.6745393857125077,-0.4912531269833723,-0.39863570018044125,-0.6495987462807324,-0.3646124992497759,-0.6207525781743044,-0.5863660164489316,-0.641665786824675,-0.43322446714876295,-0.7664812008889677,-0.7833908338588785,-0.2614220789385363,-0.8267524399403524,-0.7463043088480807,-0.780436764280155,-0.5795722782031769,-0.8004594597307764,-1.3070010782368575,-0.6092852356503039,-0.5655700064273058,-0.6568721067578134,-0.8138500984283517,-0.7150458568356254,-0.902576503611118,-0.7852164725650753,-0.4328159149356786,-0.7541832081700366,-0.23183893259985178,-0.7677874581888146
balance-scale,-0.07311648457495705,-0.10678863893852399,-0.23457462592478942,-0.07714742084040967,0.009682877817437763,0.11421769803538773,-0.03936508858501048,-0.10933344753165647,-0.3396991839335284,0.028926325579812714,-0.14489905208564963,-0.1282367500645572,-0.09525287566959925,-0.1447365165378545,-0.11304203834404078,-0.06882633633185159,-0.26752176604607614,-0.04584118711817178,-0.12895893295852306,-0.13439464028051437,-0.20644458405535387,-0.06977374850284129,-0.2328491650383176,-0.17118730862085105,-0.216604861913388,-0.2234291214008259,0.03276436974285364,-0.1814468255738889,-0.09239193233012713,-0.157621976928642
balloons,-4.215873015873016,-0.10539682539682538,-5.164444444444444,-1.5809523809523802,-3.688888888888888,-3.688888888888888,-0.3161904761904759,-0.10539682539682538,-3.688888888888888,-2.213333333333333,-2.213333333333333,-1.2647619047619045,-2.0025396825396826,-1.5809523809523802,-2.213333333333333,-5.164444444444444,-0.10539682539682538,-2.529523809523809,-0.10539682539682538,-3.688888888888888,-2.213333333333333,-3.688888888888888,-0.10539682539682538,-3.688888888888888,-2.213333333333333,-4.426666666666666,-3.4780952380952375,-5.164444444444444,-3.688888888888888,-4.215873015873016
bank,3.001726074687294E-4,0.04730252492240561,-0.008503591096429397,0.0443631723765433,0.05904953951771763,0.017938886779677254,0.014982641403091579,-0.058454392096848884,-0.0555111412054351,-0.02320035382574115,-0.10545674441178587,0.047301225473888486,-0.02320555161980986,-0.052582184247710106,-0.07020400558919526,-0.08487997714223217,0.03554901308450775,-0.03494996731808753,-0.017326846528085138,-0.0026417788354280436,-0.13188622780272063,0.032604462744576734,-0.11426050811568389,0.023826688011022168,0.0972390319891362,-0.0672672519403672,-0.026134508577534743,0.020867843737402136,-0.07020920338326397,-0.011445542539326059
