TRAINTESTDIFFSNLL:,SMLRE-A,SMM5-A,SMLR-A,ES-A,RC-A,WMV-A,NBC-A,MV-A,PB-A,CAWPE-A
abalone,-0.030386710582547362,-0.003982029088448062,9.94312731928937E-4,-0.5911713087192303,0.021451083841965892,0.022044105440855725,0.005301180266612645,0.02240954771723754,0.023292421386337157,0.009556442944087388
acute-inflammation,0.0,-0.014513661202185791,0.0,0.16698159538827403,-5.977033308861903E-4,-6.622384291213763E-4,-1.9703901163701662E-5,-5.826774825334817E-4,0.008452296501293958,0.09294398995190527
acute-nephritis,0.0,-0.05902222222222222,-0.007377777777777777,0.12176438990633787,4.0289612578519836E-4,2.495755518319724E-4,-0.01410806170818387,4.368453008875086E-4,0.005400874878255501,0.06598791452706744
adult,0.004194143342648423,0.00604302532593366,0.005943330821980708,-0.27200412001785035,0.007200612673378515,0.007238308175268123,-0.002213146477893372,0.007280316631751049,0.0033842776512498026,0.004034496801839869
annealing,-0.10630427436302625,-0.11444179645540224,-0.030388684494767188,0.009182240789233603,0.022533937283082263,0.023822472106782122,0.3975546258135083,0.024333179204265566,0.015790034705541255,0.02543914280769496
arrhythmia,-1.169681613105168,-0.7939644718295126,-0.6471503518034634,-0.07275251629131887,-0.06364194802258162,-0.03253903325159267,-0.7050380485742598,-0.02988678265846686,0.018462750025248546,0.029806076262216444
audiology-std,-2.437452937366959,-0.6634321288624355,-1.6252372870326863,0.6704458060830508,0.04606609406136505,0.4426211587452937,-0.6682623378989174,0.4461552766974984,0.4361964817476334,0.6762579904627224
balance-scale,-0.10821356196169946,-0.12059644129848189,0.0016171503499045948,0.055226545306931836,0.04682785645284858,0.05302756309273433,0.24608157630790856,0.05245107770949579,0.02516930606514071,0.04455063990263511
balloons,-3.2286560846560843,-2.6173544973544964,-0.10539682539682538,-0.4498559959669164,-0.43530078352585905,-0.3054397907422376,-1.3205438759508765,-0.03674778606035451,0.19473628919820765,-0.23977013188658153
bank,-0.05286754314208294,-0.01722648578760825,-0.006455573603451707,-0.1734893297182939,2.7131032101308886E-4,0.00310991883086091,1.062733655715706,0.0031462797418236673,0.01774620613019155,0.006598481476501935
blood,-0.1781319073083776,-0.07634224598930474,-0.05326203208556144,-0.40084302229884305,0.008378218093862714,0.0076613943346525975,0.4795662064265735,0.007719163233657222,0.03955482898968819,-3.044300019657646E-4
breast-cancer,-0.6599517475221688,-0.44258007303077646,-0.38192123109024456,-0.6222764377636083,-0.10284462752127027,-0.10963771367221473,0.06251479736502094,-0.10389514103126525,0.022223842518759796,-0.0694760289521777
breast-cancer-wisc,-0.08429148860690408,-0.07923787692727521,-0.06083722199481512,-0.01136220817917223,-0.020719153038258737,-0.02072089805645134,0.22941260277281555,-0.02063168545932369,-0.006093799585085112,0.011775768561570052
breast-cancer-wisc-diag,-0.07412506383329215,-0.07337853554072975,-0.0406406721027922,-0.0012091590784396506,-0.02765510495367359,-0.027737570852679336,0.024058635200250957,-0.027508606542131595,-0.018610016205148405,0.0011330747797439376
breast-cancer-wisc-prog,-0.5574438095238087,-0.31700353741496556,-0.26212190476190433,-0.3204272833728918,-0.061919611155784086,-0.07108831610033456,0.23630157208377384,-0.06748412079347145,0.024824015039936052,-0.03352977750596104
breast-tissue,-1.0922774897192413,-0.8438526888096631,-0.9392477341032403,-0.4037902079300294,-0.11576623644068489,-0.018082472930654334,-0.6945963495588469,-0.009703630904517225,0.0032627651815581543,0.005877758284879616
car,-0.03246685801841032,-0.040694362729503615,-0.008702832033211379,0.04533815845048568,0.009932603607146838,0.010497414315673225,0.095794259263946,0.010805901726329819,0.005955835529086001,0.01700605050701169
cardiotocography-3clases,-0.05342741968476906,-0.083350741871353,-0.023147067790676143,-0.038767823267712984,0.014390789697040928,0.015374235201650533,0.12350630661768154,0.01569974178122767,-0.009521204086285814,0.005461684530644344
cardiotocography-10clases,-0.1661831627760911,-0.30917530901707857,-0.07051488130253662,-0.04407275424998406,0.03695234164895744,0.039775410172526074,0.2655244846502896,0.04024775142738926,0.0171128475517457,0.031126813750966306
chess-krvk,-0.011793278288092839,-0.4119985492661462,0.01565027142537771,0.07578576452439648,0.07265936361652023,0.0708151893610831,0.25372566229152815,0.06961529894098728,0.01950119398975633,0.050159721880861326
chess-krvkp,-0.012954433402529685,-0.019189913754539496,-0.007409145430985159,0.04102516132804837,0.003801374999068312,0.0037930618439187907,0.05061844478047301,0.0038247162558659896,0.0030664349377456388,0.009464363934029876
congressional-voting,-0.41575444975267345,-0.21925128595386034,-0.17650147268140734,-1.340062683292793,-0.05506757816581172,-0.0453573248586075,0.06057331282035817,-0.0431960795719034,0.01873480044652467,0.00608304571444922
conn-bench-sonar-mines-rocks,-0.22374825088611477,-0.1961813530590228,-0.12770411465557086,-0.13411474876966037,-0.032641115542717154,-0.03280994754025489,-0.0975354808656613,-0.02967337501228761,0.006533903266885603,0.015612766720730116
conn-bench-vowel-deterding,-0.14583030949610337,-0.09079545448929048,-0.050926697985567725,0.25970886909059004,0.03304655969662149,0.03333309185779748,0.027634267851186035,0.033621773696263034,0.037287854821495284,0.04859366296942184
connect-4,0.018133990533655598,0.020001445076273213,0.02108923625521756,-0.1208045721087411,0.029761053249070912,0.030344093809127063,0.06336364128865758,0.030517916423161696,0.0017519246023095661,0.013788083894680607
contrac,-0.2620563797506843,-0.13060358546583978,-0.08982604546086377,-0.8737155368437101,-0.02099780406624442,-0.020057227765406395,0.0297188895537939,-0.017472719719262942,0.06800600732844296,0.00799653670938499
credit-approval,-0.22298091141282425,-0.20793327956266475,-0.04480445400367425,-0.17394237206704427,-0.027386622909671723,-0.027304225438621488,-0.051466870722701834,-0.02658748983995495,0.02019622020723068,0.010010492072870343
cylinder-bands,-0.1340104166666664,-0.07089583333333319,-0.031124999999999944,-0.24162700164648193,0.041047931313651705,0.03708585539541292,-0.015586444017487969,0.03830144369624779,0.09058699371627368,0.03548195840171674
dermatology,-0.22522862174135413,-0.08307793334361886,-0.12117000609039731,0.07745287509088178,-0.02523721941450032,-0.024835277367622713,-0.0902763990992247,-0.0244679939444419,0.016228113211175517,0.03834475142533676
echocardiogram,-0.5948139860139858,-0.7630066822066823,-0.6409895881895882,-0.41791495438414245,-0.17861958949296414,-0.17643530378822636,-0.485433418354804,-0.16745048422993716,0.013947771186792657,-0.06142428856891777
ecoli,-0.6849975903990937,-0.43666456985703156,-0.44524216976572417,-0.046984770037574036,-0.05730848336843783,-0.047827703197582096,-0.14994520529734584,-0.046837575934520155,-0.04321986267088242,-8.66502917761891E-4
energy-y1,-0.07349650886138563,-0.09575331177858207,-0.03181262862392524,-0.026097572415130544,-0.003880862166932386,-0.004302524112331014,0.021114559432039808,-0.0038732981127780008,0.003213899827189088,0.0061337053329974444
energy-y2,-0.10393332731868132,-0.11553551590475523,-0.0565999922070949,-0.10703821907802788,-0.018162738701968505,-0.01802201888174664,0.061552859826702125,-0.01753829304569166,0.011310697056606067,-0.0024643896284017087
fertility,-0.35855999999999993,-0.21247999999999997,-0.19477333333333333,-0.10670893323035904,-0.07128770705857179,-0.051323092773485235,1.1401666209732093,-0.044971563099848885,0.011880132874152636,-0.006232886079067313
flags,-1.3367723151971367,-1.0811979406419632,-1.0155733878034459,-0.3332797359876834,-0.23925035903120437,-0.14647743979696717,-0.9644540949644845,-0.14590604800800872,-0.059143817382051544,-0.034954974701836526
glass,-0.802250598960903,-0.5241918469553727,-0.4527541763146404,-0.21069576805355997,-0.01674291583588965,0.03973704654875503,-0.21514507956741138,0.04370024204547037,0.10643958352364313,0.04546538592513405
haberman-survival,-0.5558484848484838,-0.4399813169286846,-0.3150558213716104,-0.5916193376155269,-0.10895887427051658,-0.11840143761077165,0.25632667075133236,-0.11443163902867388,-0.08402485794223286,-0.040336674698719516
hayes-roth,-0.679572012055836,-0.310065607124322,-0.26655369112381444,-0.20563456584383571,0.07015148053979875,0.07105207349850778,-0.10062555488902071,0.08674296394328944,0.10902419712116777,0.07111538453052672
heart-cleveland,-1.0004890739096883,-0.9367710242874207,-0.6428982528382438,-0.8847903388231828,-0.31502735012904,-0.22716452272546628,-0.5285524754077846,-0.21932382760609492,-0.07100164631346935,-0.10812953584121109
heart-hungarian,-0.24241269841269802,-0.2574693877551016,-0.12647619047619027,-0.2994707096904181,-0.0010108099493211897,-8.68630093467678E-5,-0.05710303999258657,0.0038910363003747395,0.07616849739294804,0.019481343840170272
heart-switzerland,-1.7425890339830288,-1.4513980362556258,-1.2473474321437628,-1.1064733775736968,-0.5147621587100969,-0.4279373179060206,-0.529208937275226,-0.37008870774179103,-0.05469925236569284,-0.33123612711599026
heart-va,-1.571429997320774,-1.3353243479390098,-0.9993787116181696,-1.1271488311780047,-0.18361300192251526,-0.11359830418394318,-0.516816723709846,-0.07634246881176378,0.0815011294897592,-0.11976021320576294
hepatitis,-0.5289372849372849,-0.39715440115440115,-0.32566144966144955,-0.3419159980295091,-0.15895474784806515,-0.157179926126064,0.056765270041956396,-0.1506167009581643,0.016973215582192325,-0.0665823135278681
hill-valley,-0.1913839383938423,-0.08217821782178339,-0.08108250825082627,-0.3341318530643479,0.0052820226232935955,0.018875803033054677,-0.016155981384380604,0.021579346390781688,0.002804953119756696,-5.75988507219638E-4
horse-colic,-0.16960869565217357,-0.13472463768115917,-0.05533333333333322,-0.16587427191571705,-0.02408638145677953,-0.02488452561577081,-0.06596109628257184,-0.024353323056936372,0.03723876988858921,-0.010097643828367807
ilpd-indian-liver,-0.3474619717867842,-0.19988818277393308,-0.1900056489196438,-0.5360263400774081,-0.014423656043724854,-6.150584741230054E-4,0.36313804862198096,6.277837692424515E-4,-0.031793127822957824,-0.012552827058488425
image-segmentation,-0.05613741901636405,-0.07249795244454517,-0.018031670121962818,0.029135379721674865,0.016362786866801354,0.015976177665856735,0.029872043777803434,0.01702421512158919,0.006502204558943469,0.020839510690170863
ionosphere,-0.08215203463203466,-0.10228043290043291,-0.022794458874458905,0.02229125787737528,0.04260966065776639,0.04163339516904077,0.06212940635660861,0.04209903907277609,0.031796581111585065,0.04674271810381868
iris,-0.1871136489866679,-0.19275977250629145,-0.12432738332064992,-0.03956382800188796,-0.07342228212653981,-0.07254247409260416,-0.2338214387990415,-0.07202876715584067,-0.012445774397403417,0.023751991305066496
led-display,-0.447006060391405,-0.7118411454484731,-0.27194973697185454,-0.44812273076526576,-0.11518805819285481,-0.11219003827516047,-0.17176923731734756,-0.11180752596159262,0.011445815496051519,-0.035003211414547514
lenses,-2.2029540701184285,-1.6036791750630544,-0.7582846984103734,-0.03254296271328369,-0.45243135071923757,0.17159302393810386,-0.8809616583641104,0.26626716666707057,0.33058704507906833,0.07398703321592734
letter,-0.016986657418767197,-0.11856995270897383,-0.00558363597411885,0.20412842771727532,0.028382058831320795,0.02839957462339678,0.2028516414352336,0.02883839016974931,0.018307145916853243,0.03413291753236966
libras,-1.1209979797800995,-0.6467652954336126,-0.6452763287413832,0.0913520049521843,0.02358941605597918,0.03762416624462509,-0.5070949499454538,0.04031770613163504,0.12006237559441099,0.07558510893192093
low-res-spect,-0.4073933644482925,-0.3171260839131341,-0.3071247935301989,0.015076217979501406,-0.031113956083744173,0.01409731005683358,-0.0578657136942888,0.014759941631428384,0.0449087009418031,0.06545699164200745
